Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,4 789 356 564 $,92694933.0,14.32,N/A
2023-05-21,4 882 458 337 $,72698899.0,14.62,14.32
2023-05-20,4 902 751 675 $,104484169.0,14.68,14.62
2023-05-19,4 910 909 772 $,139973014.0,14.7,14.68
2023-05-18,5 053 116 259 $,145268129.0,15.16,14.7
2023-05-17,4 964 300 366 $,127852284.0,14.9,15.16
2023-05-16,5 036 630 418 $,145604948.0,15.11,14.9
2023-05-15,4 996 415 825 $,86314935.0,15.02,15.11
2023-05-14,4 977 585 096 $,78209553.0,14.94,15.02
2023-05-13,5 047 703 146 $,170491536.0,15.2,14.94
2023-05-12,4 967 737 842 $,150411024.0,14.98,15.2
2023-05-11,5 156 623 878 $,242240396.0,15.56,14.98
2023-05-10,5 075 546 179 $,131939228.0,15.32,15.56
2023-05-09,5 096 828 007 $,271824526.0,15.42,15.32
2023-05-08,5 451 856 528 $,102184611.0,16.49,15.42
2023-05-07,5 486 449 651 $,155577199.0,16.63,16.49
2023-05-06,5 740 989 225 $,198487167.0,17.38,16.63
2023-05-05,5 582 158 988 $,119027280.0,16.92,17.38
2023-05-04,5 668 624 901 $,180750583.0,17.21,16.92
2023-05-03,5 542 064 030 $,118952696.0,16.86,17.21
2023-05-02,5 475 575 239 $,150202606.0,16.67,16.86
2023-05-01,5 652 314 786 $,125171232.0,17.2,16.67
2023-04-30,5 729 638 210 $,103122633.0,17.47,17.2
2023-04-29,5 749 011 410 $,134576131.0,17.56,17.47
2023-04-28,5 792 252 786 $,219845420.0,17.73,17.56
2023-04-27,5 615 758 010 $,319009279.0,17.17,17.73
2023-04-26,5 773 911 481 $,223582072.0,17.66,17.17
2023-04-25,5 532 364 680 $,169331956.0,16.94,17.66
2023-04-24,5 504 683 045 $,142242557.0,16.88,16.94
2023-04-23,5 641 597 873 $,149133165.0,17.26,16.88
2023-04-22,5 534 822 190 $,333334822.0,16.95,17.26
2023-04-21,5 981 847 186 $,317155124.0,18.32,16.95
2023-04-20,6 192 002 677 $,436292723.0,18.95,18.32
2023-04-19,6 925 099 959 $,364206951.0,21.21,18.95
2023-04-18,6 693 551 147 $,581579377.0,20.53,21.21
2023-04-17,6 588 366 471 $,335417880.0,20.22,20.53
2023-04-16,6 235 653 174 $,217413976.0,19.1,20.22
2023-04-15,6 285 487 838 $,283787304.0,19.26,19.1
2023-04-14,6 146 233 513 $,289632216.0,18.86,19.26
2023-04-13,5 962 950 110 $,326973467.0,18.26,18.86
2023-04-12,5 927 631 443 $,208447948.0,18.17,18.26
2023-04-11,5 850 863 344 $,152560326.0,17.94,18.17
2023-04-10,5 731 763 825 $,128865651.0,17.57,17.94
2023-04-09,5 697 772 471 $,119926165.0,17.47,17.57
2023-04-08,5 749 930 250 $,159360606.0,17.63,17.47
2023-04-07,5 877 206 035 $,210732630.0,18.0,17.63
2023-04-06,5 876 578 953 $,258959271.0,18.0,18.0
2023-04-05,5 751 564 430 $,167360526.0,17.65,18.0
2023-04-04,5 586 018 883 $,211281143.0,17.11,17.65
2023-04-03,5 632 715 156 $,140737668.0,17.3,17.11
2023-04-02,5 800 058 807 $,138456550.0,17.79,17.3
2023-04-01,5 774 920 284 $,219235414.0,17.72,17.79
2023-03-31,5 618 941 328 $,237278413.0,17.25,17.72
2023-03-30,5 637 486 299 $,213256390.0,17.31,17.25
2023-03-29,5 459 176 310 $,189079624.0,16.75,17.31
2023-03-28,5 381 674 483 $,182710084.0,16.55,16.75
2023-03-27,5 598 403 623 $,153740279.0,17.14,16.55
2023-03-26,5 524 173 955 $,196745408.0,16.97,17.14
2023-03-25,5 576 588 340 $,196858597.0,17.09,16.97
2023-03-24,5 738 113 292 $,233876583.0,17.64,17.09
2023-03-23,5 484 004 166 $,322382292.0,16.86,17.64
2023-03-22,5 704 475 680 $,193739056.0,17.55,16.86
2023-03-21,5 459 326 941 $,280132625.0,16.76,17.55
2023-03-20,5 790 737 282 $,251173801.0,17.69,16.76
2023-03-19,5 548 520 422 $,311327282.0,17.03,17.69
2023-03-18,5 734 295 433 $,288663273.0,17.69,17.03
2023-03-17,5 201 316 242 $,222870082.0,15.94,17.69
2023-03-16,5 087 388 106 $,347876942.0,15.63,15.94
2023-03-15,5 602 264 711 $,442149178.0,17.2,15.63
2023-03-14,5 366 193 859 $,331844466.0,16.47,17.2
2023-03-13,5 290 302 234 $,265505049.0,16.3,16.47
2023-03-12,4 713 942 218 $,243614847.0,14.53,16.3
2023-03-11,4 838 739 800 $,310191552.0,14.85,14.53
2023-03-10,4 674 025 588 $,232654608.0,14.43,14.85
2023-03-09,4 935 666 267 $,174958560.0,15.15,14.43
2023-03-08,5 247 063 440 $,172090163.0,16.18,15.15
2023-03-07,5 374 138 520 $,162886027.0,16.53,16.18
2023-03-06,5 248 714 090 $,108799610.0,16.18,16.53
2023-03-05,5 237 042 552 $,125758633.0,16.12,16.18
2023-03-04,5 411 446 129 $,205783181.0,16.67,16.12
2023-03-03,5 666 370 261 $,147653120.0,17.44,16.67
2023-03-02,5 772 348 983 $,168512422.0,17.75,17.44
2023-03-01,5 543 410 199 $,190847325.0,17.09,17.75
2023-02-28,5 826 157 301 $,227445928.0,17.93,17.09
2023-02-27,5 815 472 890 $,187620544.0,18.45,17.93
2023-02-26,5 658 735 820 $,274540250.0,17.96,18.45
2023-02-25,5 799 083 425 $,310022693.0,18.37,17.96
2023-02-24,6 199 327 028 $,308759881.0,19.71,18.37
2023-02-23,6 396 173 987 $,641835791.0,20.27,19.71
2023-02-22,6 583 479 415 $,519766653.0,20.91,20.27
2023-02-21,6 559 040 319 $,498847263.0,20.79,20.91
2023-02-20,6 273 470 719 $,286403311.0,19.81,20.79
2023-02-19,6 178 739 135 $,261651157.0,19.6,19.81
2023-02-18,6 149 757 521 $,238127584.0,19.53,19.6
2023-02-17,5 888 014 528 $,356447588.0,18.68,19.53
2023-02-16,6 245 581 165 $,271716406.0,19.88,18.68
2023-02-15,5 728 373 612 $,242454606.0,18.17,19.88
2023-02-14,5 556 547 102 $,239007065.0,17.63,18.17
2023-02-13,5 593 532 523 $,278240659.0,17.73,17.63
2023-02-12,5 683 542 364 $,137058769.0,18.05,17.73
2023-02-11,5 616 344 030 $,231240951.0,17.81,18.05
2023-02-10,5 625 803 517 $,386847736.0,17.86,17.81
2023-02-09,6 332 233 560 $,263277828.0,20.1,17.86
2023-02-08,6 583 374 863 $,321533311.0,20.89,20.1
2023-02-07,6 172 268 492 $,223677535.0,19.62,20.89
2023-02-06,6 346 720 802 $,363771173.0,20.12,19.62
2023-02-05,6 640 847 874 $,272119468.0,21.04,20.12
2023-02-04,6 735 616 189 $,470961187.0,21.37,21.04
2023-02-03,6 698 431 191 $,883123006.0,21.23,21.37
2023-02-02,6 583 907 814 $,626010003.0,20.97,21.23
2023-02-01,6 242 904 986 $,411327606.0,19.86,20.97
2023-01-31,6 200 969 691 $,706354036.0,19.74,19.86
2023-01-30,6 631 340 908 $,447331041.0,21.12,19.74
2023-01-29,6 478 003 326 $,666534749.0,20.56,21.12
2023-01-28,6 777 191 091 $,727151961.0,21.43,20.56
2023-01-27,5 715 965 535 $,471466284.0,18.11,21.43
2023-01-26,5 605 193 457 $,379815280.0,17.84,18.11
2023-01-25,5 346 951 834 $,462055051.0,17.0,17.84
2023-01-24,5 669 227 518 $,429873081.0,18.05,17.0
2023-01-23,5 464 554 617 $,513539507.0,17.39,18.05
2023-01-22,5 313 512 775 $,454676279.0,16.89,17.39
2023-01-21,5 502 958 563 $,376654130.0,17.52,16.89
2023-01-20,5 094 714 192 $,279132569.0,16.2,17.52
2023-01-19,4 926 943 558 $,458948827.0,15.82,16.2
2023-01-18,5 332 165 066 $,557498710.0,17.16,15.82
2023-01-17,5 209 996 556 $,456910037.0,16.74,17.16
2023-01-16,5 223 605 335 $,562834735.0,16.77,16.74
2023-01-15,5 299 944 903 $,1151506776.0,17.0,16.77
2023-01-14,4 970 302 679 $,627559333.0,15.95,17.0
2023-01-13,4 803 970 851 $,815723336.0,15.42,15.95
2023-01-12,4 974 436 072 $,847875709.0,15.92,15.42
2023-01-11,3 966 033 559 $,218860677.0,12.73,15.92
2023-01-10,3 808 286 230 $,265696245.0,12.21,12.73
2023-01-09,3 746 863 366 $,121413521.0,12.03,12.21
2023-01-08,3 655 453 428 $,98911145.0,11.75,12.03
2023-01-07,3 668 307 155 $,131492897.0,11.78,11.75
2023-01-06,3 659 678 357 $,137452287.0,11.75,11.78
2023-01-05,3 765 128 419 $,197921996.0,12.08,11.75
