Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,48 421 119 399 $,328187256.0,306.56,N/A
2023-05-21,49 028 080 181 $,261538250.0,310.47,306.56
2023-05-20,48 777 238 816 $,390450101.0,308.98,310.47
2023-05-19,48 900 502 712 $,316671000.0,309.5,308.98
2023-05-18,49 564 395 154 $,431598390.0,313.95,309.5
2023-05-17,49 198 400 101 $,390805630.0,311.46,313.95
2023-05-16,49 558 425 065 $,434872016.0,313.94,311.46
2023-05-15,49 226 381 036 $,426917646.0,311.9,313.94
2023-05-14,49 210 307 280 $,381183864.0,311.04,311.9
2023-05-13,48 690 756 821 $,603776406.0,308.6,311.04
2023-05-12,48 590 747 015 $,524985558.0,307.79,308.6
2023-05-11,49 662 394 090 $,610558343.0,314.58,307.79
2023-05-10,49 306 858 317 $,412928464.0,312.13,314.58
2023-05-09,49 549 048 279 $,621524861.0,313.94,312.13
2023-05-08,50 844 724 701 $,444617992.0,322.31,313.94
2023-05-07,50 941 464 919 $,549648650.0,322.7,322.31
2023-05-06,51 599 872 889 $,576517786.0,326.82,322.7
2023-05-05,51 152 998 818 $,454308975.0,323.82,326.82
2023-05-04,51 423 455 643 $,1041154859.0,326.01,323.82
2023-05-03,50 888 408 585 $,452507447.0,322.21,326.01
2023-05-02,51 933 432 317 $,1154791181.0,328.97,322.21
2023-05-01,53 251 356 964 $,1090442724.0,337.62,328.97
2023-04-30,50 858 247 901 $,478613089.0,321.77,337.62
2023-04-29,51 224 904 112 $,1424162568.0,324.48,321.77
2023-04-28,52 415 571 801 $,1343734689.0,331.51,324.48
2023-04-27,52 172 391 454 $,1092842792.0,330.44,331.51
2023-04-26,53 516 035 779 $,785289598.0,339.1,330.44
2023-04-25,52 279 828 639 $,824508785.0,331.15,339.1
2023-04-24,52 165 975 187 $,813713561.0,330.68,331.15
2023-04-23,52 527 550 309 $,832518966.0,332.41,330.68
2023-04-22,50 793 309 307 $,1346836221.0,321.6,332.41
2023-04-21,50 076 803 640 $,683865621.0,317.78,321.6
2023-04-20,50 996 266 810 $,985507233.0,322.35,317.78
2023-04-19,54 204 297 111 $,846447082.0,343.01,322.35
2023-04-18,53 664 070 532 $,973941455.0,340.03,343.01
2023-04-17,54 913 630 927 $,1075190126.0,347.87,340.03
2023-04-16,52 662 920 699 $,740571912.0,333.27,347.87
2023-04-15,51 952 175 557 $,1091698237.0,328.98,333.27
2023-04-14,51 295 369 255 $,632784569.0,325.03,328.98
2023-04-13,50 587 359 530 $,451476956.0,320.29,325.03
2023-04-12,50 988 411 866 $,1121318920.0,322.73,320.29
2023-04-11,50 278 276 856 $,571039270.0,318.23,322.73
2023-04-10,49 448 040 243 $,417632833.0,313.01,318.23
2023-04-09,49 063 096 682 $,405518011.0,310.66,313.01
2023-04-08,49 053 688 106 $,348203531.0,310.83,310.66
2023-04-07,49 315 808 887 $,490400831.0,312.37,310.83
2023-04-06,49 641 625 564 $,601075886.0,314.28,312.37
2023-04-05,49 087 111 958 $,659840226.0,310.99,314.28
2023-04-04,48 834 992 856 $,747571396.0,308.85,310.99
2023-04-03,49 580 832 087 $,362774663.0,314.11,308.85
