Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,5 500 978 905 $,1025707824.0,0.999875,N/A
2023-05-21,5 502 486 250 $,341971848.0,1.001,0.999875
2023-05-20,5 504 557 344 $,377613460.0,1.0,1.001
2023-05-19,5 547 200 109 $,858363784.0,1.0,1.0
2023-05-18,5 545 583 641 $,746134042.0,0.999917,1.0
2023-05-17,5 554 534 855 $,1106161497.0,0.999542,0.999917
2023-05-16,5 555 550 324 $,593348544.0,0.998883,0.999542
2023-05-15,5 614 787 865 $,631287617.0,1.0,0.998883
2023-05-14,5 624 406 894 $,1040675032.0,0.999524,1.0
2023-05-13,5 623 287 222 $,1814625995.0,1.001,0.999524
2023-05-12,5 720 830 515 $,260307195.0,0.999861,1.001
2023-05-11,5 764 214 556 $,837135694.0,1.001,0.999861
2023-05-10,5 793 970 074 $,457976355.0,0.99899,1.001
2023-05-09,5 865 864 818 $,2946029459.0,1.001,0.99899
2023-05-08,5 949 909 632 $,639739904.0,0.995311,1.001
2023-05-07,5 967 916 059 $,1947110431.0,1.001,0.995311
2023-05-06,5 966 908 409 $,758360763.0,1.001,1.001
2023-05-05,5 980 595 025 $,697821409.0,1.001,1.001
2023-05-04,5 981 155 022 $,2566939079.0,0.99992,1.001
2023-05-03,6 091 775 326 $,2150657032.0,1.0,0.99992
2023-05-02,6 160 006 331 $,2479692668.0,1.001,1.0
2023-05-01,6 203 190 377 $,2022455079.0,1.001,1.001
2023-04-30,6 201 585 476 $,1323705604.0,1.001,1.001
2023-04-29,6 203 106 264 $,2382169197.0,1.001,1.001
2023-04-28,6 286 013 514 $,3258818942.0,1.001,1.001
2023-04-27,6 305 579 620 $,3802429980.0,0.999417,1.001
2023-04-26,6 357 991 256 $,2809966093.0,1.001,0.999417
2023-04-25,6 411 568 971 $,2188905080.0,1.0,1.001
2023-04-24,6 448 356 542 $,1744312707.0,1.001,1.0
2023-04-23,6 457 860 855 $,1932208146.0,1.002,1.001
2023-04-22,6 449 795 180 $,3288798745.0,1.001,1.002
2023-04-21,6 586 834 048 $,3444906426.0,1.001,1.001
2023-04-20,6 630 252 870 $,4262703371.0,1.003,1.001
2023-04-19,6 645 871 038 $,3239094766.0,1.001,1.003
2023-04-18,6 658 135 177 $,3366393225.0,1.001,1.001
2023-04-17,6 685 883 364 $,2514275271.0,1.001,1.001
2023-04-16,6 683 730 586 $,2577489288.0,1.001,1.001
2023-04-15,6 689 017 525 $,4081523398.0,1.002,1.001
2023-04-14,6 724 821 516 $,3346056699.0,1.002,1.002
2023-04-13,6 796 435 632 $,3762567541.0,1.0,1.002
2023-04-12,6 903 395 843 $,3744413991.0,1.001,1.0
2023-04-11,6 955 890 583 $,2929295964.0,1.0,1.001
2023-04-10,7 073 891 636 $,2268693424.0,1.0,1.0
2023-04-09,7 072 080 442 $,2507028456.0,1.001,1.0
2023-04-08,7 071 416 875 $,2101416380.0,1.0,1.001
2023-04-07,7 073 969 357 $,2575475255.0,1.0,1.0
2023-04-06,7 162 940 063 $,3239093881.0,1.0,1.0
2023-04-05,7 297 497 161 $,3041252134.0,1.003,1.0
2023-04-04,7 428 030 829 $,4007086725.0,1.0,1.003
2023-04-03,7 563 708 102 $,2473634211.0,1.002,1.0
2023-04-02,7 555 925 683 $,2508179994.0,1.0,1.002
2023-04-01,7 561 675 921 $,3497757691.0,0.999988,1.0
2023-03-31,7 618 861 909 $,4329503577.0,1.001,0.999988
2023-03-30,7 670 277 639 $,4025699149.0,1.0,1.001
2023-03-29,7 722 141 368 $,3838139908.0,1.001,1.0
2023-03-28,7 832 726 813 $,4242353552.0,1.001,1.001
2023-03-27,8 026 490 491 $,3279503149.0,0.999154,1.001
2023-03-26,8 079 469 372 $,3518614933.0,1.007,0.999154
2023-03-25,8 070 909 712 $,4205755014.0,1.006,1.007
2023-03-24,8 087 890 927 $,4757581421.0,1.004,1.006
2023-03-23,8 092 720 219 $,5997733017.0,1.005,1.004
2023-03-22,8 159 193 352 $,6648636879.0,1.005,1.005
2023-03-21,8 176 817 006 $,8834456892.0,1.007,1.005
2023-03-20,8 237 070 375 $,7416814043.0,0.999166,1.007
2023-03-19,8 262 212 040 $,8794736455.0,1.005,0.999166
2023-03-18,8 247 036 284 $,10018129781.0,1.004,1.005
2023-03-17,8 291 164 449 $,6651121434.0,1.005,1.004
2023-03-16,8 344 354 916 $,9627403542.0,1.001,1.005
2023-03-15,8 380 705 787 $,11096927256.0,1.002,1.001
