Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,2 226 632 271 $,49492460.0,114.77,N/A
2023-05-21,2 259 379 384 $,40898566.0,116.44,114.77
2023-05-20,2 242 201 302 $,45257165.0,115.51,116.44
2023-05-19,2 242 285 842 $,65871505.0,115.36,115.51
2023-05-18,2 289 423 860 $,70425879.0,117.97,115.36
2023-05-17,2 268 779 580 $,61025763.0,116.91,117.97
2023-05-16,2 257 851 605 $,110262880.0,116.39,116.91
2023-05-15,2 236 685 447 $,57316323.0,115.31,116.39
2023-05-14,2 198 941 475 $,50666597.0,113.11,115.31
2023-05-13,2 230 742 327 $,78999714.0,114.95,113.11
2023-05-12,2 202 739 080 $,112246995.0,113.61,114.95
2023-05-11,2 247 934 096 $,185377704.0,116.24,113.61
2023-05-10,2 358 810 973 $,248451919.0,121.66,116.24
2023-05-09,2 160 558 225 $,86269832.0,111.43,121.66
2023-05-08,2 263 699 596 $,40757861.0,116.91,111.43
2023-05-07,2 266 119 365 $,58118277.0,117.1,116.91
2023-05-06,2 329 022 816 $,62790217.0,120.13,117.1
2023-05-05,2 276 881 895 $,49995783.0,117.43,120.13
2023-05-04,2 327 573 738 $,65462871.0,120.1,117.43
2023-05-03,2 309 141 612 $,64853770.0,119.22,120.1
2023-05-02,2 268 023 457 $,61029983.0,117.1,119.22
2023-05-01,2 295 710 939 $,55969317.0,118.4,117.1
2023-04-30,2 317 807 358 $,49481346.0,119.61,118.4
2023-04-29,2 288 554 661 $,83485530.0,118.08,119.61
2023-04-28,2 269 679 141 $,114316353.0,117.21,118.08
2023-04-27,2 276 732 665 $,116644005.0,117.52,117.21
2023-04-26,2 330 576 939 $,78248024.0,120.31,117.52
2023-04-25,2 311 213 652 $,74630883.0,119.28,120.31
2023-04-24,2 321 704 416 $,64771215.0,120.01,119.28
2023-04-23,2 372 373 930 $,66363850.0,122.38,120.01
2023-04-22,2 317 271 408 $,79740642.0,119.79,122.38
2023-04-21,2 380 715 549 $,104754416.0,123.04,119.79
2023-04-20,2 419 119 963 $,129670820.0,125.0,123.04
2023-04-19,2 588 881 984 $,75893098.0,133.57,125.0
2023-04-18,2 548 455 147 $,87037590.0,131.73,133.57
2023-04-17,2 600 641 693 $,80955509.0,134.27,131.73
2023-04-16,2 575 254 262 $,75227897.0,132.84,134.27
2023-04-15,2 567 616 390 $,101255603.0,132.55,132.84
