Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,519 171 380 714 $,8125825606.0,26774.0,N/A
2023-05-21,525 040 003 344 $,3882362454.0,27094.0,26774.0
2023-05-20,521 153 640 363 $,11559136131.0,26884.0,27094.0
2023-05-19,520 544 913 836 $,12599487112.0,26843.0,26884.0
2023-05-18,530 762 551 513 $,12580626235.0,27390.0,26843.0
2023-05-17,523 965 691 859 $,12927093921.0,27023.0,27390.0
2023-05-16,527 655 229 434 $,14570026782.0,27228.0,27023.0
2023-05-15,521 319 019 335 $,6019488454.0,26912.0,27228.0
2023-05-14,520 426 027 097 $,8365379054.0,26798.0,26912.0
2023-05-13,518 816 444 751 $,9157286238.0,26788.0,26798.0
2023-05-12,523 414 877 659 $,7754296234.0,27025.0,26788.0
2023-05-11,534 937 464 539 $,17159331951.0,27640.0,27025.0
2023-05-10,535 037 100 027 $,8876813251.0,27607.0,27640.0
2023-05-09,536 032 086 472 $,21535578789.0,27697.0,27607.0
2023-05-08,554 373 015 262 $,10199066943.0,28611.0,27697.0
2023-05-07,559 078 681 903 $,6463808309.0,28888.0,28611.0
2023-05-06,571 520 224 183 $,4971523631.0,29520.0,28888.0
2023-05-05,558 634 329 303 $,12676760580.0,28846.0,29520.0
2023-05-04,561 312 171 795 $,19944381491.0,28988.0,28846.0
2023-05-03,554 886 795 898 $,17699097406.0,28654.0,28988.0
2023-05-02,544 421 676 291 $,19980169281.0,28126.0,28654.0
2023-05-01,568 513 467 268 $,14707008605.0,29362.0,28126.0
2023-04-30,565 714 356 651 $,9711415139.0,29218.0,29362.0
2023-04-29,568 153 896 405 $,18730801539.0,29340.0,29218.0
2023-04-28,570 258 039 119 $,26238597379.0,29484.0,29340.0
2023-04-27,548 638 734 338 $,30540034741.0,28352.0,29484.0
2023-04-26,548 359 667 399 $,17061823986.0,28351.0,28352.0
2023-04-25,532 290 845 182 $,16443099945.0,27512.0,28351.0
2023-04-24,533 753 154 140 $,11435645307.0,27607.0,27512.0
2023-04-23,539 454 716 830 $,11700230850.0,27862.0,27607.0
2023-04-22,528 357 279 464 $,20420333534.0,27300.0,27862.0
2023-04-21,546 141 074 655 $,21695904965.0,28256.0,27300.0
2023-04-20,558 796 473 891 $,24136616862.0,28833.0,28256.0
2023-04-19,587 730 212 231 $,18078539249.0,30366.0,28833.0
2023-04-18,569 958 059 901 $,16771824488.0,29467.0,30366.0
2023-04-17,586 268 225 588 $,11188035367.0,30305.0,29467.0
2023-04-16,586 969 785 778 $,11028264273.0,30312.0,30305.0
2023-04-15,589 051 372 433 $,20984067684.0,30468.0,30312.0
2023-04-14,587 939 018 759 $,16404033694.0,30405.0,30468.0
2023-04-13,578 850 627 448 $,18407698928.0,29904.0,30405.0
2023-04-12,585 359 301 945 $,18320296515.0,30261.0,29904.0
2023-04-11,574 059 578 670 $,17475381731.0,29658.0,30261.0
2023-04-10,548 568 597 244 $,11429030270.0,28351.0,29658.0
2023-04-09,541 094 458 101 $,8844199146.0,27968.0,28351.0
2023-04-08,540 432 353 743 $,10141276804.0,27934.0,27968.0
2023-04-07,542 601 176 317 $,13079528995.0,28043.0,27934.0
2023-04-06,545 409 754 929 $,16507617904.0,28197.0,28043.0
2023-04-05,544 313 567 953 $,14871614373.0,28175.0,28197.0
