Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,12 666 778 955 $,121023033.0,0.361094,N/A
2023-05-21,12 846 035 788 $,124054022.0,0.366468,0.361094
2023-05-20,12 926 880 991 $,140897223.0,0.368599,0.366468
2023-05-19,13 082 316 162 $,213667303.0,0.372739,0.368599
2023-05-18,13 148 583 717 $,232388389.0,0.375195,0.372739
2023-05-17,12 903 680 935 $,181513998.0,0.368087,0.375195
2023-05-16,12 899 094 797 $,187955307.0,0.368085,0.368087
2023-05-15,12 996 323 481 $,130253982.0,0.370819,0.368085
2023-05-14,12 829 453 677 $,139616346.0,0.365093,0.370819
2023-05-13,12 992 449 828 $,285317964.0,0.370812,0.365093
2023-05-12,12 633 292 676 $,272231850.0,0.360629,0.370812
2023-05-11,12 975 441 604 $,365559450.0,0.370609,0.360629
2023-05-10,12 739 370 021 $,237308697.0,0.363578,0.370609
2023-05-09,12 810 565 344 $,382957669.0,0.366146,0.363578
2023-05-08,13 232 806 524 $,180336988.0,0.378091,0.366146
2023-05-07,13 306 507 399 $,264020889.0,0.380261,0.378091
2023-05-06,13 810 441 154 $,253186602.0,0.394535,0.380261
2023-05-05,13 587 602 981 $,188639697.0,0.38771,0.394535
2023-05-04,13 798 775 977 $,278479196.0,0.393838,0.38771
2023-05-03,13 728 305 157 $,208588929.0,0.391565,0.393838
2023-05-02,13 567 718 828 $,287299857.0,0.387299,0.391565
2023-05-01,13 971 464 375 $,237510775.0,0.398259,0.387299
2023-04-30,14 118 334 309 $,159646975.0,0.402617,0.398259
2023-04-29,14 192 467 314 $,245848710.0,0.405229,0.402617
2023-04-28,14 369 501 448 $,425245709.0,0.410319,0.405229
2023-04-27,14 062 027 693 $,520144169.0,0.401301,0.410319
2023-04-26,13 820 436 005 $,294682479.0,0.395085,0.401301
2023-04-25,13 466 477 503 $,290722439.0,0.384051,0.395085
2023-04-24,13 614 994 074 $,242425244.0,0.389096,0.384051
2023-04-23,13 906 111 784 $,267477972.0,0.396924,0.389096
2023-04-22,13 415 730 445 $,439360412.0,0.382983,0.396924
2023-04-21,14 034 051 782 $,460777652.0,0.40075,0.382983
2023-04-20,14 563 917 113 $,593641385.0,0.41525,0.40075
2023-04-19,15 556 085 793 $,375002799.0,0.443614,0.41525
2023-04-18,15 217 409 659 $,484945099.0,0.434619,0.443614
2023-04-17,15 832 624 300 $,395915101.0,0.451766,0.434619
2023-04-16,15 952 653 142 $,559309012.0,0.454158,0.451766
2023-04-15,15 375 843 757 $,684812257.0,0.43892,0.454158
2023-04-14,14 937 732 271 $,500970494.0,0.426155,0.43892
2023-04-13,14 231 712 048 $,414553549.0,0.405404,0.426155
2023-04-12,14 074 149 362 $,437318683.0,0.401664,0.405404
2023-04-11,13 914 326 447 $,274331218.0,0.397182,0.401664
2023-04-10,13 668 842 180 $,222258531.0,0.389867,0.397182
2023-04-09,13 547 039 830 $,227489857.0,0.386468,0.389867
2023-04-08,13 475 498 915 $,219082584.0,0.384286,0.386468
2023-04-07,13 463 680 143 $,290787655.0,0.383787,0.384286
2023-04-06,13 768 988 507 $,309234325.0,0.39267,0.383787
2023-04-05,13 665 129 449 $,400460061.0,0.390019,0.39267
2023-04-04,13 631 038 603 $,683769265.0,0.387779,0.390019
2023-04-03,13 389 440 672 $,320100356.0,0.382296,0.387779
2023-04-02,13 824 277 590 $,388714587.0,0.393903,0.382296
2023-04-01,14 009 040 304 $,716335256.0,0.399465,0.393903
2023-03-31,13 226 069 415 $,429889697.0,0.377093,0.399465
2023-03-30,13 413 184 620 $,537119163.0,0.382589,0.377093
2023-03-29,12 941 771 031 $,368290971.0,0.369323,0.382589
2023-03-28,12 138 644 788 $,336956583.0,0.346916,0.369323
2023-03-27,12 535 421 606 $,272202713.0,0.357011,0.346916
2023-03-26,12 433 136 119 $,266325928.0,0.354723,0.357011
2023-03-25,12 706 876 812 $,353544633.0,0.362435,0.354723
2023-03-24,13 090 883 001 $,413474704.0,0.373908,0.362435
2023-03-23,12 707 537 392 $,922448613.0,0.363063,0.373908
2023-03-22,13 061 409 181 $,659905518.0,0.373104,0.363063
2023-03-21,11 740 413 064 $,364629687.0,0.334675,0.373104
2023-03-20,12 284 106 876 $,316033207.0,0.348534,0.334675
2023-03-19,11 885 994 890 $,405181332.0,0.338968,0.348534
2023-03-18,12 259 836 659 $,451127453.0,0.350248,0.338968
2023-03-17,11 454 977 426 $,364685850.0,0.326788,0.350248
2023-03-16,11 397 464 259 $,599759982.0,0.325547,0.326788
2023-03-15,12 090 327 311 $,596424616.0,0.344403,0.325547
2023-03-14,12 065 878 442 $,662927956.0,0.34394,0.344403
2023-03-13,11 581 630 428 $,380024634.0,0.331014,0.34394
