Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,3 328 316 905 $,81117693.0,6.43,N/A
2023-05-21,3 364 774 641 $,59877397.0,6.5,6.43
2023-05-20,3 367 543 726 $,94259457.0,6.51,6.5
2023-05-19,3 382 604 386 $,132632468.0,6.53,6.51
2023-05-18,3 491 797 164 $,153869660.0,6.75,6.53
2023-05-17,3 445 577 832 $,135522687.0,6.66,6.75
2023-05-16,3 435 272 181 $,138220124.0,6.65,6.66
2023-05-15,3 382 086 316 $,83833461.0,6.54,6.65
2023-05-14,3 371 666 013 $,104060236.0,6.5,6.54
2023-05-13,3 427 310 451 $,190517151.0,6.63,6.5
2023-05-12,3 293 481 701 $,205240245.0,6.37,6.63
2023-05-11,3 410 533 268 $,209243055.0,6.6,6.37
2023-05-10,3 371 585 027 $,140503965.0,6.52,6.6
2023-05-09,3 407 000 244 $,278526726.0,6.59,6.52
2023-05-08,3 584 210 859 $,112585361.0,6.94,6.59
2023-05-07,3 584 951 439 $,167635278.0,6.94,6.94
2023-05-06,3 738 447 238 $,195842490.0,7.23,6.94
2023-05-05,3 619 076 892 $,127717210.0,7.0,7.23
2023-05-04,3 676 502 876 $,204960447.0,7.12,7.0
2023-05-03,3 611 584 647 $,138843692.0,6.99,7.12
2023-05-02,3 572 061 747 $,206713498.0,6.91,6.99
2023-05-01,3 658 559 637 $,173988227.0,7.07,6.91
2023-04-30,3 715 155 767 $,149343527.0,7.18,7.07
2023-04-29,3 649 366 014 $,242238966.0,7.05,7.18
2023-04-28,3 706 405 550 $,783863349.0,7.18,7.05
2023-04-27,3 615 677 151 $,378876948.0,7.0,7.18
2023-04-26,3 764 948 056 $,204098768.0,7.28,7.0
2023-04-25,3 657 712 370 $,236174380.0,7.07,7.28
2023-04-24,3 658 680 845 $,213502858.0,7.09,7.07
2023-04-23,3 725 056 516 $,175017097.0,7.2,7.09
2023-04-22,3 679 451 082 $,359390478.0,7.12,7.2
2023-04-21,3 882 303 979 $,420297588.0,7.51,7.12
2023-04-20,4 020 761 734 $,590863232.0,7.77,7.51
2023-04-19,4 436 310 464 $,528131917.0,8.57,7.77
2023-04-18,4 218 302 564 $,484231546.0,8.17,8.57
2023-04-17,4 201 124 092 $,302267491.0,8.13,8.17
2023-04-16,4 151 948 526 $,304932641.0,8.01,8.13
2023-04-15,4 006 687 019 $,434022743.0,7.75,8.01
2023-04-14,3 860 340 004 $,240126276.0,7.47,7.75
2023-04-13,3 747 918 873 $,235796895.0,7.24,7.47
2023-04-12,3 779 988 121 $,208066107.0,7.31,7.24
2023-04-11,3 800 817 804 $,194980366.0,7.35,7.31
2023-04-10,3 731 766 310 $,143958992.0,7.21,7.35
2023-04-09,3 695 248 894 $,139512015.0,7.15,7.21
2023-04-08,3 767 954 591 $,162584366.0,7.28,7.15
2023-04-07,3 723 226 050 $,215364416.0,7.2,7.28
2023-04-06,3 792 156 600 $,314473502.0,7.33,7.2
2023-04-05,3 811 130 691 $,270381038.0,7.38,7.33
2023-04-04,3 750 356 805 $,313899931.0,7.24,7.38
2023-04-03,3 753 456 351 $,191166375.0,7.27,7.24
2023-04-02,3 903 401 955 $,207376783.0,7.55,7.27
2023-04-01,3 933 941 376 $,391944795.0,7.6,7.55
2023-03-31,3 743 257 717 $,312651075.0,7.24,7.6
2023-03-30,3 632 980 200 $,340850136.0,7.39,7.24
2023-03-29,3 419 934 920 $,243954853.0,6.96,7.39
2023-03-28,3 379 459 043 $,253918046.0,6.89,6.96
2023-03-27,3 581 459 909 $,202591494.0,7.27,6.89
2023-03-26,3 504 705 301 $,235353619.0,7.13,7.27
2023-03-25,3 563 638 489 $,342035367.0,7.24,7.13
2023-03-24,3 762 185 992 $,322855796.0,7.65,7.24
2023-03-23,3 539 390 452 $,675575920.0,7.21,7.65
2023-03-22,3 651 969 913 $,377737445.0,7.43,7.21
2023-03-21,3 489 582 856 $,536375353.0,7.1,7.43
2023-03-20,3 531 490 151 $,292135758.0,7.12,7.1
2023-03-19,3 421 981 850 $,358495429.0,6.96,7.12
2023-03-18,3 552 408 418 $,431803642.0,7.23,6.96
