Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,3 070 607 559 $,52287199.0,10.49,N/A
2023-05-21,3 102 269 501 $,49300672.0,10.6,10.49
2023-05-20,3 106 189 502 $,86128634.0,10.61,10.6
2023-05-19,3 151 796 748 $,97196422.0,10.76,10.61
2023-05-18,3 198 152 331 $,83945745.0,10.93,10.76
2023-05-17,3 185 183 491 $,82785822.0,10.88,10.93
2023-05-16,3 164 443 965 $,92574680.0,10.82,10.88
2023-05-15,3 190 595 305 $,103252436.0,10.9,10.82
2023-05-14,3 194 247 777 $,93434086.0,10.89,10.9
2023-05-13,3 269 392 497 $,171589190.0,11.17,10.89
2023-05-12,3 235 296 583 $,159069235.0,11.05,11.17
2023-05-11,3 215 316 728 $,208708702.0,11.01,11.05
2023-05-10,3 038 592 508 $,151475442.0,10.39,11.01
2023-05-09,3 109 878 041 $,227050870.0,10.64,10.39
2023-05-08,3 225 038 663 $,111746118.0,11.04,10.64
2023-05-07,3 170 541 406 $,119440383.0,10.85,11.04
2023-05-06,3 281 514 191 $,131264020.0,11.23,10.85
2023-05-05,3 212 561 074 $,94487637.0,10.98,11.23
2023-05-04,3 246 249 029 $,118608861.0,11.09,10.98
2023-05-03,3 230 135 664 $,97261467.0,11.04,11.09
2023-05-02,3 220 600 758 $,146764234.0,11.01,11.04
2023-05-01,3 391 810 347 $,119447858.0,11.61,11.01
2023-04-30,3 426 700 946 $,97330231.0,11.71,11.61
2023-04-29,3 431 918 414 $,142637620.0,11.71,11.71
2023-04-28,3 368 629 350 $,221380977.0,11.53,11.71
2023-04-27,3 181 239 104 $,202358016.0,10.89,11.53
2023-04-26,3 236 362 882 $,108428463.0,11.07,10.89
2023-04-25,3 179 952 860 $,111642145.0,10.88,11.07
2023-04-24,3 163 489 882 $,97608778.0,10.83,10.88
2023-04-23,3 232 126 531 $,113499525.0,11.05,10.83
2023-04-22,3 154 589 550 $,178770206.0,10.78,11.05
2023-04-21,3 331 429 957 $,186883690.0,11.39,10.78
2023-04-20,3 428 841 794 $,242536586.0,11.7,11.39
2023-04-19,3 671 719 064 $,154944409.0,12.54,11.7
2023-04-18,3 609 849 804 $,183899460.0,12.35,12.54
2023-04-17,3 708 067 663 $,212442977.0,12.68,12.35
2023-04-16,3 622 183 996 $,143425210.0,12.39,12.68
2023-04-15,3 587 182 725 $,254062319.0,12.25,12.39
2023-04-14,3 457 379 399 $,163618879.0,11.82,12.25
2023-04-13,3 319 106 886 $,143256232.0,11.33,11.82
2023-04-12,3 298 732 807 $,146290894.0,11.28,11.33
2023-04-11,3 274 838 078 $,129984318.0,11.19,11.28
2023-04-10,3 232 703 796 $,108913528.0,11.04,11.19
2023-04-09,3 208 117 712 $,110393808.0,10.96,11.04
2023-04-08,3 237 272 067 $,150317209.0,11.06,10.96
2023-04-07,3 315 794 240 $,156917431.0,11.33,11.06
2023-04-06,3 380 768 515 $,167432739.0,11.54,11.33
2023-04-05,3 291 321 690 $,163185263.0,11.27,11.54
2023-04-04,3 278 847 872 $,168138057.0,11.2,11.27
2023-04-03,3 258 597 561 $,117964219.0,11.14,11.2
2023-04-02,3 333 760 024 $,138187155.0,11.4,11.14
2023-04-01,3 276 919 272 $,149921587.0,11.19,11.4
2023-03-31,3 263 560 716 $,180536276.0,11.14,11.19
2023-03-30,3 348 150 026 $,276416862.0,11.44,11.14
2023-03-29,3 288 475 542 $,146075678.0,11.25,11.44
2023-03-28,3 170 185 129 $,110708906.0,10.86,11.25
2023-03-27,3 325 282 414 $,91145731.0,11.34,10.86
2023-03-26,3 267 120 482 $,108592008.0,11.17,11.34
2023-03-25,3 305 371 375 $,133451130.0,11.2,11.17
2023-03-24,3 432 066 687 $,114918474.0,11.74,11.2
2023-03-23,3 330 507 446 $,175704373.0,11.4,11.74
2023-03-22,3 501 491 007 $,143360947.0,11.98,11.4
2023-03-21,3 396 106 541 $,200079184.0,11.61,11.98
2023-03-20,3 662 020 161 $,227535457.0,12.45,11.61
2023-03-19,3 597 699 089 $,295852713.0,12.29,12.45
2023-03-18,3 869 599 119 $,210855749.0,13.22,12.29
2023-03-17,3 782 575 178 $,204264497.0,12.92,13.22
2023-03-16,3 650 647 762 $,332576888.0,12.48,12.92
2023-03-15,3 826 386 864 $,358002115.0,13.07,12.48
2023-03-14,3 513 885 991 $,202017367.0,12.02,13.07
2023-03-13,3 423 676 631 $,159111700.0,11.75,12.02
2023-03-12,3 221 802 904 $,207741144.0,11.05,11.75
2023-03-11,3 265 425 962 $,271463406.0,11.16,11.05
2023-03-10,3 215 861 633 $,228891381.0,11.0,11.16
2023-03-09,3 212 101 944 $,116069485.0,10.97,11.0
2023-03-08,3 431 646 808 $,101920094.0,11.76,10.97
2023-03-07,3 513 035 546 $,81941439.0,11.99,11.76
2023-03-06,3 515 279 312 $,96639234.0,12.03,11.99
2023-03-05,3 460 357 321 $,69518896.0,11.83,12.03
2023-03-04,3 509 853 711 $,128945788.0,12.0,11.83
2023-03-03,3 642 894 519 $,109533028.0,12.45,12.0
2023-03-02,3 731 321 949 $,132006313.0,12.77,12.45
2023-03-01,3 585 974 667 $,113763221.0,12.28,12.77
2023-02-28,3 740 976 112 $,113344791.0,12.78,12.28
2023-02-27,3 793 042 112 $,106700165.0,12.95,12.78
2023-02-26,3 752 803 772 $,138739142.0,12.82,12.95
