Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,4 657 210 526 $,64547451.0,0.999594,N/A
2023-05-21,4 644 390 779 $,60789823.0,0.997914,0.999594
2023-05-20,4 666 078 560 $,62127582.0,0.99974,0.997914
2023-05-19,4 669 260 272 $,97745489.0,0.99973,0.99974
2023-05-18,4 668 478 986 $,94978848.0,0.999856,0.99973
2023-05-17,4 668 387 492 $,69519549.0,1.001,0.999856
2023-05-16,4 662 105 405 $,93480814.0,1.0,1.001
2023-05-15,4 661 756 052 $,53925053.0,0.999326,1.0
2023-05-14,4 670 836 554 $,85301156.0,0.998662,0.999326
2023-05-13,4 675 720 275 $,156904840.0,1.001,0.998662
2023-05-12,4 682 486 936 $,165629250.0,0.999331,1.001
2023-05-11,4 685 470 437 $,208197244.0,0.999312,0.999331
2023-05-10,4 688 946 138 $,111612199.0,0.99974,0.999312
2023-05-09,4 690 302 207 $,156004085.0,1.0,0.99974
2023-05-08,4 687 469 373 $,67132468.0,1.0,1.0
2023-05-07,4 680 583 172 $,199380586.0,0.999303,1.0
2023-05-06,4 674 968 036 $,118502006.0,0.999791,0.999303
2023-05-05,4 680 874 210 $,117934338.0,0.999781,0.999791
2023-05-04,4 687 113 695 $,151311608.0,0.999674,0.999781
2023-05-03,4 699 548 912 $,107871804.0,1.0,0.999674
2023-05-02,4 729 022 559 $,120365314.0,1.0,1.0
2023-05-01,4 732 134 326 $,73234742.0,0.999673,1.0
2023-04-30,4 734 472 384 $,89301664.0,0.999959,0.999673
2023-04-29,4 727 473 497 $,131104969.0,0.999902,0.999959
2023-04-28,4 779 061 280 $,183105549.0,1.0,0.999902
2023-04-27,4 792 868 560 $,286650737.0,0.999869,1.0
2023-04-26,4 792 226 644 $,136889412.0,1.001,0.999869
2023-04-25,4 787 037 430 $,139546767.0,0.999405,1.001
2023-04-24,4 778 924 491 $,65673684.0,1.0,0.999405
2023-04-23,4 783 057 737 $,106100266.0,1.0,1.0
2023-04-22,4 807 164 331 $,213920994.0,1.0,1.0
2023-04-21,4 852 307 580 $,125081241.0,1.0,1.0
2023-04-20,4 869 649 945 $,169654990.0,1.0,1.0
2023-04-19,4 861 094 977 $,120724918.0,0.999472,1.0
2023-04-18,4 879 701 597 $,122939270.0,0.999659,0.999472
2023-04-17,5 016 431 372 $,75605523.0,1.0,0.999659
2023-04-16,5 029 214 943 $,66831304.0,1.0,1.0
2023-04-15,5 009 975 038 $,129461939.0,1.0,1.0
2023-04-14,5 013 548 156 $,179030873.0,1.001,1.0
2023-04-13,5 018 420 264 $,174203160.0,0.999085,1.001
2023-04-12,5 053 596 381 $,175634114.0,1.0,0.999085
2023-04-11,5 054 325 072 $,127723551.0,0.999779,1.0
2023-04-10,5 073 440 652 $,70223216.0,1.0,0.999779
2023-04-09,5 080 035 073 $,120058335.0,1.0,1.0
2023-04-08,5 084 873 227 $,107756703.0,1.001,1.0
2023-04-07,5 087 000 342 $,106790312.0,1.001,1.001
2023-04-06,5 084 455 110 $,127534912.0,0.999586,1.001
2023-04-05,5 094 270 378 $,142547565.0,1.001,0.999586
2023-04-04,5 094 215 872 $,148622708.0,0.99854,1.001
2023-04-03,5 109 840 310 $,76190682.0,1.001,0.99854
2023-04-02,5 096 243 349 $,99930652.0,0.999822,1.001
2023-04-01,5 098 592 326 $,142848667.0,0.999635,0.999822
2023-03-31,5 102 116 169 $,138343423.0,1.001,0.999635
2023-03-30,5 106 318 036 $,145897968.0,1.0,1.001
2023-03-29,5 120 501 463 $,162424257.0,1.0,1.0
2023-03-28,5 149 849 673 $,168023610.0,0.995827,1.0
2023-03-27,5 236 767 894 $,103685334.0,0.999283,0.995827
2023-03-26,5 262 222 843 $,91567019.0,1.004,0.999283
2023-03-25,5 260 062 111 $,204008210.0,0.997458,1.004
2023-03-24,5 289 572 843 $,190778015.0,1.0,0.997458
2023-03-23,5 305 539 271 $,343225017.0,1.003,1.0
