Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,10 079 201 334 $,185416659.0,0.072257,N/A
2023-05-21,10 281 672 707 $,142130906.0,0.073722,0.072257
2023-05-20,10 266 816 404 $,215682080.0,0.0736,0.073722
2023-05-19,10 279 648 682 $,386800489.0,0.073624,0.0736
2023-05-18,10 456 937 018 $,408174401.0,0.074905,0.073624
2023-05-17,10 142 298 719 $,245638788.0,0.072756,0.074905
2023-05-16,10 063 493 875 $,301109265.0,0.072184,0.072756
2023-05-15,10 050 043 129 $,178745623.0,0.072096,0.072184
2023-05-14,10 042 154 796 $,204374533.0,0.071899,0.072096
2023-05-13,10 126 302 763 $,509123346.0,0.07273,0.071899
2023-05-12,10 049 902 539 $,453324275.0,0.072171,0.07273
2023-05-11,10 217 049 731 $,478420990.0,0.073393,0.072171
2023-05-10,10 193 007 887 $,379145305.0,0.073173,0.073393
2023-05-09,10 100 239 051 $,686990731.0,0.072559,0.073173
2023-05-08,10 708 665 885 $,272854850.0,0.077033,0.072559
2023-05-07,10 694 423 821 $,459186550.0,0.076913,0.077033
2023-05-06,11 175 650 479 $,442410045.0,0.080367,0.076913
2023-05-05,10 923 617 107 $,303915825.0,0.078457,0.080367
2023-05-04,11 096 706 554 $,365799415.0,0.079702,0.078457
2023-05-03,10 974 896 784 $,272609634.0,0.078825,0.079702
2023-05-02,10 971 696 420 $,386936999.0,0.078946,0.078825
2023-05-01,11 129 185 210 $,314501201.0,0.079951,0.078946
2023-04-30,11 348 765 555 $,321564006.0,0.081573,0.079951
2023-04-29,11 190 441 064 $,300126423.0,0.080432,0.081573
2023-04-28,11 147 324 580 $,509447570.0,0.080258,0.080432
2023-04-27,10 928 733 831 $,844275416.0,0.078635,0.080258
2023-04-26,11 106 056 951 $,368127530.0,0.079981,0.078635
2023-04-25,10 970 104 628 $,427340747.0,0.078879,0.079981
2023-04-24,10 961 919 775 $,396187240.0,0.078964,0.078879
2023-04-23,11 209 722 552 $,423816918.0,0.080553,0.078964
2023-04-22,10 910 845 665 $,961422933.0,0.078496,0.080553
2023-04-21,11 662 953 866 $,2226040731.0,0.083986,0.078496
2023-04-20,12 194 023 294 $,1462478677.0,0.087667,0.083986
2023-04-19,13 069 406 650 $,1070666858.0,0.093982,0.087667
2023-04-18,12 712 080 688 $,1561878890.0,0.09161,0.093982
2023-04-17,12 552 243 052 $,682111291.0,0.090387,0.09161
2023-04-16,12 375 544 025 $,732038331.0,0.089024,0.090387
2023-04-15,12 328 502 858 $,1256516775.0,0.088739,0.089024
2023-04-14,12 176 504 083 $,1063667196.0,0.087592,0.088739
2023-04-13,11 616 879 872 $,959521130.0,0.083523,0.087592
2023-04-12,11 682 111 248 $,740780746.0,0.084254,0.083523
2023-04-11,11 810 686 440 $,751797850.0,0.084851,0.084254
2023-04-10,11 568 385 353 $,741649451.0,0.083369,0.084851
2023-04-09,11 325 381 364 $,798153909.0,0.081467,0.083369
2023-04-08,11 468 256 137 $,1177183910.0,0.082542,0.081467
2023-04-07,11 885 393 610 $,1719378593.0,0.085513,0.082542
2023-04-06,12 983 339 803 $,1880641092.0,0.093058,0.085513
2023-04-05,13 217 875 021 $,3935118206.0,0.095182,0.093058
2023-04-04,13 367 550 790 $,4502654470.0,0.096152,0.095182
2023-04-03,11 000 084 350 $,1141871238.0,0.079328,0.096152
2023-04-02,11 367 807 248 $,959436194.0,0.081864,0.079328
2023-04-01,10 745 789 398 $,472513621.0,0.07723,0.081864
2023-03-31,10 332 262 482 $,461942047.0,0.074472,0.07723
2023-03-30,10 512 259 682 $,532403460.0,0.075837,0.074472
2023-03-29,10 280 589 142 $,354545855.0,0.07414,0.075837
2023-03-28,10 150 577 357 $,558909642.0,0.073235,0.07414
2023-03-27,10 370 382 624 $,373620184.0,0.074612,0.073235
2023-03-26,10 355 761 818 $,437394533.0,0.07467,0.074612
2023-03-25,10 434 826 809 $,541178718.0,0.075244,0.07467
2023-03-24,10 800 257 489 $,694493415.0,0.07796,0.075244
2023-03-23,10 333 565 114 $,935108133.0,0.074536,0.07796
2023-03-22,10 716 612 131 $,689179379.0,0.077333,0.074536
2023-03-21,9 976 458 213 $,550862620.0,0.072129,0.077333
2023-03-20,10 484 931 792 $,471382290.0,0.075276,0.072129
2023-03-19,10 173 655 194 $,671540817.0,0.073426,0.075276
2023-03-18,10 626 304 812 $,648610111.0,0.076735,0.073426
2023-03-17,10 181 289 393 $,427937130.0,0.073333,0.076735
2023-03-16,9 700 933 208 $,661636753.0,0.070145,0.073333
2023-03-15,10 390 264 479 $,779326465.0,0.075018,0.070145
2023-03-14,10 135 594 021 $,651342218.0,0.0731,0.075018
2023-03-13,9 775 566 938 $,451877721.0,0.071011,0.0731
2023-03-12,9 177 744 509 $,528901129.0,0.06647,0.071011
2023-03-11,9 157 983 427 $,578747651.0,0.066105,0.06647
2023-03-10,9 150 289 480 $,643797733.0,0.066159,0.066105
2023-03-09,9 902 129 716 $,381442502.0,0.071317,0.066159
2023-03-08,10 242 010 007 $,373091394.0,0.074202,0.071317
2023-03-07,10 386 575 436 $,327375362.0,0.075006,0.074202
2023-03-06,10 368 669 833 $,254948707.0,0.074964,0.075006
2023-03-05,10 348 419 227 $,322885409.0,0.074843,0.074964
2023-03-04,10 657 992 316 $,672759002.0,0.077033,0.074843
2023-03-03,11 147 375 823 $,283250052.0,0.080564,0.077033
2023-03-02,11 363 080 013 $,317649870.0,0.082127,0.080564
2023-03-01,11 172 473 928 $,439789857.0,0.080951,0.082127
2023-02-28,11 268 832 305 $,353862834.0,0.081467,0.080951
2023-02-27,11 380 915 238 $,333273164.0,0.082299,0.081467
2023-02-26,11 170 741 555 $,420127974.0,0.080887,0.082299
2023-02-25,11 207 403 283 $,536406521.0,0.081024,0.080887
2023-02-24,11 642 613 958 $,460638467.0,0.084374,0.081024
2023-02-23,11 851 834 270 $,1022368371.0,0.085465,0.084374
2023-02-22,11 787 321 159 $,640964752.0,0.085426,0.085465
2023-02-21,12 177 007 505 $,561841993.0,0.088163,0.085426
2023-02-20,12 051 531 173 $,640757357.0,0.086924,0.088163
2023-02-19,12 300 072 194 $,528974061.0,0.088926,0.086924
2023-02-18,12 132 650 426 $,564836419.0,0.087802,0.088926
2023-02-17,11 770 970 763 $,1090286839.0,0.085292,0.087802
2023-02-16,12 313 840 262 $,1141568616.0,0.089223,0.085292
2023-02-15,11 574 352 108 $,546678836.0,0.08379,0.089223
2023-02-14,11 384 581 665 $,1026995109.0,0.082438,0.08379
2023-02-13,11 361 782 229 $,601012672.0,0.082157,0.082438
2023-02-12,11 399 795 817 $,320110939.0,0.082496,0.082157
2023-02-11,11 233 854 727 $,678395608.0,0.081296,0.082496
2023-02-10,11 275 570 527 $,1042038184.0,0.08161,0.081296
2023-02-09,12 479 856 710 $,545061812.0,0.090413,0.08161
2023-02-08,12 794 701 928 $,590091624.0,0.092797,0.090413
2023-02-07,12 372 298 654 $,625954709.0,0.089695,0.092797
2023-02-06,12 749 259 827 $,1040228846.0,0.092268,0.089695
2023-02-05,13 238 868 374 $,1480204574.0,0.095749,0.092268
2023-02-04,12 873 643 301 $,746436869.0,0.093202,0.095749
2023-02-03,12 612 886 677 $,1050643814.0,0.091485,0.093202
2023-02-02,13 026 308 149 $,1555755723.0,0.094374,0.091485
2023-02-01,13 260 998 098 $,2150296358.0,0.09645,0.094374
2023-01-31,12 117 040 177 $,1105547968.0,0.088278,0.09645
2023-01-30,12 456 065 692 $,639918205.0,0.090379,0.088278
2023-01-29,12 129 625 117 $,874890208.0,0.088025,0.090379
2023-01-28,12 060 883 629 $,531062209.0,0.087378,0.088025
2023-01-27,11 936 535 129 $,563562892.0,0.086664,0.087378
2023-01-26,11 983 399 576 $,688085210.0,0.087044,0.086664
2023-01-25,11 564 376 184 $,703695713.0,0.08406,0.087044
2023-01-24,12 249 357 530 $,858286766.0,0.088908,0.08406
2023-01-23,12 177 828 761 $,1036054579.0,0.0885,0.088908
2023-01-22,11 666 628 137 $,929640470.0,0.084709,0.0885
2023-01-21,11 923 758 984 $,572892110.0,0.086466,0.084709
2023-01-20,11 269 006 543 $,436877766.0,0.081723,0.086466
2023-01-19,11 067 619 778 $,1370974713.0,0.080369,0.081723
2023-01-18,11 449 270 580 $,460367915.0,0.083081,0.080369
2023-01-17,11 528 291 217 $,723731414.0,0.083685,0.083081
2023-01-16,11 856 733 529 $,681082187.0,0.086136,0.083685
2023-01-15,12 068 323 857 $,1496087122.0,0.087554,0.086136
2023-01-14,11 623 302 623 $,795233433.0,0.084316,0.087554
2023-01-13,11 085 178 368 $,983751658.0,0.08031,0.084316
2023-01-12,10 785 447 879 $,544151469.0,0.078302,0.08031
2023-01-11,10 669 415 550 $,674692125.0,0.077642,0.078302
2023-01-10,10 460 925 447 $,1123978234.0,0.07594,0.077642
2023-01-09,10 112 409 623 $,333651623.0,0.073354,0.07594
2023-01-08,9 950 401 474 $,232768646.0,0.072326,0.073354
2023-01-07,9 990 718 873 $,417136865.0,0.0726,0.072326
2023-01-06,9 842 815 302 $,553994284.0,0.071537,0.0726
2023-01-05,10 031 834 935 $,417433287.0,0.073256,0.071537
2023-01-04,9 697 413 277 $,361190006.0,0.070544,0.073256
2023-01-03,9 837 024 174 $,494743006.0,0.071426,0.070544
2023-01-02,9 642 542 405 $,238805279.0,0.070266,0.071426
2023-01-01,9 675 397 665 $,379761024.0,0.070338,0.070266
2022-12-31,9 407 880 206 $,544951269.0,0.068406,0.070338
2022-12-30,9 782 541 119 $,368430088.0,0.071101,0.068406
2022-12-29,9 666 873 797 $,642446113.0,0.070388,0.071101
2022-12-28,10 121 039 938 $,371085800.0,0.07368,0.070388
2022-12-27,10 392 907 088 $,331696409.0,0.075731,0.07368
2022-12-26,10 436 451 548 $,537921732.0,0.076037,0.075731
2022-12-25,10 690 886 551 $,213562358.0,0.077704,0.076037
2022-12-24,10 615 071 684 $,531061748.0,0.077364,0.077704
2022-12-23,10 594 647 210 $,760263580.0,0.077077,0.077364
2022-12-22,10 126 589 197 $,466317121.0,0.073718,0.077077
2022-12-21,10 303 882 842 $,585663564.0,0.075024,0.073718
2022-12-20,9 830 330 548 $,730295388.0,0.071487,0.075024
2022-12-19,10 851 056 656 $,343265210.0,0.078952,0.071487
2022-12-18,10 907 318 051 $,678472328.0,0.079425,0.078952
2022-12-17,10 433 548 970 $,861530985.0,0.076027,0.079425
2022-12-16,11 617 609 255 $,531350811.0,0.084532,0.076027
2022-12-15,12 154 305 343 $,720250506.0,0.088543,0.084532
2022-12-14,12 499 023 448 $,990240811.0,0.091049,0.088543
2022-12-13,12 407 843 289 $,1005013159.0,0.090432,0.091049
2022-12-12,12 754 643 415 $,395111312.0,0.093035,0.090432
2022-12-11,13 219 648 676 $,310835329.0,0.096491,0.093035
