Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,2 534 558 081 $,60668179.0,17.95,N/A
2023-05-21,2 587 233 203 $,35866649.0,18.31,17.95
2023-05-20,2 584 228 142 $,35782153.0,18.31,18.31
2023-05-19,2 591 181 116 $,76314655.0,18.34,18.31
2023-05-18,2 618 131 256 $,73091990.0,18.54,18.34
2023-05-17,2 577 528 908 $,69366978.0,18.28,18.54
2023-05-16,2 585 162 446 $,84477345.0,18.35,18.28
2023-05-15,2 553 186 339 $,52015891.0,18.12,18.35
2023-05-14,2 563 675 307 $,62355070.0,18.15,18.12
2023-05-13,2 572 052 464 $,83395467.0,18.23,18.15
2023-05-12,2 555 103 469 $,97975214.0,18.14,18.23
2023-05-11,2 659 006 004 $,116276249.0,18.87,18.14
2023-05-10,2 635 253 913 $,100551790.0,18.73,18.87
2023-05-09,2 574 314 436 $,114959326.0,18.3,18.73
2023-05-08,2 650 141 256 $,58230123.0,18.85,18.3
2023-05-07,2 672 232 434 $,80718173.0,18.99,18.85
2023-05-06,2 767 752 538 $,74627525.0,19.63,18.99
2023-05-05,2 716 298 049 $,64780084.0,19.28,19.63
2023-05-04,2 747 543 249 $,99349102.0,19.55,19.28
2023-05-03,2 710 374 876 $,72407756.0,19.25,19.55
2023-05-02,2 702 701 422 $,90246653.0,19.22,19.25
2023-05-01,2 745 766 359 $,73472907.0,19.51,19.22
2023-04-30,2 782 519 956 $,64386183.0,19.77,19.51
2023-04-29,2 783 764 364 $,154328838.0,19.79,19.77
2023-04-28,2 789 431 751 $,557551764.0,19.85,19.79
2023-04-27,2 719 212 217 $,169578312.0,19.34,19.85
2023-04-26,2 775 440 913 $,105074907.0,19.81,19.34
2023-04-25,2 721 755 894 $,107684278.0,19.43,19.81
2023-04-24,2 758 860 181 $,117098455.0,19.73,19.43
2023-04-23,2 846 964 686 $,178604303.0,20.26,19.73
2023-04-22,2 714 222 238 $,146253777.0,19.34,20.26
2023-04-21,2 819 568 154 $,145987822.0,20.07,19.34
2023-04-20,2 857 197 068 $,216821155.0,20.32,20.07
2023-04-19,3 077 312 768 $,129123770.0,21.88,20.32
2023-04-18,3 046 343 946 $,170790947.0,21.71,21.88
2023-04-17,3 124 597 458 $,143010005.0,22.26,21.71
2023-04-16,3 110 219 864 $,117416289.0,22.11,22.26
2023-04-15,3 150 654 874 $,308137724.0,22.44,22.11
2023-04-14,3 152 356 487 $,211187021.0,22.45,22.44
2023-04-13,3 099 933 762 $,461309445.0,22.04,22.45
2023-04-12,3 023 728 114 $,254230420.0,21.52,22.04
2023-04-11,2 944 476 062 $,113625711.0,20.96,21.52
2023-04-10,2 890 132 300 $,97678196.0,20.57,20.96
2023-04-09,2 860 619 258 $,73248204.0,20.37,20.57
2023-04-08,2 877 364 991 $,92995586.0,20.5,20.37
2023-04-07,2 908 546 374 $,131413644.0,20.71,20.5
2023-04-06,2 972 033 409 $,182556271.0,21.16,20.71
2023-04-05,2 967 079 953 $,208959327.0,21.14,21.16
2023-04-04,2 908 270 640 $,163742767.0,20.7,21.14
2023-04-03,2 867 054 558 $,144425466.0,20.46,20.7
2023-04-02,2 985 182 964 $,154021901.0,21.27,20.46
2023-04-01,2 914 366 614 $,135545822.0,20.78,21.27
2023-03-31,2 843 368 721 $,131951221.0,20.29,20.78
2023-03-30,2 898 151 970 $,132900867.0,20.66,20.29
2023-03-29,2 827 809 091 $,130990236.0,20.2,20.66
2023-03-28,2 757 930 422 $,135523485.0,19.73,20.2
2023-03-27,2 862 822 701 $,108196538.0,20.36,19.73
2023-03-26,2 821 783 360 $,132224033.0,20.14,20.36
2023-03-25,2 843 573 289 $,143940455.0,20.19,20.14
2023-03-24,2 928 113 286 $,150383733.0,20.92,20.19
2023-03-23,2 829 262 246 $,218599662.0,20.21,20.92
2023-03-22,2 946 531 845 $,201812189.0,21.06,20.21
2023-03-21,2 757 551 584 $,242630656.0,19.62,21.06
2023-03-20,3 004 524 258 $,283735848.0,21.35,19.62
2023-03-19,2 926 554 333 $,544755988.0,20.93,21.35
2023-03-18,2 846 910 775 $,181384776.0,20.38,20.93
2023-03-17,2 644 377 902 $,136052094.0,18.88,20.38
2023-03-16,2 586 034 189 $,221563063.0,18.48,18.88
2023-03-15,2 839 741 403 $,306484159.0,20.28,18.48
2023-03-14,2 739 903 399 $,332545542.0,19.56,20.28
2023-03-13,2 619 912 526 $,164197505.0,18.8,19.56
2023-03-12,2 397 277 532 $,162906775.0,17.19,18.8
2023-03-11,2 441 440 022 $,189666382.0,17.41,17.19
2023-03-10,2 380 475 401 $,140207059.0,17.09,17.41
2023-03-09,2 560 068 921 $,114843252.0,18.26,17.09
2023-03-08,2 681 866 637 $,101958145.0,19.23,18.26
2023-03-07,2 748 754 618 $,133364930.0,19.67,19.23
2023-03-06,2 759 388 811 $,94548774.0,19.79,19.67
2023-03-05,2 789 087 966 $,101901314.0,19.95,19.79
2023-03-04,2 829 632 267 $,171621444.0,20.32,19.95
2023-03-03,2 945 761 586 $,117240125.0,21.09,20.32
2023-03-02,2 971 209 174 $,118149297.0,21.26,21.09
2023-03-01,2 892 155 515 $,112952595.0,20.75,21.26
2023-02-28,2 978 627 988 $,128063005.0,21.31,20.75
2023-02-27,2 988 558 377 $,114556863.0,21.41,21.31
2023-02-26,2 928 085 787 $,120121741.0,20.99,21.41
2023-02-25,2 945 663 590 $,141717508.0,21.11,20.99
2023-02-24,3 078 461 713 $,171519882.0,22.17,21.11
2023-02-23,3 133 198 054 $,252363926.0,22.46,22.17
2023-02-22,3 163 395 408 $,604929327.0,22.78,22.46
2023-02-21,3 230 566 688 $,248349241.0,23.13,22.78
2023-02-20,3 146 222 553 $,300101636.0,22.49,23.13
2023-02-19,3 153 287 665 $,239797614.0,22.63,22.49
2023-02-18,3 128 894 184 $,231026211.0,22.43,22.63
2023-02-17,2 982 964 241 $,266668712.0,21.47,22.43
2023-02-16,3 121 687 087 $,213271723.0,22.46,21.47
2023-02-15,2 956 967 720 $,133516974.0,21.25,22.46
2023-02-14,2 877 824 812 $,164481111.0,20.66,21.25
2023-02-13,2 931 928 825 $,118317118.0,21.03,20.66
2023-02-12,2 994 814 554 $,124356199.0,21.51,21.03
2023-02-11,2 931 044 276 $,167769829.0,21.03,21.51
2023-02-10,2 909 203 175 $,252687764.0,20.89,21.03
2023-02-09,3 148 971 450 $,186113124.0,22.63,20.89
2023-02-08,3 238 299 429 $,196537714.0,23.21,22.63
2023-02-07,3 077 526 100 $,174967250.0,22.15,23.21
2023-02-06,3 189 264 871 $,271123241.0,22.91,22.15
2023-02-05,3 321 087 469 $,515027816.0,23.88,22.91
2023-02-04,3 234 224 426 $,523876853.0,23.23,23.88
2023-02-03,3 126 758 462 $,332185878.0,22.47,23.23
2023-02-02,3 115 038 797 $,179153162.0,22.38,22.47
2023-02-01,3 024 329 378 $,148865458.0,21.75,22.38
2023-01-31,2 968 480 173 $,272070920.0,21.38,21.75
2023-01-30,3 165 777 959 $,198148722.0,22.8,21.38
2023-01-29,3 018 681 496 $,129847575.0,21.73,22.8
2023-01-28,3 063 134 575 $,132340730.0,22.02,21.73
2023-01-27,3 057 039 860 $,190776028.0,21.97,22.02
2023-01-26,3 046 027 070 $,195467689.0,21.93,21.97
2023-01-25,2 936 624 528 $,179577732.0,21.17,21.93
2023-01-24,3 166 767 067 $,325687514.0,22.82,21.17
2023-01-23,3 134 761 788 $,251485856.0,22.58,22.82
2023-01-22,3 041 694 583 $,233185114.0,21.82,22.58
2023-01-21,3 126 837 670 $,197404258.0,22.52,21.82
2023-01-20,2 879 973 642 $,160693277.0,20.71,22.52
2023-01-19,2 844 552 503 $,301619526.0,20.48,20.71
2023-01-18,3 045 269 046 $,261928007.0,21.92,20.48
2023-01-17,3 038 287 763 $,252749411.0,21.89,21.92
2023-01-16,3 115 064 113 $,266729873.0,22.43,21.89
2023-01-15,3 138 777 328 $,637863720.0,22.59,22.43
2023-01-14,2 999 160 287 $,369658778.0,21.63,22.59
2023-01-13,2 916 827 765 $,384190498.0,20.96,21.63
2023-01-12,2 848 223 650 $,223767773.0,20.58,20.96
2023-01-11,2 802 510 674 $,226150496.0,20.26,20.58
2023-01-10,2 796 775 729 $,357047555.0,20.15,20.26
2023-01-09,2 813 984 152 $,291530494.0,20.38,20.15
2023-01-08,2 780 761 061 $,204370289.0,20.04,20.38
2023-01-07,2 843 215 435 $,328916764.0,20.48,20.04
2023-01-06,2 532 922 853 $,396319253.0,18.24,20.48
2023-01-05,2 658 385 809 $,607990008.0,19.23,18.24
2023-01-04,2 207 922 349 $,89758774.0,15.91,19.23
2023-01-03,2 237 341 203 $,93235274.0,16.13,15.91
2023-01-02,2 188 523 522 $,51959112.0,15.77,16.13
2023-01-01,2 180 675 909 $,70228586.0,15.72,15.77
2022-12-31,2 160 030 315 $,94448704.0,15.56,15.72
2022-12-30,2 189 571 086 $,135744831.0,15.79,15.56
2022-12-29,2 095 129 784 $,110742899.0,15.11,15.79
2022-12-28,2 196 349 806 $,83899578.0,15.85,15.11
2022-12-27,2 252 202 117 $,86700788.0,16.26,15.85
2022-12-26,2 243 750 618 $,88656293.0,16.2,16.26
2022-12-25,2 285 210 688 $,52492718.0,16.48,16.2
2022-12-24,2 275 170 565 $,105055241.0,16.43,16.48
2022-12-23,2 285 090 865 $,135625953.0,16.52,16.43
2022-12-22,2 304 560 293 $,151657099.0,16.66,16.52
2022-12-21,2 213 519 097 $,97647758.0,15.99,16.66
2022-12-20,2 103 193 225 $,108346489.0,15.2,15.99
2022-12-19,2 218 010 500 $,60140094.0,15.98,15.2
2022-12-18,2 249 044 364 $,117894858.0,16.25,15.98
2022-12-17,2 198 606 700 $,133794183.0,15.96,16.25
2022-12-16,2 507 154 243 $,96214310.0,18.11,15.96
2022-12-15,2 604 891 692 $,110581389.0,18.8,18.11
2022-12-14,2 674 536 761 $,159535495.0,19.29,18.8
2022-12-13,2 569 330 838 $,98298963.0,18.58,19.29
2022-12-12,2 620 422 048 $,66405151.0,18.96,18.58
2022-12-11,2 649 653 249 $,70613356.0,19.16,18.96
2022-12-10,2 656 372 165 $,88495179.0,19.21,19.16
2022-12-09,2 654 381 039 $,86951286.0,19.19,19.21
2022-12-08,2 595 070 213 $,89107303.0,18.76,19.19
2022-12-07,2 705 175 899 $,67373536.0,19.58,18.76
2022-12-06,2 699 505 726 $,120422361.0,19.52,19.58
2022-12-05,2 706 648 532 $,85429511.0,19.59,19.52
2022-12-04,2 679 178 159 $,93529892.0,19.32,19.59
2022-12-03,2 750 979 544 $,108848265.0,19.92,19.32
