Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,217 302 257 174 $,3835867355.0,1804.93,N/A
2023-05-21,218 770 214 155 $,3117917206.0,1818.97,1804.93
2023-05-20,218 083 824 882 $,5092669092.0,1812.13,1818.97
2023-05-19,217 078 808 864 $,6170212643.0,1802.39,1812.13
2023-05-18,219 124 262 711 $,6647945218.0,1821.05,1802.39
2023-05-17,219 562 064 258 $,6283428507.0,1823.66,1821.05
2023-05-16,218 513 683 684 $,7655256291.0,1820.04,1823.66
2023-05-15,216 439 514 892 $,4914907456.0,1799.01,1820.04
2023-05-14,216 032 102 440 $,5150212384.0,1797.2,1799.01
2023-05-13,217 659 652 942 $,10530874714.0,1808.69,1797.2
2023-05-12,216 323 022 929 $,9217787396.0,1798.07,1808.69
2023-05-11,221 632 027 137 $,10471130833.0,1842.87,1798.07
2023-05-10,222 246 427 487 $,6373057170.0,1846.06,1842.87
2023-05-09,222 406 833 248 $,11496171818.0,1849.29,1846.06
2023-05-08,228 246 618 295 $,6233921635.0,1895.23,1849.29
2023-05-07,228 369 002 904 $,11135926723.0,1900.41,1895.23
2023-05-06,239 911 504 424 $,10662067256.0,1993.61,1900.41
2023-05-05,226 033 834 100 $,7156399181.0,1877.4,1993.61
2023-05-04,229 058 202 737 $,8855867549.0,1903.73,1877.4
2023-05-03,225 192 198 744 $,8338110888.0,1870.83,1903.73
2023-05-02,220 608 989 108 $,9673378164.0,1832.73,1870.83
2023-05-01,227 186 562 479 $,7328083479.0,1885.39,1832.73
2023-04-30,229 429 843 510 $,5262009753.0,1905.27,1885.39
2023-04-29,228 152 292 773 $,8853391784.0,1894.43,1905.27
2023-04-28,229 940 294 581 $,17307261171.0,1910.46,1894.43
2023-04-27,224 807 445 929 $,16137081936.0,1867.59,1910.46
2023-04-26,225 096 171 582 $,9669740944.0,1870.57,1867.59
2023-04-25,221 819 334 333 $,9177916724.0,1842.63,1870.57
2023-04-24,224 130 103 075 $,7375382210.0,1863.64,1842.63
2023-04-23,226 130 094 816 $,7809497063.0,1877.54,1863.64
2023-04-22,222 536 195 564 $,13427480066.0,1850.15,1877.54
2023-04-21,233 965 107 543 $,12422352272.0,1943.44,1850.15
2023-04-20,231 458 322 404 $,15695628542.0,1936.43,1943.44
2023-04-19,251 100 187 596 $,10121134598.0,2103.28,1936.43
2023-04-18,247 900 016 291 $,10818847582.0,2077.54,2103.28
2023-04-17,253 507 799 906 $,8879608634.0,2118.6,2077.54
2023-04-16,251 586 840 870 $,9272832786.0,2093.17,2118.6
2023-04-15,252 719 453 976 $,17899705467.0,2102.95,2093.17
2023-04-14,242 284 529 486 $,13956404023.0,2012.79,2102.95
2023-04-13,231 476 399 969 $,13152150835.0,1920.22,2012.79
2023-04-12,227 988 460 703 $,10245367684.0,1892.94,1920.22
2023-04-11,230 201 702 661 $,9639736046.0,1909.88,1892.94
2023-04-10,224 219 517 644 $,7405572879.0,1859.94,1909.88
2023-04-09,223 169 245 107 $,5970294475.0,1851.05,1859.94
2023-04-08,224 884 695 655 $,9298216041.0,1866.66,1851.05
2023-04-07,225 549 620 779 $,9208408844.0,1872.25,1866.66
2023-04-06,230 370 056 366 $,11586484697.0,1911.34,1872.25
2023-04-05,225 257 854 356 $,11580514458.0,1871.33,1911.34
2023-04-04,218 499 091 538 $,11141583996.0,1810.47,1871.33
2023-04-03,216 494 189 054 $,6679784660.0,1797.74,1810.47
2023-04-02,219 561 711 559 $,6199278060.0,1823.0,1797.74
2023-04-01,219 903 281 108 $,10329452627.0,1824.02,1823.0
2023-03-31,216 024 475 834 $,10958214915.0,1792.91,1824.02
2023-03-30,216 268 184 817 $,10395388839.0,1795.54,1792.91
2023-03-29,213 909 228 255 $,9548011564.0,1776.04,1795.54
2023-03-28,206 685 090 341 $,9757415238.0,1719.17,1776.04
2023-03-27,214 528 709 137 $,8417258785.0,1776.87,1719.17
2023-03-26,211 355 889 911 $,8023849174.0,1753.98,1776.87
2023-03-25,212 072 713 258 $,11601017882.0,1751.22,1753.98
2023-03-24,219 518 418 514 $,10980967035.0,1824.96,1751.22
2023-03-23,210 285 658 211 $,13820716100.0,1747.64,1824.96
2023-03-22,218 008 486 914 $,10831022955.0,1811.41,1747.64
2023-03-21,209 763 828 560 $,12973595973.0,1744.44,1811.41
2023-03-20,217 844 457 988 $,10745813975.0,1801.37,1744.44
2023-03-19,213 123 927 233 $,11976182095.0,1769.43,1801.37
2023-03-18,215 660 560 705 $,14459727611.0,1793.3,1769.43
2023-03-17,202 411 234 958 $,30201930395.0,1679.79,1793.3
2023-03-16,199 607 487 558 $,17257648020.0,1658.07,1679.79
2023-03-15,205 738 833 553 $,19833762798.0,1708.3,1658.07
2023-03-14,202 294 154 847 $,65211714925.0,1678.92,1708.3
2023-03-13,190 440 681 263 $,13967891188.0,1588.2,1678.92
2023-03-12,176 915 178 456 $,18345198261.0,1474.4,1588.2
2023-03-11,172 474 466 356 $,14696381617.0,1429.6,1474.4
2023-03-10,173 232 609 854 $,10861201441.0,1440.17,1429.6
2023-03-09,185 138 878 803 $,11881879819.0,1535.26,1440.17
2023-03-08,187 945 419 859 $,8523808477.0,1563.81,1535.26
2023-03-07,188 803 304 808 $,6627693314.0,1567.35,1563.81
2023-03-06,188 337 456 156 $,62172854406.0,1563.23,1567.35
2023-03-05,189 002 414 069 $,4800994312.0,1568.5,1563.23
2023-03-04,189 178 795 460 $,11179316252.0,1570.67,1568.5
2023-03-03,198 520 753 674 $,7930395056.0,1647.66,1570.67
2023-03-02,200 476 156 508 $,8672222866.0,1663.93,1647.66
2023-03-01,193 276 888 984 $,6883711562.0,1606.63,1663.93
2023-02-28,197 018 105 507 $,7916573299.0,1633.98,1606.63
2023-02-27,197 696 596 339 $,6357994998.0,1640.58,1633.98
2023-02-26,192 056 375 721 $,6117521125.0,1593.95,1640.58
2023-02-25,193 773 223 390 $,9609840835.0,1608.1,1593.95
2023-02-24,198 619 189 860 $,9698749202.0,1651.85,1608.1
2023-02-23,198 153 971 276 $,9836391622.0,1643.17,1651.85
2023-02-22,199 387 951 962 $,9728814194.0,1656.58,1643.17
2023-02-21,204 900 256 889 $,8435810846.0,1700.2,1656.58
2023-02-20,202 999 098 994 $,7499517187.0,1680.38,1700.2
2023-02-19,203 613 145 994 $,5863446679.0,1692.52,1680.38
2023-02-18,204 534 589 184 $,10807323084.0,1697.08,1692.52
2023-02-17,198 370 400 841 $,13388835215.0,1646.14,1697.08
2023-02-16,201 595 282 287 $,11079231384.0,1674.86,1646.14
2023-02-15,187 619 568 131 $,11723184974.0,1556.96,1674.86
2023-02-14,181 589 830 341 $,11573812956.0,1506.92,1556.96
2023-02-13,182 722 050 131 $,6128794710.0,1515.33,1506.92
2023-02-12,185 826 666 441 $,6070233326.0,1541.97,1515.33
2023-02-11,182 839 491 763 $,9882779900.0,1515.53,1541.97
2023-02-10,186 306 817 307 $,12447757846.0,1546.38,1515.53
2023-02-09,199 107 556 553 $,8766845417.0,1651.41,1546.38
2023-02-08,201 779 050 386 $,9180247306.0,1672.82,1651.41
2023-02-07,194 725 338 782 $,7825100535.0,1617.14,1672.82
2023-02-06,196 817 854 756 $,8211226952.0,1631.37,1617.14
2023-02-05,201 099 652 783 $,6766208820.0,1667.27,1631.37
2023-02-04,200 784 153 460 $,9528083088.0,1665.43,1667.27
2023-02-03,198 613 736 403 $,12542560274.0,1648.68,1665.43
2023-02-02,197 724 834 028 $,9295116916.0,1642.86,1648.68
2023-02-01,191 042 852 121 $,7544090212.0,1586.54,1642.86
2023-01-31,188 787 565 951 $,10977781768.0,1568.65,1586.54
2023-01-30,198 339 307 428 $,10037370816.0,1646.52,1568.65
2023-01-29,189 301 295 262 $,6523949725.0,1573.06,1646.52
2023-01-28,192 677 648 328 $,9593062923.0,1598.47,1573.06
2023-01-27,193 276 131 178 $,10076436860.0,1602.85,1598.47
2023-01-26,194 402 223 993 $,11946053798.0,1614.68,1602.85
2023-01-25,187 270 576 773 $,9078639810.0,1557.06,1614.68
2023-01-24,196 541 663 696 $,9037743838.0,1632.96,1557.06
2023-01-23,196 512 572 594 $,8233555835.0,1630.84,1632.96
