Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,2 208 561 579 $,20104481.0,5.06,N/A
2023-05-21,2 277 077 455 $,14773133.0,5.22,5.06
2023-05-20,2 319 867 514 $,20672802.0,5.31,5.22
2023-05-19,2 308 267 302 $,22593385.0,5.27,5.31
2023-05-18,2 346 313 289 $,23452024.0,5.37,5.27
2023-05-17,2 282 361 937 $,22643201.0,5.23,5.37
2023-05-16,2 291 559 635 $,29966059.0,5.25,5.23
2023-05-15,2 261 606 363 $,25375608.0,5.18,5.25
2023-05-14,2 251 076 199 $,22507884.0,5.14,5.18
2023-05-13,2 281 595 544 $,36024945.0,5.23,5.14
2023-05-12,2 186 210 410 $,51291425.0,5.01,5.23
2023-05-11,2 313 730 624 $,49922691.0,5.3,5.01
2023-05-10,2 304 994 019 $,33444137.0,5.28,5.3
2023-05-09,2 328 623 432 $,77360548.0,5.34,5.28
2023-05-08,2 424 300 806 $,34656995.0,5.57,5.34
2023-05-07,2 432 115 688 $,58832226.0,5.6,5.57
2023-05-06,2 593 107 707 $,65241784.0,5.95,5.6
2023-05-05,2 568 454 474 $,76794924.0,5.89,5.95
2023-05-04,2 573 896 338 $,72014929.0,5.92,5.89
2023-05-03,2 500 176 772 $,64817625.0,5.74,5.92
2023-05-02,2 510 324 041 $,131673763.0,5.77,5.74
2023-05-01,2 812 157 311 $,113807176.0,6.45,5.77
2023-04-30,2 831 036 855 $,178877871.0,6.49,6.45
2023-04-29,2 633 662 380 $,132341833.0,6.05,6.49
2023-04-28,2 498 543 845 $,59943058.0,5.75,6.05
2023-04-27,2 309 416 309 $,71721662.0,5.31,5.75
2023-04-26,2 392 277 900 $,40429704.0,5.49,5.31
2023-04-25,2 341 510 957 $,32856856.0,5.38,5.49
2023-04-24,2 346 696 997 $,34614910.0,5.43,5.38
2023-04-23,2 442 921 423 $,35762664.0,5.63,5.43
2023-04-22,2 396 478 904 $,66774472.0,5.53,5.63
2023-04-21,2 550 105 788 $,77421777.0,5.88,5.53
2023-04-20,2 655 489 322 $,165691093.0,6.11,5.88
2023-04-19,2 948 434 677 $,144137074.0,6.81,6.11
2023-04-18,1 893 715 658 $,99498420.0,6.26,6.81
2023-04-17,1 840 705 128 $,73497536.0,6.08,6.26
2023-04-16,1 796 061 202 $,55004365.0,5.91,6.08
