Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,3 334 480 480 $,390679.0,3.58,N/A
2023-05-21,3 345 947 467 $,93196.0,3.59,3.58
2023-05-20,3 327 009 038 $,268594.0,3.58,3.59
2023-05-19,3 318 729 744 $,180052.0,3.57,3.58
2023-05-18,3 320 830 478 $,200967.0,3.57,3.57
2023-05-17,3 273 156 066 $,211830.0,3.52,3.57
2023-05-16,3 274 084 558 $,324528.0,3.52,3.52
2023-05-15,3 306 852 716 $,151877.0,3.56,3.52
2023-05-14,3 302 617 322 $,234994.0,3.55,3.56
2023-05-13,3 260 161 148 $,299573.0,3.5,3.55
2023-05-12,3 259 670 312 $,270653.0,3.51,3.5
2023-05-11,3 325 763 050 $,232099.0,3.59,3.51
2023-05-10,3 277 644 197 $,175545.0,3.52,3.59
2023-05-09,3 267 082 018 $,271047.0,3.51,3.52
2023-05-08,3 253 955 364 $,218726.0,3.51,3.51
2023-05-07,3 274 559 734 $,317971.0,3.52,3.51
2023-05-06,3 310 976 842 $,461690.0,3.56,3.52
2023-05-05,3 309 997 417 $,832165.0,3.56,3.56
2023-05-04,3 431 665 723 $,330369.0,3.69,3.56
2023-05-03,3 369 123 424 $,71993.0,3.62,3.69
2023-05-02,3 339 053 211 $,219456.0,3.59,3.62
2023-05-01,3 315 203 250 $,145421.0,3.57,3.59
2023-04-30,3 321 912 318 $,193834.0,3.57,3.57
2023-04-29,3 273 711 000 $,358518.0,3.52,3.57
2023-04-28,3 269 039 689 $,417895.0,3.51,3.52
2023-04-27,3 269 170 514 $,550435.0,3.51,3.51
2023-04-26,3 270 242 151 $,290936.0,3.5,3.51
2023-04-25,3 290 505 249 $,334775.0,3.54,3.5
2023-04-24,3 291 224 153 $,125501.0,3.53,3.54
2023-04-23,3 276 263 694 $,493994.0,3.52,3.53
2023-04-22,3 241 600 198 $,244632.0,3.48,3.52
2023-04-21,3 254 274 430 $,97366.0,3.49,3.48
2023-04-20,3 179 180 085 $,313429.0,3.42,3.49
2023-04-19,3 181 843 605 $,292931.0,3.42,3.42
2023-04-18,3 172 317 218 $,429848.0,3.41,3.42
