Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,11 725 919 600 $,8642175.0,1804.83,N/A
2023-05-21,11 695 399 482 $,9228619.0,1817.27,1804.83
2023-05-20,11 605 359 706 $,8826951.0,1810.85,1817.27
2023-05-19,11 480 347 335 $,12382487.0,1801.31,1810.85
2023-05-18,11 489 676 762 $,15437456.0,1818.59,1801.31
2023-05-17,12 256 809 763 $,9985860.0,1823.45,1818.59
2023-05-16,12 145 434 638 $,7675445.0,1819.79,1823.45
2023-05-15,11 948 616 633 $,21290660.0,1797.79,1819.79
2023-05-14,11 950 104 098 $,8892506.0,1796.06,1797.79
2023-05-13,11 929 855 848 $,38935843.0,1808.25,1796.06
2023-05-12,11 661 345 729 $,19886554.0,1797.14,1808.25
2023-05-11,11 881 654 125 $,32725603.0,1842.41,1797.14
2023-05-10,11 800 817 303 $,28696370.0,1844.61,1842.41
2023-05-09,11 769 538 536 $,25934477.0,1847.71,1844.61
2023-05-08,12 108 195 424 $,5350769.0,1894.94,1847.71
2023-05-07,11 953 614 272 $,11215105.0,1893.43,1894.94
2023-05-06,12 556 138 781 $,8787969.0,1991.8,1893.43
2023-05-05,11 790 412 828 $,18212815.0,1875.38,1991.8
2023-05-04,11 938 348 678 $,14504315.0,1900.62,1875.38
2023-05-03,11 685 156 990 $,6483795.0,1869.96,1900.62
2023-05-02,11 376 872 145 $,21114079.0,1828.89,1869.96
2023-05-01,11 698 972 199 $,9985622.0,1882.68,1828.89
2023-04-30,11 792 497 100 $,20015444.0,1900.73,1882.68
2023-04-29,11 724 232 122 $,11781763.0,1891.41,1900.73
2023-04-28,11 766 701 157 $,38985471.0,1906.17,1891.41
2023-04-27,11 470 403 529 $,15796298.0,1866.39,1906.17
2023-04-26,11 479 034 176 $,48339450.0,1864.76,1866.39
2023-04-25,11 300 896 040 $,11832973.0,1840.53,1864.76
2023-04-24,11 371 268 229 $,11513134.0,1856.71,1840.53
2023-04-23,11 469 074 774 $,29931849.0,1877.34,1856.71
2023-04-22,11 249 014 657 $,33448952.0,1849.09,1877.34
2023-04-21,11 767 567 929 $,43327563.0,1937.5,1849.09
2023-04-20,11 725 315 390 $,26842920.0,1935.05,1937.5
2023-04-19,12 709 993 968 $,19761123.0,2104.17,1935.05
2023-04-18,12 469 818 927 $,21927715.0,2071.28,2104.17
2023-04-17,12 812 624 731 $,41377574.0,2134.41,2071.28
2023-04-16,12 483 284 477 $,16401761.0,2087.29,2134.41
2023-04-15,12 513 832 146 $,36874342.0,2097.54,2087.29
2023-04-14,11 951 703 954 $,73017717.0,2010.66,2097.54
2023-04-13,11 364 794 960 $,56852459.0,1913.02,2010.66
2023-04-12,11 209 393 475 $,31821270.0,1887.83,1913.02
2023-04-11,11 271 046 816 $,9021392.0,1897.56,1887.83
2023-04-10,11 013 539 882 $,39903696.0,1852.25,1897.56
2023-04-09,10 937 016 951 $,22949055.0,1845.1,1852.25
2023-04-08,10 995 625 862 $,6338230.0,1856.48,1845.1
2023-04-07,11 046 114 125 $,20255932.0,1865.74,1856.48
2023-04-06,11 283 644 132 $,25556160.0,1905.73,1865.74
2023-04-05,11 026 189 921 $,32511896.0,1867.16,1905.73
2023-04-04,10 676 877 710 $,34873270.0,1806.83,1867.16
2023-04-03,10 558 499 830 $,7915934.0,1790.21,1806.83
2023-04-02,10 718 411 592 $,11485372.0,1817.02,1790.21
2023-04-01,10 743 770 851 $,20932347.0,1820.92,1817.02
2023-03-31,10 521 015 670 $,7691714.0,1788.15,1820.92
2023-03-30,10 540 846 770 $,16534841.0,1791.24,1788.15
2023-03-29,10 418 504 829 $,15466221.0,1772.89,1791.24
2023-03-28,10 054 616 129 $,19961004.0,1713.86,1772.89
2023-03-27,10 426 865 074 $,13587379.0,1770.83,1713.86
2023-03-26,10 265 093 242 $,25286137.0,1752.14,1770.83
2023-03-25,10 285 141 934 $,16896721.0,1746.33,1752.14
2023-03-24,10 650 533 354 $,22569671.0,1813.04,1746.33
2023-03-23,10 187 570 783 $,37240136.0,1743.27,1813.04
2023-03-22,10 546 361 031 $,39059388.0,1807.84,1743.27
2023-03-21,10 174 267 843 $,147123579.0,1741.56,1807.84
2023-03-20,10 520 226 671 $,42098709.0,1804.18,1741.56
2023-03-19,10 287 145 156 $,59921283.0,1763.44,1804.18
2023-03-18,10 375 189 868 $,90824114.0,1787.1,1763.44
2023-03-17,9 725 553 550 $,55946310.0,1676.02,1787.1
2023-03-16,9 598 538 695 $,54467851.0,1655.48,1676.02
2023-03-15,9 864 072 285 $,65162432.0,1699.91,1655.48
2023-03-14,9 683 097 048 $,467352727.0,1672.69,1699.91
2023-03-13,9 112 545 401 $,127441961.0,1579.95,1672.69
2023-03-12,8 438 252 720 $,218455720.0,1460.07,1579.95
2023-03-11,8 232 889 949 $,35543205.0,1428.44,1460.07
2023-03-10,8 284 845 483 $,7190228.0,1438.95,1428.44
2023-03-09,8 799 646 983 $,14414005.0,1534.09,1438.95
2023-03-08,8 930 510 585 $,11425790.0,1562.88,1534.09
2023-03-07,8 961 983 356 $,11982216.0,1566.2,1562.88
2023-03-06,8 937 685 122 $,6008757.0,1563.39,1566.2
2023-03-05,8 952 583 123 $,9984956.0,1566.62,1563.39
2023-03-04,8 950 176 644 $,20167819.0,1568.09,1566.62
2023-03-03,9 378 087 211 $,23301712.0,1647.35,1568.09
2023-03-02,9 431 613 078 $,15321246.0,1662.29,1647.35
2023-03-01,9 092 602 387 $,13805884.0,1603.77,1662.29
2023-02-28,9 213 179 805 $,53429460.0,1632.95,1603.77
2023-02-27,8 959 113 585 $,45607770.0,1639.41,1632.95
2023-02-26,8 604 492 272 $,14494211.0,1592.06,1639.41
2023-02-25,8 366 784 564 $,23339806.0,1605.81,1592.06
2023-02-24,8 563 416 096 $,33579641.0,1647.29,1605.81
2023-02-23,8 537 971 362 $,39262318.0,1639.51,1647.29
2023-02-22,8 564 849 763 $,60848716.0,1653.48,1639.51
2023-02-21,8 782 834 580 $,28319664.0,1697.61,1653.48
2023-02-20,8 690 397 836 $,15877309.0,1677.63,1697.61
