Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,6 742 695 285 $,391870823.0,92.34,N/A
2023-05-21,6 734 871 526 $,319258522.0,92.3,92.34
2023-05-20,6 695 924 471 $,591249665.0,91.75,92.3
2023-05-19,6 616 126 091 $,684657004.0,90.51,91.75
2023-05-18,6 847 022 232 $,1113068092.0,93.78,90.51
2023-05-17,6 572 705 511 $,893622009.0,90.01,93.78
2023-05-16,6 363 777 766 $,843612280.0,87.17,90.01
2023-05-15,6 078 720 374 $,413559474.0,83.36,87.17
2023-05-14,5 857 287 638 $,302597796.0,80.21,83.36
2023-05-13,5 874 387 031 $,553394526.0,80.57,80.21
2023-05-12,5 896 694 985 $,621320389.0,81.15,80.57
2023-05-11,5 912 695 277 $,583912362.0,81.14,81.15
2023-05-10,5 825 752 954 $,479198117.0,79.91,81.14
2023-05-09,5 674 749 050 $,742434141.0,77.88,79.91
2023-05-08,6 098 941 070 $,337948118.0,83.82,77.88
2023-05-07,6 076 180 090 $,606010674.0,83.49,83.82
2023-05-06,6 468 403 353 $,400542488.0,88.7,83.49
2023-05-05,6 451 113 671 $,298992289.0,88.49,88.7
2023-05-04,6 464 190 195 $,462830465.0,88.79,88.49
2023-05-03,6 429 515 649 $,395779741.0,88.31,88.79
2023-05-02,6 312 960 585 $,468021055.0,86.76,88.31
2023-05-01,6 463 261 911 $,337656729.0,88.72,86.76
2023-04-30,6 626 734 447 $,317673031.0,91.0,88.72
2023-04-29,6 533 495 262 $,399484804.0,89.71,91.0
2023-04-28,6 525 091 038 $,1184528817.0,89.71,89.71
2023-04-27,6 411 631 790 $,784021558.0,88.1,89.71
2023-04-26,6 632 435 526 $,619853760.0,91.23,88.1
2023-04-25,6 437 871 832 $,526411432.0,88.37,91.23
2023-04-24,6 314 904 090 $,370807140.0,86.88,88.37
2023-04-23,6 343 229 571 $,359742750.0,87.16,86.88
2023-04-22,6 219 487 302 $,642267569.0,85.48,87.16
2023-04-21,6 559 647 089 $,751894046.0,90.23,85.48
2023-04-20,6 562 601 344 $,931659228.0,90.14,90.23
2023-04-19,7 406 400 941 $,683306927.0,101.82,90.14
2023-04-18,7 166 634 167 $,672641765.0,98.68,101.82
2023-04-17,7 283 209 649 $,774616026.0,100.22,98.68
2023-04-16,7 051 092 680 $,411960403.0,96.85,100.22
2023-04-15,7 008 366 761 $,811440883.0,96.38,96.85
2023-04-14,6 847 116 786 $,499365714.0,94.25,96.38
2023-04-13,6 708 437 560 $,590938072.0,92.16,94.25
2023-04-12,6 845 490 745 $,638006797.0,94.24,92.16
2023-04-11,6 827 359 570 $,540016856.0,93.83,94.24
2023-04-10,6 594 419 487 $,345416673.0,90.68,93.83
2023-04-09,6 548 626 468 $,355830883.0,90.0,90.68
2023-04-08,6 582 863 768 $,368224075.0,90.6,90.0
2023-04-07,6 607 090 347 $,422657972.0,90.92,90.6
2023-04-06,6 734 473 839 $,580032754.0,92.69,90.92
2023-04-05,6 717 669 062 $,487215348.0,92.53,92.69
2023-04-04,6 772 692 905 $,763903958.0,93.03,92.53
2023-04-03,6 761 846 008 $,582729767.0,93.12,93.03
2023-04-02,6 733 719 658 $,634242630.0,92.68,93.12
2023-04-01,6 521 042 697 $,454574377.0,89.71,92.68
2023-03-31,6 461 977 207 $,645592545.0,89.12,89.71
2023-03-30,6 635 043 827 $,591449142.0,91.46,89.12
2023-03-29,6 476 470 386 $,635064211.0,89.23,91.46
2023-03-28,6 479 374 450 $,622403495.0,89.43,89.23
2023-03-27,6 807 326 099 $,658758732.0,93.59,89.43
2023-03-26,6 679 568 261 $,675426904.0,92.04,93.59
2023-03-25,6 801 777 109 $,1083559165.0,93.58,92.04
2023-03-24,6 806 935 522 $,1066675262.0,94.12,93.58
2023-03-23,6 369 726 693 $,1073781811.0,87.86,94.12
2023-03-22,6 014 515 508 $,578120962.0,82.98,87.86
2023-03-21,5 716 160 613 $,669354486.0,78.65,82.98
2023-03-20,6 189 066 428 $,551913905.0,85.02,78.65
2023-03-19,6 024 350 468 $,710145092.0,83.34,85.02
2023-03-18,6 184 452 956 $,696702247.0,85.6,83.34
2023-03-17,5 767 644 686 $,607699772.0,79.43,85.6
2023-03-16,5 548 847 719 $,891315313.0,76.61,79.43
2023-03-15,6 134 642 213 $,965041163.0,84.34,76.61
2023-03-14,5 925 182 832 $,1508823436.0,81.7,84.34
2023-03-13,5 498 982 353 $,861329606.0,76.09,81.7
2023-03-12,4 997 759 499 $,1157152711.0,69.29,76.09
2023-03-11,5 206 902 439 $,1111620949.0,71.76,69.29
2023-03-10,5 546 208 841 $,728020193.0,76.71,71.76
2023-03-09,6 016 699 009 $,517823113.0,82.83,76.71
2023-03-08,6 240 122 255 $,554658679.0,86.36,82.83
2023-03-07,6 326 379 895 $,509655232.0,87.41,86.36
2023-03-06,6 508 076 597 $,339580674.0,89.98,87.41
2023-03-05,6 460 522 636 $,356142563.0,89.29,89.98
2023-03-04,6 556 118 053 $,700671967.0,90.58,89.29
2023-03-03,6 897 806 522 $,497328068.0,95.28,90.58
2023-03-02,7 080 227 570 $,558455262.0,97.78,95.28
2023-03-01,6 771 528 858 $,426852108.0,93.73,97.78
2023-02-28,6 809 480 416 $,438749638.0,94.04,93.73
2023-02-27,6 890 752 615 $,401183564.0,95.17,94.04
2023-02-26,6 747 966 214 $,436380371.0,93.17,95.17
2023-02-25,6 625 582 896 $,502215123.0,91.53,93.17
2023-02-24,6 840 713 416 $,533091830.0,94.76,91.53
2023-02-23,6 876 243 711 $,757616963.0,95.06,94.76
2023-02-22,6 764 816 733 $,780720670.0,93.69,95.06
2023-02-21,6 929 598 954 $,906826217.0,95.91,93.69
2023-02-20,7 067 878 161 $,589805330.0,97.46,95.91
2023-02-19,7 208 394 509 $,661923878.0,99.69,97.46
2023-02-18,7 261 915 036 $,805649907.0,100.41,99.69
2023-02-17,7 173 481 331 $,814664759.0,99.26,100.41
2023-02-16,7 422 396 329 $,818639922.0,102.83,99.26
2023-02-15,6 910 404 875 $,660935178.0,95.65,102.83
2023-02-14,6 587 497 174 $,756946798.0,91.21,95.65
2023-02-13,6 672 220 827 $,397390628.0,92.32,91.21
2023-02-12,6 830 493 379 $,440384875.0,94.51,92.32
