Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,2 729 119 597 $,45909409.0,150.39,N/A
2023-05-21,2 728 302 189 $,47051094.0,150.34,150.39
2023-05-20,2 732 959 586 $,55433860.0,150.44,150.34
2023-05-19,2 741 332 819 $,62579664.0,150.94,150.44
2023-05-18,2 748 689 605 $,55273723.0,151.42,150.94
2023-05-17,2 752 319 762 $,57167234.0,151.57,151.42
2023-05-16,2 766 832 766 $,54008074.0,152.47,151.57
2023-05-15,2 792 839 215 $,50687496.0,153.88,152.47
2023-05-14,2 782 474 144 $,46382115.0,152.94,153.88
2023-05-13,2 789 381 925 $,72111125.0,153.76,152.94
2023-05-12,2 768 850 528 $,95141616.0,152.59,153.76
2023-05-11,2 786 870 239 $,126069144.0,153.56,152.59
2023-05-10,2 810 377 102 $,115929584.0,154.97,153.56
2023-05-09,2 784 287 443 $,149491325.0,153.34,154.97
2023-05-08,2 842 834 019 $,130898032.0,156.9,153.34
2023-05-07,2 841 455 627 $,143345096.0,156.36,156.9
2023-05-06,2 872 703 066 $,144134720.0,158.07,156.36
2023-05-05,2 820 479 613 $,102223064.0,155.41,158.07
2023-05-04,2 813 640 929 $,109107994.0,155.06,155.41
2023-05-03,2 767 557 848 $,89065981.0,152.51,155.06
2023-05-02,2 767 986 051 $,106728008.0,152.59,152.51
2023-05-01,2 841 844 173 $,70207719.0,156.65,152.59
2023-04-30,2 804 430 437 $,76585439.0,154.51,156.65
2023-04-29,2 778 398 414 $,104355560.0,153.32,154.51
2023-04-28,2 794 718 813 $,114328815.0,153.93,153.32
2023-04-27,2 847 052 937 $,138757996.0,156.65,153.93
2023-04-26,2 897 412 359 $,101055766.0,159.99,156.65
2023-04-25,2 860 200 480 $,97691147.0,157.38,159.99
2023-04-24,2 848 886 846 $,97042260.0,157.16,157.38
2023-04-23,2 857 421 258 $,75966805.0,157.45,157.16
2023-04-22,2 738 817 477 $,94023173.0,151.0,157.45
2023-04-21,2 787 975 785 $,88707134.0,153.6,151.0
2023-04-20,2 781 527 902 $,108061533.0,152.76,153.6
2023-04-19,2 950 881 249 $,85308641.0,162.67,152.76
2023-04-18,2 894 723 923 $,91098011.0,159.58,162.67
2023-04-17,2 967 829 489 $,68097989.0,163.52,159.58
2023-04-16,2 951 188 262 $,91578122.0,162.51,163.52
2023-04-15,2 938 610 237 $,101021008.0,161.92,162.51
2023-04-14,2 939 821 843 $,91626756.0,162.03,161.92
2023-04-13,2 946 914 163 $,110738443.0,162.31,162.03
2023-04-12,2 940 705 014 $,105950683.0,162.01,162.31
2023-04-11,2 888 321 728 $,126987983.0,159.15,162.01
2023-04-10,2 912 507 128 $,74183203.0,160.38,159.15
2023-04-09,2 876 012 566 $,85461688.0,158.44,160.38
2023-04-08,2 847 222 425 $,82000695.0,156.92,158.44
2023-04-07,2 841 862 993 $,80166732.0,156.49,156.92
2023-04-06,2 871 649 563 $,85436140.0,158.11,156.49
2023-04-05,2 878 762 437 $,88640924.0,158.78,158.11
2023-04-04,2 851 432 718 $,102312534.0,156.74,158.78
2023-04-03,2 916 796 466 $,82756833.0,160.69,156.74
2023-04-02,2 846 827 799 $,64005797.0,156.92,160.69
2023-04-01,2 868 251 848 $,92466118.0,157.8,156.92
2023-03-31,2 818 964 963 $,124476462.0,155.43,157.8
2023-03-30,2 892 981 190 $,101493797.0,159.31,155.43
2023-03-29,2 801 128 126 $,99109110.0,154.32,159.31
2023-03-28,2 757 590 469 $,130263749.0,152.31,154.32
