Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,2 743 018 449 $,3492903.0,45.69,N/A
2023-05-21,2 755 948 751 $,3759990.0,45.94,45.69
2023-05-20,2 738 943 636 $,4893085.0,45.64,45.94
2023-05-19,2 738 276 683 $,4452278.0,45.63,45.64
2023-05-18,2 767 755 686 $,5571140.0,46.1,45.63
2023-05-17,2 762 697 689 $,7179872.0,46.01,46.1
2023-05-16,2 784 579 250 $,9813642.0,46.46,46.01
2023-05-15,2 715 560 932 $,3683033.0,45.27,46.46
2023-05-14,2 692 743 048 $,5480428.0,44.76,45.27
2023-05-13,2 661 469 005 $,7750854.0,44.39,44.76
2023-05-12,2 650 864 375 $,5831002.0,44.2,44.39
2023-05-11,2 712 173 670 $,9099179.0,45.13,44.2
2023-05-10,2 689 685 920 $,12730421.0,44.84,45.13
2023-05-09,2 639 814 308 $,11112452.0,44.0,44.84
2023-05-08,2 711 451 564 $,5289119.0,45.4,44.0
2023-05-07,2 724 217 356 $,9655981.0,45.44,45.4
2023-05-06,2 798 201 574 $,12628925.0,46.61,45.44
2023-05-05,2 801 984 402 $,6380943.0,46.67,46.61
2023-05-04,2 812 004 105 $,12049715.0,46.87,46.67
2023-05-03,2 782 151 807 $,6529842.0,46.37,46.87
2023-05-02,2 773 431 429 $,9536542.0,46.31,46.37
2023-05-01,2 828 239 621 $,10426444.0,47.17,46.31
2023-04-30,2 859 863 952 $,5464343.0,47.68,47.17
2023-04-29,2 859 383 118 $,9741230.0,47.64,47.68
2023-04-28,2 867 785 947 $,14841465.0,47.86,47.64
2023-04-27,2 867 733 926 $,28846852.0,47.89,47.86
2023-04-26,2 838 258 728 $,27930288.0,47.36,47.89
2023-04-25,2 750 473 127 $,80583057.0,45.71,47.36
2023-04-24,2 762 398 616 $,49960132.0,46.29,45.71
2023-04-23,2 886 509 596 $,52929886.0,48.14,46.29
2023-04-22,2 894 392 719 $,56028063.0,48.29,48.14
2023-04-21,3 207 711 762 $,68164433.0,53.48,48.29
2023-04-20,3 163 704 350 $,132036564.0,52.72,53.48
2023-04-19,3 292 751 015 $,61196259.0,54.81,52.72
2023-04-18,3 148 545 443 $,55143796.0,52.32,54.81
2023-04-17,3 185 214 661 $,62065489.0,53.16,52.32
2023-04-16,3 365 805 110 $,162377766.0,55.8,53.16
2023-04-15,3 017 586 732 $,55997241.0,49.85,55.8
2023-04-14,2 609 502 141 $,11241883.0,43.49,49.85
2023-04-13,2 542 481 247 $,12107058.0,42.38,43.49
2023-04-12,2 560 443 856 $,18016529.0,42.67,42.38
2023-04-11,2 574 662 057 $,17193639.0,42.89,42.67
2023-04-10,2 487 317 073 $,7905229.0,41.42,42.89
2023-04-09,2 483 744 786 $,8033823.0,41.37,41.42
2023-04-08,2 483 734 324 $,9805265.0,41.4,41.37
2023-04-07,2 472 537 574 $,11640831.0,41.19,41.4
2023-04-06,2 522 564 731 $,23404748.0,42.04,41.19
2023-04-05,2 447 482 376 $,19927476.0,40.87,42.04
2023-04-04,2 416 568 326 $,21270041.0,40.22,40.87
2023-04-03,2 492 444 980 $,16256508.0,41.64,40.22
2023-04-02,2 503 041 656 $,16229127.0,41.72,41.64
2023-04-01,2 519 889 736 $,19706946.0,41.99,41.72
2023-03-31,2 513 612 406 $,32509829.0,41.91,41.99
2023-03-30,2 561 501 057 $,38579043.0,42.74,41.91
2023-03-29,2 560 053 130 $,43184151.0,42.7,42.74
2023-03-28,2 554 784 511 $,46360106.0,42.74,42.7
2023-03-27,2 534 152 458 $,30042244.0,42.17,42.74
2023-03-26,2 505 456 314 $,27919101.0,41.81,42.17
2023-03-25,2 554 438 208 $,41059182.0,42.34,41.81
2023-03-24,2 706 768 230 $,40423189.0,45.18,42.34
2023-03-23,2 729 523 587 $,50250884.0,45.68,45.18
2023-03-22,2 727 360 299 $,49281711.0,45.49,45.68
2023-03-21,2 701 900 872 $,53989114.0,44.95,45.49
2023-03-20,2 914 452 641 $,42845191.0,48.35,44.95
2023-03-19,2 876 249 612 $,75540045.0,47.89,48.35
2023-03-18,2 987 157 703 $,65115258.0,49.8,47.89
2023-03-17,2 858 586 087 $,54093541.0,47.7,49.8
2023-03-16,2 847 615 363 $,62937468.0,47.47,47.7
2023-03-15,2 954 832 695 $,84408788.0,49.27,47.47
2023-03-14,2 840 457 632 $,106534685.0,47.33,49.27
2023-03-13,2 526 075 503 $,53374932.0,42.76,47.33
2023-03-12,2 422 645 969 $,65764158.0,40.36,42.76
2023-03-11,2 418 567 649 $,68809784.0,40.32,40.36
