Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,6 514 543 950 $,81457306.0,5.27,N/A
2023-05-21,6 674 722 771 $,82384849.0,5.41,5.27
2023-05-20,6 631 963 805 $,99454894.0,5.37,5.41
2023-05-19,6 597 019 426 $,114165285.0,5.34,5.37
2023-05-18,6 674 879 023 $,114012098.0,5.41,5.34
2023-05-17,6 540 611 307 $,98890907.0,5.3,5.41
2023-05-16,6 572 863 587 $,109157885.0,5.33,5.3
2023-05-15,6 595 093 848 $,79532459.0,5.35,5.33
2023-05-14,6 613 225 095 $,82899033.0,5.35,5.35
2023-05-13,6 592 082 194 $,131408405.0,5.35,5.35
2023-05-12,6 508 587 548 $,143209794.0,5.29,5.35
2023-05-11,6 740 923 466 $,183961207.0,5.48,5.29
2023-05-10,6 555 237 356 $,128633537.0,5.32,5.48
2023-05-09,6 612 416 992 $,209588587.0,5.37,5.32
2023-05-08,6 946 473 944 $,96756910.0,5.66,5.37
2023-05-07,6 942 712 516 $,133385483.0,5.65,5.66
2023-05-06,7 192 813 781 $,156382786.0,5.85,5.65
2023-05-05,6 967 803 849 $,101013052.0,5.67,5.85
2023-05-04,7 095 348 282 $,131755396.0,5.78,5.67
2023-05-03,7 022 173 071 $,106941680.0,5.72,5.78
2023-05-02,6 962 447 944 $,144500094.0,5.67,5.72
2023-05-01,7 260 991 515 $,126929661.0,5.91,5.67
2023-04-30,7 407 756 843 $,119565164.0,6.03,5.91
2023-04-29,7 298 739 319 $,155980353.0,5.95,6.03
2023-04-28,7 320 486 093 $,186747228.0,5.97,5.95
2023-04-27,7 161 641 711 $,264915327.0,5.85,5.97
2023-04-26,7 355 188 923 $,147991878.0,6.01,5.85
2023-04-25,7 210 898 433 $,154360733.0,5.89,6.01
2023-04-24,7 243 220 356 $,130092034.0,5.92,5.89
2023-04-23,7 292 666 128 $,117290789.0,5.96,5.92
2023-04-22,7 155 855 076 $,216476240.0,5.85,5.96
2023-04-21,7 472 350 670 $,246649682.0,6.11,5.85
2023-04-20,7 726 090 602 $,304362268.0,6.31,6.11
2023-04-19,8 468 999 209 $,241327264.0,6.92,6.31
2023-04-18,8 182 296 977 $,223489562.0,6.7,6.92
2023-04-17,8 337 320 668 $,191364308.0,6.83,6.7
2023-04-16,8 328 054 056 $,191633213.0,6.81,6.83
2023-04-15,8 229 505 281 $,283263717.0,6.73,6.81
2023-04-14,8 125 660 233 $,204632453.0,6.64,6.73
2023-04-13,7 830 662 352 $,222772321.0,6.41,6.64
2023-04-12,7 847 129 342 $,212206407.0,6.43,6.41
2023-04-11,7 678 397 457 $,157115506.0,6.29,6.43
2023-04-10,7 585 959 979 $,145695438.0,6.21,6.29
2023-04-09,7 493 348 826 $,131916467.0,6.14,6.21
2023-04-08,7 546 011 941 $,162303821.0,6.19,6.14
2023-04-07,7 657 366 273 $,165932758.0,6.28,6.19
2023-04-06,7 817 274 517 $,191646245.0,6.41,6.28
2023-04-05,7 843 403 289 $,228779710.0,6.44,6.41
2023-04-04,7 823 458 413 $,250934391.0,6.43,6.44
2023-04-03,7 641 386 575 $,165981691.0,6.27,6.43
2023-04-02,7 731 363 330 $,150087143.0,6.35,6.27
2023-04-01,7 727 847 983 $,220876668.0,6.34,6.35
2023-03-31,7 444 748 644 $,197809654.0,6.12,6.34
2023-03-30,7 522 732 303 $,187654032.0,6.19,6.12
2023-03-29,7 383 642 655 $,153874808.0,6.07,6.19
2023-03-28,7 146 342 408 $,165318894.0,5.88,6.07
2023-03-27,7 387 058 765 $,132449723.0,6.05,5.88
2023-03-26,7 220 374 796 $,141765532.0,5.94,6.05
2023-03-25,7 365 301 138 $,208117031.0,6.02,5.94
2023-03-24,7 703 989 762 $,183653212.0,6.35,6.02
2023-03-23,7 396 098 382 $,292943936.0,6.09,6.35
2023-03-22,7 772 318 411 $,224997518.0,6.41,6.09
2023-03-21,7 450 586 726 $,272209445.0,6.12,6.41
2023-03-20,7 931 605 244 $,263101166.0,6.51,6.12
2023-03-19,7 700 962 301 $,325589656.0,6.35,6.51
2023-03-18,8 021 960 013 $,349175461.0,6.64,6.35
2023-03-17,7 439 207 053 $,270083593.0,6.13,6.64
2023-03-16,7 141 510 096 $,396831003.0,5.89,6.13
2023-03-15,7 571 159 433 $,426347359.0,6.24,5.89
2023-03-14,7 401 937 661 $,430322352.0,6.1,6.24
2023-03-13,7 123 017 236 $,293974689.0,5.91,6.1
2023-03-12,6 608 022 342 $,319352908.0,5.47,5.91
2023-03-11,6 741 885 995 $,398823096.0,5.56,5.47
2023-03-10,6 492 221 339 $,322122608.0,5.38,5.56
2023-03-09,6 783 974 361 $,325705157.0,5.6,5.38
2023-03-08,7 065 034 656 $,256896325.0,5.86,5.6
2023-03-07,7 154 139 435 $,198293307.0,5.92,5.86
2023-03-06,7 221 755 523 $,180881874.0,5.99,5.92
2023-03-05,7 141 278 387 $,187234194.0,5.91,5.99
2023-03-04,7 290 395 652 $,307950873.0,6.03,5.91
2023-03-03,7 639 140 586 $,237639734.0,6.32,6.03
