Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,5 051 532 726 $,76346867.0,8.57e-06,N/A
2023-05-21,5 160 403 030 $,63069189.0,8.76e-06,8.57e-06
2023-05-20,5 134 762 128 $,77235505.0,8.71e-06,8.76e-06
2023-05-19,5 155 225 808 $,124948351.0,8.73e-06,8.71e-06
2023-05-18,5 184 976 199 $,123738057.0,8.79e-06,8.73e-06
2023-05-17,5 186 656 091 $,110560763.0,8.8e-06,8.79e-06
2023-05-16,5 209 171 968 $,117026860.0,8.84e-06,8.8e-06
2023-05-15,5 204 448 958 $,90776338.0,8.83e-06,8.84e-06
2023-05-14,5 188 608 847 $,100628716.0,8.78e-06,8.83e-06
2023-05-13,5 252 068 251 $,156430700.0,8.91e-06,8.78e-06
2023-05-12,5 149 833 347 $,131409428.0,8.74e-06,8.91e-06
2023-05-11,5 340 593 124 $,173857884.0,9.05e-06,8.74e-06
2023-05-10,5 327 594 374 $,147308542.0,9.03e-06,9.05e-06
2023-05-09,5 275 751 085 $,249756520.0,8.96e-06,9.03e-06
2023-05-08,5 548 324 459 $,107858409.0,9.42e-06,8.96e-06
2023-05-07,5 595 010 004 $,217753728.0,9.5e-06,9.42e-06
2023-05-06,5 910 963 864 $,160411611.0,1.003e-05,9.5e-06
2023-05-05,5 847 510 547 $,97046543.0,9.92e-06,1.003e-05
2023-05-04,5 982 245 553 $,119304954.0,1.015e-05,9.92e-06
2023-05-03,5 926 595 385 $,104979882.0,1.005e-05,1.015e-05
2023-05-02,5 884 038 959 $,157320613.0,1e-05,1.005e-05
2023-05-01,5 986 225 107 $,90578285.0,1.014e-05,1e-05
2023-04-30,6 088 583 305 $,77098565.0,1.033e-05,1.014e-05
2023-04-29,6 072 625 006 $,89499087.0,1.03e-05,1.033e-05
2023-04-28,6 072 873 316 $,129961639.0,1.031e-05,1.03e-05
2023-04-27,6 001 200 415 $,225525127.0,1.02e-05,1.031e-05
2023-04-26,6 141 168 808 $,132171331.0,1.042e-05,1.02e-05
2023-04-25,6 078 620 585 $,144185750.0,1.032e-05,1.042e-05
