Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,7 783 712 426 $,236865558.0,19.63,N/A
2023-05-21,8 022 997 472 $,129666228.0,20.27,19.63
2023-05-20,8 059 779 104 $,159063269.0,20.35,20.27
2023-05-19,8 061 536 789 $,325479692.0,20.35,20.35
2023-05-18,8 341 868 800 $,332798485.0,21.06,20.35
2023-05-17,8 187 913 902 $,338232379.0,20.69,21.06
2023-05-16,8 316 882 670 $,339745928.0,21.04,20.69
2023-05-15,8 280 978 191 $,211874592.0,20.94,21.04
2023-05-14,8 297 710 532 $,252119905.0,20.9,20.94
2023-05-13,8 274 505 086 $,397702422.0,20.92,20.9
2023-05-12,8 015 037 357 $,428549097.0,20.25,20.92
2023-05-11,8 287 539 920 $,525984506.0,20.98,20.25
2023-05-10,8 164 794 904 $,318980321.0,20.66,20.98
2023-05-09,8 146 997 992 $,647060628.0,20.66,20.66
2023-05-08,8 705 466 134 $,341580979.0,22.0,20.66
2023-05-07,8 661 587 001 $,387964991.0,21.99,22.0
2023-05-06,8 999 007 584 $,495492869.0,22.82,21.99
2023-05-05,8 571 042 187 $,330851122.0,21.74,22.82
2023-05-04,8 762 010 270 $,493483012.0,22.22,21.74
2023-05-03,8 773 546 966 $,326717891.0,22.26,22.22
2023-05-02,8 651 811 980 $,505839771.0,22.01,22.26
2023-05-01,9 057 154 980 $,425241775.0,23.0,22.01
2023-04-30,9 092 156 212 $,419332791.0,23.13,23.0
2023-04-29,9 208 471 390 $,571324657.0,23.37,23.13
2023-04-28,8 756 193 577 $,588617918.0,22.34,23.37
2023-04-27,8 354 008 435 $,778775424.0,21.26,22.34
2023-04-26,8 617 142 936 $,409777212.0,21.94,21.26
2023-04-25,8 399 117 357 $,401676853.0,21.39,21.94
2023-04-24,8 420 199 212 $,348355517.0,21.5,21.39
2023-04-23,8 584 446 324 $,249197741.0,21.85,21.5
2023-04-22,8 333 890 309 $,527655622.0,21.26,21.85
2023-04-21,8 697 671 637 $,712597030.0,22.18,21.26
2023-04-20,8 903 451 125 $,974039299.0,22.67,22.18
2023-04-19,9 739 599 132 $,558944406.0,24.83,22.67
2023-04-18,9 623 598 169 $,910595769.0,24.58,24.83
2023-04-17,9 920 073 717 $,514890126.0,25.3,24.58
2023-04-16,9 451 805 831 $,387945854.0,24.08,25.3
2023-04-15,9 705 804 479 $,825834921.0,24.77,24.08
2023-04-14,9 566 762 973 $,666066820.0,24.43,24.77
2023-04-13,9 350 156 510 $,1370531368.0,23.83,24.43
2023-04-12,9 019 417 673 $,1081779112.0,23.01,23.83
2023-04-11,8 111 384 994 $,243051083.0,20.88,23.01
2023-04-10,7 886 462 398 $,195652671.0,20.3,20.88
2023-04-09,7 779 827 679 $,229345793.0,20.04,20.3
2023-04-08,7 945 861 961 $,208769926.0,20.48,20.04
2023-04-07,7 980 951 368 $,271953095.0,20.61,20.48
2023-04-06,8 139 780 743 $,361878193.0,20.98,20.61
2023-04-05,8 093 519 489 $,348472967.0,20.92,20.98
2023-04-04,7 900 168 641 $,529752911.0,20.44,20.92
2023-04-03,7 929 638 196 $,250939723.0,20.57,20.44
2023-04-02,8 133 720 020 $,251948585.0,21.08,20.57
2023-04-01,8 194 996 259 $,415947400.0,21.21,21.08
2023-03-31,7 919 320 174 $,532520991.0,20.57,21.21
