Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,2 368 640 352 $,27022805.0,0.088343,N/A
2023-05-21,2 385 023 242 $,24477286.0,0.089018,0.088343
2023-05-20,2 396 168 828 $,33151582.0,0.089373,0.089018
2023-05-19,2 380 347 767 $,42433480.0,0.088903,0.089373
2023-05-18,2 374 437 914 $,43916633.0,0.088694,0.088903
2023-05-17,2 358 741 679 $,39967094.0,0.088062,0.088694
2023-05-16,2 365 228 047 $,40936617.0,0.088405,0.088062
2023-05-15,2 380 857 405 $,31052184.0,0.088881,0.088405
2023-05-14,2 379 366 742 $,27077639.0,0.088576,0.088881
2023-05-13,2 395 221 204 $,56863155.0,0.089312,0.088576
2023-05-12,2 406 512 452 $,49976229.0,0.089788,0.089312
2023-05-11,2 393 632 030 $,52315923.0,0.089379,0.089788
2023-05-10,2 390 400 171 $,40616511.0,0.089268,0.089379
2023-05-09,2 402 099 936 $,72082217.0,0.089699,0.089268
2023-05-08,2 477 183 218 $,29053875.0,0.092572,0.089699
2023-05-07,2 482 702 815 $,44055629.0,0.09277,0.092572
2023-05-06,2 531 667 993 $,46960262.0,0.094561,0.09277
2023-05-05,2 506 057 581 $,37906364.0,0.093559,0.094561
2023-05-04,2 506 098 121 $,41232460.0,0.093656,0.093559
2023-05-03,2 506 236 926 $,37239298.0,0.09363,0.093656
2023-05-02,2 482 925 488 $,46167134.0,0.092785,0.09363
2023-05-01,2 541 555 676 $,32981317.0,0.09491,0.092785
2023-04-30,2 565 949 090 $,32560965.0,0.095871,0.09491
2023-04-29,2 537 610 528 $,43789763.0,0.094846,0.095871
2023-04-28,2 528 249 059 $,47986852.0,0.094483,0.094846
2023-04-27,2 502 299 327 $,73614323.0,0.093555,0.094483
2023-04-26,2 544 974 384 $,47818422.0,0.095117,0.093555
2023-04-25,2 504 863 598 $,59448444.0,0.093478,0.095117
2023-04-24,2 534 669 740 $,38112158.0,0.09478,0.093478
2023-04-23,2 565 832 275 $,44080356.0,0.095881,0.09478
2023-04-22,2 494 275 275 $,65780697.0,0.093216,0.095881
2023-04-21,2 567 912 888 $,67671711.0,0.095937,0.093216
2023-04-20,2 614 877 345 $,96216628.0,0.097632,0.095937
2023-04-19,2 824 782 982 $,59620496.0,0.105497,0.097632
2023-04-18,2 784 042 740 $,57001286.0,0.104114,0.105497
2023-04-17,2 875 774 923 $,49994650.0,0.107489,0.104114
2023-04-16,2 855 525 341 $,49605257.0,0.106734,0.107489
2023-04-15,2 865 844 600 $,94188710.0,0.107106,0.106734
2023-04-14,2 820 827 696 $,56887097.0,0.105528,0.107106
2023-04-13,2 775 165 999 $,57470301.0,0.10368,0.105528
2023-04-12,2 813 739 139 $,60534875.0,0.105201,0.10368
2023-04-11,2 823 514 996 $,52080631.0,0.105451,0.105201
2023-04-10,2 796 235 336 $,47044193.0,0.104662,0.105451
2023-04-09,2 789 425 706 $,44405941.0,0.104367,0.104662
2023-04-08,2 839 003 164 $,58484759.0,0.106284,0.104367
2023-04-07,2 818 944 302 $,66144600.0,0.105559,0.106284
2023-04-06,2 860 083 015 $,79278615.0,0.107115,0.105559
2023-04-05,2 828 366 312 $,84626240.0,0.106207,0.107115
2023-04-04,2 853 347 799 $,114567400.0,0.106763,0.106207
2023-04-03,2 840 410 830 $,94478025.0,0.106627,0.106763
2023-04-02,2 888 230 261 $,123359326.0,0.108385,0.106627
2023-04-01,2 994 056 284 $,231279722.0,0.112001,0.108385
2023-03-31,2 824 683 786 $,194357068.0,0.106314,0.112001
2023-03-30,2 723 730 040 $,220026074.0,0.102046,0.106314
2023-03-29,2 597 315 227 $,148800025.0,0.097767,0.102046
2023-03-28,2 461 519 890 $,113659366.0,0.092812,0.097767
2023-03-27,2 458 282 410 $,58778515.0,0.092241,0.092812
2023-03-26,2 427 693 380 $,82779593.0,0.091404,0.092241
2023-03-25,2 373 472 456 $,80927259.0,0.08932,0.091404
2023-03-24,2 470 373 510 $,89192582.0,0.093063,0.08932
2023-03-23,2 424 557 780 $,164340627.0,0.091344,0.093063
2023-03-22,2 564 078 832 $,213719878.0,0.096597,0.091344
2023-03-21,2 302 538 453 $,84634291.0,0.086869,0.096597
2023-03-20,2 341 158 529 $,82785694.0,0.088089,0.086869
2023-03-19,2 274 489 527 $,78476964.0,0.08574,0.088089
2023-03-18,2 331 014 990 $,84570125.0,0.08804,0.08574
2023-03-17,2 256 160 656 $,63516076.0,0.085143,0.08804
2023-03-16,2 226 368 749 $,96582769.0,0.084131,0.085143
2023-03-15,2 343 309 959 $,126028948.0,0.088352,0.084131
2023-03-14,2 240 847 953 $,102429327.0,0.084659,0.088352
2023-03-13,2 185 517 334 $,80464487.0,0.082959,0.084659
2023-03-12,2 091 076 827 $,78038210.0,0.079064,0.082959
2023-03-11,2 070 464 359 $,75481318.0,0.078307,0.079064
2023-03-10,2 041 382 684 $,74391194.0,0.077082,0.078307
2023-03-09,2 169 786 206 $,88105954.0,0.081838,0.077082
2023-03-08,2 189 579 690 $,61887915.0,0.082948,0.081838
2023-03-07,2 212 294 240 $,43735460.0,0.083706,0.082948
2023-03-06,2 194 574 909 $,37587956.0,0.083114,0.083706
2023-03-05,2 221 080 933 $,41036284.0,0.084064,0.083114
2023-03-04,2 268 130 252 $,80005163.0,0.085883,0.084064
2023-03-03,2 319 567 306 $,51195716.0,0.087806,0.085883
2023-03-02,2 332 751 629 $,53534129.0,0.088301,0.087806
2023-03-01,2 302 708 033 $,57075784.0,0.08715,0.088301
2023-02-28,2 343 438 109 $,60483709.0,0.088616,0.08715
2023-02-27,2 356 265 191 $,45576147.0,0.089226,0.088616
2023-02-26,2 330 554 230 $,57544220.0,0.088304,0.089226
2023-02-25,2 360 111 224 $,76868293.0,0.089324,0.088304
2023-02-24,2 404 091 285 $,66009478.0,0.091265,0.089324
2023-02-23,2 449 463 876 $,93239832.0,0.092562,0.091265
2023-02-22,2 495 927 563 $,145690292.0,0.094844,0.092562
2023-02-21,2 490 601 312 $,98371274.0,0.094416,0.094844
2023-02-20,2 393 930 497 $,81763666.0,0.090696,0.094416
2023-02-19,2 433 090 997 $,89696537.0,0.092285,0.090696
2023-02-18,2 386 164 648 $,75389386.0,0.090613,0.092285
2023-02-17,2 293 327 342 $,94150468.0,0.087091,0.090613
2023-02-16,2 377 387 008 $,82667391.0,0.090188,0.087091
2023-02-15,2 264 701 256 $,61512580.0,0.086109,0.090188
2023-02-14,2 246 791 299 $,78851766.0,0.085315,0.086109
2023-02-13,2 244 920 157 $,45593721.0,0.085197,0.085315
2023-02-12,2 278 574 903 $,37798333.0,0.086539,0.085197
2023-02-11,2 262 343 253 $,59142451.0,0.085875,0.086539
2023-02-10,2 258 716 336 $,100575892.0,0.085667,0.085875
2023-02-09,2 401 199 576 $,71711976.0,0.091226,0.085667
2023-02-08,2 427 441 943 $,66924792.0,0.092153,0.091226
2023-02-07,2 345 321 406 $,48681113.0,0.089138,0.092153
2023-02-06,2 403 171 637 $,60349188.0,0.091161,0.089138
2023-02-05,2 451 343 460 $,44875779.0,0.093039,0.091161
2023-02-04,2 443 809 909 $,56050886.0,0.092882,0.093039
2023-02-03,2 421 697 862 $,75778867.0,0.092076,0.092882
2023-02-02,2 430 007 922 $,74497360.0,0.092396,0.092076
2023-02-01,2 385 282 661 $,58660716.0,0.090853,0.092396
2023-01-31,2 364 757 960 $,72477613.0,0.09013,0.090853
2023-01-30,2 486 179 308 $,57389999.0,0.09463,0.09013
2023-01-29,2 440 812 550 $,48835161.0,0.092896,0.09463
2023-01-28,2 439 344 503 $,57610132.0,0.092785,0.092896
2023-01-27,2 423 522 450 $,63290524.0,0.092192,0.092785
2023-01-26,2 436 839 259 $,74740396.0,0.092727,0.092192
2023-01-25,2 372 493 089 $,82349614.0,0.090527,0.092727
2023-01-24,2 485 341 160 $,94414763.0,0.09479,0.090527
2023-01-23,2 393 624 533 $,79747556.0,0.091282,0.09479
2023-01-22,2 372 256 640 $,99025167.0,0.090498,0.091282
2023-01-21,2 333 483 293 $,72870341.0,0.088968,0.090498
2023-01-20,2 215 170 992 $,50916865.0,0.084454,0.088968
2023-01-19,2 169 036 866 $,79674611.0,0.082728,0.084454
2023-01-18,2 270 447 620 $,56497014.0,0.086436,0.082728
2023-01-17,2 302 877 338 $,72752777.0,0.087932,0.086436
2023-01-16,2 312 512 109 $,71547835.0,0.088229,0.087932
2023-01-15,2 291 340 102 $,113516870.0,0.087438,0.088229
2023-01-14,2 216 581 558 $,77360612.0,0.084591,0.087438
2023-01-13,2 142 246 090 $,76065179.0,0.081848,0.084591
2023-01-12,2 143 855 995 $,86831537.0,0.081614,0.081848
2023-01-11,2 081 152 682 $,55929979.0,0.079677,0.081614
2023-01-10,2 081 641 234 $,69704829.0,0.079548,0.079677
2023-01-09,2 018 391 117 $,38454070.0,0.077159,0.079548
2023-01-08,1 981 711 268 $,32188665.0,0.075792,0.077159
2023-01-07,1 965 127 162 $,45534860.0,0.075198,0.075792
2023-01-06,1 905 543 115 $,41270877.0,0.072972,0.075198
2023-01-05,1 929 150 204 $,47521484.0,0.073903,0.072972
2023-01-04,1 927 979 216 $,38627685.0,0.073757,0.073903
2023-01-03,1 929 378 686 $,50637127.0,0.07383,0.073757
2023-01-02,1 899 548 963 $,32282471.0,0.072682,0.07383
2023-01-01,1 862 907 920 $,31341515.0,0.071337,0.072682
2022-12-31,1 891 975 491 $,44171511.0,0.072452,0.071337
2022-12-30,1 878 470 962 $,62192939.0,0.071957,0.072452
2022-12-29,1 873 308 521 $,50217304.0,0.071778,0.071957
2022-12-28,1 934 504 527 $,34243395.0,0.074168,0.071778
2022-12-27,1 965 393 982 $,27689258.0,0.075308,0.074168
2022-12-26,1 933 996 238 $,22524988.0,0.074109,0.075308
2022-12-25,1 946 888 455 $,24105608.0,0.074536,0.074109
2022-12-24,1 968 880 239 $,31130439.0,0.075439,0.074536
2022-12-23,1 977 205 336 $,30784144.0,0.075722,0.075439
2022-12-22,1 957 218 736 $,32425008.0,0.07516,0.075722
