Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,6 803 987 816 $,514555858.0,0.075318,N/A
2023-05-21,6 568 791 720 $,351107905.0,0.072722,0.075318
2023-05-20,6 390 386 061 $,245252401.0,0.070729,0.072722
2023-05-19,6 363 992 586 $,309887515.0,0.070352,0.070729
2023-05-18,6 427 734 843 $,305627280.0,0.070943,0.070352
2023-05-17,6 395 682 867 $,295745610.0,0.070597,0.070943
2023-05-16,6 376 548 526 $,271244850.0,0.070481,0.070597
2023-05-15,6 275 200 643 $,261367839.0,0.069472,0.070481
2023-05-14,6 314 170 061 $,261017047.0,0.069635,0.069472
2023-05-13,6 266 543 516 $,347401885.0,0.069291,0.069635
2023-05-12,6 133 506 192 $,345963295.0,0.0681,0.069291
2023-05-11,6 294 876 348 $,350875810.0,0.069556,0.0681
2023-05-10,6 260 149 349 $,309962686.0,0.069083,0.069556
2023-05-09,6 187 711 722 $,354373234.0,0.068381,0.069083
2023-05-08,6 292 395 072 $,285350239.0,0.069539,0.068381
2023-05-07,6 374 306 501 $,312053390.0,0.070441,0.069539
2023-05-06,6 437 408 407 $,349917733.0,0.071084,0.070441
2023-05-05,6 299 393 520 $,293765535.0,0.069527,0.071084
2023-05-04,6 266 932 782 $,374029232.0,0.069255,0.069527
2023-05-03,6 278 057 071 $,359354798.0,0.06933,0.069255
2023-05-02,6 197 963 617 $,428570947.0,0.068576,0.06933
2023-05-01,6 120 621 209 $,284253197.0,0.067495,0.068576
2023-04-30,6 165 487 810 $,285532649.0,0.06801,0.067495
2023-04-29,6 049 821 628 $,368969691.0,0.066751,0.06801
2023-04-28,5 970 439 493 $,698561163.0,0.065875,0.066751
2023-04-27,5 920 308 822 $,391354635.0,0.065209,0.065875
2023-04-26,5 982 650 418 $,283633707.0,0.065982,0.065209
2023-04-25,6 002 062 945 $,293359066.0,0.066184,0.065982
2023-04-24,6 050 959 288 $,290691802.0,0.066771,0.066184
2023-04-23,6 008 066 662 $,297310266.0,0.066236,0.066771
2023-04-22,5 893 051 305 $,317247747.0,0.064972,0.066236
2023-04-21,5 943 952 337 $,386080608.0,0.065502,0.064972
2023-04-20,5 979 092 220 $,405846360.0,0.065865,0.065502
2023-04-19,6 065 093 812 $,288494325.0,0.066779,0.065865
2023-04-18,5 977 910 362 $,300294685.0,0.065877,0.066779
2023-04-17,6 043 432 635 $,241163774.0,0.066578,0.065877
2023-04-16,6 004 891 200 $,271910639.0,0.066095,0.066578
2023-04-15,6 017 540 966 $,367926326.0,0.066246,0.066095
2023-04-14,5 941 263 092 $,353712444.0,0.065396,0.066246
2023-04-13,5 921 794 051 $,515024640.0,0.065172,0.065396
2023-04-12,6 037 134 011 $,449489935.0,0.066478,0.065172
2023-04-11,6 124 928 622 $,318936118.0,0.067369,0.066478
2023-04-10,6 070 885 116 $,272578280.0,0.066723,0.067369
2023-04-09,6 024 303 896 $,276248606.0,0.066233,0.066723
2023-04-08,6 016 839 023 $,290395338.0,0.066195,0.066233
2023-04-07,6 015 146 093 $,343640469.0,0.066144,0.066195
2023-04-06,6 020 877 078 $,316149537.0,0.066196,0.066144
2023-04-05,5 998 545 148 $,357404244.0,0.065825,0.066196
2023-04-04,6 003 642 047 $,351385872.0,0.065875,0.065825
2023-04-03,5 967 346 288 $,307907520.0,0.065387,0.065875
2023-04-02,6 052 370 651 $,355448661.0,0.066523,0.065387
2023-04-01,5 985 820 549 $,344358843.0,0.06569,0.066523
2023-03-31,5 918 254 719 $,374945261.0,0.065051,0.06569
2023-03-30,5 868 803 030 $,370569750.0,0.064486,0.065051
2023-03-29,5 855 321 602 $,354347230.0,0.06431,0.064486
2023-03-28,5 805 141 323 $,374686622.0,0.063792,0.06431
2023-03-27,5 876 015 291 $,345820018.0,0.06436,0.063792
2023-03-26,5 852 881 391 $,365762276.0,0.064236,0.06436
2023-03-25,5 858 403 991 $,488410688.0,0.063629,0.064236
2023-03-24,5 983 002 840 $,693465091.0,0.065653,0.063629
2023-03-23,5 495 708 075 $,792573046.0,0.060218,0.065653
2023-03-22,6 150 811 710 $,361044499.0,0.067536,0.060218
2023-03-21,5 990 661 897 $,396753513.0,0.065663,0.067536
2023-03-20,6 139 502 799 $,371396997.0,0.067152,0.065663
2023-03-19,6 049 274 383 $,411975624.0,0.066311,0.067152
