Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,82 951 150 480 $,11892096122.0,1.0,N/A
2023-05-21,82 935 921 775 $,6894277527.0,1.0,1.0
2023-05-20,82 912 724 185 $,8386664936.0,1.001,1.0
2023-05-19,82 877 902 315 $,13318816749.0,0.999371,1.001
2023-05-18,82 854 296 238 $,15053422110.0,0.999302,0.999371
2023-05-17,82 847 420 820 $,18183872793.0,1.0,0.999302
2023-05-16,82 803 772 135 $,20209244399.0,1.002,1.0
2023-05-15,82 795 486 682 $,12887195724.0,1.0,1.002
2023-05-14,83 088 864 855 $,13610775328.0,1.001,1.0
2023-05-13,82 799 743 142 $,22948485385.0,1.001,1.001
2023-05-12,82 667 039 655 $,24966468467.0,0.999993,1.001
2023-05-11,82 565 452 646 $,13254326646.0,0.999773,0.999993
2023-05-10,82 501 557 251 $,16814773340.0,0.998774,0.999773
2023-05-09,82 444 600 542 $,31517422204.0,1.001,0.998774
2023-05-08,81 979 806 769 $,14673735669.0,1.001,1.001
2023-05-07,82 239 351 555 $,23546975148.0,1.002,1.001
2023-05-06,82 151 905 582 $,18857165134.0,1.001,1.002
2023-05-05,82 166 156 611 $,10260443408.0,1.001,1.001
2023-05-04,81 989 333 426 $,27599627945.0,1.0,1.001
2023-05-03,81 882 894 005 $,22845821558.0,1.001,1.0
2023-05-02,81 873 049 554 $,26517216172.0,1.001,1.001
2023-05-01,81 834 959 453 $,18862210774.0,1.001,1.001
2023-04-30,81 811 659 038 $,13491816831.0,1.001,1.001
2023-04-29,81 713 940 555 $,25277099048.0,1.001,1.001
2023-04-28,81 714 368 058 $,34953224145.0,1.001,1.001
2023-04-27,81 618 274 278 $,42728517018.0,1.0,1.001
2023-04-26,81 650 664 076 $,23815476983.0,1.001,1.0
2023-04-25,81 561 952 839 $,23174575651.0,1.001,1.001
2023-04-24,81 498 022 565 $,17557029367.0,1.001,1.001
2023-04-23,81 601 259 476 $,18029599677.0,1.002,1.001
2023-04-22,81 482 240 782 $,32874452175.0,1.001,1.002
2023-04-21,81 432 223 468 $,33850631738.0,1.0,1.001
2023-04-20,81 576 461 707 $,40775850573.0,1.001,1.0
2023-04-19,81 124 243 454 $,29616720696.0,1.001,1.001
2023-04-18,81 022 519 469 $,29680367898.0,1.002,1.001
2023-04-17,80 983 997 260 $,21180143608.0,1.001,1.002
2023-04-16,80 993 005 659 $,21813314655.0,1.001,1.001
2023-04-15,80 869 263 894 $,38652292144.0,1.001,1.001
2023-04-14,80 886 569 881 $,28798275094.0,1.002,1.001
2023-04-13,80 667 591 426 $,30664802860.0,1.001,1.002
2023-04-12,80 526 255 295 $,28280855888.0,1.001,1.001
2023-04-11,80 390 805 147 $,26264825228.0,1.001,1.001
2023-04-10,80 310 814 338 $,19218489631.0,1.001,1.001
2023-04-09,80 306 857 722 $,17557605162.0,1.001,1.001
2023-04-08,80 268 298 420 $,18548285386.0,1.001,1.001
2023-04-07,80 188 675 274 $,22623151066.0,1.001,1.001
2023-04-06,80 140 266 880 $,27633691851.0,1.0,1.001
2023-04-05,80 081 067 435 $,27307278315.0,1.001,1.0
2023-04-04,79 874 799 190 $,33846295419.0,1.0,1.001
2023-04-03,79 792 660 516 $,18937046330.0,1.002,1.0
2023-04-02,79 772 056 639 $,18039579983.0,1.001,1.002
2023-04-01,79 808 588 133 $,29874023430.0,1.001,1.001
2023-03-31,79 708 195 096 $,34656392598.0,1.001,1.001
2023-03-30,79 636 370 260 $,32482599443.0,1.001,1.001
2023-03-29,79 597 410 585 $,27646476417.0,1.001,1.001
2023-03-28,79 555 652 817 $,29501041703.0,1.002,1.001
2023-03-27,79 174 842 324 $,23064969259.0,1.001,1.002
2023-03-26,79 623 139 462 $,24400779908.0,1.008,1.001
2023-03-25,79 581 658 858 $,34121646701.0,1.002,1.008
2023-03-24,78 372 882 682 $,32259255206.0,1.005,1.002
2023-03-23,77 988 820 276 $,51748798674.0,1.008,1.005
2023-03-22,77 348 485 075 $,50999818712.0,1.007,1.008
2023-03-21,76 852 694 602 $,50214824170.0,1.01,1.007
2023-03-20,76 784 764 102 $,52736294701.0,1.006,1.01
2023-03-19,76 220 833 431 $,43345175884.0,1.0,1.006
2023-03-18,76 181 018 247 $,46955253598.0,1.0,1.0
2023-03-17,74 845 805 871 $,55711184031.0,1.007,1.0
2023-03-16,74 750 701 092 $,80989287076.0,1.007,1.007
2023-03-15,73 662 783 701 $,88711070851.0,1.004,1.007
2023-03-14,73 224 130 980 $,87780961462.0,1.004,1.004
2023-03-13,72 386 888 341 $,52711790163.0,1.007,1.004
2023-03-12,72 265 947 202 $,67994848432.0,1.003,1.007
2023-03-11,72 084 236 471 $,66020694288.0,1.001,1.003
2023-03-10,71 814 779 750 $,50624387740.0,1.002,1.001
2023-03-09,71 860 457 291 $,35716759862.0,1.0,1.002
2023-03-08,71 688 065 512 $,37662456575.0,1.001,1.0
2023-03-07,71 606 102 631 $,27019419680.0,1.0,1.001
2023-03-06,71 463 081 677 $,20651547846.0,1.0,1.0
2023-03-05,71 520 391 290 $,19021734087.0,1.001,1.0
2023-03-04,71 194 848 065 $,44302959604.0,1.001,1.001
2023-03-03,71 089 143 266 $,34398789164.0,1.0,1.001
2023-03-02,71 094 389 016 $,39912620572.0,0.99986,1.0
2023-03-01,70 926 090 373 $,32718069236.0,0.998543,0.99986
2023-02-28,70 918 517 287 $,35987227108.0,1.001,0.998543
2023-02-27,70 797 067 116 $,30368284335.0,0.999806,1.001
2023-02-26,70 832 978 697 $,30555751037.0,1.0,0.999806
2023-02-25,70 811 129 790 $,49594083161.0,0.999823,1.0
2023-02-24,70 680 138 528 $,49981035028.0,1.001,0.999823
2023-02-23,70 766 136 200 $,51233553289.0,0.999478,1.001
2023-02-22,70 456 590 555 $,52637879767.0,1.0,0.999478
2023-02-21,70 418 439 340 $,52168477098.0,0.999406,1.0
2023-02-20,70 451 072 573 $,45617031107.0,0.999299,0.999406
2023-02-19,70 285 569 098 $,33905087115.0,1.001,0.999299
2023-02-18,70 292 722 478 $,64414293062.0,1.0,1.001
2023-02-17,69 826 536 197 $,62944637856.0,1.005,1.0
2023-02-16,69 502 620 731 $,56998699691.0,0.999834,1.005
2023-02-15,69 541 171 926 $,60633824928.0,1.001,0.999834
2023-02-14,68 427 597 807 $,58531239697.0,1.0,1.001
2023-02-13,68 490 999 406 $,32098131138.0,1.001,1.0
2023-02-12,68 457 150 721 $,29798554738.0,1.001,1.001
2023-02-11,68 366 557 130 $,52760189299.0,0.999877,1.001
2023-02-10,68 193 338 997 $,64697984567.0,1.001,0.999877
2023-02-09,68 160 499 148 $,49961937748.0,1.0,1.001
2023-02-08,68 265 208 038 $,48461129567.0,1.001,1.0
2023-02-07,68 043 274 844 $,40249156562.0,0.999998,1.001
2023-02-06,68 114 172 207 $,37086074966.0,1.0,0.999998
2023-02-05,67 944 713 474 $,29838048924.0,1.001,1.0
2023-02-04,68 042 153 687 $,50793632472.0,1.0,1.001
2023-02-03,67 892 950 614 $,57189832973.0,1.002,1.0
2023-02-02,67 846 146 300 $,47555216436.0,1.001,1.002
2023-02-01,67 834 965 073 $,41165769631.0,1.001,1.001
2023-01-31,67 779 797 061 $,49267517476.0,1.001,1.001
2023-01-30,67 687 123 255 $,44842327474.0,1.001,1.001
2023-01-29,67 569 736 304 $,28907188582.0,1.001,1.001
2023-01-28,67 373 574 300 $,46018664576.0,1.001,1.001
2023-01-27,67 240 886 057 $,45669776007.0,1.0,1.001
2023-01-26,67 139 928 234 $,51482340093.0,1.002,1.0
2023-01-25,66 885 882 203 $,43370440804.0,0.999682,1.002
2023-01-24,66 692 161 994 $,45160860745.0,1.002,0.999682
2023-01-23,66 739 726 193 $,42222010837.0,1.001,1.002
2023-01-22,66 376 505 552 $,52081373665.0,1.0,1.001
2023-01-21,66 542 663 620 $,46265487171.0,1.001,1.0
2023-01-20,66 542 669 716 $,33784531494.0,1.0,1.001
2023-01-19,66 549 279 927 $,52187459971.0,1.001,1.0
2023-01-18,66 472 290 219 $,40916940820.0,1.0,1.001
2023-01-17,66 315 382 011 $,44340026378.0,1.0,1.0
2023-01-16,66 370 266 581 $,33492739684.0,1.0,1.0
2023-01-15,66 305 842 237 $,67079943134.0,1.001,1.0
2023-01-14,66 317 495 370 $,47848357206.0,1.001,1.001
2023-01-13,66 278 004 908 $,56073842995.0,1.0,1.001
2023-01-12,65 470 424 457 $,32900275874.0,1.001,1.0
2023-01-11,66 307 828 855 $,30382590558.0,1.0,1.001
2023-01-10,66 315 047 028 $,38371608149.0,1.001,1.0
2023-01-09,66 295 359 784 $,16557290439.0,1.0,1.001
2023-01-08,66 272 451 612 $,13126628969.0,1.0,1.0
2023-01-07,66 263 334 313 $,26274408966.0,1.0,1.0
2023-01-06,66 278 648 652 $,20090153261.0,1.0,1.0
2023-01-05,66 245 545 660 $,26466084968.0,1.0,1.0
2023-01-04,66 274 058 933 $,19667731491.0,1.0,1.0
2023-01-03,66 223 251 669 $,17265085805.0,1.0,1.0
2023-01-02,66 301 858 478 $,11425365867.0,1.001,1.0
2023-01-01,66 226 451 754 $,13764722594.0,1.0,1.001
2022-12-31,66 279 043 570 $,20613839548.0,1.0,1.0
2022-12-30,66 255 815 696 $,20857568339.0,1.0,1.0
2022-12-29,66 232 030 178 $,23443876809.0,0.999814,1.0
2022-12-28,66 241 360 621 $,20212268347.0,0.999994,0.999814
2022-12-27,66 289 979 631 $,15260309705.0,1.0,0.999994
2022-12-26,66 260 084 337 $,15329932245.0,1.001,1.0
2022-12-25,66 280 331 785 $,11471482055.0,1.0,1.001
2022-12-24,66 290 527 438 $,21612186150.0,1.0,1.0
2022-12-23,66 253 234 081 $,21251719992.0,1.001,1.0
2022-12-22,66 222 410 593 $,19605882460.0,1.001,1.001
2022-12-21,66 210 497 794 $,28627896474.0,1.0,1.001
2022-12-20,66 174 433 959 $,22583858366.0,0.999419,1.0
2022-12-19,66 163 136 479 $,14641156833.0,1.001,0.999419
2022-12-18,66 069 871 457 $,22424852851.0,1.001,1.001
2022-12-17,65 770 714 186 $,33749705716.0,0.998756,1.001
2022-12-16,65 997 016 215 $,27062224028.0,0.998623,0.998756
2022-12-15,65 978 794 246 $,34288915682.0,1.0,0.998623
2022-12-14,65 815 203 375 $,42878758919.0,0.99971,1.0
2022-12-13,65 688 467 050 $,28341377734.0,0.999343,0.99971
2022-12-12,65 766 093 056 $,17480426955.0,1.001,0.999343
2022-12-11,65 729 244 225 $,16962637002.0,0.999672,1.001
2022-12-10,65 770 950 096 $,27603803219.0,1.001,0.999672
2022-12-09,65 681 144 306 $,27612891122.0,0.999938,1.001
2022-12-08,65 717 867 683 $,26719301847.0,1.0,0.999938
2022-12-07,65 558 601 840 $,26621802986.0,1.001,1.0
2022-12-06,65 546 686 928 $,29795721413.0,1.001,1.001
2022-12-05,65 557 951 753 $,22242975524.0,1.001,1.001
2022-12-04,65 769 558 099 $,20407865658.0,1.001,1.001
2022-12-03,65 388 426 944 $,27666464715.0,1.0,1.001
2022-12-02,65 641 200 262 $,30289334225.0,1.0,1.0
2022-12-01,65 511 131 601 $,40073068049.0,1.001,1.0
2022-11-30,65 366 405 162 $,32619584474.0,0.999991,1.001
2022-11-29,65 361 591 999 $,33916231627.0,1.0,0.999991
