Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,2 705 899 040 $,8156941.0,1.84,N/A
2023-05-21,2 757 924 648 $,6383794.0,1.87,1.84
2023-05-20,2 781 792 553 $,8460217.0,1.89,1.87
2023-05-19,2 816 219 602 $,10108699.0,1.91,1.89
2023-05-18,2 895 072 709 $,10321130.0,1.97,1.91
2023-05-17,2 943 467 877 $,11581428.0,2.0,1.97
2023-05-16,2 965 178 011 $,15695344.0,2.01,2.0
2023-05-15,2 947 849 834 $,13409335.0,2.0,2.01
2023-05-14,2 781 608 735 $,12834852.0,1.89,2.0
2023-05-13,2 737 071 550 $,19606343.0,1.86,1.89
2023-05-12,2 865 752 194 $,15575378.0,1.95,1.86
2023-05-11,2 935 494 133 $,13865876.0,1.99,1.95
2023-05-10,2 929 944 474 $,17043300.0,1.99,1.99
2023-05-09,3 020 025 320 $,11467770.0,2.05,1.99
2023-05-08,3 015 160 363 $,11116458.0,2.05,2.05
2023-05-07,3 077 930 632 $,7977284.0,2.09,2.05
2023-05-06,3 093 478 295 $,5466346.0,2.1,2.09
2023-05-05,3 092 472 515 $,9145823.0,2.1,2.1
2023-05-04,3 014 896 455 $,12451983.0,2.05,2.1
2023-05-03,3 110 067 067 $,14249132.0,2.11,2.05
2023-05-02,3 086 248 906 $,19758631.0,2.09,2.11
2023-05-01,3 154 979 186 $,12552901.0,2.14,2.09
2023-04-30,3 198 891 789 $,16183542.0,2.17,2.14
2023-04-29,3 179 304 488 $,20005189.0,2.16,2.17
2023-04-28,3 259 217 650 $,17889251.0,2.21,2.16
2023-04-27,3 285 078 178 $,23378011.0,2.23,2.21
2023-04-26,3 383 150 045 $,20905875.0,2.29,2.23
2023-04-25,3 386 316 104 $,19361127.0,2.3,2.29
2023-04-24,3 431 435 485 $,20373731.0,2.33,2.3
2023-04-23,3 407 376 881 $,19726582.0,2.31,2.33
2023-04-22,3 335 654 491 $,24439245.0,2.26,2.31
2023-04-21,3 343 021 401 $,22357748.0,2.27,2.26
2023-04-20,3 348 064 136 $,21741234.0,2.27,2.27
2023-04-19,3 410 854 778 $,15631678.0,2.31,2.27
