Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,29 549 991 311 $,2164141213.0,0.999741,N/A
2023-05-21,29 562 931 910 $,1903162315.0,0.999569,0.999741
2023-05-20,29 557 752 770 $,3287848420.0,0.999595,0.999569
2023-05-19,29 610 494 624 $,3762451402.0,0.998042,0.999595
2023-05-18,29 503 039 586 $,4228090319.0,0.999463,0.998042
2023-05-17,29 675 758 793 $,3665782240.0,0.999861,0.999463
2023-05-16,29 792 036 477 $,4684601953.0,1.001,0.999861
2023-05-15,29 949 809 798 $,2989475183.0,0.999459,1.001
2023-05-14,30 054 743 760 $,2779926715.0,0.998225,0.999459
2023-05-13,29 970 051 658 $,2576212365.0,1.001,0.998225
2023-05-12,30 028 195 165 $,6223143974.0,1.001,1.001
2023-05-11,30 071 349 959 $,6161463923.0,0.998842,1.001
2023-05-10,30 150 202 929 $,1650677925.0,0.998508,0.998842
2023-05-09,30 258 663 503 $,7189953381.0,1.001,0.998508
2023-05-08,30 342 574 924 $,1016965455.0,1.002,1.001
2023-05-07,30 369 654 736 $,5755380492.0,0.999246,1.002
2023-05-06,30 384 207 596 $,2337329890.0,1.0,0.999246
2023-05-05,30 144 375 003 $,4105803779.0,0.999884,1.0
2023-05-04,30 115 550 079 $,6606614474.0,0.998174,0.999884
2023-05-03,30 203 709 587 $,4867609700.0,0.998538,0.998174
2023-05-02,30 401 590 451 $,6110470662.0,1.001,0.998538
2023-05-01,30 507 262 544 $,4963158560.0,1.0,1.001
2023-04-30,30 517 472 542 $,3185876112.0,1.0,1.0
2023-04-29,30 505 673 945 $,6000601601.0,1.0,1.0
2023-04-28,30 558 401 325 $,5229575700.0,1.001,1.0
2023-04-27,30 761 326 834 $,5891072249.0,0.999669,1.001
2023-04-26,30 730 506 420 $,4559084547.0,1.001,0.999669
2023-04-25,30 724 101 062 $,4041555127.0,0.999349,1.001
2023-04-24,30 832 016 787 $,3195173042.0,1.001,0.999349
2023-04-23,30 800 816 723 $,3156942887.0,1.001,1.001
2023-04-22,30 781 229 060 $,4999585397.0,1.001,1.001
2023-04-21,30 998 429 491 $,4899698104.0,1.0,1.001
2023-04-20,31 274 020 649 $,5312197302.0,1.001,1.0
2023-04-19,31 381 919 832 $,4052763639.0,0.999641,1.001
2023-04-18,31 631 776 002 $,3951790544.0,0.999884,0.999641
2023-04-17,31 843 395 208 $,3681854721.0,1.0,0.999884
2023-04-16,31 807 237 206 $,3360892392.0,0.999354,1.0
2023-04-15,31 857 257 937 $,6003400109.0,1.001,0.999354
2023-04-14,31 978 840 381 $,4161348772.0,1.001,1.001
2023-04-13,32 038 453 660 $,4162798530.0,0.999721,1.001
2023-04-12,32 413 088 279 $,3845052927.0,1.0,0.999721
2023-04-11,32 369 910 064 $,3351236612.0,1.0,1.0
2023-04-10,32 618 005 275 $,2334441684.0,1.0,1.0
2023-04-09,32 622 414 241 $,2115280262.0,1.0,1.0
2023-04-08,32 617 421 144 $,2740756189.0,1.001,1.0
2023-04-07,32 758 616 583 $,3784131944.0,1.0,1.001
2023-04-06,32 640 958 003 $,4095750674.0,0.999825,1.0
2023-04-05,32 706 455 681 $,4018146687.0,1.001,0.999825
