Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,3 856 578 253 $,30878822.0,5.11,N/A
2023-05-21,3 981 323 150 $,22957629.0,5.28,5.11
2023-05-20,4 009 735 806 $,33083711.0,5.32,5.28
2023-05-19,4 001 865 246 $,54243456.0,5.3,5.32
2023-05-18,4 003 310 495 $,47968903.0,5.32,5.3
2023-05-17,3 883 581 068 $,36820910.0,5.15,5.32
2023-05-16,3 872 167 081 $,41021531.0,5.13,5.15
2023-05-15,3 864 117 973 $,34390351.0,5.13,5.13
2023-05-14,3 857 966 130 $,31681487.0,5.1,5.13
2023-05-13,3 916 598 558 $,59722191.0,5.2,5.1
2023-05-12,3 821 461 607 $,78649169.0,5.07,5.2
2023-05-11,3 865 719 205 $,93210380.0,5.13,5.07
2023-05-10,3 734 143 760 $,75246771.0,4.95,5.13
2023-05-09,3 747 756 211 $,130407691.0,4.98,4.95
2023-05-08,3 972 602 974 $,74411644.0,5.3,4.98
2023-05-07,3 988 317 785 $,110060038.0,5.3,5.3
2023-05-06,4 177 003 786 $,112104381.0,5.55,5.3
2023-05-05,3 967 626 639 $,55332643.0,5.26,5.55
2023-05-04,4 059 212 840 $,62764613.0,5.39,5.26
2023-05-03,4 011 770 597 $,54559907.0,5.32,5.39
2023-05-02,4 017 411 995 $,62538680.0,5.34,5.32
2023-05-01,4 125 723 194 $,58568131.0,5.48,5.34
2023-04-30,4 241 663 034 $,52912755.0,5.62,5.48
2023-04-29,4 165 451 910 $,54203058.0,5.53,5.62
2023-04-28,4 190 176 422 $,82636745.0,5.56,5.53
2023-04-27,4 025 463 789 $,101216757.0,5.34,5.56
2023-04-26,4 117 759 970 $,69898859.0,5.47,5.34
2023-04-25,4 036 698 428 $,72133158.0,5.36,5.47
2023-04-24,4 083 709 292 $,65067104.0,5.43,5.36
2023-04-23,4 149 610 006 $,63631421.0,5.5,5.43
2023-04-22,4 112 534 550 $,93044326.0,5.46,5.5
2023-04-21,4 356 612 694 $,88882755.0,5.78,5.46
2023-04-20,4 395 024 790 $,150016977.0,5.83,5.78
2023-04-19,4 776 865 099 $,97706010.0,6.33,5.83
2023-04-18,4 614 340 584 $,81974603.0,6.13,6.33
2023-04-17,4 760 421 605 $,97055846.0,6.31,6.13
2023-04-16,4 730 457 748 $,78498801.0,6.27,6.31
2023-04-15,4 757 253 852 $,136752472.0,6.31,6.27
2023-04-14,4 676 133 350 $,90108545.0,6.2,6.31
2023-04-13,4 484 300 232 $,93433197.0,5.95,6.2
2023-04-12,4 479 515 268 $,73765881.0,5.94,5.95
2023-04-11,4 541 748 708 $,76821445.0,6.02,5.94
2023-04-10,4 462 993 841 $,69786282.0,5.92,6.02
2023-04-09,4 467 768 898 $,70164147.0,5.92,5.92
2023-04-08,4 528 856 513 $,64813727.0,6.01,5.92
2023-04-07,4 582 672 295 $,62433929.0,6.08,6.01
2023-04-06,4 702 342 807 $,70862460.0,6.23,6.08
2023-04-05,4 640 398 907 $,71436080.0,6.16,6.23
2023-04-04,4 476 485 232 $,76608291.0,5.93,6.16
2023-04-03,4 483 457 783 $,52966668.0,5.95,5.93
2023-04-02,4 596 201 008 $,57770389.0,6.1,5.95
2023-04-01,4 573 417 060 $,76369196.0,6.06,6.1
2023-03-31,4 439 213 464 $,82254799.0,5.9,6.06
2023-03-30,4 485 386 843 $,71109518.0,5.96,5.9
2023-03-29,4 390 251 588 $,50293552.0,5.83,5.96
2023-03-28,4 256 049 639 $,59826598.0,5.66,5.83
2023-03-27,4 385 077 665 $,57699092.0,5.8,5.66
2023-03-26,4 337 745 093 $,66091098.0,5.75,5.8
2023-03-25,4 466 550 833 $,102979178.0,5.89,5.75
2023-03-24,4 728 609 439 $,73585895.0,6.28,5.89
2023-03-23,4 605 459 196 $,108448457.0,6.12,6.28
2023-03-22,4 866 937 693 $,88904490.0,6.46,6.12
2023-03-21,4 692 539 147 $,104037138.0,6.23,6.46
2023-03-20,4 950 693 994 $,104937609.0,6.54,6.23
2023-03-19,4 906 707 585 $,118017239.0,6.52,6.54
2023-03-18,4 850 651 371 $,103337353.0,6.43,6.52
2023-03-17,4 494 961 245 $,74736645.0,5.96,6.43
2023-03-16,4 471 108 271 $,111700190.0,5.94,5.96
2023-03-15,4 778 406 634 $,150721804.0,6.34,5.94
2023-03-14,4 607 312 656 $,156409578.0,6.1,6.34
2023-03-13,4 448 759 896 $,95778902.0,5.92,6.1
2023-03-12,4 094 908 731 $,127610381.0,5.44,5.92
2023-03-11,4 247 092 305 $,113367341.0,5.63,5.44
2023-03-10,4 318 203 590 $,83784063.0,5.75,5.63
2023-03-09,4 606 454 642 $,83838315.0,6.1,5.75
2023-03-08,4 841 692 941 $,89491397.0,6.43,6.1
2023-03-07,4 769 738 448 $,67036953.0,6.34,6.43
2023-03-06,4 785 687 399 $,67388838.0,6.35,6.34
2023-03-05,4 634 742 406 $,47477406.0,6.15,6.35
2023-03-04,4 720 317 067 $,93430517.0,6.27,6.15
2023-03-03,4 996 839 876 $,66207426.0,6.63,6.27
2023-03-02,5 163 511 432 $,92398902.0,6.84,6.63
2023-03-01,4 886 356 984 $,74792891.0,6.49,6.84
2023-02-28,4 856 219 633 $,69144262.0,6.44,6.49
