Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,4 169 850 227 $,45304711.0,26794.0,N/A
2023-05-21,4 213 728 480 $,30815127.0,27089.0,26794.0
2023-05-20,4 184 271 885 $,54623769.0,26890.0,27089.0
2023-05-19,4 159 250 836 $,84741268.0,26831.0,26890.0
2023-05-18,4 241 580 477 $,114068767.0,27368.0,26831.0
2023-05-17,4 192 558 973 $,71866775.0,27039.0,27368.0
2023-05-16,4 218 953 740 $,74476486.0,27235.0,27039.0
2023-05-15,4 179 523 988 $,62019099.0,26933.0,27235.0
2023-05-14,4 171 445 400 $,70886756.0,26771.0,26933.0
2023-05-13,4 143 491 056 $,190169179.0,26745.0,26771.0
2023-05-12,4 180 850 537 $,104851972.0,26985.0,26745.0
2023-05-11,4 259 546 224 $,154002164.0,27593.0,26985.0
2023-05-10,4 268 617 280 $,59956442.0,27643.0,27593.0
2023-05-09,4 268 859 458 $,177284621.0,27654.0,27643.0
2023-05-08,4 428 356 357 $,75184778.0,28668.0,27654.0
2023-05-07,4 450 569 901 $,164887247.0,28839.0,28668.0
2023-05-06,4 571 233 403 $,192062504.0,29605.0,28839.0
2023-05-05,4 457 550 131 $,79664337.0,28862.0,29605.0
2023-05-04,4 474 268 434 $,167148688.0,29013.0,28862.0
2023-05-03,4 420 370 737 $,107595098.0,28663.0,29013.0
2023-05-02,4 329 785 445 $,145723105.0,28111.0,28663.0
2023-05-01,4 523 622 261 $,91879641.0,29369.0,28111.0
2023-04-30,4 499 072 467 $,60900697.0,29217.0,29369.0
2023-04-29,4 523 081 719 $,127957353.0,29365.0,29217.0
2023-04-28,4 526 278 913 $,311095474.0,29451.0,29365.0
2023-04-27,4 350 234 874 $,337305719.0,28302.0,29451.0
2023-04-26,4 358 383 849 $,139941789.0,28324.0,28302.0
2023-04-25,4 227 223 111 $,139584802.0,27446.0,28324.0
2023-04-24,4 250 371 434 $,83779198.0,27570.0,27446.0
2023-04-23,4 296 583 159 $,82603956.0,27861.0,27570.0
2023-04-22,4 210 760 006 $,175449779.0,27301.0,27861.0
2023-04-21,4 336 022 549 $,149434788.0,28238.0,27301.0
2023-04-20,4 418 235 442 $,177996681.0,28788.0,28238.0
2023-04-19,4 654 303 599 $,138957687.0,30357.0,28788.0
2023-04-18,4 512 147 504 $,112705460.0,29557.0,30357.0
2023-04-17,4 572 689 743 $,115753517.0,30333.0,29557.0
2023-04-16,4 584 635 401 $,123693878.0,30399.0,30333.0
2023-04-15,4 593 529 577 $,377838978.0,30451.0,30399.0
2023-04-14,4 572 802 288 $,201232381.0,30413.0,30451.0
2023-04-13,4 506 850 262 $,201093019.0,29895.0,30413.0
2023-04-12,4 557 671 226 $,258536117.0,30247.0,29895.0
2023-04-11,4 473 803 133 $,173388347.0,29684.0,30247.0
2023-04-10,4 273 774 148 $,88370240.0,28306.0,29684.0
2023-04-09,4 224 693 172 $,72197367.0,27968.0,28306.0
2023-04-08,4 219 802 952 $,71478666.0,27954.0,27968.0
2023-04-07,4 241 562 834 $,102106594.0,28100.0,27954.0
2023-04-06,4 262 585 331 $,155158078.0,28225.0,28100.0
2023-04-05,4 261 748 348 $,152760151.0,28264.0,28225.0
2023-04-04,4 203 347 758 $,194300558.0,27915.0,28264.0
2023-04-03,4 235 984 489 $,83453611.0,28173.0,27915.0
2023-04-02,4 299 056 831 $,92414982.0,28579.0,28173.0
2023-04-01,4 295 392 848 $,158935203.0,28531.0,28579.0
2023-03-31,4 217 875 321 $,178476954.0,28027.0,28531.0
2023-03-30,4 264 216 879 $,183604775.0,28382.0,28027.0
2023-03-29,4 108 687 665 $,152083841.0,27328.0,28382.0
2023-03-28,4 082 503 844 $,172463922.0,27352.0,27328.0
2023-03-27,4 227 682 657 $,133486071.0,28068.0,27352.0
2023-03-26,4 160 076 571 $,73389276.0,27705.0,28068.0
2023-03-25,4 156 688 439 $,193578518.0,27529.0,27705.0
2023-03-24,4 283 053 953 $,216213604.0,28511.0,27529.0
2023-03-23,4 128 558 631 $,298311088.0,27510.0,28511.0
2023-03-22,4 240 029 743 $,319385163.0,28270.0,27510.0
2023-03-21,4 204 770 174 $,307970035.0,28007.0,28270.0
2023-03-20,4 249 637 169 $,289955330.0,28242.0,28007.0
2023-03-19,4 065 630 890 $,302985530.0,27075.0,28242.0
2023-03-18,4 116 765 180 $,419669797.0,27417.0,27075.0
2023-03-17,3 778 579 948 $,178417268.0,25154.0,27417.0
2023-03-16,3 671 248 983 $,411540480.0,24490.0,25154.0
2023-03-15,3 749 882 753 $,634591047.0,24788.0,24490.0
2023-03-14,3 695 521 084 $,614380680.0,24126.0,24788.0
2023-03-13,3 375 761 859 $,363615330.0,22099.0,24126.0
2023-03-12,3 145 280 994 $,808615452.0,20546.0,22099.0
2023-03-11,3 098 681 792 $,349798807.0,20242.0,20546.0
2023-03-10,3 119 592 496 $,264381240.0,20382.0,20242.0
2023-03-09,3 322 862 733 $,122156502.0,21701.0,20382.0
2023-03-08,3 394 596 395 $,155247168.0,22211.0,21701.0
2023-03-07,3 429 773 555 $,129626145.0,22402.0,22211.0
2023-03-06,3 434 905 160 $,148706115.0,22410.0,22402.0
2023-03-05,3 425 087 513 $,112027696.0,22371.0,22410.0
2023-03-04,3 423 256 284 $,195097819.0,22352.0,22371.0
2023-03-03,3 591 930 746 $,161284308.0,23473.0,22352.0
2023-03-02,3 620 726 894 $,184430821.0,23638.0,23473.0
2023-03-01,3 535 792 432 $,189812903.0,23093.0,23638.0
2023-02-28,3 869 112 750 $,193289504.0,23533.0,23093.0
2023-02-27,4 139 933 189 $,193668833.0,23539.0,23533.0
2023-02-26,4 071 083 516 $,200839541.0,23142.0,23539.0
2023-02-25,4 066 486 985 $,213936719.0,23185.0,23142.0
2023-02-24,4 187 962 419 $,232713829.0,23911.0,23185.0
2023-02-23,4 244 750 817 $,228264918.0,24138.0,23911.0
2023-02-22,4 281 847 970 $,251953477.0,24413.0,24138.0
2023-02-21,4 351 193 215 $,241169424.0,24749.0,24413.0
2023-02-20,4 288 636 274 $,200820563.0,24340.0,24749.0
2023-02-19,4 328 594 815 $,168303475.0,24624.0,24340.0
2023-02-18,4 330 650 492 $,285742537.0,24634.0,24624.0
2023-02-17,4 189 559 722 $,263336212.0,23799.0,24634.0
2023-02-16,4 274 095 030 $,226957723.0,24291.0,23799.0
2023-02-15,3 920 636 863 $,189028181.0,22276.0,24291.0
2023-02-14,3 830 318 313 $,192460888.0,21740.0,22276.0
2023-02-13,3 841 084 134 $,133058538.0,21766.0,21740.0
2023-02-12,3 854 888 553 $,140672516.0,21891.0,21766.0
2023-02-11,3 807 277 323 $,192158000.0,21612.0,21891.0
2023-02-10,3 846 494 732 $,236122848.0,21813.0,21612.0
2023-02-09,4 048 565 238 $,134861773.0,22958.0,21813.0
2023-02-08,4 103 192 740 $,124925043.0,23271.0,22958.0
2023-02-07,4 006 784 855 $,153528926.0,22759.0,23271.0
2023-02-06,4 051 093 882 $,107862030.0,22912.0,22759.0
2023-02-05,4 119 866 911 $,143008425.0,23315.0,22912.0
2023-02-04,4 130 519 145 $,152221479.0,23422.0,23315.0
2023-02-03,4 131 600 278 $,184998595.0,23459.0,23422.0
2023-02-02,4 181 041 214 $,144457700.0,23711.0,23459.0
2023-02-01,4 077 899 421 $,96817865.0,23105.0,23711.0
2023-01-31,4 014 930 616 $,178099740.0,22773.0,23105.0
2023-01-30,4 186 934 588 $,175120032.0,23730.0,22773.0
2023-01-29,4 065 316 664 $,91785621.0,23008.0,23730.0
2023-01-28,4 072 160 141 $,157908860.0,23027.0,23008.0
2023-01-27,4 070 381 088 $,157838776.0,23007.0,23027.0
2023-01-26,4 136 393 136 $,289677071.0,23206.0,23007.0
2023-01-25,4 035 157 246 $,226844838.0,22494.0,23206.0
2023-01-24,4 114 032 979 $,127941156.0,22945.0,22494.0
2023-01-23,4 089 145 731 $,124135861.0,22701.0,22945.0
2023-01-22,4 078 326 522 $,211344694.0,22629.0,22701.0
2023-01-21,4 072 245 976 $,137325851.0,22615.0,22629.0
2023-01-20,3 793 118 562 $,89740267.0,21049.0,22615.0
2023-01-19,3 739 981 305 $,164802718.0,20674.0,21049.0
2023-01-18,3 816 077 877 $,95971045.0,21144.0,20674.0
2023-01-17,3 886 201 332 $,163186806.0,21137.0,21144.0
2023-01-16,3 818 954 494 $,95720422.0,20863.0,21137.0
2023-01-15,3 855 144 692 $,347826180.0,21069.0,20863.0
2023-01-14,3 624 266 770 $,227950220.0,19796.45,21069.0
2023-01-13,3 446 507 119 $,213894362.0,18831.82,19796.45
2023-01-12,3 284 340 398 $,86471592.0,17906.24,18831.82
2023-01-11,3 190 653 599 $,59931548.0,17431.36,17906.24
2023-01-10,3 156 506 222 $,180515880.0,17237.88,17431.36
2023-01-09,3 117 890 387 $,30565285.0,17035.18,17237.88
2023-01-08,3 099 496 513 $,22626991.0,16939.44,17035.18
2023-01-07,3 101 172 229 $,60235708.0,16929.5,16939.44
2023-01-06,3 073 405 729 $,28462513.0,16820.39,16929.5
2023-01-05,3 085 469 290 $,76379228.0,16866.07,16820.39
2023-01-04,3 057 841 566 $,31723472.0,16703.23,16866.07
2023-01-03,3 050 869 318 $,44784005.0,16652.81,16703.23
2023-01-02,3 034 576 868 $,33661730.0,16528.0,16652.81
2023-01-01,3 032 125 381 $,32477736.0,16530.6,16528.0
2022-12-31,3 041 848 043 $,41441942.0,16601.94,16530.6
2022-12-30,3 046 574 166 $,49221562.0,16568.21,16601.94
2022-12-29,3 032 940 043 $,81355098.0,16504.07,16568.21
2022-12-28,3 067 945 931 $,106303301.0,16635.18,16504.07
2022-12-27,3 110 616 783 $,43486812.0,16870.49,16635.18
2022-12-26,3 093 666 897 $,56105108.0,16782.24,16870.49
2022-12-25,3 096 953 846 $,23134968.0,16789.61,16782.24
2022-12-24,3 091 598 191 $,56990928.0,16774.08,16789.61
2022-12-23,3 099 682 156 $,103818980.0,16812.9,16774.08
2022-12-22,3 093 261 009 $,63623531.0,16777.68,16812.9
2022-12-21,3 138 987 031 $,172164801.0,16882.43,16777.68
2022-12-20,3 047 265 059 $,87153841.0,16394.5,16882.43
2022-12-19,3 109 407 288 $,71351912.0,16714.25,16394.5
2022-12-18,3 112 735 094 $,88160305.0,16748.6,16714.25
2022-12-17,3 077 136 985 $,143277248.0,16586.89,16748.6
2022-12-16,3 211 033 719 $,114756311.0,17297.85,16586.89
2022-12-15,3 539 351 064 $,142937168.0,17772.12,17297.85
2022-12-14,3 542 434 554 $,137974975.0,17762.54,17772.12
2022-12-13,3 416 943 427 $,76600245.0,17142.34,17762.54
2022-12-12,3 420 744 351 $,35814804.0,17107.29,17142.34
2022-12-11,3 421 857 106 $,40422882.0,17097.06,17107.29
2022-12-10,3 425 959 016 $,64637094.0,17125.24,17097.06
2022-12-09,3 435 999 263 $,92830973.0,17170.2,17125.24
2022-12-08,3 364 269 865 $,69118711.0,16817.46,17170.2
2022-12-07,3 406 378 025 $,62396420.0,17043.4,16817.46
2022-12-06,3 569 737 077 $,112419572.0,16957.33,17043.4
2022-12-05,3 586 066 019 $,60631942.0,17085.0,16957.33
2022-12-04,3 550 431 662 $,99711141.0,16895.56,17085.0
2022-12-03,3 573 932 607 $,98827989.0,17026.69,16895.56
2022-12-02,3 634 842 429 $,94161664.0,16931.1,17026.69
2022-12-01,3 691 496 112 $,174462562.0,17171.47,16931.1
2022-11-30,3 538 410 485 $,84783715.0,16396.06,17171.47
2022-11-29,3 503 100 223 $,114032240.0,16195.33,16396.06
2022-11-28,3 575 604 468 $,140628446.0,16385.25,16195.33
2022-11-27,3 618 756 349 $,272353976.0,16381.26,16385.25
2022-11-26,3 692 062 656 $,491223992.0,16373.97,16381.26
2022-11-25,3 779 836 350 $,175262274.0,16492.38,16373.97
2022-11-24,3 828 179 875 $,171269886.0,16534.2,16492.38
2022-11-23,3 763 109 534 $,217288861.0,16148.74,16534.2
2022-11-22,3 704 158 819 $,323495128.0,15744.48,16148.74
2022-11-21,3 809 262 061 $,395238351.0,16162.6,15744.48
2022-11-20,3 918 607 339 $,140509609.0,16629.15,16162.6
2022-11-19,3 918 818 314 $,94123683.0,16683.36,16629.15
2022-11-18,3 934 594 932 $,170498878.0,16640.49,16683.36
2022-11-17,3 940 197 725 $,159849792.0,16645.21,16640.49
2022-11-16,3 995 484 768 $,165335810.0,16838.43,16645.21
2022-11-15,3 964 380 022 $,283830225.0,16618.85,16838.43
2022-11-14,3 876 662 362 $,165011169.0,16296.06,16618.85
2022-11-13,3 990 385 607 $,274701521.0,16770.21,16296.06
2022-11-12,4 019 033 774 $,458543383.0,16910.85,16770.21
2022-11-11,4 177 107 136 $,724021199.0,17535.34,16910.85
2022-11-10,3 805 908 847 $,788895773.0,15687.07,17535.34
2022-11-09,4 542 176 145 $,656348253.0,18506.04,15687.07
2022-11-08,5 045 678 317 $,182675351.0,20560.0,18506.04
