Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,23 796 873 050 $,577572181.0,0.458641,N/A
2023-05-21,24 377 025 881 $,514027086.0,0.469594,0.458641
2023-05-20,24 327 746 705 $,1203165079.0,0.468877,0.469594
2023-05-19,23 918 491 004 $,1511866848.0,0.460764,0.468877
2023-05-18,23 256 361 575 $,1641651715.0,0.448733,0.460764
2023-05-17,22 818 727 048 $,1063961407.0,0.44081,0.448733
2023-05-16,22 182 629 326 $,825806498.0,0.428405,0.44081
2023-05-15,22 099 560 866 $,386393406.0,0.426351,0.428405
2023-05-14,22 111 880 538 $,401383428.0,0.425562,0.426351
2023-05-13,22 389 881 951 $,1316061803.0,0.431633,0.425562
2023-05-12,21 920 201 048 $,994189730.0,0.422956,0.431633
2023-05-11,22 424 416 872 $,1182617804.0,0.432245,0.422956
2023-05-10,22 304 188 424 $,1042751746.0,0.430063,0.432245
2023-05-09,22 244 894 416 $,1537388545.0,0.429675,0.430063
2023-05-08,23 508 258 509 $,440022181.0,0.452959,0.429675
2023-05-07,23 817 157 947 $,652294980.0,0.460065,0.452959
2023-05-06,24 242 740 787 $,977081363.0,0.467826,0.460065
2023-05-05,23 925 163 522 $,754621495.0,0.462304,0.467826
2023-05-04,23 972 787 438 $,1102846442.0,0.463365,0.462304
2023-05-03,24 075 470 305 $,969292690.0,0.465035,0.463365
2023-05-02,24 061 056 587 $,1011865605.0,0.465231,0.465035
2023-05-01,24 497 798 436 $,538719110.0,0.473067,0.465231
2023-04-30,24 729 043 164 $,630278067.0,0.477759,0.473067
2023-04-29,24 835 475 834 $,1253720407.0,0.480183,0.477759
2023-04-28,24 162 104 799 $,1709074270.0,0.467124,0.480183
2023-04-27,23 900 530 754 $,1735110890.0,0.461767,0.467124
2023-04-26,24 328 714 397 $,1208296461.0,0.470112,0.461767
2023-04-25,23 923 037 223 $,1371506902.0,0.461374,0.470112
2023-04-24,24 043 654 913 $,764793256.0,0.465374,0.461374
2023-04-23,24 522 972 209 $,962045941.0,0.474017,0.465374
2023-04-22,23 247 077 611 $,1488791192.0,0.449778,0.474017
2023-04-21,24 546 014 137 $,1557750803.0,0.474619,0.449778
2023-04-20,25 418 640 034 $,2206782404.0,0.49094,0.474619
2023-04-19,27 473 961 872 $,1197384612.0,0.531374,0.49094
2023-04-18,26 426 624 699 $,1050565458.0,0.511424,0.531374
2023-04-17,26 957 282 986 $,627790568.0,0.521175,0.511424
2023-04-16,26 973 876 117 $,809065913.0,0.520806,0.521175
2023-04-15,27 098 938 486 $,1686463892.0,0.523743,0.520806
2023-04-14,26 594 690 669 $,1078337862.0,0.5139,0.523743
2023-04-13,26 177 625 994 $,1295350693.0,0.505475,0.5139
2023-04-12,26 750 764 717 $,1328973144.0,0.517487,0.505475
2023-04-11,26 808 568 247 $,1057662396.0,0.518237,0.517487
2023-04-10,26 153 157 422 $,706849513.0,0.505905,0.518237
2023-04-09,26 189 001 074 $,752220124.0,0.506259,0.505905
2023-04-08,26 596 750 375 $,1226161821.0,0.514189,0.506259
2023-04-07,26 032 005 023 $,1224093380.0,0.503391,0.514189
2023-04-06,26 178 153 841 $,1542944162.0,0.506489,0.503391
2023-04-05,26 035 551 813 $,1359219754.0,0.504209,0.506489
2023-04-04,25 757 164 809 $,1874356757.0,0.497623,0.504209
2023-04-03,26 865 238 854 $,1622515475.0,0.520639,0.497623
2023-04-02,26 419 768 893 $,1966596474.0,0.510864,0.520639
2023-04-01,27 928 271 774 $,2114260332.0,0.538909,0.510864
2023-03-31,27 787 487 719 $,3170922799.0,0.537231,0.538909
2023-03-30,28 206 497 479 $,5031225482.0,0.545396,0.537231
2023-03-29,26 697 226 442 $,4020187192.0,0.516813,0.545396
2023-03-28,24 887 269 626 $,2674251775.0,0.480489,0.516813
2023-03-27,23 017 901 905 $,1450602337.0,0.450798,0.480489
2023-03-26,22 901 966 241 $,2226693786.0,0.44903,0.450798
2023-03-25,21 860 547 089 $,1705300122.0,0.4268,0.44903
2023-03-24,22 838 007 730 $,2294537470.0,0.44822,0.4268
2023-03-23,21 687 465 410 $,4517426408.0,0.425218,0.44822
2023-03-22,23 963 597 177 $,4548747517.0,0.470749,0.425218
2023-03-21,19 226 276 545 $,1313128523.0,0.377235,0.470749
2023-03-20,19 979 252 277 $,1440416397.0,0.389287,0.377235
2023-03-19,19 170 540 663 $,1097398135.0,0.376413,0.389287
2023-03-18,19 395 225 307 $,1269614935.0,0.380984,0.376413
2023-03-17,18 785 035 463 $,814391191.0,0.368343,0.380984
2023-03-16,18 449 948 264 $,1224433592.0,0.36204,0.368343
2023-03-15,19 095 493 030 $,1673162184.0,0.374893,0.36204
2023-03-14,19 067 422 017 $,1880603926.0,0.374133,0.374893
2023-03-13,18 910 866 411 $,1204499052.0,0.37247,0.374133
2023-03-12,18 618 245 861 $,1134168278.0,0.366037,0.37247
2023-03-11,18 960 880 522 $,1600399582.0,0.371984,0.366037
2023-03-10,19 038 584 759 $,1880109254.0,0.373153,0.371984
2023-03-09,19 902 227 509 $,2057330076.0,0.389546,0.373153
2023-03-08,19 403 006 997 $,1602133802.0,0.380919,0.389546
2023-03-07,18 870 930 797 $,1262642327.0,0.37095,0.380919
2023-03-06,18 772 296 579 $,531679794.0,0.368702,0.37095
2023-03-05,19 125 093 150 $,593218722.0,0.375483,0.368702
2023-03-04,19 357 672 478 $,1366537887.0,0.379773,0.375483
2023-03-03,19 261 288 581 $,909585578.0,0.377828,0.379773
2023-03-02,19 594 492 701 $,1016609363.0,0.384212,0.377828
2023-03-01,19 254 765 044 $,1097670874.0,0.378408,0.384212
2023-02-28,19 332 749 633 $,1153758556.0,0.379337,0.378408
2023-02-27,19 267 086 788 $,540159354.0,0.378009,0.379337
2023-02-26,19 283 599 327 $,647196608.0,0.378689,0.378009
2023-02-25,19 325 068 034 $,1058056428.0,0.379095,0.378689
2023-02-24,19 815 369 081 $,1131967738.0,0.389572,0.379095
2023-02-23,20 196 054 648 $,1391639960.0,0.395359,0.389572
2023-02-22,19 872 689 610 $,1404135579.0,0.391384,0.395359
2023-02-21,20 205 624 243 $,1741797303.0,0.397675,0.391384
2023-02-20,19 625 731 455 $,863659775.0,0.385606,0.397675
2023-02-19,20 036 416 118 $,575785061.0,0.394393,0.385606
2023-02-18,20 087 928 759 $,1212725512.0,0.395312,0.394393
2023-02-17,19 624 357 379 $,1437284192.0,0.386923,0.395312
2023-02-16,20 368 679 852 $,1320600526.0,0.401362,0.386923
2023-02-15,19 466 658 328 $,1276863097.0,0.383228,0.401362
2023-02-14,18 900 034 646 $,1370370835.0,0.372055,0.383228
2023-02-13,19 086 935 161 $,560863913.0,0.376051,0.372055
2023-02-12,19 569 331 798 $,511402934.0,0.385275,0.376051
2023-02-11,19 484 210 803 $,1049701312.0,0.383554,0.385275
2023-02-10,19 494 029 958 $,1821185002.0,0.383214,0.383554
2023-02-09,20 272 568 564 $,950354664.0,0.398693,0.383214
2023-02-08,20 578 617 234 $,1161291193.0,0.404885,0.398693
2023-02-07,19 987 203 911 $,1057791123.0,0.393766,0.404885
2023-02-06,20 322 531 847 $,863028589.0,0.399817,0.393766
2023-02-05,20 949 793 893 $,648944349.0,0.412134,0.399817
2023-02-04,20 950 682 122 $,978829007.0,0.412411,0.412134
2023-02-03,20 884 408 869 $,1151908010.0,0.41121,0.412411
2023-02-02,21 064 449 265 $,1250397867.0,0.414853,0.41121
2023-02-01,20 688 747 113 $,1197426393.0,0.407367,0.414853
2023-01-31,20 091 977 274 $,1441087626.0,0.396334,0.407367
2023-01-30,21 072 151 658 $,630042253.0,0.414971,0.396334
2023-01-29,20 794 792 978 $,565735710.0,0.409676,0.414971
2023-01-28,21 011 973 835 $,942400534.0,0.414002,0.409676
2023-01-27,20 916 108 969 $,1019272806.0,0.411116,0.414002
2023-01-26,21 255 807 577 $,1245728192.0,0.418659,0.411116
2023-01-25,20 714 879 210 $,1400007168.0,0.408773,0.418659
2023-01-24,21 638 028 918 $,2285698263.0,0.426669,0.408773
2023-01-23,20 425 679 976 $,852878507.0,0.402307,0.426669
2023-01-22,20 511 505 868 $,1142406486.0,0.404237,0.402307
2023-01-21,20 999 925 929 $,1186977053.0,0.4136,0.404237
2023-01-20,19 971 310 554 $,1255535646.0,0.394196,0.4136
2023-01-19,19 245 926 198 $,1702838567.0,0.379768,0.394196
2023-01-18,19 658 180 911 $,1138890767.0,0.388346,0.379768
2023-01-17,19 619 545 377 $,1668494268.0,0.387219,0.388346
2023-01-16,19 502 566 240 $,938035524.0,0.38466,0.387219
2023-01-15,20 080 653 280 $,1860485927.0,0.39578,0.38466
2023-01-14,19 580 764 524 $,1170148578.0,0.386685,0.39578
2023-01-13,19 039 106 716 $,1426759425.0,0.375708,0.386685
2023-01-12,19 038 727 678 $,1746275470.0,0.375168,0.375708
2023-01-11,17 792 177 164 $,917319432.0,0.351625,0.375168
2023-01-10,17 717 747 212 $,1539262895.0,0.349685,0.351625
2023-01-09,17 456 961 142 $,545985714.0,0.345226,0.349685
2023-01-08,17 420 356 238 $,342946546.0,0.344753,0.345226
2023-01-07,17 457 329 881 $,801001834.0,0.34512,0.344753
2023-01-06,17 116 070 602 $,744907999.0,0.338418,0.34512
2023-01-05,17 597 994 731 $,957585439.0,0.348149,0.338418
2023-01-04,17 382 384 970 $,955848915.0,0.343818,0.348149
2023-01-03,17 560 796 888 $,1581447168.0,0.34857,0.343818
2023-01-02,17 060 108 166 $,327129626.0,0.339066,0.34857
2023-01-01,17 121 133 958 $,404611674.0,0.340086,0.339066
2022-12-31,17 383 390 101 $,798701562.0,0.345433,0.340086
2022-12-30,17 294 056 583 $,1037430035.0,0.343259,0.345433
2022-12-29,17 929 049 867 $,979984595.0,0.35633,0.343259
2022-12-28,18 546 249 287 $,1069684995.0,0.367886,0.35633
2022-12-27,18 434 824 600 $,945058966.0,0.366143,0.367886
2022-12-26,17 471 177 171 $,339542350.0,0.346986,0.366143
2022-12-25,17 779 420 196 $,231622344.0,0.35318,0.346986
2022-12-24,17 856 407 421 $,666320113.0,0.355158,0.35318
2022-12-23,17 620 195 063 $,780045316.0,0.350078,0.355158
2022-12-22,17 435 599 303 $,858615195.0,0.34657,0.350078
2022-12-21,17 641 489 470 $,1027632998.0,0.350024,0.34657
2022-12-20,17 095 617 573 $,1118134740.0,0.339214,0.350024
2022-12-19,17 712 497 955 $,347030394.0,0.35071,0.339214
2022-12-18,17 909 121 465 $,654553882.0,0.355832,0.35071
2022-12-17,17 743 456 573 $,1170831763.0,0.35333,0.355832
2022-12-16,19 073 834 524 $,819703826.0,0.377909,0.35333
2022-12-15,19 501 737 943 $,1043286573.0,0.386704,0.377909
2022-12-14,19 922 570 552 $,1355988501.0,0.395014,0.386704
2022-12-13,19 594 256 740 $,1049862566.0,0.387826,0.395014
2022-12-12,19 283 214 294 $,395120823.0,0.382866,0.387826
2022-12-11,19 506 256 517 $,359503304.0,0.38776,0.382866
2022-12-10,19 664 656 225 $,801611082.0,0.390224,0.38776
2022-12-09,19 854 852 002 $,879857521.0,0.394916,0.390224
2022-12-08,19 328 530 509 $,959854684.0,0.384478,0.394916
2022-12-07,19 722 550 804 $,934598155.0,0.392378,0.384478
2022-12-06,19 651 351 255 $,1057341827.0,0.390779,0.392378
2022-12-05,19 722 117 912 $,491979075.0,0.392702,0.390779
2022-12-04,19 674 166 664 $,533721848.0,0.389865,0.392702
2022-12-03,19 969 808 624 $,888235350.0,0.398616,0.389865
2022-12-02,20 031 963 632 $,858081596.0,0.398586,0.398616
2022-12-01,20 719 087 977 $,1083227863.0,0.411192,0.398586
2022-11-30,20 106 137 882 $,1140526999.0,0.399796,0.411192
