Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,4 789 356 564 $,92 694 933 $,"14,32 $",N/A
2023-05-21,4 882 458 337 $,72 698 899 $,"14,62 $","14,32 $"
2023-05-20,4 902 751 675 $,104 484 169 $,"14,68 $","14,62 $"
2023-05-19,4 910 909 772 $,139 973 014 $,"14,70 $","14,68 $"
2023-05-18,5 053 116 259 $,145 268 129 $,"15,16 $","14,70 $"
2023-05-17,4 964 300 366 $,127 852 284 $,"14,90 $","15,16 $"
2023-05-16,5 036 630 418 $,145 604 948 $,"15,11 $","14,90 $"
2023-05-15,4 996 415 825 $,86 314 935 $,"15,02 $","15,11 $"
2023-05-14,4 977 585 096 $,78 209 553 $,"14,94 $","15,02 $"
2023-05-13,5 047 703 146 $,170 491 536 $,"15,20 $","14,94 $"
2023-05-12,4 967 737 842 $,150 411 024 $,"14,98 $","15,20 $"
2023-05-11,5 156 623 878 $,242 240 396 $,"15,56 $","14,98 $"
2023-05-10,5 075 546 179 $,131 939 228 $,"15,32 $","15,56 $"
2023-05-09,5 096 828 007 $,271 824 526 $,"15,42 $","15,32 $"
2023-05-08,5 451 856 528 $,102 184 611 $,"16,49 $","15,42 $"
2023-05-07,5 486 449 651 $,155 577 199 $,"16,63 $","16,49 $"
2023-05-06,5 740 989 225 $,198 487 167 $,"17,38 $","16,63 $"
2023-05-05,5 582 158 988 $,119 027 280 $,"16,92 $","17,38 $"
2023-05-04,5 668 624 901 $,180 750 583 $,"17,21 $","16,92 $"
2023-05-03,5 542 064 030 $,118 952 696 $,"16,86 $","17,21 $"
2023-05-02,5 475 575 239 $,150 202 606 $,"16,67 $","16,86 $"
2023-05-01,5 652 314 786 $,125 171 232 $,"17,20 $","16,67 $"
2023-04-30,5 729 638 210 $,103 122 633 $,"17,47 $","17,20 $"
2023-04-29,5 749 011 410 $,134 576 131 $,"17,56 $","17,47 $"
2023-04-28,5 792 252 786 $,219 845 420 $,"17,73 $","17,56 $"
2023-04-27,5 615 758 010 $,319 009 279 $,"17,17 $","17,73 $"
2023-04-26,5 773 911 481 $,223 582 072 $,"17,66 $","17,17 $"
2023-04-25,5 532 364 680 $,169 331 956 $,"16,94 $","17,66 $"
2023-04-24,5 504 683 045 $,142 242 557 $,"16,88 $","16,94 $"
2023-04-23,5 641 597 873 $,149 133 165 $,"17,26 $","16,88 $"
2023-04-22,5 534 822 190 $,333 334 822 $,"16,95 $","17,26 $"
2023-04-21,5 981 847 186 $,317 155 124 $,"18,32 $","16,95 $"
2023-04-20,6 192 002 677 $,436 292 723 $,"18,95 $","18,32 $"
2023-04-19,6 925 099 959 $,364 206 951 $,"21,21 $","18,95 $"
2023-04-18,6 693 551 147 $,581 579 377 $,"20,53 $","21,21 $"
2023-04-17,6 588 366 471 $,335 417 880 $,"20,22 $","20,53 $"
2023-04-16,6 235 653 174 $,217 413 976 $,"19,10 $","20,22 $"
2023-04-15,6 285 487 838 $,283 787 304 $,"19,26 $","19,10 $"
2023-04-14,6 146 233 513 $,289 632 216 $,"18,86 $","19,26 $"
2023-04-13,5 962 950 110 $,326 973 467 $,"18,26 $","18,86 $"
2023-04-12,5 927 631 443 $,208 447 948 $,"18,17 $","18,26 $"
2023-04-11,5 850 863 344 $,152 560 326 $,"17,94 $","18,17 $"
2023-04-10,5 731 763 825 $,128 865 651 $,"17,57 $","17,94 $"
2023-04-09,5 697 772 471 $,119 926 165 $,"17,47 $","17,57 $"
2023-04-08,5 749 930 250 $,159 360 606 $,"17,63 $","17,47 $"
2023-04-07,5 877 206 035 $,210 732 630 $,"18,00 $","17,63 $"
2023-04-06,5 876 578 953 $,258 959 271 $,"18,00 $","18,00 $"
2023-04-05,5 751 564 430 $,167 360 526 $,"17,65 $","18,00 $"
2023-04-04,5 586 018 883 $,211 281 143 $,"17,11 $","17,65 $"
2023-04-03,5 632 715 156 $,140 737 668 $,"17,30 $","17,11 $"
2023-04-02,5 800 058 807 $,138 456 550 $,"17,79 $","17,30 $"
2023-04-01,5 774 920 284 $,219 235 414 $,"17,72 $","17,79 $"
2023-03-31,5 618 941 328 $,237 278 413 $,"17,25 $","17,72 $"
2023-03-30,5 637 486 299 $,213 256 390 $,"17,31 $","17,25 $"
