Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,48 421 119 399 $,328 187 256 $,"306,56 $",N/A
2023-05-21,49 028 080 181 $,261 538 250 $,"310,47 $","306,56 $"
2023-05-20,48 777 238 816 $,390 450 101 $,"308,98 $","310,47 $"
2023-05-19,48 900 502 712 $,316 671 000 $,"309,50 $","308,98 $"
2023-05-18,49 564 395 154 $,431 598 390 $,"313,95 $","309,50 $"
2023-05-17,49 198 400 101 $,390 805 630 $,"311,46 $","313,95 $"
2023-05-16,49 558 425 065 $,434 872 016 $,"313,94 $","311,46 $"
2023-05-15,49 226 381 036 $,426 917 646 $,"311,90 $","313,94 $"
2023-05-14,49 210 307 280 $,381 183 864 $,"311,04 $","311,90 $"
2023-05-13,48 690 756 821 $,603 776 406 $,"308,60 $","311,04 $"
2023-05-12,48 590 747 015 $,524 985 558 $,"307,79 $","308,60 $"
2023-05-11,49 662 394 090 $,610 558 343 $,"314,58 $","307,79 $"
2023-05-10,49 306 858 317 $,412 928 464 $,"312,13 $","314,58 $"
2023-05-09,49 549 048 279 $,621 524 861 $,"313,94 $","312,13 $"
2023-05-08,50 844 724 701 $,444 617 992 $,"322,31 $","313,94 $"
2023-05-07,50 941 464 919 $,549 648 650 $,"322,70 $","322,31 $"
2023-05-06,51 599 872 889 $,576 517 786 $,"326,82 $","322,70 $"
2023-05-05,51 152 998 818 $,454 308 975 $,"323,82 $","326,82 $"
2023-05-04,51 423 455 643 $,1 041 154 859 $,"326,01 $","323,82 $"
2023-05-03,50 888 408 585 $,452 507 447 $,"322,21 $","326,01 $"
2023-05-02,51 933 432 317 $,1 154 791 181 $,"328,97 $","322,21 $"
2023-05-01,53 251 356 964 $,1 090 442 724 $,"337,62 $","328,97 $"
2023-04-30,50 858 247 901 $,478 613 089 $,"321,77 $","337,62 $"
2023-04-29,51 224 904 112 $,1 424 162 568 $,"324,48 $","321,77 $"
2023-04-28,52 415 571 801 $,1 343 734 689 $,"331,51 $","324,48 $"
2023-04-27,52 172 391 454 $,1 092 842 792 $,"330,44 $","331,51 $"
2023-04-26,53 516 035 779 $,785 289 598 $,"339,10 $","330,44 $"
2023-04-25,52 279 828 639 $,824 508 785 $,"331,15 $","339,10 $"
2023-04-24,52 165 975 187 $,813 713 561 $,"330,68 $","331,15 $"
2023-04-23,52 527 550 309 $,832 518 966 $,"332,41 $","330,68 $"
2023-04-22,50 793 309 307 $,1 346 836 221 $,"321,60 $","332,41 $"
2023-04-21,50 076 803 640 $,683 865 621 $,"317,78 $","321,60 $"
2023-04-20,50 996 266 810 $,985 507 233 $,"322,35 $","317,78 $"
2023-04-19,54 204 297 111 $,846 447 082 $,"343,01 $","322,35 $"
2023-04-18,53 664 070 532 $,973 941 455 $,"340,03 $","343,01 $"
2023-04-17,54 913 630 927 $,1 075 190 126 $,"347,87 $","340,03 $"
2023-04-16,52 662 920 699 $,740 571 912 $,"333,27 $","347,87 $"
2023-04-15,51 952 175 557 $,1 091 698 237 $,"328,98 $","333,27 $"
2023-04-14,51 295 369 255 $,632 784 569 $,"325,03 $","328,98 $"
2023-04-13,50 587 359 530 $,451 476 956 $,"320,29 $","325,03 $"
2023-04-12,50 988 411 866 $,1 121 318 920 $,"322,73 $","320,29 $"
2023-04-11,50 278 276 856 $,571 039 270 $,"318,23 $","322,73 $"
2023-04-10,49 448 040 243 $,417 632 833 $,"313,01 $","318,23 $"
2023-04-09,49 063 096 682 $,405 518 011 $,"310,66 $","313,01 $"
2023-04-08,49 053 688 106 $,348 203 531 $,"310,83 $","310,66 $"
2023-04-07,49 315 808 887 $,490 400 831 $,"312,37 $","310,83 $"
2023-04-06,49 641 625 564 $,601 075 886 $,"314,28 $","312,37 $"
2023-04-05,49 087 111 958 $,659 840 226 $,"310,99 $","314,28 $"
2023-04-04,48 834 992 856 $,747 571 396 $,"308,85 $","310,99 $"
2023-04-03,49 580 832 087 $,362 774 663 $,"314,11 $","308,85 $"
2023-04-02,49 738 899 677 $,413 653 443 $,"315,08 $","314,11 $"
2023-04-01,50 095 782 785 $,555 650 020 $,"317,26 $","315,08 $"
2023-03-31,50 168 780 547 $,160 176 097 $,"317,12 $","317,26 $"
2023-03-30,49 577 395 649 $,704 587 677 $,"314,15 $","317,12 $"
2023-03-29,49 485 646 212 $,658 161 657 $,"313,58 $","314,15 $"
2023-03-28,49 079 615 720 $,997 088 502 $,"311,51 $","313,58 $"
2023-03-27,52 057 241 787 $,526 856 127 $,"329,15 $","311,51 $"
2023-03-26,51 256 796 650 $,503 625 770 $,"324,55 $","329,15 $"
2023-03-25,51 206 299 865 $,621 238 646 $,"324,08 $","324,55 $"
2023-03-24,52 201 524 708 $,536 796 199 $,"331,25 $","324,08 $"
2023-03-23,51 090 160 091 $,1 814 263 587 $,"323,60 $","331,25 $"
2023-03-22,53 201 553 977 $,701 983 178 $,"336,89 $","323,60 $"
2023-03-21,52 937 903 482 $,971 414 875 $,"335,60 $","336,89 $"
2023-03-20,53 585 863 733 $,1 119 946 336 $,"337,45 $","335,60 $"
2023-03-19,52 572 257 614 $,1 170 238 152 $,"333,03 $","337,45 $"
2023-03-18,53 560 165 300 $,1 414 370 161 $,"339,76 $","333,03 $"
2023-03-17,52 391 403 812 $,2 047 768 477 $,"331,53 $","339,76 $"
2023-03-16,48 551 821 321 $,960 165 740 $,"307,72 $","331,53 $"
2023-03-15,48 897 303 943 $,1 256 202 196 $,"309,58 $","307,72 $"
2023-03-14,48 742 270 524 $,1 335 818 570 $,"308,72 $","309,58 $"
2023-03-13,45 537 337 811 $,612 009 105 $,"289,79 $","308,72 $"
2023-03-12,43 464 995 301 $,403 056 782 $,"275,74 $","289,79 $"
2023-03-11,43 804 338 398 $,798 558 784 $,"277,03 $","275,74 $"
2023-03-10,43 661 786 795 $,567 240 688 $,"277,49 $","277,03 $"
2023-03-09,45 478 533 321 $,542 305 823 $,"286,69 $","277,49 $"
2023-03-08,45 570 679 869 $,404 064 176 $,"289,25 $","286,69 $"
2023-03-07,45 478 695 801 $,374 939 331 $,"288,02 $","289,25 $"
2023-03-06,45 495 219 628 $,390 135 653 $,"288,62 $","288,02 $"
2023-03-05,45 700 004 126 $,176 384 110 $,"289,17 $","288,62 $"
2023-03-04,45 805 267 735 $,551 796 724 $,"290,22 $","289,17 $"
2023-03-03,47 378 215 432 $,442 900 345 $,"299,82 $","290,22 $"
2023-03-02,47 810 909 893 $,46 710 425 $,"303,18 $","299,82 $"
2023-03-01,47 506 411 710 $,430 335 214 $,"301,30 $","303,18 $"
2023-02-28,48 144 114 205 $,493 844 166 $,"304,56 $","301,30 $"
2023-02-27,48 751 232 145 $,454 441 353 $,"308,57 $","304,56 $"
2023-02-26,47 710 101 863 $,463 170 459 $,"302,14 $","308,57 $"
2023-02-25,47 654 082 072 $,661 382 773 $,"301,83 $","302,14 $"
2023-02-24,48 689 301 152 $,768 415 804 $,"308,51 $","301,83 $"
2023-02-23,49 367 058 958 $,929 231 102 $,"312,46 $","308,51 $"
2023-02-22,49 103 313 729 $,744 251 696 $,"311,08 $","312,46 $"
2023-02-21,49 710 803 984 $,883 654 966 $,"314,94 $","311,08 $"
2023-02-20,49 473 349 358 $,780 739 779 $,"311,35 $","314,94 $"
2023-02-19,49 856 817 083 $,642 090 261 $,"316,21 $","311,35 $"
2023-02-18,49 577 894 902 $,1 114 028 934 $,"313,67 $","316,21 $"
2023-02-17,48 379 049 686 $,1 643 331 080 $,"306,76 $","313,67 $"
2023-02-16,50 074 569 839 $,1 031 520 467 $,"317,25 $","306,76 $"
2023-02-15,46 811 338 178 $,1 005 050 377 $,"296,20 $","317,25 $"
2023-02-14,46 259 599 942 $,532 374 603 $,"293,32 $","296,20 $"
2023-02-13,49 507 659 250 $,39 039 404 $,"313,55 $","293,32 $"
2023-02-12,49 146 214 018 $,454 948 261 $,"310,99 $","313,55 $"
2023-02-11,48 368 078 948 $,624 450 063 $,"305,92 $","310,99 $"
2023-02-10,48 291 721 477 $,1 346 549 933 $,"305,75 $","305,92 $"
2023-02-09,51 836 845 864 $,729 847 579 $,"328,37 $","305,75 $"
2023-02-08,52 687 066 245 $,581 601 059 $,"333,39 $","328,37 $"
2023-02-07,43 820 319 411 $,686 777 874 $,"324,97 $","333,39 $"
2023-02-06,44 225 334 687 $,214 914 371 $,"327,66 $","324,97 $"
2023-02-05,44 651 269 261 $,465 200 874 $,"330,85 $","327,66 $"
2023-02-04,44 840 122 542 $,1 268 188 757 $,"332,28 $","330,85 $"
2023-02-03,43 801 457 182 $,84 078 875 $,"325,44 $","332,28 $"
2023-02-02,42 847 286 858 $,859 050 895 $,"317,65 $","325,44 $"
2023-02-01,42 108 205 614 $,686 300 740 $,"312,51 $","317,65 $"
2023-01-31,41 374 485 113 $,923 049 425 $,"307,06 $","312,51 $"
2023-01-30,42 808 011 985 $,451 076 761 $,"317,31 $","307,06 $"
2023-01-29,41 254 850 790 $,537 183 723 $,"305,95 $","317,31 $"
2023-01-28,41 645 249 790 $,622 950 363 $,"308,46 $","305,95 $"
2023-01-27,41 149 656 905 $,698 771 570 $,"304,89 $","308,46 $"
2023-01-26,41 483 151 363 $,66 745 144 $,"307,09 $","304,89 $"
2023-01-25,40 710 000 030 $,1 360 044 174 $,"300,56 $","307,09 $"
2023-01-24,41 352 793 245 $,769 750 138 $,"306,09 $","300,56 $"
2023-01-23,40 887 166 881 $,150 521 092 $,"303,17 $","306,09 $"
2023-01-22,40 342 844 635 $,887 023 242 $,"298,96 $","303,17 $"
2023-01-21,41 107 817 143 $,924 329 020 $,"304,95 $","298,96 $"
2023-01-20,39 775 681 143 $,525 255 021 $,"294,75 $","304,95 $"
2023-01-19,38 863 899 341 $,935 963 363 $,"287,71 $","294,75 $"
2023-01-18,48 934 162 212 $,609 443 150 $,"300,19 $","287,71 $"
2023-01-17,48 792 209 674 $,781 896 458 $,"298,90 $","300,19 $"
2023-01-16,49 222 768 561 $,736 192 125 $,"301,71 $","298,90 $"
2023-01-15,49 943 815 084 $,621 263 980 $,"305,81 $","301,71 $"
2023-01-14,47 947 758 393 $,741 863 437 $,"294,14 $","305,81 $"
2023-01-13,46 937 912 182 $,572 474 025 $,"287,39 $","294,14 $"
2023-01-12,46 586 461 239 $,644 490 450 $,"285,47 $","287,39 $"
2023-01-11,45 318 222 266 $,577 193 155 $,"277,10 $","285,47 $"
2023-01-10,44 542 012 427 $,967 672 470 $,"272,73 $","277,10 $"
2023-01-09,44 656 906 521 $,406 080 943 $,"273,54 $","272,73 $"
2023-01-08,42 647 994 855 $,302 718 781 $,"261,32 $","273,54 $"
2023-01-07,42 404 102 106 $,453 907 517 $,"259,80 $","261,32 $"
2023-01-06,41 882 966 205 $,167 603 343 $,"256,47 $","259,80 $"
2023-01-05,42 262 890 457 $,713 673 930 $,"259,13 $","256,47 $"
2023-01-04,40 194 802 591 $,256 645 349 $,"246,21 $","259,13 $"
2023-01-03,40 136 162 129 $,393 346 446 $,"245,43 $","246,21 $"
2023-01-02,39 852 514 894 $,230 405 873 $,"244,06 $","245,43 $"
2023-01-01,40 273 794 262 $,17 764 482 $,"246,66 $","244,06 $"
2022-12-31,40 164 375 080 $,298 665 937 $,"245,84 $","246,66 $"
2022-12-30,40 230 209 465 $,148 453 239 $,"246,45 $","245,84 $"
2022-12-29,39 817 009 960 $,145 440 839 $,"244,03 $","246,45 $"
2022-12-28,40 184 438 105 $,307 601 730 $,"246,44 $","244,03 $"
2022-12-27,39 767 865 335 $,268 504 876 $,"243,75 $","246,44 $"
2022-12-26,39 699 718 822 $,280 337 157 $,"243,34 $","243,75 $"
2022-12-25,39 956 711 781 $,263 445 843 $,"244,74 $","243,34 $"
2022-12-24,40 196 349 507 $,381 696 111 $,"246,22 $","244,74 $"
2022-12-23,40 140 034 038 $,556 887 081 $,"245,95 $","246,22 $"
2022-12-22,40 173 092 498 $,521 176 570 $,"245,84 $","245,95 $"
2022-12-21,41 087 025 962 $,692 548 472 $,"251,68 $","245,84 $"
2022-12-20,39 390 259 950 $,384 674 163 $,"241,19 $","251,68 $"
2022-12-19,41 190 139 611 $,360 672 454 $,"251,65 $","241,19 $"
2022-12-18,39 515 739 968 $,1 505 549 357 $,"242,83 $","251,65 $"
2022-12-17,37 108 234 938 $,99 313 764 $,"227,86 $","242,83 $"
2022-12-16,42 062 237 376 $,496 922 719 $,"257,29 $","227,86 $"
2022-12-15,43 816 838 361 $,1 230 823 034 $,"268,28 $","257,29 $"
2022-12-14,44 442 840 989 $,1 038 027 779 $,"272,09 $","268,28 $"
2022-12-13,45 247 815 339 $,308 501 681 $,"276,95 $","272,09 $"
2022-12-12,46 459 874 594 $,356 251 072 $,"284,49 $","276,95 $"
2022-12-11,46 979 017 087 $,439 505 797 $,"288,02 $","284,49 $"
2022-12-10,46 755 914 537 $,639 138 701 $,"286,23 $","288,02 $"
2022-12-09,47 360 717 202 $,720 497 813 $,"290,52 $","286,23 $"
2022-12-08,46 475 738 118 $,775 412 065 $,"284,46 $","290,52 $"
2022-12-07,47 388 136 404 $,641 666 867 $,"290,19 $","284,46 $"
2022-12-06,47 134 321 600 $,721 593 434 $,"288,59 $","290,19 $"
2022-12-05,47 722 863 607 $,665 815 594 $,"292,55 $","288,59 $"
2022-12-04,47 591 443 112 $,703 884 125 $,"291,02 $","292,55 $"
2022-12-03,47 789 712 926 $,49 427 731 $,"292,77 $","291,02 $"
2022-12-02,47 684 754 833 $,1 718 187 301 $,"292,09 $","292,77 $"
2022-12-01,49 274 297 384 $,944 822 626 $,"301,71 $","292,09 $"
2022-11-30,48 390 045 095 $,136 503 300 $,"296,41 $","301,71 $"
2022-11-29,47 949 642 741 $,1 291 367 056 $,"293,65 $","296,41 $"
2022-11-28,50 254 569 004 $,794 833 046 $,"307,57 $","293,65 $"
2022-11-27,50 825 864 030 $,1 394 413 990 $,"311,24 $","307,57 $"
2022-11-26,49 109 400 048 $,598 170 272 $,"300,81 $","311,24 $"
2022-11-25,49 040 106 670 $,1 002 366 660 $,"300,73 $","300,81 $"
2022-11-24,48 702 064 860 $,218 835 083 $,"297,75 $","300,73 $"
2022-11-23,43 586 685 572 $,787 412 866 $,"266,36 $","297,75 $"
2022-11-22,41 538 741 494 $,1 157 275 625 $,"254,40 $","266,36 $"
2022-11-21,43 149 905 939 $,476 496 984 $,"264,40 $","254,40 $"
2022-11-20,44 498 964 733 $,316 487 895 $,"272,36 $","264,40 $"
2022-11-19,44 733 949 105 $,593 920 125 $,"274,08 $","272,36 $"
2022-11-18,43 762 525 622 $,589 270 203 $,"268,15 $","274,08 $"
2022-11-17,44 379 314 947 $,895 350 351 $,"272,25 $","268,15 $"
2022-11-16,45 276 634 125 $,1 056 184 721 $,"277,14 $","272,25 $"
2022-11-15,45 595 436 004 $,1 587 096 552 $,"278,40 $","277,14 $"
2022-11-14,45 079 657 180 $,1 029 304 209 $,"276,63 $","278,40 $"
2022-11-13,45 956 774 660 $,1 319 689 081 $,"281,78 $","276,63 $"
2022-11-12,47 348 254 052 $,1 822 439 188 $,"291,05 $","281,78 $"
2022-11-11,49 453 629 190 $,2 829 805 459 $,"303,55 $","291,05 $"
2022-11-10,43 045 983 596 $,2 967 391 235 $,"264,02 $","303,55 $"
2022-11-09,54 109 010 975 $,2 457 633 083 $,"330,70 $","264,02 $"
2022-11-08,54 937 029 726 $,3 463 407 070 $,"337,00 $","330,70 $"
2022-11-07,55 830 055 509 $,1 951 301 965 $,"340,89 $","337,00 $"
2022-11-06,56 955 128 372 $,86 762 245 $,"348,70 $","340,89 $"
2022-11-05,57 629 043 553 $,482 084 447 $,"352,95 $","348,70 $"
2022-11-04,53 729 673 249 $,2 914 407 353 $,"329,58 $","352,95 $"
2022-11-03,52 253 322 652 $,2 441 288 354 $,"320,26 $","329,58 $"
2022-11-02,53 045 918 786 $,2 472 618 807 $,"324,69 $","320,26 $"
2022-11-01,53 528 392 692 $,2 574 887 906 $,"326,32 $","324,69 $"
2022-10-31,51 110 669 156 $,1 619 397 557 $,"313,60 $","326,32 $"
2022-10-30,49 556 125 470 $,1 434 607 962 $,"303,66 $","313,60 $"
2022-10-29,48 606 139 721 $,244 128 552 $,"297,70 $","303,66 $"
2022-10-28,46 874 589 627 $,498 014 883 $,"287,01 $","297,70 $"
2022-10-27,47 393 552 587 $,305 360 483 $,"290,22 $","287,01 $"
2022-10-26,46 656 222 266 $,908 333 564 $,"285,15 $","290,22 $"
2022-10-25,44 622 894 154 $,468 905 490 $,"273,66 $","285,15 $"
2022-10-24,45 036 253 670 $,425 481 974 $,"276,02 $","273,66 $"
2022-10-23,44 153 416 937 $,111 147 720 $,"270,44 $","276,02 $"
2022-10-22,44 082 565 735 $,535 671 514 $,"269,97 $","270,44 $"
2022-10-21,43 919 112 785 $,246 682 793 $,"268,97 $","269,97 $"
2022-10-20,44 327 023 282 $,196 181 369 $,"271,63 $","268,97 $"
2022-10-19,44 649 912 359 $,415 377 960 $,"273,35 $","271,63 $"
2022-10-18,45 002 578 231 $,454 896 074 $,"275,82 $","273,35 $"
2022-10-17,44 431 434 369 $,442 972 908 $,"272,36 $","275,82 $"
2022-10-16,43 876 754 813 $,139 004 436 $,"268,81 $","272,36 $"
2022-10-15,43 918 740 944 $,35 486 912 $,"269,20 $","268,81 $"
2022-10-14,44 381 601 383 $,990 860 816 $,"271,81 $","269,20 $"
2022-10-13,44 244 724 964 $,411 506 007 $,"270,92 $","271,81 $"
2022-10-12,44 256 837 124 $,519 272 844 $,"271,37 $","270,92 $"
2022-10-11,44 486 786 749 $,533 177 534 $,"271,89 $","271,37 $"
2022-10-10,45 353 431 566 $,422 533 959 $,"278,21 $","271,89 $"
2022-10-09,45 097 700 498 $,460 043 777 $,"276,20 $","278,21 $"
2022-10-08,46 074 108 670 $,941 674 778 $,"282,14 $","276,20 $"
2022-10-07,46 461 345 518 $,217 913 560 $,"284,68 $","282,14 $"
2022-10-06,48 013 554 582 $,543 029 076 $,"293,99 $","284,68 $"
2022-10-05,48 396 050 335 $,728 336 449 $,"296,48 $","293,99 $"
2022-10-04,46 843 391 805 $,605 113 949 $,"287,02 $","296,48 $"
2022-10-03,46 627 866 231 $,469 428 210 $,"284,94 $","287,02 $"
2022-10-02,46 143 731 337 $,414 255 338 $,"282,87 $","284,94 $"
2022-10-01,46 399 832 662 $,367 994 492 $,"284,01 $","282,87 $"
2022-09-30,46 295 594 360 $,699 402 558 $,"283,75 $","284,01 $"
2022-09-29,45 985 363 666 $,252 004 911 $,"281,36 $","283,75 $"
2022-09-28,44 501 118 451 $,820 521 274 $,"272,55 $","281,36 $"
2022-09-27,44 942 732 070 $,454 677 113 $,"275,65 $","272,55 $"
2022-09-26,44 725 198 716 $,252 974 909 $,"274,09 $","275,65 $"
2022-09-25,45 005 324 723 $,561 051 872 $,"275,44 $","274,09 $"
2022-09-24,45 185 478 739 $,787 790 764 $,"276,54 $","275,44 $"
2022-09-23,44 981 567 511 $,750 846 868 $,"275,94 $","276,54 $"
2022-09-22,43 192 546 029 $,429 925 395 $,"264,64 $","275,94 $"
2022-09-21,43 537 042 605 $,715 084 655 $,"266,31 $","264,64 $"
2022-09-20,44 476 332 737 $,915 888 747 $,"272,29 $","266,31 $"
2022-09-19,43 523 757 865 $,619 323 051 $,"266,62 $","272,29 $"
2022-09-18,45 616 157 324 $,455 331 745 $,"279,34 $","266,62 $"
2022-09-17,44 781 850 539 $,691 151 537 $,"274,35 $","279,34 $"
2022-09-16,44 237 559 175 $,880 165 870 $,"270,73 $","274,35 $"
2022-09-15,45 617 788 344 $,637 022 201 $,"279,72 $","270,73 $"
2022-09-14,45 169 037 859 $,1 062 897 595 $,"277,42 $","279,72 $"
2022-09-13,47 815 172 004 $,687 391 716 $,"293,03 $","277,42 $"
2022-09-12,48 115 913 412 $,475 052 433 $,"294,76 $","293,03 $"
2022-09-11,48 573 687 139 $,578 541 819 $,"297,53 $","294,76 $"
2022-09-10,47 844 370 267 $,1 041 667 243 $,"293,03 $","297,53 $"
2022-09-09,45 796 774 077 $,745 223 780 $,"280,56 $","293,03 $"
2022-09-08,45 453 989 049 $,891 912 791 $,"278,77 $","280,56 $"
2022-09-07,43 155 638 706 $,929 496 549 $,"264,04 $","278,77 $"
2022-09-06,45 101 612 118 $,553 587 756 $,"276,55 $","264,04 $"
2022-09-05,45 476 672 065 $,418 828 209 $,"278,75 $","276,55 $"
2022-09-04,45 346 195 157 $,382 128 516 $,"277,52 $","278,75 $"
2022-09-03,45 198 465 388 $,176 346 268 $,"276,78 $","277,52 $"
2022-09-02,45 462 861 465 $,866 758 764 $,"278,87 $","276,78 $"
2022-09-01,45 512 248 504 $,336 434 858 $,"278,58 $","278,87 $"
2022-08-31,46 046 373 619 $,364 213 047 $,"281,29 $","278,58 $"
2022-08-30,46 716 386 630 $,908 062 237 $,"286,41 $","281,29 $"
2022-08-29,45 374 822 895 $,419 819 778 $,"277,78 $","286,41 $"
2022-08-28,45 369 238 899 $,289 644 996 $,"277,85 $","277,78 $"
2022-08-27,45 470 473 383 $,1 018 341 640 $,"279,41 $","277,85 $"
2022-08-26,49 272 835 872 $,805 713 579 $,"301,82 $","279,41 $"
2022-08-25,48 379 260 404 $,838 987 390 $,"296,42 $","301,82 $"
2022-08-24,48 982 780 106 $,1 057 636 829 $,"299,46 $","296,42 $"
2022-08-23,49 150 485 248 $,1 570 719 770 $,"301,16 $","299,46 $"
2022-08-22,49 486 226 301 $,1 195 298 206 $,"303,02 $","301,16 $"
2022-08-21,46 252 370 172 $,1 246 837 966 $,"283,66 $","303,02 $"
2022-08-20,45 642 954 306 $,1 657 992 769 $,"279,98 $","283,66 $"
2022-08-19,48 825 701 689 $,1 091 855 502 $,"298,60 $","279,98 $"
2022-08-18,50 100 609 705 $,1 199 734 459 $,"306,64 $","298,60 $"
2022-08-17,51 644 710 408 $,1 009 808 545 $,"316,70 $","306,64 $"
2022-08-16,52 259 059 529 $,1 029 621 280 $,"319,97 $","316,70 $"
2022-08-15,51 831 138 384 $,943 392 381 $,"317,70 $","319,97 $"
2022-08-14,52 876 462 684 $,991 502 775 $,"323,89 $","317,70 $"
2022-08-13,53 411 746 990 $,982 278 103 $,"327,34 $","323,89 $"
