Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,5 500 978 905 $,1 025 707 824 $,"0,999875 $",N/A
2023-05-21,5 502 486 250 $,341 971 848 $,"1,001 $","0,999875 $"
2023-05-20,5 504 557 344 $,377 613 460 $,"1,000 $","1,001 $"
2023-05-19,5 547 200 109 $,858 363 784 $,"1,000 $","1,000 $"
2023-05-18,5 545 583 641 $,746 134 042 $,"0,999917 $","1,000 $"
2023-05-17,5 554 534 855 $,1 106 161 497 $,"0,999542 $","0,999917 $"
2023-05-16,5 555 550 324 $,593 348 544 $,"0,998883 $","0,999542 $"
2023-05-15,5 614 787 865 $,631 287 617 $,"1,000 $","0,998883 $"
2023-05-14,5 624 406 894 $,1 040 675 032 $,"0,999524 $","1,000 $"
2023-05-13,5 623 287 222 $,1 814 625 995 $,"1,001 $","0,999524 $"
2023-05-12,5 720 830 515 $,260 307 195 $,"0,999861 $","1,001 $"
2023-05-11,5 764 214 556 $,837 135 694 $,"1,001 $","0,999861 $"
2023-05-10,5 793 970 074 $,457 976 355 $,"0,998990 $","1,001 $"
2023-05-09,5 865 864 818 $,2 946 029 459 $,"1,001 $","0,998990 $"
2023-05-08,5 949 909 632 $,639 739 904 $,"0,995311 $","1,001 $"
2023-05-07,5 967 916 059 $,1 947 110 431 $,"1,001 $","0,995311 $"
2023-05-06,5 966 908 409 $,758 360 763 $,"1,001 $","1,001 $"
2023-05-05,5 980 595 025 $,697 821 409 $,"1,001 $","1,001 $"
2023-05-04,5 981 155 022 $,2 566 939 079 $,"0,999920 $","1,001 $"
2023-05-03,6 091 775 326 $,2 150 657 032 $,"1,000 $","0,999920 $"
2023-05-02,6 160 006 331 $,2 479 692 668 $,"1,001 $","1,000 $"
2023-05-01,6 203 190 377 $,2 022 455 079 $,"1,001 $","1,001 $"
2023-04-30,6 201 585 476 $,1 323 705 604 $,"1,001 $","1,001 $"
2023-04-29,6 203 106 264 $,2 382 169 197 $,"1,001 $","1,001 $"
2023-04-28,6 286 013 514 $,3 258 818 942 $,"1,001 $","1,001 $"
2023-04-27,6 305 579 620 $,3 802 429 980 $,"0,999417 $","1,001 $"
2023-04-26,6 357 991 256 $,2 809 966 093 $,"1,001 $","0,999417 $"
2023-04-25,6 411 568 971 $,2 188 905 080 $,"1,000 $","1,001 $"
2023-04-24,6 448 356 542 $,1 744 312 707 $,"1,001 $","1,000 $"
2023-04-23,6 457 860 855 $,1 932 208 146 $,"1,002 $","1,001 $"
2023-04-22,6 449 795 180 $,3 288 798 745 $,"1,001 $","1,002 $"
2023-04-21,6 586 834 048 $,3 444 906 426 $,"1,001 $","1,001 $"
2023-04-20,6 630 252 870 $,4 262 703 371 $,"1,003 $","1,001 $"
2023-04-19,6 645 871 038 $,3 239 094 766 $,"1,001 $","1,003 $"
2023-04-18,6 658 135 177 $,3 366 393 225 $,"1,001 $","1,001 $"
2023-04-17,6 685 883 364 $,2 514 275 271 $,"1,001 $","1,001 $"
2023-04-16,6 683 730 586 $,2 577 489 288 $,"1,001 $","1,001 $"
2023-04-15,6 689 017 525 $,4 081 523 398 $,"1,002 $","1,001 $"
2023-04-14,6 724 821 516 $,3 346 056 699 $,"1,002 $","1,002 $"
2023-04-13,6 796 435 632 $,3 762 567 541 $,"1,000 $","1,002 $"
2023-04-12,6 903 395 843 $,3 744 413 991 $,"1,001 $","1,000 $"
2023-04-11,6 955 890 583 $,2 929 295 964 $,"1,000 $","1,001 $"
2023-04-10,7 073 891 636 $,2 268 693 424 $,"1,000 $","1,000 $"
2023-04-09,7 072 080 442 $,2 507 028 456 $,"1,001 $","1,000 $"
2023-04-08,7 071 416 875 $,2 101 416 380 $,"1,000 $","1,001 $"
2023-04-07,7 073 969 357 $,2 575 475 255 $,"1,000 $","1,000 $"
2023-04-06,7 162 940 063 $,3 239 093 881 $,"1,000 $","1,000 $"
2023-04-05,7 297 497 161 $,3 041 252 134 $,"1,003 $","1,000 $"
2023-04-04,7 428 030 829 $,4 007 086 725 $,"1,000 $","1,003 $"
2023-04-03,7 563 708 102 $,2 473 634 211 $,"1,002 $","1,000 $"
2023-04-02,7 555 925 683 $,2 508 179 994 $,"1,000 $","1,002 $"
2023-04-01,7 561 675 921 $,3 497 757 691 $,"0,999988 $","1,000 $"
2023-03-31,7 618 861 909 $,4 329 503 577 $,"1,001 $","0,999988 $"
2023-03-30,7 670 277 639 $,4 025 699 149 $,"1,000 $","1,001 $"
2023-03-29,7 722 141 368 $,3 838 139 908 $,"1,001 $","1,000 $"
2023-03-28,7 832 726 813 $,4 242 353 552 $,"1,001 $","1,001 $"
2023-03-27,8 026 490 491 $,3 279 503 149 $,"0,999154 $","1,001 $"
2023-03-26,8 079 469 372 $,3 518 614 933 $,"1,007 $","0,999154 $"
2023-03-25,8 070 909 712 $,4 205 755 014 $,"1,006 $","1,007 $"
2023-03-24,8 087 890 927 $,4 757 581 421 $,"1,004 $","1,006 $"
2023-03-23,8 092 720 219 $,5 997 733 017 $,"1,005 $","1,004 $"
2023-03-22,8 159 193 352 $,6 648 636 879 $,"1,005 $","1,005 $"
2023-03-21,8 176 817 006 $,8 834 456 892 $,"1,007 $","1,005 $"
2023-03-20,8 237 070 375 $,7 416 814 043 $,"0,999166 $","1,007 $"
2023-03-19,8 262 212 040 $,8 794 736 455 $,"1,005 $","0,999166 $"
2023-03-18,8 247 036 284 $,10 018 129 781 $,"1,004 $","1,005 $"
