Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,2 226 632 271 $,49 492 460 $,"114,77 $",N/A
2023-05-21,2 259 379 384 $,40 898 566 $,"116,44 $","114,77 $"
2023-05-20,2 242 201 302 $,45 257 165 $,"115,51 $","116,44 $"
2023-05-19,2 242 285 842 $,65 871 505 $,"115,36 $","115,51 $"
2023-05-18,2 289 423 860 $,70 425 879 $,"117,97 $","115,36 $"
2023-05-17,2 268 779 580 $,61 025 763 $,"116,91 $","117,97 $"
2023-05-16,2 257 851 605 $,110 262 880 $,"116,39 $","116,91 $"
2023-05-15,2 236 685 447 $,57 316 323 $,"115,31 $","116,39 $"
2023-05-14,2 198 941 475 $,50 666 597 $,"113,11 $","115,31 $"
2023-05-13,2 230 742 327 $,78 999 714 $,"114,95 $","113,11 $"
2023-05-12,2 202 739 080 $,112 246 995 $,"113,61 $","114,95 $"
2023-05-11,2 247 934 096 $,185 377 704 $,"116,24 $","113,61 $"
2023-05-10,2 358 810 973 $,248 451 919 $,"121,66 $","116,24 $"
2023-05-09,2 160 558 225 $,86 269 832 $,"111,43 $","121,66 $"
2023-05-08,2 263 699 596 $,40 757 861 $,"116,91 $","111,43 $"
2023-05-07,2 266 119 365 $,58 118 277 $,"117,10 $","116,91 $"
2023-05-06,2 329 022 816 $,62 790 217 $,"120,13 $","117,10 $"
2023-05-05,2 276 881 895 $,49 995 783 $,"117,43 $","120,13 $"
2023-05-04,2 327 573 738 $,65 462 871 $,"120,10 $","117,43 $"
2023-05-03,2 309 141 612 $,64 853 770 $,"119,22 $","120,10 $"
2023-05-02,2 268 023 457 $,61 029 983 $,"117,10 $","119,22 $"
2023-05-01,2 295 710 939 $,55 969 317 $,"118,40 $","117,10 $"
2023-04-30,2 317 807 358 $,49 481 346 $,"119,61 $","118,40 $"
2023-04-29,2 288 554 661 $,83 485 530 $,"118,08 $","119,61 $"
2023-04-28,2 269 679 141 $,114 316 353 $,"117,21 $","118,08 $"
2023-04-27,2 276 732 665 $,116 644 005 $,"117,52 $","117,21 $"
2023-04-26,2 330 576 939 $,78 248 024 $,"120,31 $","117,52 $"
2023-04-25,2 311 213 652 $,74 630 883 $,"119,28 $","120,31 $"
2023-04-24,2 321 704 416 $,64 771 215 $,"120,01 $","119,28 $"
2023-04-23,2 372 373 930 $,66 363 850 $,"122,38 $","120,01 $"
2023-04-22,2 317 271 408 $,79 740 642 $,"119,79 $","122,38 $"
2023-04-21,2 380 715 549 $,104 754 416 $,"123,04 $","119,79 $"
2023-04-20,2 419 119 963 $,129 670 820 $,"125,00 $","123,04 $"
2023-04-19,2 588 881 984 $,75 893 098 $,"133,57 $","125,00 $"
2023-04-18,2 548 455 147 $,87 037 590 $,"131,73 $","133,57 $"
2023-04-17,2 600 641 693 $,80 955 509 $,"134,27 $","131,73 $"
2023-04-16,2 575 254 262 $,75 227 897 $,"132,84 $","134,27 $"
2023-04-15,2 567 616 390 $,101 255 603 $,"132,55 $","132,84 $"
2023-04-14,2 541 914 011 $,81 739 804 $,"131,24 $","132,55 $"
2023-04-13,2 497 941 310 $,87 165 432 $,"128,89 $","131,24 $"
2023-04-12,2 500 795 824 $,86 001 813 $,"129,13 $","128,89 $"
2023-04-11,2 484 694 679 $,75 760 739 $,"128,03 $","129,13 $"
2023-04-10,2 434 801 679 $,59 341 620 $,"125,65 $","128,03 $"
2023-04-09,2 398 182 104 $,55 181 055 $,"123,93 $","125,65 $"
2023-04-08,2 415 910 700 $,73 394 880 $,"124,80 $","123,93 $"
2023-04-07,2 443 219 326 $,81 683 052 $,"126,07 $","124,80 $"
2023-04-06,2 465 240 967 $,105 063 567 $,"127,30 $","126,07 $"
2023-04-05,2 457 880 992 $,103 040 527 $,"127,07 $","127,30 $"
2023-04-04,2 483 072 482 $,170 532 212 $,"127,91 $","127,07 $"
2023-04-03,2 380 484 309 $,93 049 777 $,"123,10 $","127,91 $"
2023-04-02,2 440 053 073 $,137 882 865 $,"126,31 $","123,10 $"
2023-04-01,2 405 793 006 $,90 488 083 $,"124,14 $","126,31 $"
2023-03-31,2 343 698 634 $,139 850 914 $,"121,12 $","124,14 $"
2023-03-30,2 387 504 538 $,152 723 194 $,"123,41 $","121,12 $"
2023-03-29,2 344 687 881 $,140 810 426 $,"121,22 $","123,41 $"
2023-03-28,2 324 511 470 $,253 183 469 $,"120,44 $","121,22 $"
2023-03-27,2 416 947 126 $,167 112 919 $,"124,58 $","120,44 $"
2023-03-26,2 426 154 073 $,253 996 854 $,"125,43 $","124,58 $"
2023-03-25,2 409 791 937 $,260 794 730 $,"123,88 $","125,43 $"
2023-03-24,2 495 701 593 $,216 599 196 $,"129,07 $","123,88 $"
2023-03-23,2 449 014 018 $,337 805 895 $,"126,70 $","129,07 $"
2023-03-22,2 600 574 977 $,277 607 565 $,"134,53 $","126,70 $"
2023-03-21,2 540 086 383 $,316 565 428 $,"131,39 $","134,53 $"
2023-03-20,2 649 531 872 $,201 415 176 $,"136,86 $","131,39 $"
2023-03-19,2 548 651 427 $,201 792 708 $,"131,84 $","136,86 $"
2023-03-18,2 623 057 466 $,292 310 615 $,"135,81 $","131,84 $"
2023-03-17,2 459 679 101 $,286 020 640 $,"127,10 $","135,81 $"
2023-03-16,2 394 518 409 $,296 307 382 $,"123,88 $","127,10 $"
2023-03-15,2 543 044 109 $,360 800 364 $,"131,31 $","123,88 $"
2023-03-14,2 458 507 606 $,235 977 434 $,"127,01 $","131,31 $"
2023-03-13,2 345 059 601 $,372 986 384 $,"120,83 $","127,01 $"
2023-03-12,2 186 307 154 $,308 773 026 $,"113,34 $","120,83 $"
2023-03-11,2 155 802 051 $,326 199 870 $,"111,53 $","113,34 $"
2023-03-10,2 128 147 133 $,163 643 393 $,"110,27 $","111,53 $"
2023-03-09,2 264 844 866 $,159 143 904 $,"116,44 $","110,27 $"
2023-03-08,2 349 760 606 $,323 538 818 $,"121,83 $","116,44 $"
2023-03-07,2 405 109 466 $,367 212 781 $,"124,44 $","121,83 $"
2023-03-06,2 397 999 373 $,354 324 215 $,"124,15 $","124,44 $"
2023-03-05,2 407 496 286 $,148 451 240 $,"124,55 $","124,15 $"
2023-03-04,2 427 905 007 $,463 996 157 $,"125,64 $","124,55 $"
2023-03-03,2 544 804 361 $,430 263 640 $,"131,63 $","125,64 $"
2023-03-02,2 587 455 092 $,468 432 304 $,"133,87 $","131,63 $"
2023-03-01,2 542 322 666 $,449 269 591 $,"131,61 $","133,87 $"
2023-02-28,2 605 368 745 $,495 116 719 $,"134,73 $","131,61 $"
2023-02-27,2 629 829 997 $,458 274 081 $,"136,00 $","134,73 $"
2023-02-26,2 572 826 212 $,475 715 191 $,"133,15 $","136,00 $"
