Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,519 171 380 714 $,8 125 825 606 $,26 774 $,N/A
2023-05-21,525 040 003 344 $,3 882 362 454 $,27 094 $,26 774 $
2023-05-20,521 153 640 363 $,11 559 136 131 $,26 884 $,27 094 $
2023-05-19,520 544 913 836 $,12 599 487 112 $,26 843 $,26 884 $
2023-05-18,530 762 551 513 $,12 580 626 235 $,27 390 $,26 843 $
2023-05-17,523 965 691 859 $,12 927 093 921 $,27 023 $,27 390 $
2023-05-16,527 655 229 434 $,14 570 026 782 $,27 228 $,27 023 $
2023-05-15,521 319 019 335 $,6 019 488 454 $,26 912 $,27 228 $
2023-05-14,520 426 027 097 $,8 365 379 054 $,26 798 $,26 912 $
2023-05-13,518 816 444 751 $,9 157 286 238 $,26 788 $,26 798 $
2023-05-12,523 414 877 659 $,7 754 296 234 $,27 025 $,26 788 $
2023-05-11,534 937 464 539 $,17 159 331 951 $,27 640 $,27 025 $
2023-05-10,535 037 100 027 $,8 876 813 251 $,27 607 $,27 640 $
2023-05-09,536 032 086 472 $,21 535 578 789 $,27 697 $,27 607 $
2023-05-08,554 373 015 262 $,10 199 066 943 $,28 611 $,27 697 $
2023-05-07,559 078 681 903 $,6 463 808 309 $,28 888 $,28 611 $
2023-05-06,571 520 224 183 $,4 971 523 631 $,29 520 $,28 888 $
2023-05-05,558 634 329 303 $,12 676 760 580 $,28 846 $,29 520 $
2023-05-04,561 312 171 795 $,19 944 381 491 $,28 988 $,28 846 $
2023-05-03,554 886 795 898 $,17 699 097 406 $,28 654 $,28 988 $
2023-05-02,544 421 676 291 $,19 980 169 281 $,28 126 $,28 654 $
2023-05-01,568 513 467 268 $,14 707 008 605 $,29 362 $,28 126 $
2023-04-30,565 714 356 651 $,9 711 415 139 $,29 218 $,29 362 $
2023-04-29,568 153 896 405 $,18 730 801 539 $,29 340 $,29 218 $
2023-04-28,570 258 039 119 $,26 238 597 379 $,29 484 $,29 340 $
2023-04-27,548 638 734 338 $,30 540 034 741 $,28 352 $,29 484 $
2023-04-26,548 359 667 399 $,17 061 823 986 $,28 351 $,28 352 $
2023-04-25,532 290 845 182 $,16 443 099 945 $,27 512 $,28 351 $
2023-04-24,533 753 154 140 $,11 435 645 307 $,27 607 $,27 512 $
2023-04-23,539 454 716 830 $,11 700 230 850 $,27 862 $,27 607 $
2023-04-22,528 357 279 464 $,20 420 333 534 $,27 300 $,27 862 $
2023-04-21,546 141 074 655 $,21 695 904 965 $,28 256 $,27 300 $
2023-04-20,558 796 473 891 $,24 136 616 862 $,28 833 $,28 256 $
2023-04-19,587 730 212 231 $,18 078 539 249 $,30 366 $,28 833 $
2023-04-18,569 958 059 901 $,16 771 824 488 $,29 467 $,30 366 $
2023-04-17,586 268 225 588 $,11 188 035 367 $,30 305 $,29 467 $
2023-04-16,586 969 785 778 $,11 028 264 273 $,30 312 $,30 305 $
2023-04-15,589 051 372 433 $,20 984 067 684 $,30 468 $,30 312 $
2023-04-14,587 939 018 759 $,16 404 033 694 $,30 405 $,30 468 $
2023-04-13,578 850 627 448 $,18 407 698 928 $,29 904 $,30 405 $
2023-04-12,585 359 301 945 $,18 320 296 515 $,30 261 $,29 904 $
2023-04-11,574 059 578 670 $,17 475 381 731 $,29 658 $,30 261 $
2023-04-10,548 568 597 244 $,11 429 030 270 $,28 351 $,29 658 $
2023-04-09,541 094 458 101 $,8 844 199 146 $,27 968 $,28 351 $
2023-04-08,540 432 353 743 $,10 141 276 804 $,27 934 $,27 968 $
2023-04-07,542 601 176 317 $,13 079 528 995 $,28 043 $,27 934 $
2023-04-06,545 409 754 929 $,16 507 617 904 $,28 197 $,28 043 $
2023-04-05,544 313 567 953 $,14 871 614 373 $,28 175 $,28 197 $
2023-04-04,539 350 908 802 $,19 711 493 345 $,27 815 $,28 175 $
2023-04-03,545 181 408 318 $,11 682 876 587 $,28 237 $,27 815 $
2023-04-02,550 949 831 049 $,10 085 380 789 $,28 499 $,28 237 $
2023-04-01,551 707 238 560 $,19 112 345 640 $,28 517 $,28 499 $
2023-03-31,542 369 769 760 $,22 702 531 379 $,28 041 $,28 517 $
2023-03-30,548 808 373 530 $,21 097 595 427 $,28 395 $,28 041 $
2023-03-29,528 042 785 009 $,17 658 503 319 $,27 291 $,28 395 $
2023-03-28,525 230 880 103 $,18 519 053 232 $,27 182 $,27 291 $
2023-03-27,542 675 619 059 $,14 450 374 261 $,28 048 $,27 182 $
2023-03-26,534 960 802 333 $,15 053 754 845 $,27 670 $,28 048 $
2023-03-25,533 634 255 119 $,21 551 272 690 $,27 595 $,27 670 $
2023-03-24,549 578 396 179 $,20 360 807 195 $,28 460 $,27 595 $
2023-03-23,530 515 158 754 $,35 394 833 934 $,27 449 $,28 460 $
2023-03-22,545 917 428 270 $,34 430 928 756 $,28 264 $,27 449 $
2023-03-21,538 935 400 013 $,55 315 948 514 $,27 929 $,28 264 $
2023-03-20,546 680 822 196 $,46 394 763 656 $,28 187 $,27 929 $
2023-03-19,523 262 280 970 $,46 473 651 091 $,27 108 $,28 187 $
2023-03-18,530 038 219 067 $,64 617 615 618 $,27 467 $,27 108 $
2023-03-17,486 375 597 563 $,60 688 056 875 $,25 161 $,27 467 $
2023-03-16,472 833 547 484 $,63 107 437 929 $,24 471 $,25 161 $
2023-03-15,478 406 045 310 $,70 714 394 276 $,24 759 $,24 471 $
2023-03-14,466 509 005 563 $,66 799 159 802 $,24 179 $,24 759 $
2023-03-13,425 816 781 284 $,36 639 901 909 $,22 096 $,24 179 $
2023-03-12,394 742 728 282 $,37 746 654 240 $,20 522 $,22 096 $
2023-03-11,390 202 255 053 $,51 593 890 225 $,20 195 $,20 522 $
2023-03-10,392 841 773 384 $,40 173 833 478 $,20 376 $,20 195 $
2023-03-09,419 694 984 165 $,28 493 032 425 $,21 713 $,20 376 $
2023-03-08,427 994 888 567 $,27 780 357 943 $,22 217 $,21 713 $
2023-03-07,432 758 824 798 $,21 124 920 006 $,22 415 $,22 217 $
2023-03-06,433 081 135 066 $,16 080 097 920 $,22 422 $,22 415 $
2023-03-05,431 837 491 811 $,13 392 431 932 $,22 348 $,22 422 $
2023-03-04,431 727 585 101 $,34 239 649 135 $,22 367 $,22 348 $
2023-03-03,453 067 155 321 $,27 432 755 758 $,23 464 $,22 367 $
2023-03-02,456 417 315 967 $,32 507 897 259 $,23 634 $,23 464 $
2023-03-01,446 010 055 988 $,25 534 054 046 $,23 156 $,23 634 $
2023-02-28,454 364 917 719 $,28 832 423 816 $,23 518 $,23 156 $
2023-02-27,454 284 528 652 $,24 469 102 669 $,23 541 $,23 518 $
2023-02-26,447 030 240 436 $,22 999 909 593 $,23 157 $,23 541 $
2023-02-25,447 316 067 422 $,35 081 974 267 $,23 172 $,23 157 $
2023-02-24,461 042 830 140 $,42 356 618 035 $,23 951 $,23 172 $
2023-02-23,465 998 918 250 $,40 336 608 135 $,24 146 $,23 951 $
2023-02-22,470 623 925 511 $,41 991 954 878 $,24 417 $,24 146 $
2023-02-21,478 236 525 470 $,38 997 046 274 $,24 787 $,24 417 $
2023-02-20,470 798 520 570 $,33 664 683 478 $,24 284 $,24 787 $
2023-02-19,475 529 620 772 $,24 900 444 765 $,24 643 $,24 284 $
2023-02-18,475 194 230 168 $,54 200 707 341 $,24 629 $,24 643 $
2023-02-17,459 293 697 175 $,48 144 978 044 $,23 757 $,24 629 $
2023-02-16,468 820 317 787 $,44 336 284 482 $,24 308 $,23 757 $
2023-02-15,428 649 056 118 $,45 363 697 020 $,22 220 $,24 308 $
2023-02-14,420 838 871 939 $,36 761 909 546 $,21 808 $,22 220 $
2023-02-13,420 218 240 428 $,25 877 166 001 $,21 780 $,21 808 $
2023-02-12,422 107 650 474 $,23 574 706 406 $,21 889 $,21 780 $
2023-02-11,417 351 358 181 $,42 389 972 640 $,21 630 $,21 889 $
2023-02-10,420 790 678 628 $,51 161 546 272 $,21 821 $,21 630 $
2023-02-09,442 518 382 692 $,34 247 782 006 $,22 948 $,21 821 $
2023-02-08,449 391 195 299 $,38 850 594 359 $,23 295 $,22 948 $
2023-02-07,438 726 385 719 $,33 963 650 031 $,22 786 $,23 295 $
2023-02-06,442 933 975 659 $,26 678 691 425 $,22 946 $,22 786 $
2023-02-05,450 197 147 855 $,21 063 097 082 $,23 340 $,22 946 $
2023-02-04,452 312 595 756 $,41 267 040 611 $,23 452 $,23 340 $
2023-02-03,453 565 018 923 $,44 735 297 657 $,23 540 $,23 452 $
2023-02-02,457 383 099 383 $,37 452 064 508 $,23 725 $,23 540 $
2023-02-01,445 991 168 199 $,32 683 643 418 $,23 137 $,23 725 $
2023-01-31,439 295 730 927 $,38 594 596 832 $,22 840 $,23 137 $
2023-01-30,458 368 002 026 $,38 438 621 264 $,23 797 $,22 840 $
2023-01-29,443 702 765 526 $,19 567 219 824 $,23 022 $,23 797 $
2023-01-28,444 898 315 874 $,36 109 035 905 $,23 083 $,23 022 $
2023-01-27,444 005 849 172 $,37 099 702 812 $,23 025 $,23 083 $
2023-01-26,446 715 261 349 $,42 772 537 175 $,23 180 $,23 025 $
2023-01-25,435 679 436 196 $,35 621 897 293 $,22 610 $,23 180 $
2023-01-24,442 926 343 073 $,36 750 647 386 $,22 985 $,22 610 $
2023-01-23,438 060 367 560 $,34 124 364 415 $,22 737 $,22 985 $
2023-01-22,438 578 588 179 $,44 077 026 804 $,22 771 $,22 737 $
2023-01-21,436 724 993 652 $,41 321 936 669 $,22 706 $,22 771 $
2023-01-20,406 258 441 952 $,29 144 534 678 $,21 082 $,22 706 $
2023-01-19,399 349 603 616 $,40 612 056 909 $,20 727 $,21 082 $
2023-01-18,407 405 144 843 $,33 278 841 337 $,21 157 $,20 727 $
2023-01-17,407 760 358 639 $,34 809 391 746 $,21 175 $,21 157 $
2023-01-16,401 697 403 587 $,23 072 133 988 $,20 853 $,21 175 $
2023-01-15,405 209 898 132 $,49 498 711 312 $,21 019 $,20 853 $
2023-01-14,382 675 302 196 $,39 514 419 053 $,"19 941,78 $",21 019 $
2023-01-13,363 381 125 083 $,48 025 109 150 $,"18 866,81 $","19 941,78 $"
2023-01-12,345 688 973 387 $,25 439 279 073 $,"17 996,83 $","18 866,81 $"
2023-01-11,335 743 942 932 $,21 858 206 845 $,"17 436,90 $","17 996,83 $"
2023-01-10,331 158 152 699 $,25 532 751 567 $,"17 194,91 $","17 436,90 $"
2023-01-09,328 470 896 861 $,11 841 041 543 $,"17 074,62 $","17 194,91 $"
2023-01-08,326 371 741 274 $,9 594 456 673 $,"16 950,86 $","17 074,62 $"
2023-01-07,326 571 439 012 $,19 046 576 250 $,"16 960,23 $","16 950,86 $"
2023-01-06,324 138 957 221 $,14 919 039 445 $,"16 832,10 $","16 960,23 $"
2023-01-05,324 397 588 037 $,20 836 560 772 $,"16 855,17 $","16 832,10 $"
2023-01-04,321 080 820 418 $,15 367 167 883 $,"16 677,65 $","16 855,17 $"
2023-01-03,321 486 454 934 $,13 023 861 028 $,"16 674,34 $","16 677,65 $"
2023-01-02,319 832 024 055 $,9 799 252 684 $,"16 615,97 $","16 674,34 $"
2023-01-01,318 278 329 992 $,12 013 247 678 $,"16 540,69 $","16 615,97 $"
2022-12-31,319 722 045 805 $,17 497 327 983 $,"16 604,02 $","16 540,69 $"
2022-12-30,320 297 298 176 $,15 683 731 677 $,"16 644,38 $","16 604,02 $"
2022-12-29,318 288 869 205 $,19 113 614 756 $,"16 538,91 $","16 644,38 $"
2022-12-28,321 351 469 137 $,17 436 062 122 $,"16 701,84 $","16 538,91 $"
2022-12-27,325 036 912 915 $,12 574 997 282 $,"16 900,08 $","16 701,84 $"
2022-12-26,323 868 581 953 $,12 574 453 969 $,"16 842,18 $","16 900,08 $"
2022-12-25,324 072 643 386 $,10 169 853 734 $,"16 848,57 $","16 842,18 $"
2022-12-24,323 013 370 317 $,16 765 392 450 $,"16 791,46 $","16 848,57 $"
2022-12-23,323 519 254 393 $,17 847 826 942 $,"16 824,79 $","16 791,46 $"
