Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,3 328 316 905 $,81 117 693 $,"6,43 $",N/A
2023-05-21,3 364 774 641 $,59 877 397 $,"6,50 $","6,43 $"
2023-05-20,3 367 543 726 $,94 259 457 $,"6,51 $","6,50 $"
2023-05-19,3 382 604 386 $,132 632 468 $,"6,53 $","6,51 $"
2023-05-18,3 491 797 164 $,153 869 660 $,"6,75 $","6,53 $"
2023-05-17,3 445 577 832 $,135 522 687 $,"6,66 $","6,75 $"
2023-05-16,3 435 272 181 $,138 220 124 $,"6,65 $","6,66 $"
2023-05-15,3 382 086 316 $,83 833 461 $,"6,54 $","6,65 $"
2023-05-14,3 371 666 013 $,104 060 236 $,"6,50 $","6,54 $"
2023-05-13,3 427 310 451 $,190 517 151 $,"6,63 $","6,50 $"
2023-05-12,3 293 481 701 $,205 240 245 $,"6,37 $","6,63 $"
2023-05-11,3 410 533 268 $,209 243 055 $,"6,60 $","6,37 $"
2023-05-10,3 371 585 027 $,140 503 965 $,"6,52 $","6,60 $"
2023-05-09,3 407 000 244 $,278 526 726 $,"6,59 $","6,52 $"
2023-05-08,3 584 210 859 $,112 585 361 $,"6,94 $","6,59 $"
2023-05-07,3 584 951 439 $,167 635 278 $,"6,94 $","6,94 $"
2023-05-06,3 738 447 238 $,195 842 490 $,"7,23 $","6,94 $"
2023-05-05,3 619 076 892 $,127 717 210 $,"7,00 $","7,23 $"
2023-05-04,3 676 502 876 $,204 960 447 $,"7,12 $","7,00 $"
2023-05-03,3 611 584 647 $,138 843 692 $,"6,99 $","7,12 $"
2023-05-02,3 572 061 747 $,206 713 498 $,"6,91 $","6,99 $"
2023-05-01,3 658 559 637 $,173 988 227 $,"7,07 $","6,91 $"
2023-04-30,3 715 155 767 $,149 343 527 $,"7,18 $","7,07 $"
2023-04-29,3 649 366 014 $,242 238 966 $,"7,05 $","7,18 $"
2023-04-28,3 706 405 550 $,783 863 349 $,"7,18 $","7,05 $"
