Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,3 070 607 559 $,52 287 199 $,"10,49 $",N/A
2023-05-21,3 102 269 501 $,49 300 672 $,"10,60 $","10,49 $"
2023-05-20,3 106 189 502 $,86 128 634 $,"10,61 $","10,60 $"
2023-05-19,3 151 796 748 $,97 196 422 $,"10,76 $","10,61 $"
2023-05-18,3 198 152 331 $,83 945 745 $,"10,93 $","10,76 $"
2023-05-17,3 185 183 491 $,82 785 822 $,"10,88 $","10,93 $"
2023-05-16,3 164 443 965 $,92 574 680 $,"10,82 $","10,88 $"
2023-05-15,3 190 595 305 $,103 252 436 $,"10,90 $","10,82 $"
2023-05-14,3 194 247 777 $,93 434 086 $,"10,89 $","10,90 $"
2023-05-13,3 269 392 497 $,171 589 190 $,"11,17 $","10,89 $"
2023-05-12,3 235 296 583 $,159 069 235 $,"11,05 $","11,17 $"
2023-05-11,3 215 316 728 $,208 708 702 $,"11,01 $","11,05 $"
2023-05-10,3 038 592 508 $,151 475 442 $,"10,39 $","11,01 $"
2023-05-09,3 109 878 041 $,227 050 870 $,"10,64 $","10,39 $"
2023-05-08,3 225 038 663 $,111 746 118 $,"11,04 $","10,64 $"
2023-05-07,3 170 541 406 $,119 440 383 $,"10,85 $","11,04 $"
2023-05-06,3 281 514 191 $,131 264 020 $,"11,23 $","10,85 $"
2023-05-05,3 212 561 074 $,94 487 637 $,"10,98 $","11,23 $"
2023-05-04,3 246 249 029 $,118 608 861 $,"11,09 $","10,98 $"
2023-05-03,3 230 135 664 $,97 261 467 $,"11,04 $","11,09 $"
2023-05-02,3 220 600 758 $,146 764 234 $,"11,01 $","11,04 $"
2023-05-01,3 391 810 347 $,119 447 858 $,"11,61 $","11,01 $"
2023-04-30,3 426 700 946 $,97 330 231 $,"11,71 $","11,61 $"
2023-04-29,3 431 918 414 $,142 637 620 $,"11,71 $","11,71 $"
2023-04-28,3 368 629 350 $,221 380 977 $,"11,53 $","11,71 $"
2023-04-27,3 181 239 104 $,202 358 016 $,"10,89 $","11,53 $"
2023-04-26,3 236 362 882 $,108 428 463 $,"11,07 $","10,89 $"
2023-04-25,3 179 952 860 $,111 642 145 $,"10,88 $","11,07 $"
2023-04-24,3 163 489 882 $,97 608 778 $,"10,83 $","10,88 $"
2023-04-23,3 232 126 531 $,113 499 525 $,"11,05 $","10,83 $"
2023-04-22,3 154 589 550 $,178 770 206 $,"10,78 $","11,05 $"
2023-04-21,3 331 429 957 $,186 883 690 $,"11,39 $","10,78 $"
2023-04-20,3 428 841 794 $,242 536 586 $,"11,70 $","11,39 $"
2023-04-19,3 671 719 064 $,154 944 409 $,"12,54 $","11,70 $"
2023-04-18,3 609 849 804 $,183 899 460 $,"12,35 $","12,54 $"
2023-04-17,3 708 067 663 $,212 442 977 $,"12,68 $","12,35 $"
2023-04-16,3 622 183 996 $,143 425 210 $,"12,39 $","12,68 $"
2023-04-15,3 587 182 725 $,254 062 319 $,"12,25 $","12,39 $"
2023-04-14,3 457 379 399 $,163 618 879 $,"11,82 $","12,25 $"
2023-04-13,3 319 106 886 $,143 256 232 $,"11,33 $","11,82 $"
2023-04-12,3 298 732 807 $,146 290 894 $,"11,28 $","11,33 $"
2023-04-11,3 274 838 078 $,129 984 318 $,"11,19 $","11,28 $"
2023-04-10,3 232 703 796 $,108 913 528 $,"11,04 $","11,19 $"
2023-04-09,3 208 117 712 $,110 393 808 $,"10,96 $","11,04 $"
2023-04-08,3 237 272 067 $,150 317 209 $,"11,06 $","10,96 $"
2023-04-07,3 315 794 240 $,156 917 431 $,"11,33 $","11,06 $"
2023-04-06,3 380 768 515 $,167 432 739 $,"11,54 $","11,33 $"
2023-04-05,3 291 321 690 $,163 185 263 $,"11,27 $","11,54 $"
2023-04-04,3 278 847 872 $,168 138 057 $,"11,20 $","11,27 $"
2023-04-03,3 258 597 561 $,117 964 219 $,"11,14 $","11,20 $"
2023-04-02,3 333 760 024 $,138 187 155 $,"11,40 $","11,14 $"
2023-04-01,3 276 919 272 $,149 921 587 $,"11,19 $","11,40 $"
2023-03-31,3 263 560 716 $,180 536 276 $,"11,14 $","11,19 $"
2023-03-30,3 348 150 026 $,276 416 862 $,"11,44 $","11,14 $"
2023-03-29,3 288 475 542 $,146 075 678 $,"11,25 $","11,44 $"
2023-03-28,3 170 185 129 $,110 708 906 $,"10,86 $","11,25 $"
2023-03-27,3 325 282 414 $,91 145 731 $,"11,34 $","10,86 $"
2023-03-26,3 267 120 482 $,108 592 008 $,"11,17 $","11,34 $"
2023-03-25,3 305 371 375 $,133 451 130 $,"11,20 $","11,17 $"
2023-03-24,3 432 066 687 $,114 918 474 $,"11,74 $","11,20 $"
2023-03-23,3 330 507 446 $,175 704 373 $,"11,40 $","11,74 $"
2023-03-22,3 501 491 007 $,143 360 947 $,"11,98 $","11,40 $"
2023-03-21,3 396 106 541 $,200 079 184 $,"11,61 $","11,98 $"
2023-03-20,3 662 020 161 $,227 535 457 $,"12,45 $","11,61 $"
2023-03-19,3 597 699 089 $,295 852 713 $,"12,29 $","12,45 $"
