Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,4 657 210 526 $,64 547 451 $,"0,999594 $",N/A
2023-05-21,4 644 390 779 $,60 789 823 $,"0,997914 $","0,999594 $"
2023-05-20,4 666 078 560 $,62 127 582 $,"0,999740 $","0,997914 $"
2023-05-19,4 669 260 272 $,97 745 489 $,"0,999730 $","0,999740 $"
2023-05-18,4 668 478 986 $,94 978 848 $,"0,999856 $","0,999730 $"
2023-05-17,4 668 387 492 $,69 519 549 $,"1,001 $","0,999856 $"
2023-05-16,4 662 105 405 $,93 480 814 $,"1,000 $","1,001 $"
2023-05-15,4 661 756 052 $,53 925 053 $,"0,999326 $","1,000 $"
2023-05-14,4 670 836 554 $,85 301 156 $,"0,998662 $","0,999326 $"
2023-05-13,4 675 720 275 $,156 904 840 $,"1,001 $","0,998662 $"
2023-05-12,4 682 486 936 $,165 629 250 $,"0,999331 $","1,001 $"
2023-05-11,4 685 470 437 $,208 197 244 $,"0,999312 $","0,999331 $"
2023-05-10,4 688 946 138 $,111 612 199 $,"0,999740 $","0,999312 $"
2023-05-09,4 690 302 207 $,156 004 085 $,"1,000 $","0,999740 $"
2023-05-08,4 687 469 373 $,67 132 468 $,"1,000 $","1,000 $"
2023-05-07,4 680 583 172 $,199 380 586 $,"0,999303 $","1,000 $"
2023-05-06,4 674 968 036 $,118 502 006 $,"0,999791 $","0,999303 $"
2023-05-05,4 680 874 210 $,117 934 338 $,"0,999781 $","0,999791 $"
2023-05-04,4 687 113 695 $,151 311 608 $,"0,999674 $","0,999781 $"
2023-05-03,4 699 548 912 $,107 871 804 $,"1,000 $","0,999674 $"
2023-05-02,4 729 022 559 $,120 365 314 $,"1,000 $","1,000 $"
2023-05-01,4 732 134 326 $,73 234 742 $,"0,999673 $","1,000 $"
2023-04-30,4 734 472 384 $,89 301 664 $,"0,999959 $","0,999673 $"
2023-04-29,4 727 473 497 $,131 104 969 $,"0,999902 $","0,999959 $"
2023-04-28,4 779 061 280 $,183 105 549 $,"1,000 $","0,999902 $"
2023-04-27,4 792 868 560 $,286 650 737 $,"0,999869 $","1,000 $"
2023-04-26,4 792 226 644 $,136 889 412 $,"1,001 $","0,999869 $"
2023-04-25,4 787 037 430 $,139 546 767 $,"0,999405 $","1,001 $"
2023-04-24,4 778 924 491 $,65 673 684 $,"1,000 $","0,999405 $"
2023-04-23,4 783 057 737 $,106 100 266 $,"1,000 $","1,000 $"
2023-04-22,4 807 164 331 $,213 920 994 $,"1,000 $","1,000 $"
2023-04-21,4 852 307 580 $,125 081 241 $,"1,000 $","1,000 $"
2023-04-20,4 869 649 945 $,169 654 990 $,"1,000 $","1,000 $"
2023-04-19,4 861 094 977 $,120 724 918 $,"0,999472 $","1,000 $"
2023-04-18,4 879 701 597 $,122 939 270 $,"0,999659 $","0,999472 $"
2023-04-17,5 016 431 372 $,75 605 523 $,"1,000 $","0,999659 $"
2023-04-16,5 029 214 943 $,66 831 304 $,"1,000 $","1,000 $"
2023-04-15,5 009 975 038 $,129 461 939 $,"1,000 $","1,000 $"
2023-04-14,5 013 548 156 $,179 030 873 $,"1,001 $","1,000 $"
2023-04-13,5 018 420 264 $,174 203 160 $,"0,999085 $","1,001 $"
2023-04-12,5 053 596 381 $,175 634 114 $,"1,000 $","0,999085 $"
2023-04-11,5 054 325 072 $,127 723 551 $,"0,999779 $","1,000 $"
2023-04-10,5 073 440 652 $,70 223 216 $,"1,000 $","0,999779 $"
2023-04-09,5 080 035 073 $,120 058 335 $,"1,000 $","1,000 $"
2023-04-08,5 084 873 227 $,107 756 703 $,"1,001 $","1,000 $"
2023-04-07,5 087 000 342 $,106 790 312 $,"1,001 $","1,001 $"
2023-04-06,5 084 455 110 $,127 534 912 $,"0,999586 $","1,001 $"
2023-04-05,5 094 270 378 $,142 547 565 $,"1,001 $","0,999586 $"
2023-04-04,5 094 215 872 $,148 622 708 $,"0,998540 $","1,001 $"
2023-04-03,5 109 840 310 $,76 190 682 $,"1,001 $","0,998540 $"
2023-04-02,5 096 243 349 $,99 930 652 $,"0,999822 $","1,001 $"
2023-04-01,5 098 592 326 $,142 848 667 $,"0,999635 $","0,999822 $"
2023-03-31,5 102 116 169 $,138 343 423 $,"1,001 $","0,999635 $"
2023-03-30,5 106 318 036 $,145 897 968 $,"1,000 $","1,001 $"
2023-03-29,5 120 501 463 $,162 424 257 $,"1,000 $","1,000 $"
2023-03-28,5 149 849 673 $,168 023 610 $,"0,995827 $","1,000 $"
2023-03-27,5 236 767 894 $,103 685 334 $,"0,999283 $","0,995827 $"
2023-03-26,5 262 222 843 $,91 567 019 $,"1,004 $","0,999283 $"
2023-03-25,5 260 062 111 $,204 008 210 $,"0,997458 $","1,004 $"
2023-03-24,5 289 572 843 $,190 778 015 $,"1,000 $","0,997458 $"
2023-03-23,5 305 539 271 $,343 225 017 $,"1,003 $","1,000 $"
2023-03-22,5 392 983 013 $,203 717 035 $,"1,001 $","1,003 $"
2023-03-21,5 406 350 489 $,222 095 761 $,"1,003 $","1,001 $"
2023-03-20,5 409 461 424 $,172 265 457 $,"0,999966 $","1,003 $"
2023-03-19,5 426 366 212 $,198 187 999 $,"1,001 $","0,999966 $"
2023-03-18,5 467 030 542 $,356 817 473 $,"1,001 $","1,001 $"
2023-03-17,5 581 644 679 $,376 921 172 $,"1,002 $","1,001 $"
2023-03-16,5 802 326 560 $,493 892 444 $,"1,001 $","1,002 $"
2023-03-15,6 042 482 926 $,574 386 974 $,"0,999392 $","1,001 $"
2023-03-14,6 283 489 278 $,1 067 512 464 $,"0,999786 $","0,999392 $"
2023-03-13,6 179 406 750 $,1 037 451 936 $,"0,994564 $","0,999786 $"
2023-03-12,5 212 488 434 $,2 767 282 626 $,"0,966990 $","0,994564 $"
2023-03-11,5 046 331 058 $,623 279 625 $,"0,995643 $","0,966990 $"
2023-03-10,4 936 691 125 $,244 548 253 $,"1,001 $","0,995643 $"
2023-03-09,4 986 807 202 $,133 564 761 $,"1,000 $","1,001 $"
2023-03-08,4 985 935 475 $,139 802 025 $,"1,001 $","1,000 $"
2023-03-07,5 003 756 393 $,138 929 922 $,"1,000 $","1,001 $"
2023-03-06,5 007 709 583 $,95 259 992 $,"0,999728 $","1,000 $"
2023-03-05,5 018 834 654 $,65 411 667 $,"1,001 $","0,999728 $"
2023-03-04,5 010 968 792 $,193 400 024 $,"1,000 $","1,001 $"
2023-03-03,5 021 941 086 $,194 029 806 $,"0,999801 $","1,000 $"
2023-03-02,5 016 601 138 $,185 668 998 $,"0,999320 $","0,999801 $"
