Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,10 079 201 334 $,185 416 659 $,"0,072257 $",N/A
2023-05-21,10 281 672 707 $,142 130 906 $,"0,073722 $","0,072257 $"
2023-05-20,10 266 816 404 $,215 682 080 $,"0,073600 $","0,073722 $"
2023-05-19,10 279 648 682 $,386 800 489 $,"0,073624 $","0,073600 $"
2023-05-18,10 456 937 018 $,408 174 401 $,"0,074905 $","0,073624 $"
2023-05-17,10 142 298 719 $,245 638 788 $,"0,072756 $","0,074905 $"
2023-05-16,10 063 493 875 $,301 109 265 $,"0,072184 $","0,072756 $"
2023-05-15,10 050 043 129 $,178 745 623 $,"0,072096 $","0,072184 $"
2023-05-14,10 042 154 796 $,204 374 533 $,"0,071899 $","0,072096 $"
2023-05-13,10 126 302 763 $,509 123 346 $,"0,072730 $","0,071899 $"
2023-05-12,10 049 902 539 $,453 324 275 $,"0,072171 $","0,072730 $"
2023-05-11,10 217 049 731 $,478 420 990 $,"0,073393 $","0,072171 $"
2023-05-10,10 193 007 887 $,379 145 305 $,"0,073173 $","0,073393 $"
2023-05-09,10 100 239 051 $,686 990 731 $,"0,072559 $","0,073173 $"
2023-05-08,10 708 665 885 $,272 854 850 $,"0,077033 $","0,072559 $"
2023-05-07,10 694 423 821 $,459 186 550 $,"0,076913 $","0,077033 $"
2023-05-06,11 175 650 479 $,442 410 045 $,"0,080367 $","0,076913 $"
2023-05-05,10 923 617 107 $,303 915 825 $,"0,078457 $","0,080367 $"
2023-05-04,11 096 706 554 $,365 799 415 $,"0,079702 $","0,078457 $"
2023-05-03,10 974 896 784 $,272 609 634 $,"0,078825 $","0,079702 $"
2023-05-02,10 971 696 420 $,386 936 999 $,"0,078946 $","0,078825 $"
2023-05-01,11 129 185 210 $,314 501 201 $,"0,079951 $","0,078946 $"
2023-04-30,11 348 765 555 $,321 564 006 $,"0,081573 $","0,079951 $"
2023-04-29,11 190 441 064 $,300 126 423 $,"0,080432 $","0,081573 $"
2023-04-28,11 147 324 580 $,509 447 570 $,"0,080258 $","0,080432 $"
2023-04-27,10 928 733 831 $,844 275 416 $,"0,078635 $","0,080258 $"
2023-04-26,11 106 056 951 $,368 127 530 $,"0,079981 $","0,078635 $"
2023-04-25,10 970 104 628 $,427 340 747 $,"0,078879 $","0,079981 $"
2023-04-24,10 961 919 775 $,396 187 240 $,"0,078964 $","0,078879 $"
2023-04-23,11 209 722 552 $,423 816 918 $,"0,080553 $","0,078964 $"
2023-04-22,10 910 845 665 $,961 422 933 $,"0,078496 $","0,080553 $"
2023-04-21,11 662 953 866 $,2 226 040 731 $,"0,083986 $","0,078496 $"
2023-04-20,12 194 023 294 $,1 462 478 677 $,"0,087667 $","0,083986 $"
2023-04-19,13 069 406 650 $,1 070 666 858 $,"0,093982 $","0,087667 $"
2023-04-18,12 712 080 688 $,1 561 878 890 $,"0,091610 $","0,093982 $"
2023-04-17,12 552 243 052 $,682 111 291 $,"0,090387 $","0,091610 $"
2023-04-16,12 375 544 025 $,732 038 331 $,"0,089024 $","0,090387 $"
2023-04-15,12 328 502 858 $,1 256 516 775 $,"0,088739 $","0,089024 $"
2023-04-14,12 176 504 083 $,1 063 667 196 $,"0,087592 $","0,088739 $"
2023-04-13,11 616 879 872 $,959 521 130 $,"0,083523 $","0,087592 $"
