Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,2 534 558 081 $,60 668 179 $,"17,95 $",N/A
2023-05-21,2 587 233 203 $,35 866 649 $,"18,31 $","17,95 $"
2023-05-20,2 584 228 142 $,35 782 153 $,"18,31 $","18,31 $"
2023-05-19,2 591 181 116 $,76 314 655 $,"18,34 $","18,31 $"
2023-05-18,2 618 131 256 $,73 091 990 $,"18,54 $","18,34 $"
2023-05-17,2 577 528 908 $,69 366 978 $,"18,28 $","18,54 $"
2023-05-16,2 585 162 446 $,84 477 345 $,"18,35 $","18,28 $"
2023-05-15,2 553 186 339 $,52 015 891 $,"18,12 $","18,35 $"
2023-05-14,2 563 675 307 $,62 355 070 $,"18,15 $","18,12 $"
2023-05-13,2 572 052 464 $,83 395 467 $,"18,23 $","18,15 $"
2023-05-12,2 555 103 469 $,97 975 214 $,"18,14 $","18,23 $"
2023-05-11,2 659 006 004 $,116 276 249 $,"18,87 $","18,14 $"
2023-05-10,2 635 253 913 $,100 551 790 $,"18,73 $","18,87 $"
2023-05-09,2 574 314 436 $,114 959 326 $,"18,30 $","18,73 $"
2023-05-08,2 650 141 256 $,58 230 123 $,"18,85 $","18,30 $"
2023-05-07,2 672 232 434 $,80 718 173 $,"18,99 $","18,85 $"
2023-05-06,2 767 752 538 $,74 627 525 $,"19,63 $","18,99 $"
2023-05-05,2 716 298 049 $,64 780 084 $,"19,28 $","19,63 $"
2023-05-04,2 747 543 249 $,99 349 102 $,"19,55 $","19,28 $"
2023-05-03,2 710 374 876 $,72 407 756 $,"19,25 $","19,55 $"
2023-05-02,2 702 701 422 $,90 246 653 $,"19,22 $","19,25 $"
2023-05-01,2 745 766 359 $,73 472 907 $,"19,51 $","19,22 $"
2023-04-30,2 782 519 956 $,64 386 183 $,"19,77 $","19,51 $"
2023-04-29,2 783 764 364 $,154 328 838 $,"19,79 $","19,77 $"
2023-04-28,2 789 431 751 $,557 551 764 $,"19,85 $","19,79 $"
2023-04-27,2 719 212 217 $,169 578 312 $,"19,34 $","19,85 $"
2023-04-26,2 775 440 913 $,105 074 907 $,"19,81 $","19,34 $"
2023-04-25,2 721 755 894 $,107 684 278 $,"19,43 $","19,81 $"
2023-04-24,2 758 860 181 $,117 098 455 $,"19,73 $","19,43 $"
2023-04-23,2 846 964 686 $,178 604 303 $,"20,26 $","19,73 $"
2023-04-22,2 714 222 238 $,146 253 777 $,"19,34 $","20,26 $"
2023-04-21,2 819 568 154 $,145 987 822 $,"20,07 $","19,34 $"
2023-04-20,2 857 197 068 $,216 821 155 $,"20,32 $","20,07 $"
2023-04-19,3 077 312 768 $,129 123 770 $,"21,88 $","20,32 $"
2023-04-18,3 046 343 946 $,170 790 947 $,"21,71 $","21,88 $"
2023-04-17,3 124 597 458 $,143 010 005 $,"22,26 $","21,71 $"
2023-04-16,3 110 219 864 $,117 416 289 $,"22,11 $","22,26 $"
2023-04-15,3 150 654 874 $,308 137 724 $,"22,44 $","22,11 $"
2023-04-14,3 152 356 487 $,211 187 021 $,"22,45 $","22,44 $"
2023-04-13,3 099 933 762 $,461 309 445 $,"22,04 $","22,45 $"
2023-04-12,3 023 728 114 $,254 230 420 $,"21,52 $","22,04 $"
2023-04-11,2 944 476 062 $,113 625 711 $,"20,96 $","21,52 $"
2023-04-10,2 890 132 300 $,97 678 196 $,"20,57 $","20,96 $"
2023-04-09,2 860 619 258 $,73 248 204 $,"20,37 $","20,57 $"
2023-04-08,2 877 364 991 $,92 995 586 $,"20,50 $","20,37 $"
2023-04-07,2 908 546 374 $,131 413 644 $,"20,71 $","20,50 $"
2023-04-06,2 972 033 409 $,182 556 271 $,"21,16 $","20,71 $"
2023-04-05,2 967 079 953 $,208 959 327 $,"21,14 $","21,16 $"
2023-04-04,2 908 270 640 $,163 742 767 $,"20,70 $","21,14 $"
2023-04-03,2 867 054 558 $,144 425 466 $,"20,46 $","20,70 $"
2023-04-02,2 985 182 964 $,154 021 901 $,"21,27 $","20,46 $"
2023-04-01,2 914 366 614 $,135 545 822 $,"20,78 $","21,27 $"
2023-03-31,2 843 368 721 $,131 951 221 $,"20,29 $","20,78 $"
2023-03-30,2 898 151 970 $,132 900 867 $,"20,66 $","20,29 $"
2023-03-29,2 827 809 091 $,130 990 236 $,"20,20 $","20,66 $"
2023-03-28,2 757 930 422 $,135 523 485 $,"19,73 $","20,20 $"
