Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,217 302 257 174 $,3 835 867 355 $,"1 804,93 $",N/A
2023-05-21,218 770 214 155 $,3 117 917 206 $,"1 818,97 $","1 804,93 $"
2023-05-20,218 083 824 882 $,5 092 669 092 $,"1 812,13 $","1 818,97 $"
2023-05-19,217 078 808 864 $,6 170 212 643 $,"1 802,39 $","1 812,13 $"
2023-05-18,219 124 262 711 $,6 647 945 218 $,"1 821,05 $","1 802,39 $"
2023-05-17,219 562 064 258 $,6 283 428 507 $,"1 823,66 $","1 821,05 $"
2023-05-16,218 513 683 684 $,7 655 256 291 $,"1 820,04 $","1 823,66 $"
2023-05-15,216 439 514 892 $,4 914 907 456 $,"1 799,01 $","1 820,04 $"
2023-05-14,216 032 102 440 $,5 150 212 384 $,"1 797,20 $","1 799,01 $"
2023-05-13,217 659 652 942 $,10 530 874 714 $,"1 808,69 $","1 797,20 $"
2023-05-12,216 323 022 929 $,9 217 787 396 $,"1 798,07 $","1 808,69 $"
2023-05-11,221 632 027 137 $,10 471 130 833 $,"1 842,87 $","1 798,07 $"
2023-05-10,222 246 427 487 $,6 373 057 170 $,"1 846,06 $","1 842,87 $"
2023-05-09,222 406 833 248 $,11 496 171 818 $,"1 849,29 $","1 846,06 $"
2023-05-08,228 246 618 295 $,6 233 921 635 $,"1 895,23 $","1 849,29 $"
2023-05-07,228 369 002 904 $,11 135 926 723 $,"1 900,41 $","1 895,23 $"
2023-05-06,239 911 504 424 $,10 662 067 256 $,"1 993,61 $","1 900,41 $"
2023-05-05,226 033 834 100 $,7 156 399 181 $,"1 877,40 $","1 993,61 $"
2023-05-04,229 058 202 737 $,8 855 867 549 $,"1 903,73 $","1 877,40 $"
2023-05-03,225 192 198 744 $,8 338 110 888 $,"1 870,83 $","1 903,73 $"
2023-05-02,220 608 989 108 $,9 673 378 164 $,"1 832,73 $","1 870,83 $"
2023-05-01,227 186 562 479 $,7 328 083 479 $,"1 885,39 $","1 832,73 $"
2023-04-30,229 429 843 510 $,5 262 009 753 $,"1 905,27 $","1 885,39 $"
2023-04-29,228 152 292 773 $,8 853 391 784 $,"1 894,43 $","1 905,27 $"
2023-04-28,229 940 294 581 $,17 307 261 171 $,"1 910,46 $","1 894,43 $"
2023-04-27,224 807 445 929 $,16 137 081 936 $,"1 867,59 $","1 910,46 $"
2023-04-26,225 096 171 582 $,9 669 740 944 $,"1 870,57 $","1 867,59 $"
2023-04-25,221 819 334 333 $,9 177 916 724 $,"1 842,63 $","1 870,57 $"
2023-04-24,224 130 103 075 $,7 375 382 210 $,"1 863,64 $","1 842,63 $"
2023-04-23,226 130 094 816 $,7 809 497 063 $,"1 877,54 $","1 863,64 $"
2023-04-22,222 536 195 564 $,13 427 480 066 $,"1 850,15 $","1 877,54 $"
2023-04-21,233 965 107 543 $,12 422 352 272 $,"1 943,44 $","1 850,15 $"
2023-04-20,231 458 322 404 $,15 695 628 542 $,"1 936,43 $","1 943,44 $"
2023-04-19,251 100 187 596 $,10 121 134 598 $,"2 103,28 $","1 936,43 $"
2023-04-18,247 900 016 291 $,10 818 847 582 $,"2 077,54 $","2 103,28 $"
2023-04-17,253 507 799 906 $,8 879 608 634 $,"2 118,60 $","2 077,54 $"
2023-04-16,251 586 840 870 $,9 272 832 786 $,"2 093,17 $","2 118,60 $"
2023-04-15,252 719 453 976 $,17 899 705 467 $,"2 102,95 $","2 093,17 $"
2023-04-14,242 284 529 486 $,13 956 404 023 $,"2 012,79 $","2 102,95 $"
2023-04-13,231 476 399 969 $,13 152 150 835 $,"1 920,22 $","2 012,79 $"
2023-04-12,227 988 460 703 $,10 245 367 684 $,"1 892,94 $","1 920,22 $"
2023-04-11,230 201 702 661 $,9 639 736 046 $,"1 909,88 $","1 892,94 $"
2023-04-10,224 219 517 644 $,7 405 572 879 $,"1 859,94 $","1 909,88 $"
2023-04-09,223 169 245 107 $,5 970 294 475 $,"1 851,05 $","1 859,94 $"
2023-04-08,224 884 695 655 $,9 298 216 041 $,"1 866,66 $","1 851,05 $"
2023-04-07,225 549 620 779 $,9 208 408 844 $,"1 872,25 $","1 866,66 $"
2023-04-06,230 370 056 366 $,11 586 484 697 $,"1 911,34 $","1 872,25 $"
2023-04-05,225 257 854 356 $,11 580 514 458 $,"1 871,33 $","1 911,34 $"
2023-04-04,218 499 091 538 $,11 141 583 996 $,"1 810,47 $","1 871,33 $"
2023-04-03,216 494 189 054 $,6 679 784 660 $,"1 797,74 $","1 810,47 $"
2023-04-02,219 561 711 559 $,6 199 278 060 $,"1 823,00 $","1 797,74 $"
2023-04-01,219 903 281 108 $,10 329 452 627 $,"1 824,02 $","1 823,00 $"
2023-03-31,216 024 475 834 $,10 958 214 915 $,"1 792,91 $","1 824,02 $"
2023-03-30,216 268 184 817 $,10 395 388 839 $,"1 795,54 $","1 792,91 $"
2023-03-29,213 909 228 255 $,9 548 011 564 $,"1 776,04 $","1 795,54 $"
2023-03-28,206 685 090 341 $,9 757 415 238 $,"1 719,17 $","1 776,04 $"
2023-03-27,214 528 709 137 $,8 417 258 785 $,"1 776,87 $","1 719,17 $"
2023-03-26,211 355 889 911 $,8 023 849 174 $,"1 753,98 $","1 776,87 $"
2023-03-25,212 072 713 258 $,11 601 017 882 $,"1 751,22 $","1 753,98 $"
2023-03-24,219 518 418 514 $,10 980 967 035 $,"1 824,96 $","1 751,22 $"
2023-03-23,210 285 658 211 $,13 820 716 100 $,"1 747,64 $","1 824,96 $"
2023-03-22,218 008 486 914 $,10 831 022 955 $,"1 811,41 $","1 747,64 $"
2023-03-21,209 763 828 560 $,12 973 595 973 $,"1 744,44 $","1 811,41 $"
2023-03-20,217 844 457 988 $,10 745 813 975 $,"1 801,37 $","1 744,44 $"
2023-03-19,213 123 927 233 $,11 976 182 095 $,"1 769,43 $","1 801,37 $"
2023-03-18,215 660 560 705 $,14 459 727 611 $,"1 793,30 $","1 769,43 $"
2023-03-17,202 411 234 958 $,30 201 930 395 $,"1 679,79 $","1 793,30 $"
2023-03-16,199 607 487 558 $,17 257 648 020 $,"1 658,07 $","1 679,79 $"
2023-03-15,205 738 833 553 $,19 833 762 798 $,"1 708,30 $","1 658,07 $"
2023-03-14,202 294 154 847 $,65 211 714 925 $,"1 678,92 $","1 708,30 $"
2023-03-13,190 440 681 263 $,13 967 891 188 $,"1 588,20 $","1 678,92 $"
2023-03-12,176 915 178 456 $,18 345 198 261 $,"1 474,40 $","1 588,20 $"
2023-03-11,172 474 466 356 $,14 696 381 617 $,"1 429,60 $","1 474,40 $"
2023-03-10,173 232 609 854 $,10 861 201 441 $,"1 440,17 $","1 429,60 $"
2023-03-09,185 138 878 803 $,11 881 879 819 $,"1 535,26 $","1 440,17 $"
2023-03-08,187 945 419 859 $,8 523 808 477 $,"1 563,81 $","1 535,26 $"
2023-03-07,188 803 304 808 $,6 627 693 314 $,"1 567,35 $","1 563,81 $"
2023-03-06,188 337 456 156 $,62 172 854 406 $,"1 563,23 $","1 567,35 $"
