Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,2 208 561 579 $,20 104 481 $,"5,06 $",N/A
2023-05-21,2 277 077 455 $,14 773 133 $,"5,22 $","5,06 $"
2023-05-20,2 319 867 514 $,20 672 802 $,"5,31 $","5,22 $"
2023-05-19,2 308 267 302 $,22 593 385 $,"5,27 $","5,31 $"
2023-05-18,2 346 313 289 $,23 452 024 $,"5,37 $","5,27 $"
2023-05-17,2 282 361 937 $,22 643 201 $,"5,23 $","5,37 $"
2023-05-16,2 291 559 635 $,29 966 059 $,"5,25 $","5,23 $"
2023-05-15,2 261 606 363 $,25 375 608 $,"5,18 $","5,25 $"
2023-05-14,2 251 076 199 $,22 507 884 $,"5,14 $","5,18 $"
2023-05-13,2 281 595 544 $,36 024 945 $,"5,23 $","5,14 $"
2023-05-12,2 186 210 410 $,51 291 425 $,"5,01 $","5,23 $"
2023-05-11,2 313 730 624 $,49 922 691 $,"5,30 $","5,01 $"
2023-05-10,2 304 994 019 $,33 444 137 $,"5,28 $","5,30 $"
2023-05-09,2 328 623 432 $,77 360 548 $,"5,34 $","5,28 $"
2023-05-08,2 424 300 806 $,34 656 995 $,"5,57 $","5,34 $"
2023-05-07,2 432 115 688 $,58 832 226 $,"5,60 $","5,57 $"
2023-05-06,2 593 107 707 $,65 241 784 $,"5,95 $","5,60 $"
2023-05-05,2 568 454 474 $,76 794 924 $,"5,89 $","5,95 $"
2023-05-04,2 573 896 338 $,72 014 929 $,"5,92 $","5,89 $"
2023-05-03,2 500 176 772 $,64 817 625 $,"5,74 $","5,92 $"
2023-05-02,2 510 324 041 $,131 673 763 $,"5,77 $","5,74 $"
2023-05-01,2 812 157 311 $,113 807 176 $,"6,45 $","5,77 $"
2023-04-30,2 831 036 855 $,178 877 871 $,"6,49 $","6,45 $"
2023-04-29,2 633 662 380 $,132 341 833 $,"6,05 $","6,49 $"
2023-04-28,2 498 543 845 $,59 943 058 $,"5,75 $","6,05 $"
2023-04-27,2 309 416 309 $,71 721 662 $,"5,31 $","5,75 $"
2023-04-26,2 392 277 900 $,40 429 704 $,"5,49 $","5,31 $"
2023-04-25,2 341 510 957 $,32 856 856 $,"5,38 $","5,49 $"
2023-04-24,2 346 696 997 $,34 614 910 $,"5,43 $","5,38 $"
2023-04-23,2 442 921 423 $,35 762 664 $,"5,63 $","5,43 $"
2023-04-22,2 396 478 904 $,66 774 472 $,"5,53 $","5,63 $"
2023-04-21,2 550 105 788 $,77 421 777 $,"5,88 $","5,53 $"
2023-04-20,2 655 489 322 $,165 691 093 $,"6,11 $","5,88 $"
2023-04-19,2 948 434 677 $,144 137 074 $,"6,81 $","6,11 $"
2023-04-18,1 893 715 658 $,99 498 420 $,"6,26 $","6,81 $"
2023-04-17,1 840 705 128 $,73 497 536 $,"6,08 $","6,26 $"
2023-04-16,1 796 061 202 $,55 004 365 $,"5,91 $","6,08 $"
2023-04-15,1 666 184 623 $,52 621 268 $,"5,50 $","5,91 $"
2023-04-14,1 653 454 525 $,41 416 551 $,"5,47 $","5,50 $"
2023-04-13,1 639 210 464 $,62 352 050 $,"5,41 $","5,47 $"
2023-04-12,1 612 763 821 $,43 032 694 $,"5,34 $","5,41 $"
2023-04-11,1 569 742 216 $,40 309 665 $,"5,19 $","5,34 $"
2023-04-10,1 500 088 619 $,28 409 305 $,"5,02 $","5,19 $"
2023-04-09,1 468 538 783 $,24 480 392 $,"4,92 $","5,02 $"
2023-04-08,1 491 435 462 $,36 235 963 $,"5,00 $","4,92 $"
2023-04-07,1 461 830 952 $,32 686 857 $,"4,89 $","5,00 $"
2023-04-06,1 501 053 499 $,40 874 333 $,"5,02 $","4,89 $"
2023-04-05,1 487 446 203 $,35 829 299 $,"5,00 $","5,02 $"
2023-04-04,1 470 431 166 $,48 540 084 $,"4,93 $","5,00 $"
2023-04-03,1 510 787 941 $,36 937 714 $,"5,08 $","4,93 $"
2023-04-02,1 563 809 147 $,29 300 590 $,"5,25 $","5,08 $"
2023-04-01,1 551 951 600 $,39 297 743 $,"5,20 $","5,25 $"
2023-03-31,1 496 483 459 $,38 187 772 $,"5,03 $","5,20 $"
2023-03-30,1 535 458 393 $,41 895 605 $,"5,15 $","5,03 $"
2023-03-29,1 442 290 789 $,25 144 182 $,"4,84 $","5,15 $"
2023-03-28,1 422 650 334 $,34 880 320 $,"4,78 $","4,84 $"
2023-03-27,1 496 849 336 $,21 401 760 $,"5,00 $","4,78 $"
2023-03-26,1 466 155 460 $,26 324 260 $,"4,93 $","5,00 $"
2023-03-25,1 483 930 217 $,37 627 125 $,"4,98 $","4,93 $"
2023-03-24,1 557 395 162 $,29 774 144 $,"5,23 $","4,98 $"
2023-03-23,1 517 250 932 $,67 287 371 $,"5,11 $","5,23 $"
2023-03-22,1 575 663 181 $,41 613 160 $,"5,30 $","5,11 $"
2023-03-21,1 523 633 297 $,67 586 968 $,"5,14 $","5,30 $"
2023-03-20,1 626 822 492 $,55 167 861 $,"5,46 $","5,14 $"
2023-03-19,1 584 571 152 $,67 481 518 $,"5,35 $","5,46 $"
2023-03-18,1 674 914 822 $,66 087 612 $,"5,67 $","5,35 $"
2023-03-17,1 545 724 440 $,50 978 317 $,"5,21 $","5,67 $"
2023-03-16,1 540 818 996 $,85 086 852 $,"5,19 $","5,21 $"
2023-03-15,1 640 163 963 $,100 861 316 $,"5,54 $","5,19 $"
2023-03-14,1 585 482 567 $,91 902 573 $,"5,35 $","5,54 $"
2023-03-13,1 544 256 669 $,51 753 541 $,"5,23 $","5,35 $"
2023-03-12,1 392 435 490 $,57 383 516 $,"4,73 $","5,23 $"
2023-03-11,1 461 581 560 $,65 224 156 $,"4,92 $","4,73 $"
2023-03-10,1 386 527 589 $,63 578 841 $,"4,77 $","4,92 $"
2023-03-09,1 484 669 700 $,47 129 455 $,"5,06 $","4,77 $"
2023-03-08,1 555 230 627 $,47 064 510 $,"5,34 $","5,06 $"
2023-03-07,1 557 270 258 $,41 474 646 $,"5,33 $","5,34 $"
2023-03-06,1 557 604 551 $,31 049 201 $,"5,36 $","5,33 $"
2023-03-05,1 570 046 756 $,32 370 127 $,"5,38 $","5,36 $"
2023-03-04,1 627 870 162 $,65 688 275 $,"5,59 $","5,38 $"
2023-03-03,1 726 283 156 $,45 105 259 $,"5,92 $","5,59 $"
2023-03-02,1 795 270 666 $,57 945 305 $,"6,17 $","5,92 $"
2023-03-01,1 687 391 599 $,47 252 254 $,"5,80 $","6,17 $"
2023-02-28,1 785 152 269 $,62 723 935 $,"6,13 $","5,80 $"
2023-02-27,1 816 839 709 $,48 335 890 $,"6,23 $","6,13 $"
2023-02-26,1 775 134 482 $,52 758 634 $,"6,11 $","6,23 $"
2023-02-25,1 824 645 360 $,72 779 871 $,"6,29 $","6,11 $"
2023-02-24,1 937 432 979 $,78 098 540 $,"6,67 $","6,29 $"
2023-02-23,1 960 327 836 $,147 091 734 $,"6,72 $","6,67 $"
2023-02-22,1 991 032 181 $,109 390 231 $,"6,88 $","6,72 $"
2023-02-21,2 122 432 430 $,143 322 691 $,"7,34 $","6,88 $"
2023-02-20,2 134 923 470 $,269 883 531 $,"7,33 $","7,34 $"
2023-02-19,2 048 444 748 $,142 970 095 $,"7,08 $","7,33 $"
2023-02-18,2 122 496 218 $,368 072 263 $,"7,31 $","7,08 $"
2023-02-17,1 738 060 909 $,89 013 686 $,"5,98 $","7,31 $"
2023-02-16,1 752 073 671 $,64 883 069 $,"6,05 $","5,98 $"
2023-02-15,1 605 580 954 $,48 651 026 $,"5,53 $","6,05 $"
2023-02-14,1 546 803 879 $,74 753 965 $,"5,35 $","5,53 $"
2023-02-13,1 590 270 216 $,69 423 735 $,"5,50 $","5,35 $"
2023-02-12,1 523 868 756 $,25 443 707 $,"5,28 $","5,50 $"
2023-02-11,1 469 545 313 $,41 695 947 $,"5,08 $","5,28 $"
2023-02-10,1 446 473 890 $,70 340 145 $,"5,07 $","5,08 $"
2023-02-09,1 631 834 071 $,50 390 362 $,"5,73 $","5,07 $"
2023-02-08,1 665 096 754 $,58 601 126 $,"5,83 $","5,73 $"
2023-02-07,1 551 672 191 $,36 044 236 $,"5,45 $","5,83 $"
2023-02-06,1 607 039 671 $,46 060 211 $,"5,64 $","5,45 $"
2023-02-05,1 655 809 322 $,29 472 698 $,"5,81 $","5,64 $"
2023-02-04,1 674 686 963 $,38 640 659 $,"5,88 $","5,81 $"
2023-02-03,1 649 295 898 $,83 674 006 $,"5,78 $","5,88 $"
2023-02-02,1 723 578 412 $,73 762 048 $,"6,06 $","5,78 $"
2023-02-01,1 674 400 489 $,45 737 893 $,"5,89 $","6,06 $"
2023-01-31,1 643 740 735 $,50 932 443 $,"5,78 $","5,89 $"
2023-01-30,1 781 939 755 $,58 281 642 $,"6,27 $","5,78 $"
2023-01-29,1 710 543 037 $,41 928 785 $,"6,08 $","6,27 $"
2023-01-28,1 722 058 135 $,61 581 317 $,"6,04 $","6,08 $"
2023-01-27,1 664 828 195 $,59 541 740 $,"5,84 $","6,04 $"
2023-01-26,1 646 512 291 $,48 953 114 $,"5,79 $","5,84 $"
