Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,3 334 480 480 $,390 679 $,"3,58 $",N/A
2023-05-21,3 345 947 467 $,93 196 $,"3,59 $","3,58 $"
2023-05-20,3 327 009 038 $,268 594 $,"3,58 $","3,59 $"
2023-05-19,3 318 729 744 $,180 052 $,"3,57 $","3,58 $"
2023-05-18,3 320 830 478 $,200 967 $,"3,57 $","3,57 $"
2023-05-17,3 273 156 066 $,211 830 $,"3,52 $","3,57 $"
2023-05-16,3 274 084 558 $,324 528 $,"3,52 $","3,52 $"
2023-05-15,3 306 852 716 $,151 877 $,"3,56 $","3,52 $"
2023-05-14,3 302 617 322 $,234 994 $,"3,55 $","3,56 $"
2023-05-13,3 260 161 148 $,299 573 $,"3,50 $","3,55 $"
2023-05-12,3 259 670 312 $,270 653 $,"3,51 $","3,50 $"
2023-05-11,3 325 763 050 $,232 099 $,"3,59 $","3,51 $"
2023-05-10,3 277 644 197 $,175 545 $,"3,52 $","3,59 $"
2023-05-09,3 267 082 018 $,271 047 $,"3,51 $","3,52 $"
2023-05-08,3 253 955 364 $,218 726 $,"3,51 $","3,51 $"
2023-05-07,3 274 559 734 $,317 971 $,"3,52 $","3,51 $"
2023-05-06,3 310 976 842 $,461 690 $,"3,56 $","3,52 $"
2023-05-05,3 309 997 417 $,832 165 $,"3,56 $","3,56 $"
2023-05-04,3 431 665 723 $,330 369 $,"3,69 $","3,56 $"
2023-05-03,3 369 123 424 $,71 993 $,"3,62 $","3,69 $"
2023-05-02,3 339 053 211 $,219 456 $,"3,59 $","3,62 $"
2023-05-01,3 315 203 250 $,145 421 $,"3,57 $","3,59 $"
2023-04-30,3 321 912 318 $,193 834 $,"3,57 $","3,57 $"
2023-04-29,3 273 711 000 $,358 518 $,"3,52 $","3,57 $"
2023-04-28,3 269 039 689 $,417 895 $,"3,51 $","3,52 $"
2023-04-27,3 269 170 514 $,550 435 $,"3,51 $","3,51 $"
2023-04-26,3 270 242 151 $,290 936 $,"3,50 $","3,51 $"
2023-04-25,3 290 505 249 $,334 775 $,"3,54 $","3,50 $"
2023-04-24,3 291 224 153 $,125 501 $,"3,53 $","3,54 $"
2023-04-23,3 276 263 694 $,493 994 $,"3,52 $","3,53 $"
2023-04-22,3 241 600 198 $,244 632 $,"3,48 $","3,52 $"
2023-04-21,3 254 274 430 $,97 366 $,"3,49 $","3,48 $"
2023-04-20,3 179 180 085 $,313 429 $,"3,42 $","3,49 $"
2023-04-19,3 181 843 605 $,292 931 $,"3,42 $","3,42 $"
2023-04-18,3 172 317 218 $,429 848 $,"3,41 $","3,42 $"
2023-04-17,3 192 794 380 $,267 805 $,"3,43 $","3,41 $"
2023-04-16,3 162 084 636 $,793 767 $,"3,40 $","3,43 $"
2023-04-15,3 199 039 847 $,307 563 $,"3,43 $","3,40 $"
2023-04-14,3 156 415 541 $,359 577 $,"3,39 $","3,43 $"
2023-04-13,3 155 088 383 $,324 918 $,"3,39 $","3,39 $"
2023-04-12,3 138 429 593 $,387 857 $,"3,36 $","3,39 $"
2023-04-11,3 157 542 905 $,354 293 $,"3,39 $","3,36 $"
2023-04-10,3 157 809 741 $,345 982 $,"3,39 $","3,39 $"
2023-04-09,3 119 645 620 $,186 818 $,"3,38 $","3,39 $"
2023-04-08,3 144 849 029 $,223 181 $,"3,38 $","3,38 $"
2023-04-07,3 158 256 830 $,300 352 $,"3,39 $","3,38 $"
2023-04-06,3 149 011 443 $,439 000 $,"3,38 $","3,39 $"
2023-04-05,3 152 146 288 $,432 711 $,"3,39 $","3,38 $"
2023-04-04,3 200 858 191 $,204 332 $,"3,44 $","3,39 $"
2023-04-03,3 156 166 484 $,316 793 $,"3,39 $","3,44 $"
2023-04-02,3 158 608 848 $,551 199 $,"3,40 $","3,39 $"
2023-04-01,3 258 772 870 $,175 856 $,"3,50 $","3,40 $"
2023-03-31,3 225 087 492 $,242 502 $,"3,46 $","3,50 $"
2023-03-30,3 174 968 929 $,418 258 $,"3,41 $","3,46 $"
2023-03-29,3 077 789 910 $,458 397 $,"3,41 $","3,41 $"
2023-03-28,3 151 710 786 $,664 395 $,"3,39 $","3,41 $"
2023-03-27,3 231 727 716 $,456 254 $,"3,47 $","3,39 $"
2023-03-26,3 154 039 502 $,732 841 $,"3,39 $","3,47 $"
2023-03-25,3 227 617 950 $,690 303 $,"3,47 $","3,39 $"
2023-03-24,3 159 631 033 $,478 036 $,"3,40 $","3,47 $"
2023-03-23,3 140 000 642 $,837 535 $,"3,37 $","3,40 $"
2023-03-22,3 238 308 565 $,792 640 $,"3,48 $","3,37 $"
2023-03-21,3 148 041 923 $,605 477 $,"3,38 $","3,48 $"
2023-03-20,3 139 915 271 $,352 099 $,"3,38 $","3,38 $"
2023-03-19,3 145 859 701 $,814 295 $,"3,38 $","3,38 $"
2023-03-18,3 248 743 022 $,565 495 $,"3,49 $","3,38 $"
2023-03-17,3 140 061 718 $,383 973 $,"3,37 $","3,49 $"
2023-03-16,3 178 093 337 $,455 232 $,"3,42 $","3,37 $"
2023-03-15,3 110 086 822 $,774 749 $,"3,34 $","3,42 $"
2023-03-14,3 134 751 107 $,1 827 413 $,"3,36 $","3,34 $"
2023-03-13,3 463 556 077 $,618 356 $,"3,73 $","3,36 $"
2023-03-12,3 265 535 302 $,629 137 $,"3,51 $","3,73 $"
2023-03-11,3 220 664 010 $,659 419 $,"3,46 $","3,51 $"
2023-03-10,3 139 486 158 $,406 240 $,"3,37 $","3,46 $"
2023-03-09,3 141 681 352 $,487 790 $,"3,37 $","3,37 $"
2023-03-08,3 153 183 829 $,382 998 $,"3,39 $","3,37 $"
