Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,11 725 919 600 $,8 642 175 $,"1 804,83 $",N/A
2023-05-21,11 695 399 482 $,9 228 619 $,"1 817,27 $","1 804,83 $"
2023-05-20,11 605 359 706 $,8 826 951 $,"1 810,85 $","1 817,27 $"
2023-05-19,11 480 347 335 $,12 382 487 $,"1 801,31 $","1 810,85 $"
2023-05-18,11 489 676 762 $,15 437 456 $,"1 818,59 $","1 801,31 $"
2023-05-17,12 256 809 763 $,9 985 860 $,"1 823,45 $","1 818,59 $"
2023-05-16,12 145 434 638 $,7 675 445 $,"1 819,79 $","1 823,45 $"
2023-05-15,11 948 616 633 $,21 290 660 $,"1 797,79 $","1 819,79 $"
2023-05-14,11 950 104 098 $,8 892 506 $,"1 796,06 $","1 797,79 $"
2023-05-13,11 929 855 848 $,38 935 843 $,"1 808,25 $","1 796,06 $"
2023-05-12,11 661 345 729 $,19 886 554 $,"1 797,14 $","1 808,25 $"
2023-05-11,11 881 654 125 $,32 725 603 $,"1 842,41 $","1 797,14 $"
2023-05-10,11 800 817 303 $,28 696 370 $,"1 844,61 $","1 842,41 $"
2023-05-09,11 769 538 536 $,25 934 477 $,"1 847,71 $","1 844,61 $"
2023-05-08,12 108 195 424 $,5 350 769 $,"1 894,94 $","1 847,71 $"
2023-05-07,11 953 614 272 $,11 215 105 $,"1 893,43 $","1 894,94 $"
2023-05-06,12 556 138 781 $,8 787 969 $,"1 991,80 $","1 893,43 $"
2023-05-05,11 790 412 828 $,18 212 815 $,"1 875,38 $","1 991,80 $"
2023-05-04,11 938 348 678 $,14 504 315 $,"1 900,62 $","1 875,38 $"
2023-05-03,11 685 156 990 $,6 483 795 $,"1 869,96 $","1 900,62 $"
2023-05-02,11 376 872 145 $,21 114 079 $,"1 828,89 $","1 869,96 $"
2023-05-01,11 698 972 199 $,9 985 622 $,"1 882,68 $","1 828,89 $"
2023-04-30,11 792 497 100 $,20 015 444 $,"1 900,73 $","1 882,68 $"
2023-04-29,11 724 232 122 $,11 781 763 $,"1 891,41 $","1 900,73 $"
2023-04-28,11 766 701 157 $,38 985 471 $,"1 906,17 $","1 891,41 $"
2023-04-27,11 470 403 529 $,15 796 298 $,"1 866,39 $","1 906,17 $"
2023-04-26,11 479 034 176 $,48 339 450 $,"1 864,76 $","1 866,39 $"
2023-04-25,11 300 896 040 $,11 832 973 $,"1 840,53 $","1 864,76 $"
2023-04-24,11 371 268 229 $,11 513 134 $,"1 856,71 $","1 840,53 $"
2023-04-23,11 469 074 774 $,29 931 849 $,"1 877,34 $","1 856,71 $"
2023-04-22,11 249 014 657 $,33 448 952 $,"1 849,09 $","1 877,34 $"
2023-04-21,11 767 567 929 $,43 327 563 $,"1 937,50 $","1 849,09 $"
2023-04-20,11 725 315 390 $,26 842 920 $,"1 935,05 $","1 937,50 $"
2023-04-19,12 709 993 968 $,19 761 123 $,"2 104,17 $","1 935,05 $"
2023-04-18,12 469 818 927 $,21 927 715 $,"2 071,28 $","2 104,17 $"
2023-04-17,12 812 624 731 $,41 377 574 $,"2 134,41 $","2 071,28 $"
2023-04-16,12 483 284 477 $,16 401 761 $,"2 087,29 $","2 134,41 $"
2023-04-15,12 513 832 146 $,36 874 342 $,"2 097,54 $","2 087,29 $"
