Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,6 742 695 285 $,391 870 823 $,"92,34 $",N/A
2023-05-21,6 734 871 526 $,319 258 522 $,"92,30 $","92,34 $"
2023-05-20,6 695 924 471 $,591 249 665 $,"91,75 $","92,30 $"
2023-05-19,6 616 126 091 $,684 657 004 $,"90,51 $","91,75 $"
2023-05-18,6 847 022 232 $,1 113 068 092 $,"93,78 $","90,51 $"
2023-05-17,6 572 705 511 $,893 622 009 $,"90,01 $","93,78 $"
2023-05-16,6 363 777 766 $,843 612 280 $,"87,17 $","90,01 $"
2023-05-15,6 078 720 374 $,413 559 474 $,"83,36 $","87,17 $"
2023-05-14,5 857 287 638 $,302 597 796 $,"80,21 $","83,36 $"
2023-05-13,5 874 387 031 $,553 394 526 $,"80,57 $","80,21 $"
2023-05-12,5 896 694 985 $,621 320 389 $,"81,15 $","80,57 $"
2023-05-11,5 912 695 277 $,583 912 362 $,"81,14 $","81,15 $"
2023-05-10,5 825 752 954 $,479 198 117 $,"79,91 $","81,14 $"
2023-05-09,5 674 749 050 $,742 434 141 $,"77,88 $","79,91 $"
2023-05-08,6 098 941 070 $,337 948 118 $,"83,82 $","77,88 $"
2023-05-07,6 076 180 090 $,606 010 674 $,"83,49 $","83,82 $"
2023-05-06,6 468 403 353 $,400 542 488 $,"88,70 $","83,49 $"
2023-05-05,6 451 113 671 $,298 992 289 $,"88,49 $","88,70 $"
2023-05-04,6 464 190 195 $,462 830 465 $,"88,79 $","88,49 $"
2023-05-03,6 429 515 649 $,395 779 741 $,"88,31 $","88,79 $"
2023-05-02,6 312 960 585 $,468 021 055 $,"86,76 $","88,31 $"
2023-05-01,6 463 261 911 $,337 656 729 $,"88,72 $","86,76 $"
2023-04-30,6 626 734 447 $,317 673 031 $,"91,00 $","88,72 $"
2023-04-29,6 533 495 262 $,399 484 804 $,"89,71 $","91,00 $"
2023-04-28,6 525 091 038 $,1 184 528 817 $,"89,71 $","89,71 $"
2023-04-27,6 411 631 790 $,784 021 558 $,"88,10 $","89,71 $"
2023-04-26,6 632 435 526 $,619 853 760 $,"91,23 $","88,10 $"
2023-04-25,6 437 871 832 $,526 411 432 $,"88,37 $","91,23 $"
2023-04-24,6 314 904 090 $,370 807 140 $,"86,88 $","88,37 $"
2023-04-23,6 343 229 571 $,359 742 750 $,"87,16 $","86,88 $"
2023-04-22,6 219 487 302 $,642 267 569 $,"85,48 $","87,16 $"
2023-04-21,6 559 647 089 $,751 894 046 $,"90,23 $","85,48 $"
2023-04-20,6 562 601 344 $,931 659 228 $,"90,14 $","90,23 $"
2023-04-19,7 406 400 941 $,683 306 927 $,"101,82 $","90,14 $"
2023-04-18,7 166 634 167 $,672 641 765 $,"98,68 $","101,82 $"
2023-04-17,7 283 209 649 $,774 616 026 $,"100,22 $","98,68 $"
2023-04-16,7 051 092 680 $,411 960 403 $,"96,85 $","100,22 $"
2023-04-15,7 008 366 761 $,811 440 883 $,"96,38 $","96,85 $"
2023-04-14,6 847 116 786 $,499 365 714 $,"94,25 $","96,38 $"
2023-04-13,6 708 437 560 $,590 938 072 $,"92,16 $","94,25 $"
2023-04-12,6 845 490 745 $,638 006 797 $,"94,24 $","92,16 $"
2023-04-11,6 827 359 570 $,540 016 856 $,"93,83 $","94,24 $"
2023-04-10,6 594 419 487 $,345 416 673 $,"90,68 $","93,83 $"
2023-04-09,6 548 626 468 $,355 830 883 $,"90,00 $","90,68 $"
2023-04-08,6 582 863 768 $,368 224 075 $,"90,60 $","90,00 $"
2023-04-07,6 607 090 347 $,422 657 972 $,"90,92 $","90,60 $"
2023-04-06,6 734 473 839 $,580 032 754 $,"92,69 $","90,92 $"
2023-04-05,6 717 669 062 $,487 215 348 $,"92,53 $","92,69 $"
2023-04-04,6 772 692 905 $,763 903 958 $,"93,03 $","92,53 $"
2023-04-03,6 761 846 008 $,582 729 767 $,"93,12 $","93,03 $"
