Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,2 729 119 597 $,45 909 409 $,"150,39 $",N/A
2023-05-21,2 728 302 189 $,47 051 094 $,"150,34 $","150,39 $"
2023-05-20,2 732 959 586 $,55 433 860 $,"150,44 $","150,34 $"
2023-05-19,2 741 332 819 $,62 579 664 $,"150,94 $","150,44 $"
2023-05-18,2 748 689 605 $,55 273 723 $,"151,42 $","150,94 $"
2023-05-17,2 752 319 762 $,57 167 234 $,"151,57 $","151,42 $"
2023-05-16,2 766 832 766 $,54 008 074 $,"152,47 $","151,57 $"
2023-05-15,2 792 839 215 $,50 687 496 $,"153,88 $","152,47 $"
2023-05-14,2 782 474 144 $,46 382 115 $,"152,94 $","153,88 $"
2023-05-13,2 789 381 925 $,72 111 125 $,"153,76 $","152,94 $"
2023-05-12,2 768 850 528 $,95 141 616 $,"152,59 $","153,76 $"
2023-05-11,2 786 870 239 $,126 069 144 $,"153,56 $","152,59 $"
2023-05-10,2 810 377 102 $,115 929 584 $,"154,97 $","153,56 $"
2023-05-09,2 784 287 443 $,149 491 325 $,"153,34 $","154,97 $"
2023-05-08,2 842 834 019 $,130 898 032 $,"156,90 $","153,34 $"
2023-05-07,2 841 455 627 $,143 345 096 $,"156,36 $","156,90 $"
2023-05-06,2 872 703 066 $,144 134 720 $,"158,07 $","156,36 $"
2023-05-05,2 820 479 613 $,102 223 064 $,"155,41 $","158,07 $"
2023-05-04,2 813 640 929 $,109 107 994 $,"155,06 $","155,41 $"
2023-05-03,2 767 557 848 $,89 065 981 $,"152,51 $","155,06 $"
2023-05-02,2 767 986 051 $,106 728 008 $,"152,59 $","152,51 $"
2023-05-01,2 841 844 173 $,70 207 719 $,"156,65 $","152,59 $"
2023-04-30,2 804 430 437 $,76 585 439 $,"154,51 $","156,65 $"
2023-04-29,2 778 398 414 $,104 355 560 $,"153,32 $","154,51 $"
2023-04-28,2 794 718 813 $,114 328 815 $,"153,93 $","153,32 $"
2023-04-27,2 847 052 937 $,138 757 996 $,"156,65 $","153,93 $"
2023-04-26,2 897 412 359 $,101 055 766 $,"159,99 $","156,65 $"
2023-04-25,2 860 200 480 $,97 691 147 $,"157,38 $","159,99 $"
2023-04-24,2 848 886 846 $,97 042 260 $,"157,16 $","157,38 $"
2023-04-23,2 857 421 258 $,75 966 805 $,"157,45 $","157,16 $"
2023-04-22,2 738 817 477 $,94 023 173 $,"151,00 $","157,45 $"
2023-04-21,2 787 975 785 $,88 707 134 $,"153,60 $","151,00 $"
2023-04-20,2 781 527 902 $,108 061 533 $,"152,76 $","153,60 $"
2023-04-19,2 950 881 249 $,85 308 641 $,"162,67 $","152,76 $"
2023-04-18,2 894 723 923 $,91 098 011 $,"159,58 $","162,67 $"
2023-04-17,2 967 829 489 $,68 097 989 $,"163,52 $","159,58 $"
2023-04-16,2 951 188 262 $,91 578 122 $,"162,51 $","163,52 $"
2023-04-15,2 938 610 237 $,101 021 008 $,"161,92 $","162,51 $"
2023-04-14,2 939 821 843 $,91 626 756 $,"162,03 $","161,92 $"
2023-04-13,2 946 914 163 $,110 738 443 $,"162,31 $","162,03 $"
