Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,2 743 018 449 $,3 492 903 $,"45,69 $",N/A
2023-05-21,2 755 948 751 $,3 759 990 $,"45,94 $","45,69 $"
2023-05-20,2 738 943 636 $,4 893 085 $,"45,64 $","45,94 $"
2023-05-19,2 738 276 683 $,4 452 278 $,"45,63 $","45,64 $"
2023-05-18,2 767 755 686 $,5 571 140 $,"46,10 $","45,63 $"
2023-05-17,2 762 697 689 $,7 179 872 $,"46,01 $","46,10 $"
2023-05-16,2 784 579 250 $,9 813 642 $,"46,46 $","46,01 $"
2023-05-15,2 715 560 932 $,3 683 033 $,"45,27 $","46,46 $"
2023-05-14,2 692 743 048 $,5 480 428 $,"44,76 $","45,27 $"
2023-05-13,2 661 469 005 $,7 750 854 $,"44,39 $","44,76 $"
2023-05-12,2 650 864 375 $,5 831 002 $,"44,20 $","44,39 $"
2023-05-11,2 712 173 670 $,9 099 179 $,"45,13 $","44,20 $"
2023-05-10,2 689 685 920 $,12 730 421 $,"44,84 $","45,13 $"
2023-05-09,2 639 814 308 $,11 112 452 $,"44,00 $","44,84 $"
2023-05-08,2 711 451 564 $,5 289 119 $,"45,40 $","44,00 $"
2023-05-07,2 724 217 356 $,9 655 981 $,"45,44 $","45,40 $"
2023-05-06,2 798 201 574 $,12 628 925 $,"46,61 $","45,44 $"
2023-05-05,2 801 984 402 $,6 380 943 $,"46,67 $","46,61 $"
2023-05-04,2 812 004 105 $,12 049 715 $,"46,87 $","46,67 $"
2023-05-03,2 782 151 807 $,6 529 842 $,"46,37 $","46,87 $"
2023-05-02,2 773 431 429 $,9 536 542 $,"46,31 $","46,37 $"
2023-05-01,2 828 239 621 $,10 426 444 $,"47,17 $","46,31 $"
2023-04-30,2 859 863 952 $,5 464 343 $,"47,68 $","47,17 $"
2023-04-29,2 859 383 118 $,9 741 230 $,"47,64 $","47,68 $"
2023-04-28,2 867 785 947 $,14 841 465 $,"47,86 $","47,64 $"
2023-04-27,2 867 733 926 $,28 846 852 $,"47,89 $","47,86 $"
2023-04-26,2 838 258 728 $,27 930 288 $,"47,36 $","47,89 $"
2023-04-25,2 750 473 127 $,80 583 057 $,"45,71 $","47,36 $"
2023-04-24,2 762 398 616 $,49 960 132 $,"46,29 $","45,71 $"
2023-04-23,2 886 509 596 $,52 929 886 $,"48,14 $","46,29 $"
2023-04-22,2 894 392 719 $,56 028 063 $,"48,29 $","48,14 $"
2023-04-21,3 207 711 762 $,68 164 433 $,"53,48 $","48,29 $"
2023-04-20,3 163 704 350 $,132 036 564 $,"52,72 $","53,48 $"
2023-04-19,3 292 751 015 $,61 196 259 $,"54,81 $","52,72 $"
2023-04-18,3 148 545 443 $,55 143 796 $,"52,32 $","54,81 $"
2023-04-17,3 185 214 661 $,62 065 489 $,"53,16 $","52,32 $"
2023-04-16,3 365 805 110 $,162 377 766 $,"55,80 $","53,16 $"
2023-04-15,3 017 586 732 $,55 997 241 $,"49,85 $","55,80 $"
2023-04-14,2 609 502 141 $,11 241 883 $,"43,49 $","49,85 $"
2023-04-13,2 542 481 247 $,12 107 058 $,"42,38 $","43,49 $"
2023-04-12,2 560 443 856 $,18 016 529 $,"42,67 $","42,38 $"
2023-04-11,2 574 662 057 $,17 193 639 $,"42,89 $","42,67 $"
2023-04-10,2 487 317 073 $,7 905 229 $,"41,42 $","42,89 $"
2023-04-09,2 483 744 786 $,8 033 823 $,"41,37 $","41,42 $"
2023-04-08,2 483 734 324 $,9 805 265 $,"41,40 $","41,37 $"
2023-04-07,2 472 537 574 $,11 640 831 $,"41,19 $","41,40 $"
2023-04-06,2 522 564 731 $,23 404 748 $,"42,04 $","41,19 $"
2023-04-05,2 447 482 376 $,19 927 476 $,"40,87 $","42,04 $"
2023-04-04,2 416 568 326 $,21 270 041 $,"40,22 $","40,87 $"
2023-04-03,2 492 444 980 $,16 256 508 $,"41,64 $","40,22 $"
2023-04-02,2 503 041 656 $,16 229 127 $,"41,72 $","41,64 $"
2023-04-01,2 519 889 736 $,19 706 946 $,"41,99 $","41,72 $"
2023-03-31,2 513 612 406 $,32 509 829 $,"41,91 $","41,99 $"
2023-03-30,2 561 501 057 $,38 579 043 $,"42,74 $","41,91 $"
2023-03-29,2 560 053 130 $,43 184 151 $,"42,70 $","42,74 $"
2023-03-28,2 554 784 511 $,46 360 106 $,"42,74 $","42,70 $"
2023-03-27,2 534 152 458 $,30 042 244 $,"42,17 $","42,74 $"
2023-03-26,2 505 456 314 $,27 919 101 $,"41,81 $","42,17 $"
2023-03-25,2 554 438 208 $,41 059 182 $,"42,34 $","41,81 $"
2023-03-24,2 706 768 230 $,40 423 189 $,"45,18 $","42,34 $"
2023-03-23,2 729 523 587 $,50 250 884 $,"45,68 $","45,18 $"
2023-03-22,2 727 360 299 $,49 281 711 $,"45,49 $","45,68 $"
2023-03-21,2 701 900 872 $,53 989 114 $,"44,95 $","45,49 $"
2023-03-20,2 914 452 641 $,42 845 191 $,"48,35 $","44,95 $"
2023-03-19,2 876 249 612 $,75 540 045 $,"47,89 $","48,35 $"
2023-03-18,2 987 157 703 $,65 115 258 $,"49,80 $","47,89 $"
2023-03-17,2 858 586 087 $,54 093 541 $,"47,70 $","49,80 $"
2023-03-16,2 847 615 363 $,62 937 468 $,"47,47 $","47,70 $"
2023-03-15,2 954 832 695 $,84 408 788 $,"49,27 $","47,47 $"
2023-03-14,2 840 457 632 $,106 534 685 $,"47,33 $","49,27 $"
2023-03-13,2 526 075 503 $,53 374 932 $,"42,76 $","47,33 $"
2023-03-12,2 422 645 969 $,65 764 158 $,"40,36 $","42,76 $"
2023-03-11,2 418 567 649 $,68 809 784 $,"40,32 $","40,36 $"
2023-03-10,2 434 377 211 $,62 798 743 $,"40,64 $","40,32 $"
2023-03-09,10 596 785 793 $,85 250 348 $,"42,85 $","40,64 $"
2023-03-08,10 750 416 037 $,70 521 113 $,"43,93 $","42,85 $"
