Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,6 514 543 950 $,81 457 306 $,"5,27 $",N/A
2023-05-21,6 674 722 771 $,82 384 849 $,"5,41 $","5,27 $"
2023-05-20,6 631 963 805 $,99 454 894 $,"5,37 $","5,41 $"
2023-05-19,6 597 019 426 $,114 165 285 $,"5,34 $","5,37 $"
2023-05-18,6 674 879 023 $,114 012 098 $,"5,41 $","5,34 $"
2023-05-17,6 540 611 307 $,98 890 907 $,"5,30 $","5,41 $"
2023-05-16,6 572 863 587 $,109 157 885 $,"5,33 $","5,30 $"
2023-05-15,6 595 093 848 $,79 532 459 $,"5,35 $","5,33 $"
2023-05-14,6 613 225 095 $,82 899 033 $,"5,35 $","5,35 $"
2023-05-13,6 592 082 194 $,131 408 405 $,"5,35 $","5,35 $"
2023-05-12,6 508 587 548 $,143 209 794 $,"5,29 $","5,35 $"
2023-05-11,6 740 923 466 $,183 961 207 $,"5,48 $","5,29 $"
2023-05-10,6 555 237 356 $,128 633 537 $,"5,32 $","5,48 $"
2023-05-09,6 612 416 992 $,209 588 587 $,"5,37 $","5,32 $"
2023-05-08,6 946 473 944 $,96 756 910 $,"5,66 $","5,37 $"
2023-05-07,6 942 712 516 $,133 385 483 $,"5,65 $","5,66 $"
2023-05-06,7 192 813 781 $,156 382 786 $,"5,85 $","5,65 $"
2023-05-05,6 967 803 849 $,101 013 052 $,"5,67 $","5,85 $"
2023-05-04,7 095 348 282 $,131 755 396 $,"5,78 $","5,67 $"
2023-05-03,7 022 173 071 $,106 941 680 $,"5,72 $","5,78 $"
2023-05-02,6 962 447 944 $,144 500 094 $,"5,67 $","5,72 $"
2023-05-01,7 260 991 515 $,126 929 661 $,"5,91 $","5,67 $"
2023-04-30,7 407 756 843 $,119 565 164 $,"6,03 $","5,91 $"
2023-04-29,7 298 739 319 $,155 980 353 $,"5,95 $","6,03 $"
2023-04-28,7 320 486 093 $,186 747 228 $,"5,97 $","5,95 $"
2023-04-27,7 161 641 711 $,264 915 327 $,"5,85 $","5,97 $"
2023-04-26,7 355 188 923 $,147 991 878 $,"6,01 $","5,85 $"
2023-04-25,7 210 898 433 $,154 360 733 $,"5,89 $","6,01 $"
2023-04-24,7 243 220 356 $,130 092 034 $,"5,92 $","5,89 $"
2023-04-23,7 292 666 128 $,117 290 789 $,"5,96 $","5,92 $"
2023-04-22,7 155 855 076 $,216 476 240 $,"5,85 $","5,96 $"
2023-04-21,7 472 350 670 $,246 649 682 $,"6,11 $","5,85 $"
2023-04-20,7 726 090 602 $,304 362 268 $,"6,31 $","6,11 $"
2023-04-19,8 468 999 209 $,241 327 264 $,"6,92 $","6,31 $"
2023-04-18,8 182 296 977 $,223 489 562 $,"6,70 $","6,92 $"
2023-04-17,8 337 320 668 $,191 364 308 $,"6,83 $","6,70 $"
2023-04-16,8 328 054 056 $,191 633 213 $,"6,81 $","6,83 $"
2023-04-15,8 229 505 281 $,283 263 717 $,"6,73 $","6,81 $"
2023-04-14,8 125 660 233 $,204 632 453 $,"6,64 $","6,73 $"
2023-04-13,7 830 662 352 $,222 772 321 $,"6,41 $","6,64 $"
2023-04-12,7 847 129 342 $,212 206 407 $,"6,43 $","6,41 $"
2023-04-11,7 678 397 457 $,157 115 506 $,"6,29 $","6,43 $"
2023-04-10,7 585 959 979 $,145 695 438 $,"6,21 $","6,29 $"
2023-04-09,7 493 348 826 $,131 916 467 $,"6,14 $","6,21 $"
2023-04-08,7 546 011 941 $,162 303 821 $,"6,19 $","6,14 $"
2023-04-07,7 657 366 273 $,165 932 758 $,"6,28 $","6,19 $"
2023-04-06,7 817 274 517 $,191 646 245 $,"6,41 $","6,28 $"
2023-04-05,7 843 403 289 $,228 779 710 $,"6,44 $","6,41 $"
2023-04-04,7 823 458 413 $,250 934 391 $,"6,43 $","6,44 $"
2023-04-03,7 641 386 575 $,165 981 691 $,"6,27 $","6,43 $"
2023-04-02,7 731 363 330 $,150 087 143 $,"6,35 $","6,27 $"
2023-04-01,7 727 847 983 $,220 876 668 $,"6,34 $","6,35 $"
2023-03-31,7 444 748 644 $,197 809 654 $,"6,12 $","6,34 $"
2023-03-30,7 522 732 303 $,187 654 032 $,"6,19 $","6,12 $"
2023-03-29,7 383 642 655 $,153 874 808 $,"6,07 $","6,19 $"
2023-03-28,7 146 342 408 $,165 318 894 $,"5,88 $","6,07 $"
2023-03-27,7 387 058 765 $,132 449 723 $,"6,05 $","5,88 $"
2023-03-26,7 220 374 796 $,141 765 532 $,"5,94 $","6,05 $"
2023-03-25,7 365 301 138 $,208 117 031 $,"6,02 $","5,94 $"
2023-03-24,7 703 989 762 $,183 653 212 $,"6,35 $","6,02 $"
2023-03-23,7 396 098 382 $,292 943 936 $,"6,09 $","6,35 $"
2023-03-22,7 772 318 411 $,224 997 518 $,"6,41 $","6,09 $"
2023-03-21,7 450 586 726 $,272 209 445 $,"6,12 $","6,41 $"
2023-03-20,7 931 605 244 $,263 101 166 $,"6,51 $","6,12 $"
2023-03-19,7 700 962 301 $,325 589 656 $,"6,35 $","6,51 $"
2023-03-18,8 021 960 013 $,349 175 461 $,"6,64 $","6,35 $"
2023-03-17,7 439 207 053 $,270 083 593 $,"6,13 $","6,64 $"
2023-03-16,7 141 510 096 $,396 831 003 $,"5,89 $","6,13 $"
2023-03-15,7 571 159 433 $,426 347 359 $,"6,24 $","5,89 $"
2023-03-14,7 401 937 661 $,430 322 352 $,"6,10 $","6,24 $"
2023-03-13,7 123 017 236 $,293 974 689 $,"5,91 $","6,10 $"
2023-03-12,6 608 022 342 $,319 352 908 $,"5,47 $","5,91 $"
2023-03-11,6 741 885 995 $,398 823 096 $,"5,56 $","5,47 $"
2023-03-10,6 492 221 339 $,322 122 608 $,"5,38 $","5,56 $"
2023-03-09,6 783 974 361 $,325 705 157 $,"5,60 $","5,38 $"
2023-03-08,7 065 034 656 $,256 896 325 $,"5,86 $","5,60 $"
2023-03-07,7 154 139 435 $,198 293 307 $,"5,92 $","5,86 $"
2023-03-06,7 221 755 523 $,180 881 874 $,"5,99 $","5,92 $"
2023-03-05,7 141 278 387 $,187 234 194 $,"5,91 $","5,99 $"
2023-03-04,7 290 395 652 $,307 950 873 $,"6,03 $","5,91 $"
2023-03-03,7 639 140 586 $,237 639 734 $,"6,32 $","6,03 $"
2023-03-02,7 881 933 856 $,275 326 716 $,"6,53 $","6,32 $"
2023-03-01,7 652 424 036 $,265 521 917 $,"6,35 $","6,53 $"
2023-02-28,7 952 520 454 $,288 525 491 $,"6,58 $","6,35 $"
2023-02-27,8 070 006 130 $,259 252 796 $,"6,68 $","6,58 $"
2023-02-26,7 879 063 918 $,273 278 804 $,"6,54 $","6,68 $"
2023-02-25,7 975 206 269 $,406 675 009 $,"6,61 $","6,54 $"
2023-02-24,8 528 870 606 $,375 652 836 $,"7,09 $","6,61 $"
2023-02-23,8 656 728 944 $,445 050 807 $,"7,17 $","7,09 $"
2023-02-22,8 725 074 264 $,424 382 923 $,"7,25 $","7,17 $"
2023-02-21,9 059 900 211 $,517 830 091 $,"7,53 $","7,25 $"
2023-02-20,8 991 538 134 $,790 399 404 $,"7,44 $","7,53 $"
2023-02-19,8 724 929 155 $,471 016 202 $,"7,25 $","7,44 $"
2023-02-18,8 780 715 047 $,816 508 569 $,"7,30 $","7,25 $"
2023-02-17,7 658 563 982 $,401 487 887 $,"6,39 $","7,30 $"
2023-02-16,7 945 712 272 $,335 324 467 $,"6,61 $","6,39 $"
2023-02-15,7 496 941 327 $,278 124 947 $,"6,23 $","6,61 $"
2023-02-14,7 352 408 834 $,335 928 394 $,"6,12 $","6,23 $"
2023-02-13,7 416 773 396 $,178 158 553 $,"6,16 $","6,12 $"
2023-02-12,7 543 346 315 $,143 068 443 $,"6,28 $","6,16 $"
2023-02-11,7 442 362 927 $,301 637 805 $,"6,19 $","6,28 $"
2023-02-10,7 477 194 018 $,529 810 449 $,"6,23 $","6,19 $"
