Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,7 966 721 496 $,125 912 800 $,"0,858055 $",N/A
2023-05-21,8 140 873 968 $,134 018 202 $,"0,877297 $","0,858055 $"
2023-05-20,8 091 675 379 $,210 067 043 $,"0,871840 $","0,877297 $"
2023-05-19,8 116 167 481 $,302 635 223 $,"0,872038 $","0,871840 $"
2023-05-18,8 233 716 345 $,331 024 155 $,"0,887657 $","0,872038 $"
2023-05-17,7 819 486 486 $,228 218 778 $,"0,845837 $","0,887657 $"
2023-05-16,7 963 184 552 $,208 447 838 $,"0,861996 $","0,845837 $"
2023-05-15,7 961 709 377 $,170 384 053 $,"0,860391 $","0,861996 $"
2023-05-14,7 875 188 181 $,181 612 414 $,"0,849139 $","0,860391 $"
2023-05-13,8 015 243 890 $,401 223 675 $,"0,866437 $","0,849139 $"
2023-05-12,7 803 797 563 $,322 730 188 $,"0,843663 $","0,866437 $"
2023-05-11,8 124 795 144 $,395 328 006 $,"0,878176 $","0,843663 $"
2023-05-10,8 111 034 888 $,348 330 705 $,"0,876670 $","0,878176 $"
2023-05-09,8 322 795 666 $,444 614 581 $,"0,901126 $","0,876670 $"
2023-05-08,8 940 762 393 $,204 743 894 $,"0,968248 $","0,901126 $"
2023-05-07,9 045 816 411 $,291 959 595 $,"0,977922 $","0,968248 $"
2023-05-06,9 232 675 400 $,270 599 091 $,"0,998382 $","0,977922 $"
2023-05-05,9 094 614 803 $,227 752 799 $,"0,983248 $","0,998382 $"
2023-05-04,9 306 485 624 $,358 845 210 $,"1,006 $","0,983248 $"
2023-05-03,9 037 635 788 $,234 876 597 $,"0,977295 $","1,006 $"
2023-05-02,8 891 287 113 $,278 746 152 $,"0,961638 $","0,977295 $"
2023-05-01,9 117 104 727 $,235 661 791 $,"0,985723 $","0,961638 $"
2023-04-30,9 269 391 585 $,213 162 870 $,"1,002 $","0,985723 $"
2023-04-29,9 238 278 030 $,307 655 750 $,"0,998712 $","1,002 $"
2023-04-28,9 361 602 569 $,407 089 536 $,"1,013 $","0,998712 $"
2023-04-27,9 109 178 257 $,574 610 807 $,"0,985312 $","1,013 $"
2023-04-26,9 323 613 810 $,380 038 938 $,"1,008 $","0,985312 $"
2023-04-25,9 159 787 562 $,356 186 596 $,"0,990507 $","1,008 $"
2023-04-24,9 235 052 767 $,279 418 672 $,"1,004 $","0,990507 $"
2023-04-23,9 475 462 464 $,218 601 156 $,"1,028 $","1,004 $"
2023-04-22,9 337 273 805 $,348 497 667 $,"1,013 $","1,028 $"
2023-04-21,9 653 181 079 $,416 808 511 $,"1,047 $","1,013 $"
2023-04-20,9 994 733 480 $,555 927 363 $,"1,084 $","1,047 $"
2023-04-19,10 802 156 965 $,354 632 386 $,"1,17 $","1,084 $"
2023-04-18,10 632 412 458 $,387 215 300 $,"1,15 $","1,17 $"
2023-04-17,10 916 046 233 $,282 114 384 $,"1,18 $","1,15 $"
2023-04-16,10 826 788 174 $,361 190 554 $,"1,17 $","1,18 $"
2023-04-15,10 722 978 271 $,629 610 703 $,"1,16 $","1,17 $"
2023-04-14,10 462 837 803 $,315 609 156 $,"1,14 $","1,16 $"
2023-04-13,10 185 265 281 $,334 852 244 $,"1,10 $","1,14 $"
2023-04-12,10 266 880 212 $,293 005 174 $,"1,11 $","1,10 $"
2023-04-11,10 314 752 688 $,265 393 336 $,"1,12 $","1,11 $"
2023-04-10,10 102 783 872 $,231 318 669 $,"1,10 $","1,12 $"
2023-04-09,10 119 229 489 $,189 505 673 $,"1,10 $","1,10 $"
2023-04-08,10 069 557 168 $,244 219 432 $,"1,11 $","1,10 $"
2023-04-07,10 112 608 097 $,264 441 231 $,"1,11 $","1,11 $"
2023-04-06,10 379 039 324 $,367 890 234 $,"1,14 $","1,11 $"
2023-04-05,10 345 658 626 $,411 163 629 $,"1,14 $","1,14 $"
2023-04-04,9 985 089 701 $,396 088 971 $,"1,097 $","1,14 $"
2023-04-03,9 986 972 063 $,228 238 080 $,"1,098 $","1,097 $"
2023-04-02,10 100 312 145 $,251 528 937 $,"1,11 $","1,098 $"
2023-04-01,10 176 687 054 $,364 579 778 $,"1,12 $","1,11 $"
2023-03-31,9 918 650 448 $,439 749 929 $,"1,093 $","1,12 $"
2023-03-30,10 208 266 529 $,456 450 387 $,"1,12 $","1,093 $"
2023-03-29,9 879 626 491 $,392 334 163 $,"1,088 $","1,12 $"
2023-03-28,9 524 331 360 $,478 436 361 $,"1,049 $","1,088 $"
2023-03-27,10 083 636 610 $,338 075 333 $,"1,11 $","1,049 $"
2023-03-26,9 847 498 688 $,389 099 438 $,"1,085 $","1,11 $"
2023-03-25,10 021 656 538 $,516 773 939 $,"1,097 $","1,085 $"
2023-03-24,10 338 107 446 $,407 982 918 $,"1,14 $","1,097 $"
2023-03-23,10 122 646 689 $,634 645 814 $,"1,12 $","1,14 $"
2023-03-22,10 520 949 376 $,528 381 459 $,"1,16 $","1,12 $"
2023-03-21,10 084 620 671 $,787 045 150 $,"1,11 $","1,16 $"
2023-03-20,10 732 027 908 $,566 849 266 $,"1,18 $","1,11 $"
2023-03-19,10 692 990 718 $,699 201 404 $,"1,18 $","1,18 $"
2023-03-18,11 104 302 891 $,659 341 283 $,"1,23 $","1,18 $"
2023-03-17,10 511 486 876 $,580 180 005 $,"1,16 $","1,23 $"
2023-03-16,10 140 736 667 $,911 166 790 $,"1,12 $","1,16 $"
2023-03-15,10 870 848 200 $,1 146 436 551 $,"1,20 $","1,12 $"
2023-03-14,10 787 985 167 $,1 089 607 635 $,"1,19 $","1,20 $"
2023-03-13,10 393 392 586 $,827 210 539 $,"1,15 $","1,19 $"
2023-03-12,9 555 686 146 $,779 632 616 $,"1,059 $","1,15 $"
2023-03-11,9 600 190 100 $,994 245 060 $,"1,059 $","1,059 $"
2023-03-10,9 156 618 781 $,782 246 256 $,"1,016 $","1,059 $"
2023-03-09,9 578 386 255 $,628 867 676 $,"1,055 $","1,016 $"
2023-03-08,10 366 293 653 $,550 471 850 $,"1,15 $","1,055 $"
