Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,5 051 532 726 $,76 346 867 $,"0,00000857 $",N/A
2023-05-21,5 160 403 030 $,63 069 189 $,"0,00000876 $","0,00000857 $"
2023-05-20,5 134 762 128 $,77 235 505 $,"0,00000871 $","0,00000876 $"
2023-05-19,5 155 225 808 $,124 948 351 $,"0,00000873 $","0,00000871 $"
2023-05-18,5 184 976 199 $,123 738 057 $,"0,00000879 $","0,00000873 $"
2023-05-17,5 186 656 091 $,110 560 763 $,"0,00000880 $","0,00000879 $"
2023-05-16,5 209 171 968 $,117 026 860 $,"0,00000884 $","0,00000880 $"
2023-05-15,5 204 448 958 $,90 776 338 $,"0,00000883 $","0,00000884 $"
2023-05-14,5 188 608 847 $,100 628 716 $,"0,00000878 $","0,00000883 $"
2023-05-13,5 252 068 251 $,156 430 700 $,"0,00000891 $","0,00000878 $"
2023-05-12,5 149 833 347 $,131 409 428 $,"0,00000874 $","0,00000891 $"
2023-05-11,5 340 593 124 $,173 857 884 $,"0,00000905 $","0,00000874 $"
2023-05-10,5 327 594 374 $,147 308 542 $,"0,00000903 $","0,00000905 $"
2023-05-09,5 275 751 085 $,249 756 520 $,"0,00000896 $","0,00000903 $"
2023-05-08,5 548 324 459 $,107 858 409 $,"0,00000942 $","0,00000896 $"
2023-05-07,5 595 010 004 $,217 753 728 $,"0,00000950 $","0,00000942 $"
2023-05-06,5 910 963 864 $,160 411 611 $,"0,00001003 $","0,00000950 $"
2023-05-05,5 847 510 547 $,97 046 543 $,"0,00000992 $","0,00001003 $"
2023-05-04,5 982 245 553 $,119 304 954 $,"0,00001015 $","0,00000992 $"
2023-05-03,5 926 595 385 $,104 979 882 $,"0,00001005 $","0,00001015 $"
2023-05-02,5 884 038 959 $,157 320 613 $,"0,00001000 $","0,00001005 $"
2023-05-01,5 986 225 107 $,90 578 285 $,"0,00001014 $","0,00001000 $"
2023-04-30,6 088 583 305 $,77 098 565 $,"0,00001033 $","0,00001014 $"
2023-04-29,6 072 625 006 $,89 499 087 $,"0,00001030 $","0,00001033 $"
2023-04-28,6 072 873 316 $,129 961 639 $,"0,00001031 $","0,00001030 $"
2023-04-27,6 001 200 415 $,225 525 127 $,"0,00001020 $","0,00001031 $"
2023-04-26,6 141 168 808 $,132 171 331 $,"0,00001042 $","0,00001020 $"
2023-04-25,6 078 620 585 $,144 185 750 $,"0,00001032 $","0,00001042 $"
2023-04-24,6 107 172 982 $,124 345 521 $,"0,00001038 $","0,00001032 $"
2023-04-23,6 197 579 904 $,127 450 430 $,"0,00001052 $","0,00001038 $"
2023-04-22,6 068 112 439 $,248 554 886 $,"0,00001031 $","0,00001052 $"
2023-04-21,6 260 545 580 $,262 669 313 $,"0,00001063 $","0,00001031 $"
2023-04-20,6 406 250 478 $,333 561 458 $,"0,00001086 $","0,00001063 $"
2023-04-19,6 844 328 533 $,251 898 417 $,"0,00001161 $","0,00001086 $"
2023-04-18,6 717 033 112 $,362 650 487 $,"0,00001141 $","0,00001161 $"
2023-04-17,6 830 453 710 $,367 762 335 $,"0,00001159 $","0,00001141 $"
2023-04-16,6 804 716 485 $,239 980 466 $,"0,00001159 $","0,00001159 $"
