Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,7 783 712 426 $,236 865 558 $,"19,63 $",N/A
2023-05-21,8 022 997 472 $,129 666 228 $,"20,27 $","19,63 $"
2023-05-20,8 059 779 104 $,159 063 269 $,"20,35 $","20,27 $"
2023-05-19,8 061 536 789 $,325 479 692 $,"20,35 $","20,35 $"
2023-05-18,8 341 868 800 $,332 798 485 $,"21,06 $","20,35 $"
2023-05-17,8 187 913 902 $,338 232 379 $,"20,69 $","21,06 $"
2023-05-16,8 316 882 670 $,339 745 928 $,"21,04 $","20,69 $"
2023-05-15,8 280 978 191 $,211 874 592 $,"20,94 $","21,04 $"
2023-05-14,8 297 710 532 $,252 119 905 $,"20,90 $","20,94 $"
2023-05-13,8 274 505 086 $,397 702 422 $,"20,92 $","20,90 $"
2023-05-12,8 015 037 357 $,428 549 097 $,"20,25 $","20,92 $"
2023-05-11,8 287 539 920 $,525 984 506 $,"20,98 $","20,25 $"
2023-05-10,8 164 794 904 $,318 980 321 $,"20,66 $","20,98 $"
2023-05-09,8 146 997 992 $,647 060 628 $,"20,66 $","20,66 $"
2023-05-08,8 705 466 134 $,341 580 979 $,"22,00 $","20,66 $"
2023-05-07,8 661 587 001 $,387 964 991 $,"21,99 $","22,00 $"
2023-05-06,8 999 007 584 $,495 492 869 $,"22,82 $","21,99 $"
2023-05-05,8 571 042 187 $,330 851 122 $,"21,74 $","22,82 $"
2023-05-04,8 762 010 270 $,493 483 012 $,"22,22 $","21,74 $"
2023-05-03,8 773 546 966 $,326 717 891 $,"22,26 $","22,22 $"
2023-05-02,8 651 811 980 $,505 839 771 $,"22,01 $","22,26 $"
2023-05-01,9 057 154 980 $,425 241 775 $,"23,00 $","22,01 $"
2023-04-30,9 092 156 212 $,419 332 791 $,"23,13 $","23,00 $"
2023-04-29,9 208 471 390 $,571 324 657 $,"23,37 $","23,13 $"
2023-04-28,8 756 193 577 $,588 617 918 $,"22,34 $","23,37 $"
2023-04-27,8 354 008 435 $,778 775 424 $,"21,26 $","22,34 $"
2023-04-26,8 617 142 936 $,409 777 212 $,"21,94 $","21,26 $"
2023-04-25,8 399 117 357 $,401 676 853 $,"21,39 $","21,94 $"
2023-04-24,8 420 199 212 $,348 355 517 $,"21,50 $","21,39 $"
2023-04-23,8 584 446 324 $,249 197 741 $,"21,85 $","21,50 $"
2023-04-22,8 333 890 309 $,527 655 622 $,"21,26 $","21,85 $"
2023-04-21,8 697 671 637 $,712 597 030 $,"22,18 $","21,26 $"
2023-04-20,8 903 451 125 $,974 039 299 $,"22,67 $","22,18 $"
2023-04-19,9 739 599 132 $,558 944 406 $,"24,83 $","22,67 $"
2023-04-18,9 623 598 169 $,910 595 769 $,"24,58 $","24,83 $"
2023-04-17,9 920 073 717 $,514 890 126 $,"25,30 $","24,58 $"
2023-04-16,9 451 805 831 $,387 945 854 $,"24,08 $","25,30 $"
2023-04-15,9 705 804 479 $,825 834 921 $,"24,77 $","24,08 $"
2023-04-14,9 566 762 973 $,666 066 820 $,"24,43 $","24,77 $"
2023-04-13,9 350 156 510 $,1 370 531 368 $,"23,83 $","24,43 $"
2023-04-12,9 019 417 673 $,1 081 779 112 $,"23,01 $","23,83 $"
2023-04-11,8 111 384 994 $,243 051 083 $,"20,88 $","23,01 $"
2023-04-10,7 886 462 398 $,195 652 671 $,"20,30 $","20,88 $"
2023-04-09,7 779 827 679 $,229 345 793 $,"20,04 $","20,30 $"
2023-04-08,7 945 861 961 $,208 769 926 $,"20,48 $","20,04 $"
2023-04-07,7 980 951 368 $,271 953 095 $,"20,61 $","20,48 $"
2023-04-06,8 139 780 743 $,361 878 193 $,"20,98 $","20,61 $"
2023-04-05,8 093 519 489 $,348 472 967 $,"20,92 $","20,98 $"
2023-04-04,7 900 168 641 $,529 752 911 $,"20,44 $","20,92 $"
2023-04-03,7 929 638 196 $,250 939 723 $,"20,57 $","20,44 $"
2023-04-02,8 133 720 020 $,251 948 585 $,"21,08 $","20,57 $"
2023-04-01,8 194 996 259 $,415 947 400 $,"21,21 $","21,08 $"
2023-03-31,7 919 320 174 $,532 520 991 $,"20,57 $","21,21 $"
2023-03-30,8 122 141 676 $,422 168 352 $,"21,13 $","20,57 $"
2023-03-29,7 878 765 558 $,400 868 518 $,"20,50 $","21,13 $"
2023-03-28,7 655 291 926 $,406 232 835 $,"19,96 $","20,50 $"
2023-03-27,8 079 229 951 $,326 327 791 $,"20,98 $","19,96 $"
2023-03-26,7 901 578 024 $,387 073 479 $,"20,59 $","20,98 $"
2023-03-25,7 977 960 408 $,635 693 409 $,"20,77 $","20,59 $"
