Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,2 368 640 352 $,27 022 805 $,"0,088343 $",N/A
2023-05-21,2 385 023 242 $,24 477 286 $,"0,089018 $","0,088343 $"
2023-05-20,2 396 168 828 $,33 151 582 $,"0,089373 $","0,089018 $"
2023-05-19,2 380 347 767 $,42 433 480 $,"0,088903 $","0,089373 $"
2023-05-18,2 374 437 914 $,43 916 633 $,"0,088694 $","0,088903 $"
2023-05-17,2 358 741 679 $,39 967 094 $,"0,088062 $","0,088694 $"
2023-05-16,2 365 228 047 $,40 936 617 $,"0,088405 $","0,088062 $"
2023-05-15,2 380 857 405 $,31 052 184 $,"0,088881 $","0,088405 $"
2023-05-14,2 379 366 742 $,27 077 639 $,"0,088576 $","0,088881 $"
2023-05-13,2 395 221 204 $,56 863 155 $,"0,089312 $","0,088576 $"
2023-05-12,2 406 512 452 $,49 976 229 $,"0,089788 $","0,089312 $"
2023-05-11,2 393 632 030 $,52 315 923 $,"0,089379 $","0,089788 $"
2023-05-10,2 390 400 171 $,40 616 511 $,"0,089268 $","0,089379 $"
2023-05-09,2 402 099 936 $,72 082 217 $,"0,089699 $","0,089268 $"
2023-05-08,2 477 183 218 $,29 053 875 $,"0,092572 $","0,089699 $"
2023-05-07,2 482 702 815 $,44 055 629 $,"0,092770 $","0,092572 $"
2023-05-06,2 531 667 993 $,46 960 262 $,"0,094561 $","0,092770 $"
2023-05-05,2 506 057 581 $,37 906 364 $,"0,093559 $","0,094561 $"
2023-05-04,2 506 098 121 $,41 232 460 $,"0,093656 $","0,093559 $"
2023-05-03,2 506 236 926 $,37 239 298 $,"0,093630 $","0,093656 $"
2023-05-02,2 482 925 488 $,46 167 134 $,"0,092785 $","0,093630 $"
2023-05-01,2 541 555 676 $,32 981 317 $,"0,094910 $","0,092785 $"
2023-04-30,2 565 949 090 $,32 560 965 $,"0,095871 $","0,094910 $"
2023-04-29,2 537 610 528 $,43 789 763 $,"0,094846 $","0,095871 $"
2023-04-28,2 528 249 059 $,47 986 852 $,"0,094483 $","0,094846 $"
2023-04-27,2 502 299 327 $,73 614 323 $,"0,093555 $","0,094483 $"
2023-04-26,2 544 974 384 $,47 818 422 $,"0,095117 $","0,093555 $"
2023-04-25,2 504 863 598 $,59 448 444 $,"0,093478 $","0,095117 $"
2023-04-24,2 534 669 740 $,38 112 158 $,"0,094780 $","0,093478 $"
2023-04-23,2 565 832 275 $,44 080 356 $,"0,095881 $","0,094780 $"
2023-04-22,2 494 275 275 $,65 780 697 $,"0,093216 $","0,095881 $"
2023-04-21,2 567 912 888 $,67 671 711 $,"0,095937 $","0,093216 $"
2023-04-20,2 614 877 345 $,96 216 628 $,"0,097632 $","0,095937 $"
2023-04-19,2 824 782 982 $,59 620 496 $,"0,105497 $","0,097632 $"
2023-04-18,2 784 042 740 $,57 001 286 $,"0,104114 $","0,105497 $"
2023-04-17,2 875 774 923 $,49 994 650 $,"0,107489 $","0,104114 $"
2023-04-16,2 855 525 341 $,49 605 257 $,"0,106734 $","0,107489 $"
2023-04-15,2 865 844 600 $,94 188 710 $,"0,107106 $","0,106734 $"
2023-04-14,2 820 827 696 $,56 887 097 $,"0,105528 $","0,107106 $"
2023-04-13,2 775 165 999 $,57 470 301 $,"0,103680 $","0,105528 $"
2023-04-12,2 813 739 139 $,60 534 875 $,"0,105201 $","0,103680 $"
2023-04-11,2 823 514 996 $,52 080 631 $,"0,105451 $","0,105201 $"
2023-04-10,2 796 235 336 $,47 044 193 $,"0,104662 $","0,105451 $"
2023-04-09,2 789 425 706 $,44 405 941 $,"0,104367 $","0,104662 $"
2023-04-08,2 839 003 164 $,58 484 759 $,"0,106284 $","0,104367 $"
2023-04-07,2 818 944 302 $,66 144 600 $,"0,105559 $","0,106284 $"
2023-04-06,2 860 083 015 $,79 278 615 $,"0,107115 $","0,105559 $"
2023-04-05,2 828 366 312 $,84 626 240 $,"0,106207 $","0,107115 $"
2023-04-04,2 853 347 799 $,114 567 400 $,"0,106763 $","0,106207 $"
2023-04-03,2 840 410 830 $,94 478 025 $,"0,106627 $","0,106763 $"
2023-04-02,2 888 230 261 $,123 359 326 $,"0,108385 $","0,106627 $"
2023-04-01,2 994 056 284 $,231 279 722 $,"0,112001 $","0,108385 $"
2023-03-31,2 824 683 786 $,194 357 068 $,"0,106314 $","0,112001 $"
2023-03-30,2 723 730 040 $,220 026 074 $,"0,102046 $","0,106314 $"
2023-03-29,2 597 315 227 $,148 800 025 $,"0,097767 $","0,102046 $"
2023-03-28,2 461 519 890 $,113 659 366 $,"0,092812 $","0,097767 $"
2023-03-27,2 458 282 410 $,58 778 515 $,"0,092241 $","0,092812 $"
2023-03-26,2 427 693 380 $,82 779 593 $,"0,091404 $","0,092241 $"
2023-03-25,2 373 472 456 $,80 927 259 $,"0,089320 $","0,091404 $"
2023-03-24,2 470 373 510 $,89 192 582 $,"0,093063 $","0,089320 $"
2023-03-23,2 424 557 780 $,164 340 627 $,"0,091344 $","0,093063 $"
