Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,6 803 987 816 $,514 555 858 $,"0,075318 $",N/A
2023-05-21,6 568 791 720 $,351 107 905 $,"0,072722 $","0,075318 $"
2023-05-20,6 390 386 061 $,245 252 401 $,"0,070729 $","0,072722 $"
2023-05-19,6 363 992 586 $,309 887 515 $,"0,070352 $","0,070729 $"
2023-05-18,6 427 734 843 $,305 627 280 $,"0,070943 $","0,070352 $"
2023-05-17,6 395 682 867 $,295 745 610 $,"0,070597 $","0,070943 $"
2023-05-16,6 376 548 526 $,271 244 850 $,"0,070481 $","0,070597 $"
2023-05-15,6 275 200 643 $,261 367 839 $,"0,069472 $","0,070481 $"
2023-05-14,6 314 170 061 $,261 017 047 $,"0,069635 $","0,069472 $"
2023-05-13,6 266 543 516 $,347 401 885 $,"0,069291 $","0,069635 $"
2023-05-12,6 133 506 192 $,345 963 295 $,"0,068100 $","0,069291 $"
2023-05-11,6 294 876 348 $,350 875 810 $,"0,069556 $","0,068100 $"
2023-05-10,6 260 149 349 $,309 962 686 $,"0,069083 $","0,069556 $"
2023-05-09,6 187 711 722 $,354 373 234 $,"0,068381 $","0,069083 $"
2023-05-08,6 292 395 072 $,285 350 239 $,"0,069539 $","0,068381 $"
2023-05-07,6 374 306 501 $,312 053 390 $,"0,070441 $","0,069539 $"
2023-05-06,6 437 408 407 $,349 917 733 $,"0,071084 $","0,070441 $"
2023-05-05,6 299 393 520 $,293 765 535 $,"0,069527 $","0,071084 $"
2023-05-04,6 266 932 782 $,374 029 232 $,"0,069255 $","0,069527 $"
2023-05-03,6 278 057 071 $,359 354 798 $,"0,069330 $","0,069255 $"
2023-05-02,6 197 963 617 $,428 570 947 $,"0,068576 $","0,069330 $"
2023-05-01,6 120 621 209 $,284 253 197 $,"0,067495 $","0,068576 $"
2023-04-30,6 165 487 810 $,285 532 649 $,"0,068010 $","0,067495 $"
2023-04-29,6 049 821 628 $,368 969 691 $,"0,066751 $","0,068010 $"
2023-04-28,5 970 439 493 $,698 561 163 $,"0,065875 $","0,066751 $"
2023-04-27,5 920 308 822 $,391 354 635 $,"0,065209 $","0,065875 $"
2023-04-26,5 982 650 418 $,283 633 707 $,"0,065982 $","0,065209 $"
2023-04-25,6 002 062 945 $,293 359 066 $,"0,066184 $","0,065982 $"
2023-04-24,6 050 959 288 $,290 691 802 $,"0,066771 $","0,066184 $"
