Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,82 951 150 480 $,11 892 096 122 $,"1,000 $",N/A
2023-05-21,82 935 921 775 $,6 894 277 527 $,"1,000 $","1,000 $"
2023-05-20,82 912 724 185 $,8 386 664 936 $,"1,001 $","1,000 $"
2023-05-19,82 877 902 315 $,13 318 816 749 $,"0,999371 $","1,001 $"
2023-05-18,82 854 296 238 $,15 053 422 110 $,"0,999302 $","0,999371 $"
2023-05-17,82 847 420 820 $,18 183 872 793 $,"1,000 $","0,999302 $"
2023-05-16,82 803 772 135 $,20 209 244 399 $,"1,002 $","1,000 $"
2023-05-15,82 795 486 682 $,12 887 195 724 $,"1,000 $","1,002 $"
2023-05-14,83 088 864 855 $,13 610 775 328 $,"1,001 $","1,000 $"
2023-05-13,82 799 743 142 $,22 948 485 385 $,"1,001 $","1,001 $"
2023-05-12,82 667 039 655 $,24 966 468 467 $,"0,999993 $","1,001 $"
2023-05-11,82 565 452 646 $,13 254 326 646 $,"0,999773 $","0,999993 $"
2023-05-10,82 501 557 251 $,16 814 773 340 $,"0,998774 $","0,999773 $"
2023-05-09,82 444 600 542 $,31 517 422 204 $,"1,001 $","0,998774 $"
2023-05-08,81 979 806 769 $,14 673 735 669 $,"1,001 $","1,001 $"
2023-05-07,82 239 351 555 $,23 546 975 148 $,"1,002 $","1,001 $"
2023-05-06,82 151 905 582 $,18 857 165 134 $,"1,001 $","1,002 $"
2023-05-05,82 166 156 611 $,10 260 443 408 $,"1,001 $","1,001 $"
2023-05-04,81 989 333 426 $,27 599 627 945 $,"1,000 $","1,001 $"
2023-05-03,81 882 894 005 $,22 845 821 558 $,"1,001 $","1,000 $"
2023-05-02,81 873 049 554 $,26 517 216 172 $,"1,001 $","1,001 $"
2023-05-01,81 834 959 453 $,18 862 210 774 $,"1,001 $","1,001 $"
2023-04-30,81 811 659 038 $,13 491 816 831 $,"1,001 $","1,001 $"
2023-04-29,81 713 940 555 $,25 277 099 048 $,"1,001 $","1,001 $"
2023-04-28,81 714 368 058 $,34 953 224 145 $,"1,001 $","1,001 $"
2023-04-27,81 618 274 278 $,42 728 517 018 $,"1,000 $","1,001 $"
2023-04-26,81 650 664 076 $,23 815 476 983 $,"1,001 $","1,000 $"
2023-04-25,81 561 952 839 $,23 174 575 651 $,"1,001 $","1,001 $"
2023-04-24,81 498 022 565 $,17 557 029 367 $,"1,001 $","1,001 $"
2023-04-23,81 601 259 476 $,18 029 599 677 $,"1,002 $","1,001 $"
2023-04-22,81 482 240 782 $,32 874 452 175 $,"1,001 $","1,002 $"
2023-04-21,81 432 223 468 $,33 850 631 738 $,"1,000 $","1,001 $"
2023-04-20,81 576 461 707 $,40 775 850 573 $,"1,001 $","1,000 $"
2023-04-19,81 124 243 454 $,29 616 720 696 $,"1,001 $","1,001 $"
2023-04-18,81 022 519 469 $,29 680 367 898 $,"1,002 $","1,001 $"
2023-04-17,80 983 997 260 $,21 180 143 608 $,"1,001 $","1,002 $"
2023-04-16,80 993 005 659 $,21 813 314 655 $,"1,001 $","1,001 $"
2023-04-15,80 869 263 894 $,38 652 292 144 $,"1,001 $","1,001 $"
2023-04-14,80 886 569 881 $,28 798 275 094 $,"1,002 $","1,001 $"
2023-04-13,80 667 591 426 $,30 664 802 860 $,"1,001 $","1,002 $"
2023-04-12,80 526 255 295 $,28 280 855 888 $,"1,001 $","1,001 $"
2023-04-11,80 390 805 147 $,26 264 825 228 $,"1,001 $","1,001 $"
2023-04-10,80 310 814 338 $,19 218 489 631 $,"1,001 $","1,001 $"
2023-04-09,80 306 857 722 $,17 557 605 162 $,"1,001 $","1,001 $"
2023-04-08,80 268 298 420 $,18 548 285 386 $,"1,001 $","1,001 $"
2023-04-07,80 188 675 274 $,22 623 151 066 $,"1,001 $","1,001 $"
2023-04-06,80 140 266 880 $,27 633 691 851 $,"1,000 $","1,001 $"
2023-04-05,80 081 067 435 $,27 307 278 315 $,"1,001 $","1,000 $"
2023-04-04,79 874 799 190 $,33 846 295 419 $,"1,000 $","1,001 $"
2023-04-03,79 792 660 516 $,18 937 046 330 $,"1,002 $","1,000 $"
2023-04-02,79 772 056 639 $,18 039 579 983 $,"1,001 $","1,002 $"
2023-04-01,79 808 588 133 $,29 874 023 430 $,"1,001 $","1,001 $"
2023-03-31,79 708 195 096 $,34 656 392 598 $,"1,001 $","1,001 $"
2023-03-30,79 636 370 260 $,32 482 599 443 $,"1,001 $","1,001 $"
2023-03-29,79 597 410 585 $,27 646 476 417 $,"1,001 $","1,001 $"
2023-03-28,79 555 652 817 $,29 501 041 703 $,"1,002 $","1,001 $"
2023-03-27,79 174 842 324 $,23 064 969 259 $,"1,001 $","1,002 $"
