Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,2 705 899 040 $,8 156 941 $,"1,84 $",N/A
2023-05-21,2 757 924 648 $,6 383 794 $,"1,87 $","1,84 $"
2023-05-20,2 781 792 553 $,8 460 217 $,"1,89 $","1,87 $"
2023-05-19,2 816 219 602 $,10 108 699 $,"1,91 $","1,89 $"
2023-05-18,2 895 072 709 $,10 321 130 $,"1,97 $","1,91 $"
2023-05-17,2 943 467 877 $,11 581 428 $,"2,00 $","1,97 $"
2023-05-16,2 965 178 011 $,15 695 344 $,"2,01 $","2,00 $"
2023-05-15,2 947 849 834 $,13 409 335 $,"2,00 $","2,01 $"
2023-05-14,2 781 608 735 $,12 834 852 $,"1,89 $","2,00 $"
2023-05-13,2 737 071 550 $,19 606 343 $,"1,86 $","1,89 $"
2023-05-12,2 865 752 194 $,15 575 378 $,"1,95 $","1,86 $"
2023-05-11,2 935 494 133 $,13 865 876 $,"1,99 $","1,95 $"
2023-05-10,2 929 944 474 $,17 043 300 $,"1,99 $","1,99 $"
2023-05-09,3 020 025 320 $,11 467 770 $,"2,05 $","1,99 $"
2023-05-08,3 015 160 363 $,11 116 458 $,"2,05 $","2,05 $"
2023-05-07,3 077 930 632 $,7 977 284 $,"2,09 $","2,05 $"
2023-05-06,3 093 478 295 $,5 466 346 $,"2,10 $","2,09 $"
2023-05-05,3 092 472 515 $,9 145 823 $,"2,10 $","2,10 $"
2023-05-04,3 014 896 455 $,12 451 983 $,"2,05 $","2,10 $"
2023-05-03,3 110 067 067 $,14 249 132 $,"2,11 $","2,05 $"
2023-05-02,3 086 248 906 $,19 758 631 $,"2,09 $","2,11 $"
2023-05-01,3 154 979 186 $,12 552 901 $,"2,14 $","2,09 $"
2023-04-30,3 198 891 789 $,16 183 542 $,"2,17 $","2,14 $"
2023-04-29,3 179 304 488 $,20 005 189 $,"2,16 $","2,17 $"
2023-04-28,3 259 217 650 $,17 889 251 $,"2,21 $","2,16 $"
2023-04-27,3 285 078 178 $,23 378 011 $,"2,23 $","2,21 $"
2023-04-26,3 383 150 045 $,20 905 875 $,"2,29 $","2,23 $"
2023-04-25,3 386 316 104 $,19 361 127 $,"2,30 $","2,29 $"
2023-04-24,3 431 435 485 $,20 373 731 $,"2,33 $","2,30 $"
2023-04-23,3 407 376 881 $,19 726 582 $,"2,31 $","2,33 $"
2023-04-22,3 335 654 491 $,24 439 245 $,"2,26 $","2,31 $"
2023-04-21,3 343 021 401 $,22 357 748 $,"2,27 $","2,26 $"
2023-04-20,3 348 064 136 $,21 741 234 $,"2,27 $","2,27 $"
2023-04-19,3 410 854 778 $,15 631 678 $,"2,31 $","2,27 $"
2023-04-18,3 370 776 759 $,19 392 147 $,"2,30 $","2,31 $"
2023-04-17,3 491 033 016 $,30 150 247 $,"2,37 $","2,30 $"
2023-04-16,3 449 657 093 $,26 541 596 $,"2,34 $","2,37 $"
2023-04-15,3 441 424 506 $,28 031 614 $,"2,34 $","2,34 $"
2023-04-14,3 318 104 551 $,25 139 196 $,"2,25 $","2,34 $"
2023-04-13,3 229 538 246 $,61 022 768 $,"2,19 $","2,25 $"
2023-04-12,3 280 825 923 $,38 373 698 $,"2,23 $","2,19 $"
2023-04-11,3 253 914 114 $,34 894 881 $,"2,21 $","2,23 $"
2023-04-10,3 280 665 760 $,32 374 951 $,"2,23 $","2,21 $"
2023-04-09,3 269 017 976 $,10 423 735 $,"2,22 $","2,23 $"
2023-04-08,3 306 439 978 $,20 981 443 $,"2,24 $","2,22 $"
2023-04-07,3 334 781 321 $,14 226 404 $,"2,26 $","2,24 $"
2023-04-06,3 424 610 635 $,35 012 147 $,"2,32 $","2,26 $"
2023-04-05,3 343 286 412 $,32 871 061 $,"2,27 $","2,32 $"
2023-04-04,3 307 863 767 $,33 724 069 $,"2,24 $","2,27 $"
2023-04-03,3 345 552 451 $,28 283 294 $,"2,27 $","2,24 $"
2023-04-02,3 340 178 896 $,29 610 803 $,"2,26 $","2,27 $"
2023-04-01,3 333 228 202 $,37 528 819 $,"2,26 $","2,26 $"
2023-03-31,3 071 513 504 $,23 730 396 $,"2,09 $","2,26 $"
2023-03-30,3 134 187 165 $,22 315 746 $,"2,12 $","2,09 $"
2023-03-29,3 119 003 288 $,24 652 188 $,"2,12 $","2,12 $"
2023-03-28,3 085 943 482 $,35 276 650 $,"2,09 $","2,12 $"
2023-03-27,3 129 439 789 $,39 478 965 $,"2,12 $","2,09 $"
2023-03-26,3 106 925 792 $,25 912 732 $,"2,11 $","2,12 $"
2023-03-25,3 096 032 001 $,27 845 629 $,"2,10 $","2,11 $"
2023-03-24,3 245 283 108 $,54 969 193 $,"2,19 $","2,10 $"
2023-03-23,3 524 769 741 $,22 414 094 $,"2,39 $","2,19 $"
2023-03-22,3 557 661 377 $,28 258 224 $,"2,42 $","2,39 $"
2023-03-21,3 547 777 524 $,17 933 796 $,"2,41 $","2,42 $"
2023-03-20,3 553 213 483 $,24 769 175 $,"2,40 $","2,41 $"
2023-03-19,3 572 384 607 $,15 978 724 $,"2,42 $","2,40 $"
2023-03-18,3 639 042 672 $,24 227 491 $,"2,47 $","2,42 $"
2023-03-17,3 609 626 423 $,21 831 909 $,"2,45 $","2,47 $"
2023-03-16,3 640 284 718 $,19 482 110 $,"2,47 $","2,45 $"
2023-03-15,3 587 868 036 $,22 274 166 $,"2,44 $","2,47 $"
2023-03-14,3 563 051 104 $,18 988 959 $,"2,42 $","2,44 $"
2023-03-13,3 487 994 700 $,16 147 262 $,"2,38 $","2,42 $"
2023-03-12,3 300 833 929 $,18 624 785 $,"2,24 $","2,38 $"
2023-03-11,3 286 858 611 $,23 029 678 $,"2,23 $","2,24 $"
2023-03-10,3 406 743 376 $,29 534 714 $,"2,31 $","2,23 $"
2023-03-09,3 517 332 984 $,34 987 589 $,"2,38 $","2,31 $"
2023-03-08,3 404 687 237 $,27 714 456 $,"2,31 $","2,38 $"
2023-03-07,3 507 755 815 $,28 740 273 $,"2,38 $","2,31 $"
2023-03-06,3 519 827 909 $,33 482 422 $,"2,39 $","2,38 $"
2023-03-05,3 472 979 052 $,31 731 074 $,"2,36 $","2,39 $"
2023-03-04,3 518 333 467 $,31 146 535 $,"2,39 $","2,36 $"
2023-03-03,3 562 335 225 $,25 685 462 $,"2,42 $","2,39 $"
2023-03-02,3 698 427 763 $,37 278 883 $,"2,51 $","2,42 $"
2023-03-01,3 689 048 497 $,36 967 838 $,"2,50 $","2,51 $"
2023-02-28,3 589 440 266 $,31 903 587 $,"2,45 $","2,50 $"
2023-02-27,3 567 791 744 $,33 292 886 $,"2,42 $","2,45 $"
2023-02-26,3 526 079 707 $,21 417 796 $,"2,39 $","2,42 $"
2023-02-25,3 468 283 078 $,30 015 690 $,"2,35 $","2,39 $"
2023-02-24,3 604 806 241 $,34 277 891 $,"2,46 $","2,35 $"
2023-02-23,3 620 772 361 $,30 174 757 $,"2,46 $","2,46 $"
2023-02-22,3 456 915 907 $,26 700 657 $,"2,35 $","2,46 $"
2023-02-21,3 490 332 699 $,24 926 110 $,"2,37 $","2,35 $"
2023-02-20,3 459 998 673 $,15 827 282 $,"2,35 $","2,37 $"
2023-02-19,3 473 774 801 $,15 880 072 $,"2,36 $","2,35 $"
2023-02-18,3 396 780 707 $,23 142 201 $,"2,31 $","2,36 $"
2023-02-17,3 395 630 405 $,25 688 700 $,"2,32 $","2,31 $"
2023-02-16,3 444 079 648 $,20 651 041 $,"2,34 $","2,32 $"
2023-02-15,3 383 150 040 $,24 665 137 $,"2,30 $","2,34 $"
2023-02-14,3 403 304 294 $,26 262 457 $,"2,31 $","2,30 $"
2023-02-13,3 397 459 587 $,20 685 330 $,"2,30 $","2,31 $"
2023-02-12,3 272 985 341 $,22 958 648 $,"2,22 $","2,30 $"
2023-02-11,3 190 238 160 $,28 471 131 $,"2,17 $","2,22 $"
2023-02-10,3 239 610 724 $,27 400 952 $,"2,20 $","2,17 $"
2023-02-09,3 375 670 308 $,25 331 094 $,"2,29 $","2,20 $"
2023-02-08,3 478 019 645 $,32 360 526 $,"2,36 $","2,29 $"
2023-02-07,3 346 887 540 $,24 312 698 $,"2,27 $","2,36 $"
2023-02-06,3 389 988 340 $,28 266 083 $,"2,30 $","2,27 $"
2023-02-05,3 423 286 557 $,22 691 825 $,"2,32 $","2,30 $"
2023-02-04,3 495 711 062 $,29 685 890 $,"2,37 $","2,32 $"
2023-02-03,3 482 982 135 $,32 882 870 $,"2,37 $","2,37 $"
2023-02-02,3 523 017 912 $,33 014 632 $,"2,39 $","2,37 $"
2023-02-01,3 388 778 940 $,35 838 522 $,"2,30 $","2,39 $"
2023-01-31,3 345 986 544 $,39 530 417 $,"2,28 $","2,30 $"
2023-01-30,3 642 252 123 $,36 934 480 $,"2,47 $","2,28 $"
2023-01-29,3 681 564 574 $,41 956 760 $,"2,50 $","2,47 $"
2023-01-28,3 754 777 353 $,36 530 398 $,"2,55 $","2,50 $"
2023-01-27,3 510 992 771 $,35 462 490 $,"2,38 $","2,55 $"
2023-01-26,3 436 663 853 $,32 933 512 $,"2,34 $","2,38 $"
2023-01-25,3 362 317 577 $,33 094 651 $,"2,28 $","2,34 $"
2023-01-24,3 389 287 383 $,34 216 537 $,"2,30 $","2,28 $"
2023-01-23,3 352 170 202 $,37 205 847 $,"2,28 $","2,30 $"
2023-01-22,3 356 576 404 $,41 907 298 $,"2,28 $","2,28 $"
2023-01-21,3 401 011 826 $,58 481 681 $,"2,31 $","2,28 $"
2023-01-20,3 304 347 763 $,30 450 694 $,"2,24 $","2,31 $"
2023-01-19,3 288 582 870 $,34 735 542 $,"2,23 $","2,24 $"
