Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,29 549 991 311 $,2 164 141 213 $,"0,999741 $",N/A
2023-05-21,29 562 931 910 $,1 903 162 315 $,"0,999569 $","0,999741 $"
2023-05-20,29 557 752 770 $,3 287 848 420 $,"0,999595 $","0,999569 $"
2023-05-19,29 610 494 624 $,3 762 451 402 $,"0,998042 $","0,999595 $"
2023-05-18,29 503 039 586 $,4 228 090 319 $,"0,999463 $","0,998042 $"
2023-05-17,29 675 758 793 $,3 665 782 240 $,"0,999861 $","0,999463 $"
2023-05-16,29 792 036 477 $,4 684 601 953 $,"1,001 $","0,999861 $"
2023-05-15,29 949 809 798 $,2 989 475 183 $,"0,999459 $","1,001 $"
2023-05-14,30 054 743 760 $,2 779 926 715 $,"0,998225 $","0,999459 $"
2023-05-13,29 970 051 658 $,2 576 212 365 $,"1,001 $","0,998225 $"
2023-05-12,30 028 195 165 $,6 223 143 974 $,"1,001 $","1,001 $"
2023-05-11,30 071 349 959 $,6 161 463 923 $,"0,998842 $","1,001 $"
2023-05-10,30 150 202 929 $,1 650 677 925 $,"0,998508 $","0,998842 $"
2023-05-09,30 258 663 503 $,7 189 953 381 $,"1,001 $","0,998508 $"
2023-05-08,30 342 574 924 $,1 016 965 455 $,"1,002 $","1,001 $"
2023-05-07,30 369 654 736 $,5 755 380 492 $,"0,999246 $","1,002 $"
2023-05-06,30 384 207 596 $,2 337 329 890 $,"1,000 $","0,999246 $"
2023-05-05,30 144 375 003 $,4 105 803 779 $,"0,999884 $","1,000 $"
2023-05-04,30 115 550 079 $,6 606 614 474 $,"0,998174 $","0,999884 $"
2023-05-03,30 203 709 587 $,4 867 609 700 $,"0,998538 $","0,998174 $"
2023-05-02,30 401 590 451 $,6 110 470 662 $,"1,001 $","0,998538 $"
2023-05-01,30 507 262 544 $,4 963 158 560 $,"1,000 $","1,001 $"
2023-04-30,30 517 472 542 $,3 185 876 112 $,"1,000 $","1,000 $"
2023-04-29,30 505 673 945 $,6 000 601 601 $,"1,000 $","1,000 $"
2023-04-28,30 558 401 325 $,5 229 575 700 $,"1,001 $","1,000 $"
2023-04-27,30 761 326 834 $,5 891 072 249 $,"0,999669 $","1,001 $"
2023-04-26,30 730 506 420 $,4 559 084 547 $,"1,001 $","0,999669 $"
2023-04-25,30 724 101 062 $,4 041 555 127 $,"0,999349 $","1,001 $"
2023-04-24,30 832 016 787 $,3 195 173 042 $,"1,001 $","0,999349 $"
2023-04-23,30 800 816 723 $,3 156 942 887 $,"1,001 $","1,001 $"
2023-04-22,30 781 229 060 $,4 999 585 397 $,"1,001 $","1,001 $"
2023-04-21,30 998 429 491 $,4 899 698 104 $,"1,000 $","1,001 $"
2023-04-20,31 274 020 649 $,5 312 197 302 $,"1,001 $","1,000 $"
2023-04-19,31 381 919 832 $,4 052 763 639 $,"0,999641 $","1,001 $"
2023-04-18,31 631 776 002 $,3 951 790 544 $,"0,999884 $","0,999641 $"
2023-04-17,31 843 395 208 $,3 681 854 721 $,"1,000 $","0,999884 $"
2023-04-16,31 807 237 206 $,3 360 892 392 $,"0,999354 $","1,000 $"
2023-04-15,31 857 257 937 $,6 003 400 109 $,"1,001 $","0,999354 $"
2023-04-14,31 978 840 381 $,4 161 348 772 $,"1,001 $","1,001 $"
2023-04-13,32 038 453 660 $,4 162 798 530 $,"0,999721 $","1,001 $"
2023-04-12,32 413 088 279 $,3 845 052 927 $,"1,000 $","0,999721 $"
2023-04-11,32 369 910 064 $,3 351 236 612 $,"1,000 $","1,000 $"
2023-04-10,32 618 005 275 $,2 334 441 684 $,"1,000 $","1,000 $"
2023-04-09,32 622 414 241 $,2 115 280 262 $,"1,000 $","1,000 $"
2023-04-08,32 617 421 144 $,2 740 756 189 $,"1,001 $","1,000 $"
2023-04-07,32 758 616 583 $,3 784 131 944 $,"1,000 $","1,001 $"
2023-04-06,32 640 958 003 $,4 095 750 674 $,"0,999825 $","1,000 $"
2023-04-05,32 706 455 681 $,4 018 146 687 $,"1,001 $","0,999825 $"
2023-04-04,32 678 368 170 $,4 417 310 105 $,"0,999286 $","1,001 $"
