Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,3 856 578 253 $,30 878 822 $,"5,11 $",N/A
2023-05-21,3 981 323 150 $,22 957 629 $,"5,28 $","5,11 $"
2023-05-20,4 009 735 806 $,33 083 711 $,"5,32 $","5,28 $"
2023-05-19,4 001 865 246 $,54 243 456 $,"5,30 $","5,32 $"
2023-05-18,4 003 310 495 $,47 968 903 $,"5,32 $","5,30 $"
2023-05-17,3 883 581 068 $,36 820 910 $,"5,15 $","5,32 $"
2023-05-16,3 872 167 081 $,41 021 531 $,"5,13 $","5,15 $"
2023-05-15,3 864 117 973 $,34 390 351 $,"5,13 $","5,13 $"
2023-05-14,3 857 966 130 $,31 681 487 $,"5,10 $","5,13 $"
2023-05-13,3 916 598 558 $,59 722 191 $,"5,20 $","5,10 $"
2023-05-12,3 821 461 607 $,78 649 169 $,"5,07 $","5,20 $"
2023-05-11,3 865 719 205 $,93 210 380 $,"5,13 $","5,07 $"
2023-05-10,3 734 143 760 $,75 246 771 $,"4,95 $","5,13 $"
2023-05-09,3 747 756 211 $,130 407 691 $,"4,98 $","4,95 $"
2023-05-08,3 972 602 974 $,74 411 644 $,"5,30 $","4,98 $"
2023-05-07,3 988 317 785 $,110 060 038 $,"5,30 $","5,30 $"
2023-05-06,4 177 003 786 $,112 104 381 $,"5,55 $","5,30 $"
2023-05-05,3 967 626 639 $,55 332 643 $,"5,26 $","5,55 $"
2023-05-04,4 059 212 840 $,62 764 613 $,"5,39 $","5,26 $"
2023-05-03,4 011 770 597 $,54 559 907 $,"5,32 $","5,39 $"
2023-05-02,4 017 411 995 $,62 538 680 $,"5,34 $","5,32 $"
2023-05-01,4 125 723 194 $,58 568 131 $,"5,48 $","5,34 $"
2023-04-30,4 241 663 034 $,52 912 755 $,"5,62 $","5,48 $"
2023-04-29,4 165 451 910 $,54 203 058 $,"5,53 $","5,62 $"
2023-04-28,4 190 176 422 $,82 636 745 $,"5,56 $","5,53 $"
