Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,4 169 850 227 $,45 304 711 $,26 794 $,N/A
2023-05-21,4 213 728 480 $,30 815 127 $,27 089 $,26 794 $
2023-05-20,4 184 271 885 $,54 623 769 $,26 890 $,27 089 $
2023-05-19,4 159 250 836 $,84 741 268 $,26 831 $,26 890 $
2023-05-18,4 241 580 477 $,114 068 767 $,27 368 $,26 831 $
2023-05-17,4 192 558 973 $,71 866 775 $,27 039 $,27 368 $
2023-05-16,4 218 953 740 $,74 476 486 $,27 235 $,27 039 $
2023-05-15,4 179 523 988 $,62 019 099 $,26 933 $,27 235 $
2023-05-14,4 171 445 400 $,70 886 756 $,26 771 $,26 933 $
2023-05-13,4 143 491 056 $,190 169 179 $,26 745 $,26 771 $
2023-05-12,4 180 850 537 $,104 851 972 $,26 985 $,26 745 $
2023-05-11,4 259 546 224 $,154 002 164 $,27 593 $,26 985 $
2023-05-10,4 268 617 280 $,59 956 442 $,27 643 $,27 593 $
2023-05-09,4 268 859 458 $,177 284 621 $,27 654 $,27 643 $
2023-05-08,4 428 356 357 $,75 184 778 $,28 668 $,27 654 $
2023-05-07,4 450 569 901 $,164 887 247 $,28 839 $,28 668 $
2023-05-06,4 571 233 403 $,192 062 504 $,29 605 $,28 839 $
2023-05-05,4 457 550 131 $,79 664 337 $,28 862 $,29 605 $
2023-05-04,4 474 268 434 $,167 148 688 $,29 013 $,28 862 $
2023-05-03,4 420 370 737 $,107 595 098 $,28 663 $,29 013 $
2023-05-02,4 329 785 445 $,145 723 105 $,28 111 $,28 663 $
2023-05-01,4 523 622 261 $,91 879 641 $,29 369 $,28 111 $
2023-04-30,4 499 072 467 $,60 900 697 $,29 217 $,29 369 $
2023-04-29,4 523 081 719 $,127 957 353 $,29 365 $,29 217 $
2023-04-28,4 526 278 913 $,311 095 474 $,29 451 $,29 365 $
2023-04-27,4 350 234 874 $,337 305 719 $,28 302 $,29 451 $
2023-04-26,4 358 383 849 $,139 941 789 $,28 324 $,28 302 $
2023-04-25,4 227 223 111 $,139 584 802 $,27 446 $,28 324 $
2023-04-24,4 250 371 434 $,83 779 198 $,27 570 $,27 446 $
2023-04-23,4 296 583 159 $,82 603 956 $,27 861 $,27 570 $
2023-04-22,4 210 760 006 $,175 449 779 $,27 301 $,27 861 $
2023-04-21,4 336 022 549 $,149 434 788 $,28 238 $,27 301 $
2023-04-20,4 418 235 442 $,177 996 681 $,28 788 $,28 238 $
2023-04-19,4 654 303 599 $,138 957 687 $,30 357 $,28 788 $
2023-04-18,4 512 147 504 $,112 705 460 $,29 557 $,30 357 $
2023-04-17,4 572 689 743 $,115 753 517 $,30 333 $,29 557 $
2023-04-16,4 584 635 401 $,123 693 878 $,30 399 $,30 333 $
2023-04-15,4 593 529 577 $,377 838 978 $,30 451 $,30 399 $
2023-04-14,4 572 802 288 $,201 232 381 $,30 413 $,30 451 $
2023-04-13,4 506 850 262 $,201 093 019 $,29 895 $,30 413 $
2023-04-12,4 557 671 226 $,258 536 117 $,30 247 $,29 895 $
2023-04-11,4 473 803 133 $,173 388 347 $,29 684 $,30 247 $
2023-04-10,4 273 774 148 $,88 370 240 $,28 306 $,29 684 $
2023-04-09,4 224 693 172 $,72 197 367 $,27 968 $,28 306 $
2023-04-08,4 219 802 952 $,71 478 666 $,27 954 $,27 968 $
2023-04-07,4 241 562 834 $,102 106 594 $,28 100 $,27 954 $
2023-04-06,4 262 585 331 $,155 158 078 $,28 225 $,28 100 $
2023-04-05,4 261 748 348 $,152 760 151 $,28 264 $,28 225 $
2023-04-04,4 203 347 758 $,194 300 558 $,27 915 $,28 264 $
2023-04-03,4 235 984 489 $,83 453 611 $,28 173 $,27 915 $
2023-04-02,4 299 056 831 $,92 414 982 $,28 579 $,28 173 $
2023-04-01,4 295 392 848 $,158 935 203 $,28 531 $,28 579 $
2023-03-31,4 217 875 321 $,178 476 954 $,28 027 $,28 531 $
2023-03-30,4 264 216 879 $,183 604 775 $,28 382 $,28 027 $
2023-03-29,4 108 687 665 $,152 083 841 $,27 328 $,28 382 $
2023-03-28,4 082 503 844 $,172 463 922 $,27 352 $,27 328 $
2023-03-27,4 227 682 657 $,133 486 071 $,28 068 $,27 352 $
2023-03-26,4 160 076 571 $,73 389 276 $,27 705 $,28 068 $
2023-03-25,4 156 688 439 $,193 578 518 $,27 529 $,27 705 $
2023-03-24,4 283 053 953 $,216 213 604 $,28 511 $,27 529 $
2023-03-23,4 128 558 631 $,298 311 088 $,27 510 $,28 511 $
2023-03-22,4 240 029 743 $,319 385 163 $,28 270 $,27 510 $
2023-03-21,4 204 770 174 $,307 970 035 $,28 007 $,28 270 $
