Date,Capitalisation boursière,Volume,Cours d'ouverture,Cours de fermeture
2023-05-22,23 796 873 050 $,577 572 181 $,"0,458641 $",N/A
2023-05-21,24 377 025 881 $,514 027 086 $,"0,469594 $","0,458641 $"
2023-05-20,24 327 746 705 $,1 203 165 079 $,"0,468877 $","0,469594 $"
2023-05-19,23 918 491 004 $,1 511 866 848 $,"0,460764 $","0,468877 $"
2023-05-18,23 256 361 575 $,1 641 651 715 $,"0,448733 $","0,460764 $"
2023-05-17,22 818 727 048 $,1 063 961 407 $,"0,440810 $","0,448733 $"
2023-05-16,22 182 629 326 $,825 806 498 $,"0,428405 $","0,440810 $"
2023-05-15,22 099 560 866 $,386 393 406 $,"0,426351 $","0,428405 $"
2023-05-14,22 111 880 538 $,401 383 428 $,"0,425562 $","0,426351 $"
2023-05-13,22 389 881 951 $,1 316 061 803 $,"0,431633 $","0,425562 $"
2023-05-12,21 920 201 048 $,994 189 730 $,"0,422956 $","0,431633 $"
2023-05-11,22 424 416 872 $,1 182 617 804 $,"0,432245 $","0,422956 $"
2023-05-10,22 304 188 424 $,1 042 751 746 $,"0,430063 $","0,432245 $"
2023-05-09,22 244 894 416 $,1 537 388 545 $,"0,429675 $","0,430063 $"
2023-05-08,23 508 258 509 $,440 022 181 $,"0,452959 $","0,429675 $"
2023-05-07,23 817 157 947 $,652 294 980 $,"0,460065 $","0,452959 $"
2023-05-06,24 242 740 787 $,977 081 363 $,"0,467826 $","0,460065 $"
2023-05-05,23 925 163 522 $,754 621 495 $,"0,462304 $","0,467826 $"
2023-05-04,23 972 787 438 $,1 102 846 442 $,"0,463365 $","0,462304 $"
2023-05-03,24 075 470 305 $,969 292 690 $,"0,465035 $","0,463365 $"
2023-05-02,24 061 056 587 $,1 011 865 605 $,"0,465231 $","0,465035 $"
2023-05-01,24 497 798 436 $,538 719 110 $,"0,473067 $","0,465231 $"
2023-04-30,24 729 043 164 $,630 278 067 $,"0,477759 $","0,473067 $"
2023-04-29,24 835 475 834 $,1 253 720 407 $,"0,480183 $","0,477759 $"
2023-04-28,24 162 104 799 $,1 709 074 270 $,"0,467124 $","0,480183 $"
2023-04-27,23 900 530 754 $,1 735 110 890 $,"0,461767 $","0,467124 $"
2023-04-26,24 328 714 397 $,1 208 296 461 $,"0,470112 $","0,461767 $"
2023-04-25,23 923 037 223 $,1 371 506 902 $,"0,461374 $","0,470112 $"
2023-04-24,24 043 654 913 $,764 793 256 $,"0,465374 $","0,461374 $"
2023-04-23,24 522 972 209 $,962 045 941 $,"0,474017 $","0,465374 $"
2023-04-22,23 247 077 611 $,1 488 791 192 $,"0,449778 $","0,474017 $"
2023-04-21,24 546 014 137 $,1 557 750 803 $,"0,474619 $","0,449778 $"
2023-04-20,25 418 640 034 $,2 206 782 404 $,"0,490940 $","0,474619 $"
2023-04-19,27 473 961 872 $,1 197 384 612 $,"0,531374 $","0,490940 $"
2023-04-18,26 426 624 699 $,1 050 565 458 $,"0,511424 $","0,531374 $"
2023-04-17,26 957 282 986 $,627 790 568 $,"0,521175 $","0,511424 $"
2023-04-16,26 973 876 117 $,809 065 913 $,"0,520806 $","0,521175 $"
2023-04-15,27 098 938 486 $,1 686 463 892 $,"0,523743 $","0,520806 $"
2023-04-14,26 594 690 669 $,1 078 337 862 $,"0,513900 $","0,523743 $"
2023-04-13,26 177 625 994 $,1 295 350 693 $,"0,505475 $","0,513900 $"
2023-04-12,26 750 764 717 $,1 328 973 144 $,"0,517487 $","0,505475 $"
2023-04-11,26 808 568 247 $,1 057 662 396 $,"0,518237 $","0,517487 $"
2023-04-10,26 153 157 422 $,706 849 513 $,"0,505905 $","0,518237 $"
2023-04-09,26 189 001 074 $,752 220 124 $,"0,506259 $","0,505905 $"
2023-04-08,26 596 750 375 $,1 226 161 821 $,"0,514189 $","0,506259 $"
2023-04-07,26 032 005 023 $,1 224 093 380 $,"0,503391 $","0,514189 $"
2023-04-06,26 178 153 841 $,1 542 944 162 $,"0,506489 $","0,503391 $"
2023-04-05,26 035 551 813 $,1 359 219 754 $,"0,504209 $","0,506489 $"
2023-04-04,25 757 164 809 $,1 874 356 757 $,"0,497623 $","0,504209 $"
2023-04-03,26 865 238 854 $,1 622 515 475 $,"0,520639 $","0,497623 $"
2023-04-02,26 419 768 893 $,1 966 596 474 $,"0,510864 $","0,520639 $"
2023-04-01,27 928 271 774 $,2 114 260 332 $,"0,538909 $","0,510864 $"
2023-03-31,27 787 487 719 $,3 170 922 799 $,"0,537231 $","0,538909 $"
2023-03-30,28 206 497 479 $,5 031 225 482 $,"0,545396 $","0,537231 $"
2023-03-29,26 697 226 442 $,4 020 187 192 $,"0,516813 $","0,545396 $"
2023-03-28,24 887 269 626 $,2 674 251 775 $,"0,480489 $","0,516813 $"
2023-03-27,23 017 901 905 $,1 450 602 337 $,"0,450798 $","0,480489 $"
2023-03-26,22 901 966 241 $,2 226 693 786 $,"0,449030 $","0,450798 $"
2023-03-25,21 860 547 089 $,1 705 300 122 $,"0,426800 $","0,449030 $"
2023-03-24,22 838 007 730 $,2 294 537 470 $,"0,448220 $","0,426800 $"
2023-03-23,21 687 465 410 $,4 517 426 408 $,"0,425218 $","0,448220 $"
2023-03-22,23 963 597 177 $,4 548 747 517 $,"0,470749 $","0,425218 $"
2023-03-21,19 226 276 545 $,1 313 128 523 $,"0,377235 $","0,470749 $"
2023-03-20,19 979 252 277 $,1 440 416 397 $,"0,389287 $","0,377235 $"
2023-03-19,19 170 540 663 $,1 097 398 135 $,"0,376413 $","0,389287 $"
2023-03-18,19 395 225 307 $,1 269 614 935 $,"0,380984 $","0,376413 $"
