Symbol,CompanyName,MarketCap,StockPrice,ChangePercentage,Change1W,Change1M,Change6M,ChangeYTD,Change1Y,Change3Y,Change5Y
AAPL,Apple Inc.,"2,706.44B",172.07,-,0.17%,4.14%,15.65%,32.43%,18.23%,118.53%,265.76%
MSFT,Microsoft Corporation,"2,317.94B",311.74,0.74%,1.54%,7.94%,28.96%,29.99%,19.21%,68.59%,220.89%
GOOG,Alphabet Inc.,"1,448.17B",120.09,2.68%,11.26%,12.85%,21.32%,35.34%,4.62%,73.55%,122.03%
GOOGL,Alphabet Inc.,"1,446.20B",119.51,2.57%,11.33%,12.78%,20.90%,35.45%,4.43%,72.56%,120.48%
AMZN,"Amazon.com, Inc.","1,163.53B",113.40,1.95%,6.36%,10.38%,16.76%,35.00%,2.34%,-6.52%,42.89%
NVDA,NVIDIA Corporation,722.48B,292.13,0.90%,2.25%,8.19%,83.61%,99.90%,69.21%,233.85%,374.99%
BRK.A,Berkshire Hathaway Inc.,717.52B,"498,620.00",0.55%,-0.08%,0.14%,7.11%,6.38%,7.40%,89.66%,68.28%
BRK.B,Berkshire Hathaway Inc.,709.59B,323.75,0.07%,-0.34%,-0.01%,4.86%,4.81%,4.68%,84.52%,63.65%
META,"Meta Platforms, Inc.",610.12B,238.82,-0.02%,2.34%,9.12%,110.92%,98.45%,19.39%,12.02%,30.36%
TSLA,"Tesla, Inc.",527.79B,166.52,0.10%,-1.55%,-10.97%,-10.91%,35.18%,-31.04%,207.00%,771.88%
V,Visa Inc.,482.47B,230.47,-1.01%,-1.20%,-1.29%,9.68%,10.93%,16.51%,20.43%,76.08%
UNH,UnitedHealth Group Incorporated,446.63B,479.72,-1.47%,-2.17%,-5.07%,-6.22%,-9.52%,-1.94%,63.53%,98.46%
TSM,Taiwan Semiconductor Manufacturing Company Limited,445.38B,85.88,0.26%,0.96%,-2.40%,8.09%,15.29%,-5.01%,65.57%,115.83%
LLY,Eli Lilly and Company,414.50B,436.65,0.49%,1.93%,17.27%,23.72%,19.36%,45.85%,176.43%,437.88%
XOM,Exxon Mobil Corporation,414.49B,102.52,-2.43%,-6.07%,-10.62%,-9.20%,-7.05%,12.72%,126.11%,24.99%
JNJ,Johnson & Johnson,414.08B,159.34,-0.13%,-1.06%,-3.82%,-8.14%,-9.80%,-10.52%,5.86%,27.12%
WMT,Walmart Inc.,404.01B,149.78,-1.38%,-2.09%,0.17%,0.86%,5.64%,1.06%,17.33%,73.90%
JPM,JPMorgan Chase & Co.,392.52B,134.32,-0.67%,-1.53%,-3.94%,0.90%,0.16%,13.58%,48.50%,18.51%
NVO,Novo Nordisk A/S,372.71B,167.66,-1.04%,-0.52%,-1.99%,47.89%,23.88%,62.40%,162.87%,243.14%
PG,The Procter & Gamble Company,367.07B,155.74,-0.17%,1.32%,3.11%,9.88%,2.76%,0.40%,34.02%,111.81%
MA,Mastercard Incorporated,357.49B,380.24,-0.83%,-0.71%,2.01%,10.94%,9.35%,15.32%,31.16%,97.65%
MRK,"Merck & Co., Inc.",294.55B,116.08,-0.25%,-1.15%,0.93%,16.16%,4.62%,25.74%,52.60%,103.60%
CVX,Chevron Corporation,290.85B,153.51,-2.35%,-3.53%,-10.19%,-17.02%,-14.47%,-11.27%,65.87%,18.49%
HD,"The Home Depot, Inc.",285.91B,282.33,-2.15%,-2.84%,-4.42%,-10.35%,-10.62%,-4.62%,15.07%,51.48%
KO,The Coca-Cola Company,273.40B,63.22,-1.13%,-0.27%,-0.38%,4.46%,-0.61%,-4.15%,40.58%,52.15%
AVGO,Broadcom Inc.,267.43B,641.44,0.26%,3.71%,2.24%,25.35%,14.72%,10.09%,134.50%,166.70%
PEP,"PepsiCo, Inc.",266.49B,193.43,-0.43%,-0.37%,4.87%,8.47%,7.07%,10.24%,42.73%,99.02%
ORCL,Oracle Corporation,265.26B,98.25,1.02%,2.20%,2.78%,22.98%,20.20%,40.94%,84.85%,110.25%
ASML,ASML Holding N.V.,257.29B,652.05,-0.56%,1.40%,2.04%,13.07%,19.34%,21.89%,113.86%,221.40%
ABBV,AbbVie Inc.,252.81B,143.29,-2.25%,-2.41%,-11.10%,-5.65%,-11.34%,-7.83%,56.65%,36.42%
AZN,AstraZeneca PLC,233.34B,75.28,0.39%,0.27%,2.24%,17.99%,11.03%,16.73%,40.84%,106.25%
BABA,Alibaba Group Holding Limited,229.67B,88.76,0.48%,7.95%,-7.94%,13.56%,0.76%,2.64%,-58.77%,-55.20%
COST,Costco Wholesale Corporation,220.03B,496.15,-1.17%,-0.93%,0.45%,-5.33%,8.69%,0.33%,63.88%,149.69%
BAC,Bank of America Corporation,218.04B,27.36,-1.05%,-1.08%,-9.91%,-26.77%,-17.39%,-21.40%,19.32%,-11.91%
NVS,Novartis AG,217.92B,102.81,-0.30%,-1.81%,4.94%,23.05%,13.33%,17.08%,21.17%,32.49%
BHP,BHP Group Limited,215.08B,58.13,-2.27%,-3.89%,-6.45%,-0.94%,-6.32%,2.67%,45.49%,26.61%
MCD,McDonald's Corporation,214.76B,294.15,-0.59%,-0.85%,1.67%,7.94%,11.62%,20.53%,63.57%,80.60%
PFE,Pfizer Inc.,208.90B,37.01,-0.40%,-3.82%,-10.13%,-22.98%,-27.77%,-26.96%,2.46%,9.33%
SHEL,Shell plc,204.64B,59.91,-1.66%,-1.53%,-2.57%,7.33%,5.20%,3.19%,93.32%,-20.11%
TMO,Thermo Fisher Scientific Inc.,200.48B,519.75,-0.75%,-2.79%,-11.70%,-3.03%,-5.62%,-3.64%,49.80%,146.71%
