Name,Price,Change
EUR/USD,1.0862,-0.0000
USD/JPY,136.3910,+0.3618
GBP/USD,1.2481,-0.0001
EUR/GBP,0.8702,+0.0000
USD/CHF,0.8965,+0.0000
EUR/JPY,148.1400,+0.1258
EUR/CHF,0.9738,-0.0000
USD/CAD,1.3479,+0.0000
AUD/USD,0.6655,-0.0000
GBP/JPY,170.2340,-0.4113
AUD/CAD,0.8969,-0.0000
AUD/CHF,0.5966,-0.0000
AUD/JPY,90.7640,-0.3371
AUD/NZD,1.0685,-0.0000
CAD/CHF,0.6651,+0.0000
CAD/JPY,101.1910,+0.1334
CHF/JPY,152.1120,+0.2005
EUR/AUD,1.6322,+0.0001
EUR/CAD,1.4640,-0.0000
EUR/NOK,11.6524,+0.0150
EUR/NZD,1.7440,+0.0000
GBP/CAD,1.6823,-0.0001
GBP/CHF,1.1190,-0.0000
NZD/JPY,84.9460,+0.0085
NZD/USD,0.6228,-0.0000
USD/NOK,10.7262,+0.0139
USD/SEK,10.4118,+0.0058
EU50/EUR,"4,305.5000",-945.1098
USD/INR,83.2840,+0.0583
AUD/HKD,5.2158,-0.0016
US30/USD,"33,029.0000","+49,379.9901"
UK10YB/GBP,100.9780,-0.5299
NZD/CHF,0.5584,-0.0000
HK33/HKD,"19,938.8000","+34,120.0233"
GBP/SGD,1.6731,+0.0000
XAU/AUD,"2,989.5710",-726.3052
SG30/SGD,294.5100,-28.3468
XAU/NZD,"3,194.3700","-1,899.5066"
SGD/JPY,101.7480,-0.1355
NZD/CAD,0.8395,-0.0000
DE10YB/EUR,135.5920,-0.6786
SGD/HKD,5.9008,-0.0012
SOYBN/USD,13.8420,-0.0507
XAG/AUD,35.6811,-0.0970
USB30Y/USD,128.8640,-0.6944
XPT/USD,"1,064.5140",-21.1044
XAU/JPY,"271,348.0000","+280,647.1090"
XAU/GBP,"1,593.9530",-293.5658
CORN/USD,6.0160,-0.0070
EUR/TRY,21.4246,+0.0060
XAU/EUR,"1,831.6760",-536.1153
XAG/CHF,21.2875,-0.0616
NL25/EUR,752.5250,-14.5749
NZD/SGD,0.8349,+0.0000
GBP/PLN,5.1570,-0.0017
EUR/SGD,1.4560,+0.0000
WTICO/USD,70.5710,-0.5333
XAU/SGD,"2,666.8740","-1,010.1528"
AUD/SGD,0.8921,-0.0000
TRY/JPY,6.9140,-0.0003
XAU/USD,"1,989.4950",-739.7663
EUR/CZK,23.6647,+0.0101
XAU/HKD,"15,593.1360","+29,250.9585"
TWIX/USD,600.2000,+28.5810
NAS100/USD,"13,446.4000","+3,351.5051"
USD/ZAR,19.0912,+0.0129
CHF/HKD,8.7425,-0.0003
CAD/HKD,5.8150,-0.0003
EUR/HUF,368.6850,-1.8490
AU200/AUD,"7,195.1000","-26,270.4814"
XAG/USD,23.7448,-0.0819
USD/SAR,3.7502,+0.0000
USD/TRY,19.7251,+0.0099
EUR/DKK,7.4467,-0.0001
EUR/PLN,4.4878,-0.0008
EUR/HKD,8.5131,-0.0010
FR40/EUR,"7,387.2000","-1,846.8000"
CN50/USD,"13,111.4000","+251,500.4909"
XAG/EUR,21.8614,-0.0644
XAU/CHF,"1,783.5930",-510.8009
USD/THB,34.1280,+0.1143
USB05Y/USD,109.5710,-0.2614
USD/HUF,339.4350,-0.3432
NATGAS/USD,2.2880,-0.0001
XPD/USD,"1,491.9920",-652.4141
UK100/GBP,"7,733.3000","-8,211.6485"
GBP/AUD,1.8756,+0.0001
XAG/CAD,32.0047,-0.1398
SGD/CHF,0.6688,-0.0000
IN50/USD,"15,721.2000",+0.0000
GBP/NZD,2.0041,-0.0001
BCO/USD,74.7210,-0.6429
JP225/USD,"29,777.5000","+8,121.1364"
XAG/SGD,31.8296,-0.1157
ZAR/JPY,7.1440,+0.0001
WHEAT/USD,6.3830,-0.0097
DE30/EUR,"15,887.6000","-15,203.5937"
USD/PLN,4.1318,-0.0005
USD/MXN,17.5002,+0.0112
XAG/HKD,186.1068,-5.2713
HKD/JPY,17.4017,+0.0062
CHF/ZAR,21.2950,+0.0150
CAD/SGD,0.9945,+0.0000
USD/CZK,21.7876,+0.0151
XCU/USD,3.6490,-0.0030
USD/DKK,6.8546,+0.0005
US2000/USD,"1,738.7200",-519.3579
GBP/HKD,9.7827,-0.0032
SUGAR/USD,0.2669,-0.0000
USB10Y/USD,114.7450,-0.3545
XAG/JPY,"3,238.6000","-2,105.6244"
XAG/GBP,19.0241,-0.0393
EUR/SEK,11.3098,+0.0053
USD/SGD,1.3405,+0.0001
SPX500/USD,"4,114.6000","-1,160.5282"
XAU/XAG,83.7830,+0.0720
USD/HKD,7.8378,-0.0001
EUR/ZAR,20.7360,+0.0095
USB02Y/USD,102.9050,-0.1422
XAG/NZD,38.1254,-0.1860
XAU/CAD,"2,681.5480","-1,356.1982"
NZD/HKD,4.8815,-0.0005
USD/CNH,6.9980,+0.0026
GBP/ZAR,23.8286,+0.0015
