#,Monnaie,Cours,1 h,24 h,7 j,30 j,Volume sur 24 h,Offre en circulation,Offre totale,Capitalisation du marché
1,"Bitcoin
BTC","$26 886,12",0.1%,0.1%,-2.2%,-2.9%,$10 181 052 912,19 380 781,21 million,$520 984 219 945
2,"Ethereum
ETH","$1 820,11",0.1%,0.7%,-0.7%,-3.3%,$5 025 944 787,120 269 409,120 million,$218 880 174 160
3,"Tether
USDT","$0,999943",0.0%,0.0%,-0.1%,-0.0%,$10 485 792 817,82 919 078 535,"82,9 milliard",$82 914 392 332
4,"BNB
BNB","$310,47",0.1%,0.6%,-1.4%,-6.1%,$411 314 795,157 886 280,158 million,$49 012 153 788
5,"USD Coin
USDC","$0,999726",-0.0%,-0.0%,-0.0%,-0.1%,$3 658 760 975,29 410 176 607,"29,4 milliard",$29 417 322 673
6,"XRP
XRP","$0,460089",0.8%,0.1%,7.8%,-3.1%,$979 519 281,51 873 152 538,100 milliard,$23 865 195 489
7,"Cardano
ADA","$0,368842",0.1%,2.1%,-0.8%,-7.2%,$188 218 792,35 045 020 830,45 milliard,$12 927 330 149
8,"Lido Staked Ether
STETH","$1 819,88",0.2%,0.8%,-0.5%,-3.0%,$14 773 262,6 516 492,"6,52 million",$11 857 537 123
9,"Dogecoin
DOGE","$0,073145159208",-0.0%,1.0%,0.6%,-9.3%,$286 795 089,139 453 926 384,∞,$10 199 693 763
10,"Polygon
MATIC","$0,871581",0.2%,1.0%,0.4%,-15.1%,$182 840 302,9 279 469 069,10 milliard,$8 086 628 947
11,"Solana
SOL","$19,73",0.3%,-1.1%,-7.5%,-9.6%,$295 331 009,396 087 221,548 million,$7 812 879 957
12,"TRON
TRX","$0,078960754152",-0.2%,4.9%,12.3%,19.7%,$609 390 819,90 335 213 156,"90,3 milliard",$7 127 752 420
13,"Litecoin
LTC","$91,00",-0.0%,-0.8%,3.5%,4.7%,$444 937 365,72 978 233,84 million,$6 640 301 424
14,"Polkadot
DOT","$5,32",0.1%,0.4%,-1.2%,-10.8%,$93 842 647,1 234 910 244,"1,32 milliard",$6 569 708 172
15,"Binance USD
BUSD","$0,999406",-0.1%,-0.1%,0.1%,-0.2%,$1 385 678 133,5 469 858 541,"5,47 milliard",$5 462 673 464
16,"Shiba Inu
SHIB","$0,000008863068",-0.2%,3.3%,-0.5%,-15.1%,$183 255 528,589 346 148 700 818,1 million de milliards,$5 223 452 850
