No.,Symbol,Company Name,Views,Market Cap,% Change,Volume
1,MBOT,Microbot Medical Inc.,668,32.97M,230.89%,"167,545,917"
2,TSLA,"Tesla, Inc.",606,595.17B,4.30%,"101,913,492"
3,HEPA,"Hepion Pharmaceuticals, Inc.",457,60.87M,79.18%,"13,846,214"
4,AAPL,Apple Inc.,440,"2,741.67B",-0.49%,"30,467,388"
5,ZIM,ZIM Integrated Shipping Services Ltd.,437,1.76B,-16.56%,"13,741,479"
6,GHL,"Greenhill & Co., Inc.",419,269.23M,116.74%,"2,881,775"
7,NVDA,NVIDIA Corporation,313,774.93B,0.23%,"29,556,338"
8,AMZN,"Amazon.com, Inc.",312,"1,185.49B",-0.61%,"55,838,652"
9,SDA,SunCar Technology Group Inc.,288,21.76M,-26.28%,"568,121"
10,RAIN,Rain Therapeutics Inc.,266,46.91M,-87.11%,"27,755,708"
11,CWD,CaliberCos Inc.,264,93.53M,-15.33%,"475,291"
12,META,"Meta Platforms, Inc.",211,639.96B,1.67%,"21,394,717"
13,TRNR,Interactive Strength Inc.,199,80.23M,-22.32%,"338,518"
14,AMD,"Advanced Micro Devices, Inc.",199,173.99B,2.10%,"53,822,910"
15,MULN,"Mullen Automotive, Inc.",194,163.38M,-11.35%,"51,234,548"
16,PLTR,Palantir Technologies Inc.,186,25.19B,1.58%,"64,346,042"
17,VECT,VectivBio Holding AG,173,1.09B,36.34%,"19,960,002"
18,MSFT,Microsoft Corporation,170,"2,388.20B",0.91%,"15,857,118"
19,OMH,Ohmyhome Limited,170,102.49M,5.10%,"9,570,484"
20,UPST,"Upstart Holdings, Inc.",163,2.39B,25.51%,"20,048,011"
